drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID220077,RIDMASpringfield,50,19238.54,8963.42,7050.44
DRG057,PID220024,RIDMASpringfield,13,17210.3,7130.69,6359.3
DRG057,PID220030,RIDMASpringfield,11,11147.63,5312.27,4289
DRG057,PID220066,RIDMASpringfield,15,13552.06,6563.46,5662.13
DRG057,PID220077,RIDMASpringfield,30,16456,7602.1,6891.56
DRG064,PID220016,RIDMASpringfield,11,17683.09,11857,10939.54
DRG064,PID220024,RIDMASpringfield,17,11808,11785.76,10862.94
DRG064,PID220066,RIDMASpringfield,23,22221.82,12852.3,12070.39
DRG064,PID220077,RIDMASpringfield,81,26998.02,16200.24,14320.13
DRG065,PID220015,RIDMASpringfield,31,16430.09,6915.9,5626.9
DRG065,PID220016,RIDMASpringfield,24,17465.29,7022.16,6132.66
DRG065,PID220024,RIDMASpringfield,26,11846.5,7609.65,6701.5
DRG065,PID220051,RIDMASpringfield,15,15247.2,7197.13,6375.53
DRG065,PID220065,RIDMASpringfield,21,12102.28,6118.14,5161.57
DRG065,PID220066,RIDMASpringfield,46,16042.82,8228.1,6691.26
DRG065,PID220077,RIDMASpringfield,120,19043.95,9912.9,8668.88
DRG066,PID220015,RIDMASpringfield,29,13445.51,5274.03,3712.13
DRG066,PID220066,RIDMASpringfield,34,12300.61,5868.35,4908.47
DRG066,PID220077,RIDMASpringfield,47,14208.95,7068.78,5911.06
DRG069,PID220015,RIDMASpringfield,42,11606.28,4728.95,3512.97
DRG069,PID220024,RIDMASpringfield,26,10465.65,4859.96,3865.96
DRG069,PID220030,RIDMASpringfield,28,10628.03,4357.14,3430.71
DRG069,PID220065,RIDMASpringfield,20,8963.15,4378,3314.2
DRG069,PID220066,RIDMASpringfield,37,10755.35,5278.32,4306.21
DRG069,PID220077,RIDMASpringfield,59,13300.88,6206.33,5314.01
DRG074,PID220066,RIDMASpringfield,12,12048.08,6192.66,5254.66
DRG074,PID220077,RIDMASpringfield,18,17091.66,7312,6498
DRG101,PID220015,RIDMASpringfield,23,11013.65,4518.6,3785.91
DRG101,PID220024,RIDMASpringfield,21,9433.61,5059.14,4202.76
DRG101,PID220030,RIDMASpringfield,11,13985.81,4551.81,3734.36
DRG101,PID220066,RIDMASpringfield,25,11282.56,5507,4609.08
DRG101,PID220077,RIDMASpringfield,83,15691.26,6483.03,5289.67
DRG149,PID220015,RIDMASpringfield,15,11153.6,3887.66,2982.06
DRG149,PID220066,RIDMASpringfield,13,10605,4608.61,3650.76
DRG149,PID220077,RIDMASpringfield,23,13080.65,6089.91,3788.52
DRG176,PID220015,RIDMASpringfield,21,13357.19,5646.61,4162.9
DRG176,PID220024,RIDMASpringfield,11,10921.81,6719.54,5802.09
DRG176,PID220066,RIDMASpringfield,19,12988.05,6973.52,6205.73
DRG176,PID220077,RIDMASpringfield,47,13867.76,8508.34,7589.46
DRG177,PID220015,RIDMASpringfield,23,19026.73,11061.13,9526.43
DRG177,PID220024,RIDMASpringfield,18,15085.44,13026.77,12338.55
DRG177,PID220065,RIDMASpringfield,11,22350.36,10855.63,10238.18
DRG177,PID220066,RIDMASpringfield,32,28410.03,14364.62,13757.4
DRG177,PID220077,RIDMASpringfield,41,27892.48,16573.63,15352.85
DRG178,PID220015,RIDMASpringfield,34,17389.64,8174.38,7380.02
DRG178,PID220016,RIDMASpringfield,15,22608.73,9947.46,8082.46
DRG178,PID220024,RIDMASpringfield,22,13424.31,9394.59,8730.04
DRG178,PID220030,RIDMASpringfield,24,19417.29,8901.33,8205.83
DRG178,PID220065,RIDMASpringfield,13,15630.53,7705.23,6841.84
DRG178,PID220066,RIDMASpringfield,32,24467.18,10264.31,9528.43
DRG178,PID220077,RIDMASpringfield,59,18542.76,11890.1,11017.61
DRG189,PID220015,RIDMASpringfield,21,17096.19,7554.42,6644.14
DRG189,PID220024,RIDMASpringfield,23,12974.17,8549.56,7867.47
DRG189,PID220051,RIDMASpringfield,56,12895.55,8275.55,7633.26
DRG189,PID220066,RIDMASpringfield,50,24109.82,9359.2,8469.34
DRG189,PID220077,RIDMASpringfield,75,19823.36,11176.48,9811.09
DRG190,PID220015,RIDMASpringfield,52,15778.44,7074.92,6003.11
DRG190,PID220016,RIDMASpringfield,25,15956.8,7301.88,6449.24
DRG190,PID220024,RIDMASpringfield,54,9545.18,7802.87,6899.98
DRG190,PID220030,RIDMASpringfield,49,17338.93,6909.48,6156.69
DRG190,PID220050,RIDMASpringfield,21,12938.47,6642.52,5789.19
DRG190,PID220065,RIDMASpringfield,20,17236.55,6948.35,5978.8
DRG190,PID220066,RIDMASpringfield,72,19719.52,8238.11,7129.47
DRG190,PID220077,RIDMASpringfield,95,16421.06,10139.06,8926.6
DRG191,PID220015,RIDMASpringfield,37,12784.64,5831.37,5007.05
DRG191,PID220016,RIDMASpringfield,30,12949,6158.23,5004.63
DRG191,PID220024,RIDMASpringfield,91,8253.25,6331.38,5490.87
DRG191,PID220030,RIDMASpringfield,49,13772.67,5846.2,5135.63
DRG191,PID220050,RIDMASpringfield,21,10775.61,5772.71,5187.38
DRG191,PID220065,RIDMASpringfield,34,11881.7,5736.82,4878.7
DRG191,PID220066,RIDMASpringfield,99,16434.07,6814.51,6098.67
DRG191,PID220077,RIDMASpringfield,105,13161.71,7948.95,6946.37
DRG192,PID220015,RIDMASpringfield,29,9812.75,4646.96,3147
DRG192,PID220016,RIDMASpringfield,28,11277.21,5192.57,3455.71
DRG192,PID220024,RIDMASpringfield,59,6840.96,4780.06,3819.32
DRG192,PID220030,RIDMASpringfield,54,11172.81,4286.74,3435.29
DRG192,PID220050,RIDMASpringfield,20,8179.85,4468.3,3567.5
DRG192,PID220065,RIDMASpringfield,30,10979.8,4298.86,3403.93
DRG192,PID220066,RIDMASpringfield,63,14087.22,5175.01,4092.07
DRG192,PID220077,RIDMASpringfield,69,10399.57,6251.98,4516.28
DRG193,PID220015,RIDMASpringfield,39,18160,8610.87,7675.94
DRG193,PID220016,RIDMASpringfield,23,21066.82,9071.3,8288
DRG193,PID220024,RIDMASpringfield,36,15059,9577,8890.55
DRG193,PID220030,RIDMASpringfield,18,23338.55,9192.55,8506.11
DRG193,PID220051,RIDMASpringfield,21,17993.09,9438,8583.14
DRG193,PID220065,RIDMASpringfield,11,21383.81,8782.09,8073.36
DRG193,PID220066,RIDMASpringfield,56,22118.3,10131.42,9371.28
DRG193,PID220077,RIDMASpringfield,104,22332.71,12235.06,11186.53
DRG194,PID220015,RIDMASpringfield,109,13920.1,5956.76,5060.87
DRG194,PID220016,RIDMASpringfield,62,13835.62,6290.95,5383.54
DRG194,PID220024,RIDMASpringfield,91,10512.31,6579.49,5708.23
DRG194,PID220030,RIDMASpringfield,82,14088.31,5651.82,4931.71
DRG194,PID220050,RIDMASpringfield,29,12065.86,6280.51,5387.13
DRG194,PID220051,RIDMASpringfield,22,9790.59,6478.18,5763.63
DRG194,PID220065,RIDMASpringfield,62,11179.66,5864.69,4941.27
DRG194,PID220066,RIDMASpringfield,101,16078.04,6928.44,5968
DRG194,PID220077,RIDMASpringfield,219,14577.25,8564.71,7513.65
DRG195,PID220015,RIDMASpringfield,38,9532.89,4374.31,3144.52
DRG195,PID220016,RIDMASpringfield,28,13379.1,4490.35,3528.07
DRG195,PID220024,RIDMASpringfield,26,6467.07,4715.73,3515.88
DRG195,PID220030,RIDMASpringfield,38,11106.92,4475.92,3269.42
DRG195,PID220065,RIDMASpringfield,24,11149.2,4260.08,3040.12
DRG195,PID220066,RIDMASpringfield,34,10908.91,5096.76,4106.41
DRG195,PID220077,RIDMASpringfield,53,10386.66,5944.83,4824.71
DRG202,PID220015,RIDMASpringfield,20,10513.25,5121.6,4392.2
DRG202,PID220024,RIDMASpringfield,23,8012.73,5602.91,4774.56
DRG202,PID220066,RIDMASpringfield,35,13224.6,6085.71,5251.2
DRG202,PID220077,RIDMASpringfield,37,14708,7276.62,5817.54
DRG203,PID220015,RIDMASpringfield,11,10756.63,3684,3075.27
DRG203,PID220024,RIDMASpringfield,17,6206.52,4043.11,3120.29
DRG203,PID220030,RIDMASpringfield,11,9518,3643,2725.54
DRG203,PID220066,RIDMASpringfield,21,10361.09,4389.47,3483.76
DRG203,PID220077,RIDMASpringfield,21,12249.09,5105.47,4017.23
DRG207,PID220077,RIDMASpringfield,16,63389.43,42429.56,38793.06
DRG208,PID220015,RIDMASpringfield,22,35612.13,13510.77,12849.09
DRG208,PID220024,RIDMASpringfield,12,22648.75,14245.25,13307.25
DRG208,PID220065,RIDMASpringfield,13,23542.92,12849.23,12155.07
DRG208,PID220066,RIDMASpringfield,14,46656.07,16340.57,15413
DRG208,PID220077,RIDMASpringfield,79,33812.02,19528.1,18149.62
DRG238,PID220077,RIDMASpringfield,75,60084.88,26522.1,24713.18
DRG243,PID220024,RIDMASpringfield,13,33653.76,17304.07,16699.46
DRG243,PID220077,RIDMASpringfield,41,34876.12,21842.43,20475.12
DRG244,PID220077,RIDMASpringfield,30,30187.86,18205.1,14187.76
DRG246,PID220077,RIDMASpringfield,20,44466.35,28092.7,25001.4
DRG247,PID220077,RIDMASpringfield,137,34042.82,17163.06,14556.43
DRG249,PID220077,RIDMASpringfield,94,29270.71,15888.53,12835.96
DRG251,PID220077,RIDMASpringfield,33,31780.36,17103.72,12134.03
DRG252,PID220077,RIDMASpringfield,55,44973.65,25736.52,22981.67
DRG253,PID220077,RIDMASpringfield,76,40262.44,21094.75,19309.68
DRG254,PID220077,RIDMASpringfield,51,27747.6,14208.39,11788.29
DRG280,PID220015,RIDMASpringfield,23,19868,11052.04,9875.17
DRG280,PID220024,RIDMASpringfield,27,14038.33,10341.48,9635.85
DRG280,PID220066,RIDMASpringfield,22,25634.5,12383.09,11620
DRG280,PID220077,RIDMASpringfield,87,25195.11,15303.27,14366.2
DRG281,PID220015,RIDMASpringfield,21,10359.57,6544.9,5637.66
DRG281,PID220024,RIDMASpringfield,18,10130.33,6871.38,5933.38
DRG281,PID220066,RIDMASpringfield,31,18992.41,7444.64,6685.03
DRG281,PID220077,RIDMASpringfield,84,16025.15,10048.67,9178.05
DRG282,PID220016,RIDMASpringfield,13,7843.07,4833.84,4139.69
DRG282,PID220024,RIDMASpringfield,12,7738.25,5197.91,4545.58
DRG282,PID220066,RIDMASpringfield,17,12112.58,5631.88,4840.35
DRG282,PID220077,RIDMASpringfield,42,12957.33,7176.71,5802.19
DRG286,PID220077,RIDMASpringfield,22,30709.77,16877.36,16314.27
DRG287,PID220066,RIDMASpringfield,14,24564.78,7848.14,6803.85
DRG287,PID220077,RIDMASpringfield,105,19731.01,9257.25,8295.84
DRG291,PID220015,RIDMASpringfield,42,15763.59,8421.21,7884.42
DRG291,PID220016,RIDMASpringfield,49,16936.3,9141.12,8547.65
DRG291,PID220024,RIDMASpringfield,45,11394.57,9295.24,8637.04
DRG291,PID220030,RIDMASpringfield,33,20658.33,8645.72,7923.57
DRG291,PID220051,RIDMASpringfield,43,20552.97,9474,8792.51
DRG291,PID220065,RIDMASpringfield,28,15559.07,8360.07,7639.21
DRG291,PID220066,RIDMASpringfield,48,22453.97,10417,9700.37
DRG291,PID220077,RIDMASpringfield,236,21668.55,12706.21,11391.8
DRG292,PID220015,RIDMASpringfield,83,11380.24,5968.37,5264.18
DRG292,PID220016,RIDMASpringfield,38,14946.21,6282.84,5547.36
DRG292,PID220024,RIDMASpringfield,51,9233.5,6587.11,5860.92
DRG292,PID220030,RIDMASpringfield,60,12888.78,6069.56,5194.15
DRG292,PID220050,RIDMASpringfield,18,12225.16,6395,5101.22
DRG292,PID220051,RIDMASpringfield,34,12591.5,6262.55,5771.61
DRG292,PID220065,RIDMASpringfield,59,11184.71,5899.15,5125.89
DRG292,PID220066,RIDMASpringfield,101,17407.01,7217.18,6372.67
DRG292,PID220077,RIDMASpringfield,317,14733.78,8679.44,7722.62
DRG293,PID220015,RIDMASpringfield,29,7444.41,4081.82,3153.82
DRG293,PID220016,RIDMASpringfield,16,12459.5,4351,3724.25
DRG293,PID220024,RIDMASpringfield,28,7064.25,4514.57,3752.14
DRG293,PID220030,RIDMASpringfield,13,12109.23,4105.61,3326.84
DRG293,PID220050,RIDMASpringfield,13,7753.07,4347,3255.07
DRG293,PID220051,RIDMASpringfield,18,11197.83,4509.33,4009.77
DRG293,PID220065,RIDMASpringfield,17,7758.23,4091.17,3564.11
DRG293,PID220066,RIDMASpringfield,32,12832.03,4902.68,4169.81
DRG293,PID220077,RIDMASpringfield,115,10750.16,5815.5,5060.03
DRG300,PID220015,RIDMASpringfield,14,10644.92,5513,4547.28
DRG300,PID220066,RIDMASpringfield,20,14465.95,6726.05,5768.65
DRG300,PID220077,RIDMASpringfield,35,14268.17,8388.45,6801.11
DRG301,PID220077,RIDMASpringfield,12,12934.16,5647.5,4637
DRG303,PID220015,RIDMASpringfield,18,7477.66,3536.33,2977.44
DRG303,PID220030,RIDMASpringfield,14,9532.85,3475.57,2671.57
DRG303,PID220066,RIDMASpringfield,18,12690.44,4207.77,3334.44
DRG305,PID220077,RIDMASpringfield,14,12316.92,5217.5,4094.64
DRG308,PID220015,RIDMASpringfield,37,13534.13,7269.4,6542.91
DRG308,PID220016,RIDMASpringfield,12,16589.41,7835,6991.33
DRG308,PID220024,RIDMASpringfield,16,15506.06,8345.31,7502.31
DRG308,PID220051,RIDMASpringfield,16,19851.5,8111.75,7412.25
DRG308,PID220065,RIDMASpringfield,12,12392.33,7037,6355.75
DRG308,PID220066,RIDMASpringfield,23,18925.6,8703.6,7917.52
DRG308,PID220077,RIDMASpringfield,93,17676.52,10589.64,9583.55
DRG309,PID220015,RIDMASpringfield,45,9784.73,5073,4200.37
DRG309,PID220016,RIDMASpringfield,16,12383.5,5325,4546.75
DRG309,PID220024,RIDMASpringfield,35,8813.22,5568.8,4639.08
DRG309,PID220030,RIDMASpringfield,28,14573.89,5046.03,4000
DRG309,PID220051,RIDMASpringfield,16,12358,5522.31,4681.31
DRG309,PID220065,RIDMASpringfield,24,10363.7,4999.5,4161.16
DRG309,PID220066,RIDMASpringfield,61,15584.19,5986.55,5230.42
DRG309,PID220077,RIDMASpringfield,108,13043.48,7456.23,6104.1
DRG310,PID220015,RIDMASpringfield,48,7079.56,3476.47,2471.72
DRG310,PID220016,RIDMASpringfield,13,7939,3696.3,2565.92
DRG310,PID220024,RIDMASpringfield,42,6097.9,3796.66,2860.19
DRG310,PID220030,RIDMASpringfield,34,7964.97,3516.91,2367.02
DRG310,PID220051,RIDMASpringfield,20,9675.65,3747.25,2796.25
DRG310,PID220065,RIDMASpringfield,19,6952.47,3394.31,2404.78
DRG310,PID220066,RIDMASpringfield,30,11111.86,4113.4,3284.33
DRG310,PID220077,RIDMASpringfield,68,9027.01,4954.7,3780.51
DRG312,PID220015,RIDMASpringfield,80,7889.87,4355.12,3440.57
DRG312,PID220016,RIDMASpringfield,17,13420.41,4554,3564.58
DRG312,PID220024,RIDMASpringfield,32,10562.21,4913.25,4070.25
DRG312,PID220030,RIDMASpringfield,54,9448.18,4286.25,3351.81
DRG312,PID220050,RIDMASpringfield,12,8679.5,4486.08,3655.75
DRG312,PID220065,RIDMASpringfield,30,7884.66,4251.23,3221.56
DRG312,PID220066,RIDMASpringfield,86,12701.33,5180.59,4205.77
DRG312,PID220077,RIDMASpringfield,151,13125.64,6167.54,5266.62
DRG313,PID220015,RIDMASpringfield,58,8069.5,3500.81,2278.96
DRG313,PID220016,RIDMASpringfield,11,13453.9,3492,2574.54
DRG313,PID220024,RIDMASpringfield,48,8529.85,3655.33,2790.08
DRG313,PID220030,RIDMASpringfield,79,6674.73,3286.18,2432.92
DRG313,PID220065,RIDMASpringfield,40,6243.87,3284,2328.2
DRG313,PID220066,RIDMASpringfield,79,10737.81,3970.7,3087.56
DRG313,PID220077,RIDMASpringfield,36,9277.05,4898.63,3706
DRG314,PID220077,RIDMASpringfield,62,33676.12,16919.77,14638.43
DRG315,PID220066,RIDMASpringfield,12,15318.83,6411.41,5756.41
DRG315,PID220077,RIDMASpringfield,31,16611.03,8279.83,7313.48
DRG329,PID220015,RIDMASpringfield,11,94907.27,40336.9,39400.18
DRG329,PID220024,RIDMASpringfield,11,38879.54,30821.81,29904.36
DRG329,PID220066,RIDMASpringfield,23,101944.39,38431.69,35950.52
DRG329,PID220077,RIDMASpringfield,55,82402.76,42244,40541.96
DRG330,PID220015,RIDMASpringfield,25,45070.6,15463.96,14564.8
DRG330,PID220016,RIDMASpringfield,11,32754.63,15619.54,13471.18
DRG330,PID220024,RIDMASpringfield,15,29687.33,16446.53,15995.86
DRG330,PID220066,RIDMASpringfield,34,41807.29,18277.58,16816.32
DRG330,PID220077,RIDMASpringfield,61,43885.09,21401.21,18563.95
DRG372,PID220015,RIDMASpringfield,15,18511.4,7340.53,7040.8
DRG372,PID220024,RIDMASpringfield,13,11781.46,8091.53,7571.53
DRG372,PID220066,RIDMASpringfield,17,23281.58,9221.7,8176.7
DRG372,PID220077,RIDMASpringfield,42,14503.59,10509.57,10032.69
DRG377,PID220015,RIDMASpringfield,16,25665.75,11254.06,10131.06
DRG377,PID220024,RIDMASpringfield,18,14563.05,10444.22,9818.88
DRG377,PID220066,RIDMASpringfield,13,21539.53,11487,10882.38
DRG377,PID220077,RIDMASpringfield,57,19655.36,14443.71,13676.63
DRG378,PID220015,RIDMASpringfield,44,13891.38,6247.68,5056.7
DRG378,PID220016,RIDMASpringfield,15,16908.6,6564.33,5962.66
DRG378,PID220024,RIDMASpringfield,38,11168.07,6811.28,6012.86
DRG378,PID220030,RIDMASpringfield,21,12467.57,5919.33,5073.61
DRG378,PID220051,RIDMASpringfield,15,18306.53,6516.53,5692.8
DRG378,PID220065,RIDMASpringfield,24,13568.25,6043.79,5145.16
DRG378,PID220066,RIDMASpringfield,53,14326.77,7296.83,6513.2
DRG378,PID220077,RIDMASpringfield,125,14019.56,8696.96,7694.04
DRG379,PID220015,RIDMASpringfield,13,7261.46,4172.92,3227.38
DRG379,PID220024,RIDMASpringfield,13,8451.61,4752.46,3886.61
DRG379,PID220066,RIDMASpringfield,14,11616.14,5155.14,4106.28
DRG379,PID220077,RIDMASpringfield,23,11750.69,6369.73,4818.95
DRG389,PID220015,RIDMASpringfield,22,10750.22,5632.4,4662.04
DRG389,PID220024,RIDMASpringfield,12,8415.41,6122.75,4905
DRG389,PID220030,RIDMASpringfield,12,14619.75,5501.66,4938.33
DRG389,PID220051,RIDMASpringfield,16,14251.25,6073.06,5367.56
DRG389,PID220065,RIDMASpringfield,15,12169.93,5399.53,4724.6
DRG389,PID220066,RIDMASpringfield,34,15994.91,6678.38,5921.88
DRG389,PID220077,RIDMASpringfield,46,14417.3,8065.08,6533.23
DRG390,PID220015,RIDMASpringfield,13,9561.76,3806.23,2766.23
DRG390,PID220024,RIDMASpringfield,14,6601.21,4237.42,3193.14
DRG390,PID220066,RIDMASpringfield,21,9186.66,4731.8,3428.09
DRG390,PID220077,RIDMASpringfield,30,11837.13,5784.56,4321.33
DRG391,PID220015,RIDMASpringfield,19,9218.73,7003,6233.52
DRG391,PID220024,RIDMASpringfield,18,14855.66,8761.83,7884.94
DRG391,PID220030,RIDMASpringfield,15,21237.6,6798.66,6197.06
DRG391,PID220066,RIDMASpringfield,16,15945.37,8334.12,7628.62
DRG391,PID220077,RIDMASpringfield,60,18458.65,9842.26,8911.3
DRG392,PID220015,RIDMASpringfield,103,9980.44,4448.04,3515.04
DRG392,PID220016,RIDMASpringfield,21,13445.57,4635.71,3320
DRG392,PID220024,RIDMASpringfield,76,8115.14,4755.6,3911.65
DRG392,PID220030,RIDMASpringfield,118,10950.85,4359.05,3403.83
DRG392,PID220050,RIDMASpringfield,22,10993.68,4567.81,3484.18
DRG392,PID220051,RIDMASpringfield,17,13120,4917.47,3720.35
DRG392,PID220065,RIDMASpringfield,40,12130.05,4276,3405.1
DRG392,PID220066,RIDMASpringfield,131,12418.29,5204.25,4290.83
DRG392,PID220077,RIDMASpringfield,181,13434.54,6144.41,4990.42
DRG394,PID220015,RIDMASpringfield,16,13580.37,6066.75,5367.25
DRG394,PID220024,RIDMASpringfield,14,9914.07,6394.42,5590.42
DRG394,PID220066,RIDMASpringfield,30,15838.83,7170.33,6345.53
DRG394,PID220077,RIDMASpringfield,45,16294.53,8367.28,7741.95
DRG418,PID220077,RIDMASpringfield,19,30010.05,14435.1,13612.78
DRG419,PID220024,RIDMASpringfield,11,15790,7799.63,6776.36
DRG419,PID220077,RIDMASpringfield,27,22502.14,10091.33,8654.51
DRG439,PID220015,RIDMASpringfield,13,12549.38,6135,5530.38
DRG439,PID220016,RIDMASpringfield,12,14769.91,6139.08,5486.75
DRG439,PID220065,RIDMASpringfield,11,13339.09,6021.36,5512.63
DRG439,PID220066,RIDMASpringfield,19,20175.21,7276.68,6315.26
DRG439,PID220077,RIDMASpringfield,37,17986.02,8576.29,7776.64
DRG460,PID220066,RIDMASpringfield,45,70286.8,28418.24,26109.68
DRG460,PID220077,RIDMASpringfield,57,43081.21,31926.1,29104.05
DRG469,PID220077,RIDMASpringfield,22,51078.18,27772.36,24069.04
DRG470,PID220015,RIDMASpringfield,118,33499.62,12782.77,11562.85
DRG470,PID220016,RIDMASpringfield,38,38322.34,13465.89,11624.21
DRG470,PID220024,RIDMASpringfield,41,30376.12,13996,12541.63
