drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID220001,RIDMAWorcester,14,14929.42,7414.42,6365.57
DRG039,PID220163,RIDMAWorcester,51,20124.5,10010.11,8451.01
DRG039,PID220176,RIDMAWorcester,15,16418.4,7966,6991.33
DRG057,PID220163,RIDMAWorcester,55,20895.89,9509.05,7508.92
DRG057,PID220176,RIDMAWorcester,14,13069.28,9515.78,5801.78
DRG064,PID220163,RIDMAWorcester,87,44662.4,18889.08,17008.73
DRG064,PID220176,RIDMAWorcester,24,15334.08,13196.33,12401.16
DRG065,PID220001,RIDMAWorcester,28,16918.03,8010.46,7048.17
DRG065,PID220019,RIDMAWorcester,15,14344.53,8528.66,7780.4
DRG065,PID220049,RIDMAWorcester,11,18730.27,8109.18,5654.27
DRG065,PID220163,RIDMAWorcester,101,27022.93,26510.15,10030.7
DRG065,PID220176,RIDMAWorcester,33,12433.03,8784.03,8016.09
DRG066,PID220095,RIDMAWorcester,14,9685.5,5990.78,5029.64
DRG066,PID220163,RIDMAWorcester,43,21327.55,8469.18,6757.51
DRG066,PID220176,RIDMAWorcester,15,10365.66,6443.66,4906.86
DRG069,PID220001,RIDMAWorcester,13,10957.92,5633.84,4070.46
DRG069,PID220019,RIDMAWorcester,14,10086.42,5354.28,4305.42
DRG069,PID220049,RIDMAWorcester,22,11020.68,4604.77,3735.86
DRG069,PID220095,RIDMAWorcester,12,10025.16,5374.16,4530.5
DRG069,PID220163,RIDMAWorcester,58,20866.91,7300.06,6226.98
DRG069,PID220176,RIDMAWorcester,29,8279.79,5727.93,4797.72
DRG074,PID220095,RIDMAWorcester,13,8489,6400.69,5796.07
DRG074,PID220163,RIDMAWorcester,43,17038.23,8745.93,7126.69
DRG074,PID220176,RIDMAWorcester,27,12045.55,7143.18,5292.81
DRG101,PID220001,RIDMAWorcester,18,12963.22,5592.88,4843.55
DRG101,PID220019,RIDMAWorcester,16,6842,5567.75,4801.5
DRG101,PID220049,RIDMAWorcester,13,11038,4798.76,3932.92
DRG101,PID220095,RIDMAWorcester,11,7225.63,5527.09,5115.45
DRG101,PID220163,RIDMAWorcester,89,19497.77,7912.41,6721.41
DRG101,PID220176,RIDMAWorcester,32,9241.34,5962.78,4619.56
DRG149,PID220163,RIDMAWorcester,41,14315.39,6272,5422.34
DRG149,PID220176,RIDMAWorcester,13,8066.69,5091.3,3789.15
DRG176,PID220163,RIDMAWorcester,42,23884.3,10207.78,9205.64
DRG177,PID220001,RIDMAWorcester,17,29139.05,14478.76,13838.47
DRG177,PID220095,RIDMAWorcester,17,20316.17,14640.41,13913.58
DRG177,PID220163,RIDMAWorcester,69,49124.55,19540.59,18876.21
DRG177,PID220176,RIDMAWorcester,25,17687.36,14261.36,13699.2
DRG178,PID220001,RIDMAWorcester,13,19527.84,9513.53,8674.38
DRG178,PID220019,RIDMAWorcester,15,19092.6,10643.86,10048.66
DRG178,PID220058,RIDMAWorcester,11,17389.09,8808.9,8203.09
DRG178,PID220163,RIDMAWorcester,72,31596.02,13530.22,12900.95
DRG178,PID220176,RIDMAWorcester,21,13717.61,10546.19,9692.85
DRG189,PID220001,RIDMAWorcester,65,21468.72,9402.2,8577.58
DRG189,PID220019,RIDMAWorcester,19,15334.31,9375,8784.26
DRG189,PID220049,RIDMAWorcester,22,20110.31,7915.27,7135.5
DRG189,PID220095,RIDMAWorcester,27,10038.77,9527.55,8807.88
DRG189,PID220163,RIDMAWorcester,56,47730,14605.41,14090.03
DRG189,PID220176,RIDMAWorcester,97,11779.18,10099.54,9127.74
DRG190,PID220001,RIDMAWorcester,48,19508.91,8582.7,7691.87
DRG190,PID220019,RIDMAWorcester,90,13566.66,8613.85,7890.38
DRG190,PID220049,RIDMAWorcester,18,14530.33,7941.11,5882.5
DRG190,PID220058,RIDMAWorcester,11,24388.54,6981.27,6369.63
DRG190,PID220095,RIDMAWorcester,39,12537.05,8801.69,7854.51
DRG190,PID220163,RIDMAWorcester,126,32183.91,11799.46,10944.57
DRG190,PID220176,RIDMAWorcester,62,10578.95,8799.67,8092.77
DRG191,PID220001,RIDMAWorcester,67,13869.4,7213.95,6028.52
DRG191,PID220019,RIDMAWorcester,45,12072.42,7114.08,6439.86
DRG191,PID220049,RIDMAWorcester,26,15013.73,6608.69,5063.84
DRG191,PID220058,RIDMAWorcester,16,18017.12,5926.43,5364.43
DRG191,PID220095,RIDMAWorcester,26,8951.11,7111.5,6200.11
DRG191,PID220163,RIDMAWorcester,138,22846.45,9765.64,8827.21
DRG191,PID220176,RIDMAWorcester,77,9901.55,6974.97,6345.58
DRG192,PID220001,RIDMAWorcester,22,9440.22,5189.81,4322.36
DRG192,PID220019,RIDMAWorcester,57,9413.82,5277.17,4332.89
DRG192,PID220049,RIDMAWorcester,40,10736.32,4654.02,3241.72
DRG192,PID220058,RIDMAWorcester,25,15174,4530.08,3766.72
DRG192,PID220095,RIDMAWorcester,19,8084.52,5262.68,4374.05
DRG192,PID220163,RIDMAWorcester,126,16077.76,7189.17,6306.34
DRG192,PID220176,RIDMAWorcester,54,7691.38,5438.24,4590.66
DRG193,PID220001,RIDMAWorcester,29,23023.86,9973.37,9272.96
DRG193,PID220049,RIDMAWorcester,20,25149.3,8625.65,7976.35
DRG193,PID220095,RIDMAWorcester,47,14703.38,10780.8,10037.57
DRG193,PID220163,RIDMAWorcester,104,40582.04,14433.83,13623.6
DRG193,PID220176,RIDMAWorcester,56,13852.73,11002,10360.85
DRG194,PID220001,RIDMAWorcester,69,14934.21,7158.11,6219.55
DRG194,PID220019,RIDMAWorcester,60,14728.11,7440.03,6662.48
DRG194,PID220049,RIDMAWorcester,52,15722.94,6321.17,5523.71
DRG194,PID220058,RIDMAWorcester,16,18210.37,5812.43,4765.06
DRG194,PID220095,RIDMAWorcester,38,9930.97,7253.71,6326.65
DRG194,PID220163,RIDMAWorcester,218,24048.25,9940.27,8944.52
DRG194,PID220176,RIDMAWorcester,75,9327.7,7758.81,6248
DRG195,PID220001,RIDMAWorcester,12,10807.33,5206.33,4179.33
DRG195,PID220019,RIDMAWorcester,41,9000.63,5184.82,4203.24
DRG195,PID220049,RIDMAWorcester,43,11184.88,4391.88,3607.32
DRG195,PID220058,RIDMAWorcester,11,13433.54,4118.27,3406.63
DRG195,PID220163,RIDMAWorcester,94,17179.64,7093.43,6094.55
DRG195,PID220176,RIDMAWorcester,25,6959.92,5608.04,4451.6
DRG202,PID220019,RIDMAWorcester,22,8521.13,6157.95,5390.5
DRG202,PID220163,RIDMAWorcester,47,21314.68,8503.29,7762.1
DRG202,PID220176,RIDMAWorcester,22,7608,6712.68,5227.95
DRG203,PID220019,RIDMAWorcester,13,5237.38,4441.92,3501.3
DRG203,PID220049,RIDMAWorcester,17,9346.05,4010.05,2814.05
DRG203,PID220163,RIDMAWorcester,42,14175.9,6099.54,5103.71
DRG207,PID220163,RIDMAWorcester,65,125799.93,51036.6,48602.56
DRG207,PID220176,RIDMAWorcester,19,54014.68,36474.42,34144.84
DRG208,PID220001,RIDMAWorcester,20,38080.7,16557.2,16008.55
DRG208,PID220163,RIDMAWorcester,84,65455.79,23695.36,22875.22
DRG208,PID220176,RIDMAWorcester,43,23259.88,17709.46,16947.81
DRG238,PID220163,RIDMAWorcester,99,66633.81,29315.35,27619.94
DRG238,PID220176,RIDMAWorcester,14,31453.21,24609.64,21627.85
DRG243,PID220163,RIDMAWorcester,48,78756.43,24611.52,23818.12
DRG243,PID220176,RIDMAWorcester,19,49450.15,20070.68,19653.68
DRG244,PID220163,RIDMAWorcester,49,64139.57,20183.36,17981.18
DRG246,PID220163,RIDMAWorcester,39,86144.84,32816.69,29318.25
DRG246,PID220176,RIDMAWorcester,15,63545.26,24901,23885.4
DRG247,PID220163,RIDMAWorcester,113,67986.64,20778.07,16925.14
DRG247,PID220176,RIDMAWorcester,95,43116.36,15731.29,13531.54
DRG249,PID220163,RIDMAWorcester,83,62896.24,18136.26,15321.42
DRG249,PID220176,RIDMAWorcester,19,38665.42,13886.47,13059.1
DRG251,PID220163,RIDMAWorcester,62,67944.45,18525.46,16455.09
DRG252,PID220163,RIDMAWorcester,64,64852.64,30540.39,29894.89
DRG252,PID220176,RIDMAWorcester,11,29872,23288.81,22574.27
DRG253,PID220163,RIDMAWorcester,74,51215.22,23422.31,22872.9
DRG253,PID220176,RIDMAWorcester,24,28079.12,18801.75,18209.7
DRG254,PID220163,RIDMAWorcester,80,30436.42,15596.55,14172.7
DRG254,PID220176,RIDMAWorcester,18,21755.05,12884.27,10932.61
DRG280,PID220001,RIDMAWorcester,16,24432.68,12411.93,11635.68
DRG280,PID220019,RIDMAWorcester,14,14852.78,11566.78,10760.5
DRG280,PID220095,RIDMAWorcester,19,14528.31,12211.68,11506.84
DRG280,PID220163,RIDMAWorcester,89,46349.34,18054.66,17449.91
DRG280,PID220176,RIDMAWorcester,25,15254.16,13146.88,12382.24
DRG281,PID220001,RIDMAWorcester,13,17701.3,8738.92,7703.84
DRG281,PID220049,RIDMAWorcester,13,17294.76,6796.61,5935.69
DRG281,PID220163,RIDMAWorcester,50,31394.58,11741.2,10370.44
DRG281,PID220176,RIDMAWorcester,12,8127.91,8658.91,7069.83
DRG282,PID220049,RIDMAWorcester,12,14954,4929.25,4182.58
DRG282,PID220163,RIDMAWorcester,39,25421.38,8360.41,6784.35
DRG286,PID220163,RIDMAWorcester,25,50404.56,19963.12,18327.04
DRG287,PID220163,RIDMAWorcester,115,32502.2,10698.73,8889.66
DRG287,PID220176,RIDMAWorcester,59,17553.57,8504.44,7359.23
DRG291,PID220001,RIDMAWorcester,37,24269.75,11261.62,10561.37
DRG291,PID220019,RIDMAWorcester,46,16740.91,10665.39,10061.02
DRG291,PID220049,RIDMAWorcester,29,23471.03,10158.44,8454.03
DRG291,PID220095,RIDMAWorcester,39,13875.97,10705.35,9925.76
DRG291,PID220163,RIDMAWorcester,164,33539.44,14977.28,13864.95
DRG291,PID220176,RIDMAWorcester,94,15131.48,11048.19,10307.04
DRG292,PID220001,RIDMAWorcester,61,14803.04,7280.24,6580.31
DRG292,PID220019,RIDMAWorcester,38,12705.26,7577.5,6965.26
DRG292,PID220049,RIDMAWorcester,37,14313.21,6270.37,5349.78
DRG292,PID220095,RIDMAWorcester,33,9685.27,7257,6574.81
DRG292,PID220163,RIDMAWorcester,210,21147.18,10328.63,9412.62
DRG292,PID220176,RIDMAWorcester,71,11248.74,7612.91,6425.22
DRG293,PID220001,RIDMAWorcester,18,10054.5,4969.72,3758.22
DRG293,PID220019,RIDMAWorcester,21,8358.85,5012,4368.19
DRG293,PID220049,RIDMAWorcester,30,10089.63,4235.43,3337.3
DRG293,PID220163,RIDMAWorcester,110,15590.69,6823.59,6061.48
DRG293,PID220176,RIDMAWorcester,25,7083.32,5112.6,4303.28
DRG300,PID220163,RIDMAWorcester,60,23909.43,9245.68,7957.75
DRG300,PID220176,RIDMAWorcester,24,8530.04,6754.33,6096.66
DRG301,PID220163,RIDMAWorcester,25,15239.16,6275.84,5601.76
DRG303,PID220095,RIDMAWorcester,13,6691.92,4330.84,3982.53
DRG303,PID220163,RIDMAWorcester,37,12631.1,5857.05,4722.4
DRG303,PID220176,RIDMAWorcester,18,7579.22,4566.33,3879.88
DRG305,PID220163,RIDMAWorcester,40,16508.12,6161.55,5293.85
DRG308,PID220163,RIDMAWorcester,77,36322.77,13754.06,12776.06
DRG308,PID220176,RIDMAWorcester,21,11510.42,9425.04,8630.19
DRG309,PID220001,RIDMAWorcester,41,14274.04,6155.14,5494.85
DRG309,PID220019,RIDMAWorcester,15,10141.93,6131.33,5422.93
DRG309,PID220049,RIDMAWorcester,26,10895.5,5211.19,4733.5
DRG309,PID220095,RIDMAWorcester,26,10450.8,6237.46,5548.23
DRG309,PID220163,RIDMAWorcester,142,18780.14,9669.97,7331.63
DRG309,PID220176,RIDMAWorcester,41,8781.46,6445.39,5520.09
DRG310,PID220001,RIDMAWorcester,25,9464.92,4213.16,3075.56
DRG310,PID220019,RIDMAWorcester,36,7362.47,4163.08,3445.19
DRG310,PID220049,RIDMAWorcester,30,10528.73,3950.1,2519
DRG310,PID220058,RIDMAWorcester,16,11439.18,3677.25,2844.62
DRG310,PID220095,RIDMAWorcester,17,6221.64,4226.41,3172.29
DRG310,PID220163,RIDMAWorcester,123,12637.81,5835.61,4567.71
DRG310,PID220176,RIDMAWorcester,26,6810.26,4519.73,3385.15
DRG312,PID220001,RIDMAWorcester,18,14325.33,5322.55,4228.88
