drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID210007,RIDMDBaltimore,24,6774.25,6462.33,5228.08
DRG039,PID210008,RIDMDBaltimore,22,11013.4,10352.72,9533.81
DRG039,PID210009,RIDMDBaltimore,36,13676.72,12856.22,11891.22
DRG039,PID210011,RIDMDBaltimore,27,11332.77,10652.88,9823.85
DRG039,PID210015,RIDMDBaltimore,81,9103.14,8596.79,7340.71
DRG039,PID210029,RIDMDBaltimore,11,17955.63,16878.45,15855.18
DRG039,PID210033,RIDMDBaltimore,30,9376.9,8829,7742.33
DRG039,PID210043,RIDMDBaltimore,42,7807.97,7393.28,6166.92
DRG039,PID210044,RIDMDBaltimore,36,7171.41,6741.08,5833.63
DRG039,PID210048,RIDMDBaltimore,11,9530.81,8958.9,8250.18
DRG039,PID210049,RIDMDBaltimore,56,5981.05,5711.55,4348.53
DRG039,PID210056,RIDMDBaltimore,15,8636.86,8194.13,6793.33
DRG057,PID210002,RIDMDBaltimore,55,18303.49,17210.74,15860.05
DRG057,PID210006,RIDMDBaltimore,29,8005.58,7564.37,6791.34
DRG057,PID210007,RIDMDBaltimore,15,10105.53,9591,7988.73
DRG057,PID210008,RIDMDBaltimore,15,8467.4,7959.33,7215.33
DRG057,PID210009,RIDMDBaltimore,83,26402.79,24865.61,22873.49
DRG057,PID210011,RIDMDBaltimore,37,8090,7604.64,6845.83
DRG057,PID210012,RIDMDBaltimore,70,8232.28,7762.55,6745.31
DRG057,PID210015,RIDMDBaltimore,54,8639.83,8121.5,7350.01
DRG057,PID210024,RIDMDBaltimore,20,10584.6,9949.5,9163.5
DRG057,PID210029,RIDMDBaltimore,103,20942.98,19700.6,18407.07
DRG057,PID210033,RIDMDBaltimore,25,8188.32,7709.24,6780.36
DRG057,PID210034,RIDMDBaltimore,15,9540.06,9090.46,7031.46
DRG057,PID210037,RIDMDBaltimore,27,9378.59,8815.77,7904.07
DRG057,PID210038,RIDMDBaltimore,19,9748,9163.26,8632.1
DRG057,PID210040,RIDMDBaltimore,43,8152.3,7689.55,6637.32
DRG057,PID210043,RIDMDBaltimore,32,7409.87,6965.31,6122.31
DRG057,PID210044,RIDMDBaltimore,50,8673.5,8175.66,7245.36
DRG057,PID210048,RIDMDBaltimore,29,7903.03,7428.89,6612.48
DRG057,PID210049,RIDMDBaltimore,27,8965.74,8554.77,7220.37
DRG057,PID210056,RIDMDBaltimore,33,8184.33,7734.96,6916.63
DRG064,PID210002,RIDMDBaltimore,67,22332.07,21000.41,19982.2
DRG064,PID210007,RIDMDBaltimore,48,15722.47,14805.87,13797.64
DRG064,PID210008,RIDMDBaltimore,13,19657.07,18477.46,17957.46
DRG064,PID210009,RIDMDBaltimore,64,54052.21,50882.4,48632.28
DRG064,PID210011,RIDMDBaltimore,77,19029.87,17888.03,17189.68
DRG064,PID210012,RIDMDBaltimore,94,18889.03,17776.91,16810.9
DRG064,PID210015,RIDMDBaltimore,71,18388.95,17285.57,16399.49
DRG064,PID210024,RIDMDBaltimore,32,17420.78,16375.68,15674.18
DRG064,PID210029,RIDMDBaltimore,47,29603.02,27855.48,26214.29
DRG064,PID210033,RIDMDBaltimore,23,13804.26,13034.86,11101.04
DRG064,PID210034,RIDMDBaltimore,15,21219.53,19946.46,19196.06
DRG064,PID210037,RIDMDBaltimore,54,11347.7,10666.85,9957.66
DRG064,PID210038,RIDMDBaltimore,12,20978.91,19720.08,19159.41
DRG064,PID210040,RIDMDBaltimore,18,18586.83,17530.88,15181.22
DRG064,PID210043,RIDMDBaltimore,42,14734.92,13904.66,12627.95
DRG064,PID210044,RIDMDBaltimore,46,15253.52,14338.26,13630.86
DRG064,PID210048,RIDMDBaltimore,41,15820.43,14898.68,14092.97
DRG064,PID210049,RIDMDBaltimore,35,12500.88,11783.08,10714.14
DRG064,PID210056,RIDMDBaltimore,58,14509.7,13661.1,12954.93
DRG065,PID210002,RIDMDBaltimore,64,16653.12,15664,14614.2
DRG065,PID210006,RIDMDBaltimore,32,10653.5,10014.18,9205.56
DRG065,PID210007,RIDMDBaltimore,78,9866.94,9297.34,8065.97
DRG065,PID210008,RIDMDBaltimore,16,17689.75,16628.31,15856.06
DRG065,PID210009,RIDMDBaltimore,82,23181.7,21886.17,19610.52
DRG065,PID210011,RIDMDBaltimore,96,10519.12,9891.75,8914.2
DRG065,PID210012,RIDMDBaltimore,118,11464.31,10795.81,9800.79
DRG065,PID210013,RIDMDBaltimore,14,13475.57,12667,11943.85
DRG065,PID210015,RIDMDBaltimore,96,10378.48,9783.34,8780.37
DRG065,PID210024,RIDMDBaltimore,51,11003.52,10424.37,8998.27
DRG065,PID210029,RIDMDBaltimore,83,15769.16,14840.19,13953.57
DRG065,PID210030,RIDMDBaltimore,15,7542.8,7090.33,6113.53
DRG065,PID210033,RIDMDBaltimore,67,9387.26,8842.88,7745.25
DRG065,PID210034,RIDMDBaltimore,38,11540.89,10867.84,9937.84
DRG065,PID210037,RIDMDBaltimore,80,10172.63,9578.58,8529.83
DRG065,PID210038,RIDMDBaltimore,17,14572.11,13697.82,12834.05
DRG065,PID210040,RIDMDBaltimore,76,9792.19,9219.5,8254.03
DRG065,PID210043,RIDMDBaltimore,88,9305.9,8775.32,7801.18
DRG065,PID210044,RIDMDBaltimore,103,9541.81,8991.34,8006.36
DRG065,PID210048,RIDMDBaltimore,84,10149.8,9554.26,8566.07
DRG065,PID210049,RIDMDBaltimore,94,7226.74,6840.38,5629.38
DRG065,PID210056,RIDMDBaltimore,53,8609.2,8122.01,7126.37
DRG066,PID210002,RIDMDBaltimore,49,9975.87,9493.18,7261.1
DRG066,PID210006,RIDMDBaltimore,14,7755.5,7371,6287.42
DRG066,PID210007,RIDMDBaltimore,52,7871.38,7420.88,6267.32
DRG066,PID210008,RIDMDBaltimore,18,10426.44,9800.88,8362.22
DRG066,PID210009,RIDMDBaltimore,63,13478.36,12714.49,11398.5
DRG066,PID210011,RIDMDBaltimore,36,9192.22,8665.33,7536.8
DRG066,PID210012,RIDMDBaltimore,44,8527.52,8015.95,7019.86
DRG066,PID210015,RIDMDBaltimore,34,8405.41,7901.05,6941.17
DRG066,PID210024,RIDMDBaltimore,23,9620.39,9003.69,7237.56
DRG066,PID210029,RIDMDBaltimore,43,12445.27,11737.62,10551.16
DRG066,PID210030,RIDMDBaltimore,12,8468.91,7960.66,7030.66
DRG066,PID210033,RIDMDBaltimore,35,7165.34,6735.4,5868.54
DRG066,PID210034,RIDMDBaltimore,19,8578.31,8141.52,6541.05
DRG066,PID210037,RIDMDBaltimore,47,6843.91,6433.29,5592.36
DRG066,PID210040,RIDMDBaltimore,29,7979.27,7591.27,6364.37
DRG066,PID210043,RIDMDBaltimore,43,6211.48,5865.18,4817.51
DRG066,PID210044,RIDMDBaltimore,42,8232.3,7765.3,6613.02
DRG066,PID210048,RIDMDBaltimore,66,8792.75,8266.15,7276.03
DRG066,PID210049,RIDMDBaltimore,44,6928.7,6538.77,5525.22
DRG066,PID210056,RIDMDBaltimore,24,6575.29,6290.29,5156.08
DRG069,PID210002,RIDMDBaltimore,16,7736.18,7271.87,6287.37
DRG069,PID210006,RIDMDBaltimore,45,6564.15,6170.2,5302.55
DRG069,PID210007,RIDMDBaltimore,98,7137.02,6708.79,5709.74
DRG069,PID210008,RIDMDBaltimore,41,10186,9574.82,8695.21
DRG069,PID210009,RIDMDBaltimore,39,10832.28,10240.61,8550.48
DRG069,PID210011,RIDMDBaltimore,99,7903.93,7423.14,6418.51
DRG069,PID210012,RIDMDBaltimore,59,7807.91,7339.42,6389.32
DRG069,PID210015,RIDMDBaltimore,83,7107.43,6673.93,5649.5
DRG069,PID210024,RIDMDBaltimore,36,7108.55,6682.11,5806.11
DRG069,PID210029,RIDMDBaltimore,36,8103.69,7617.44,6739.8
DRG069,PID210030,RIDMDBaltimore,15,5781.4,5434.33,4310.86
DRG069,PID210033,RIDMDBaltimore,56,6920.26,6565.53,5464.37
DRG069,PID210034,RIDMDBaltimore,27,6878.88,6466.11,5426.25
DRG069,PID210037,RIDMDBaltimore,105,5749.82,5414.36,4505.63
DRG069,PID210038,RIDMDBaltimore,25,9475.08,8906.44,7917.96
DRG069,PID210040,RIDMDBaltimore,83,7034.78,6648.77,5381.65
DRG069,PID210043,RIDMDBaltimore,102,5244.67,4950.02,3951.99
DRG069,PID210044,RIDMDBaltimore,55,7541.9,7089.45,6152
DRG069,PID210048,RIDMDBaltimore,60,6589.58,6194.11,5287.08
DRG069,PID210049,RIDMDBaltimore,82,6199.37,5877.07,4706.87
DRG069,PID210056,RIDMDBaltimore,59,6281.11,5991.52,4766.25
DRG074,PID210002,RIDMDBaltimore,31,10428.22,9814,8732.38
DRG074,PID210007,RIDMDBaltimore,21,8468.85,8014.71,6878
DRG074,PID210008,RIDMDBaltimore,12,6630.33,6326.91,4585.91
