drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID80007,RIDMDSalisbury,41,39209.6,7217.19,5536.21
DRG039,PID210019,RIDMDSalisbury,62,8782.88,8331.82,6968.25
DRG057,PID210019,RIDMDSalisbury,25,7154.68,6725.36,5828.72
DRG057,PID210061,RIDMDSalisbury,18,7242.77,6808.05,5751.38
DRG064,PID80007,RIDMDSalisbury,30,55916.9,16870.23,13977.26
DRG064,PID210019,RIDMDSalisbury,82,15403.28,14492.79,13245.79
DRG064,PID210061,RIDMDSalisbury,19,9653.63,9074.42,8308.31
DRG065,PID80006,RIDMDSalisbury,20,17750.6,8708.5,7641.1
DRG065,PID80007,RIDMDSalisbury,48,25490.08,6849.47,5769.31
DRG065,PID210019,RIDMDSalisbury,133,9229.3,8704.48,7692.96
DRG065,PID210061,RIDMDSalisbury,46,6631.1,6281.08,5162.02
DRG066,PID80006,RIDMDSalisbury,13,15557.76,6305.23,5267.69
DRG066,PID80007,RIDMDSalisbury,32,19987.34,5154.25,3978
DRG066,PID210019,RIDMDSalisbury,57,6490.45,6180.4,4794.21
DRG066,PID210061,RIDMDSalisbury,27,5391.81,5110.33,3919
DRG069,PID80006,RIDMDSalisbury,14,13562.21,5725.64,4759.92
DRG069,PID80007,RIDMDSalisbury,34,18209.32,4602.26,3363.52
DRG069,PID210019,RIDMDSalisbury,130,7134.22,6727.23,5690.75
DRG069,PID210061,RIDMDSalisbury,30,4809.76,4599.56,3243.53
DRG074,PID210019,RIDMDSalisbury,16,7074.68,6720.93,5857.31
DRG101,PID80007,RIDMDSalisbury,15,19912.13,4507.26,3608.06
DRG101,PID210019,RIDMDSalisbury,20,5720.5,5416.6,4643.15
DRG101,PID210061,RIDMDSalisbury,17,6925.88,6510.41,5585.7
DRG149,PID210019,RIDMDSalisbury,35,5703.22,5360.97,4368.4
DRG176,PID80007,RIDMDSalisbury,32,22753.68,6837.75,5063.15
DRG176,PID210019,RIDMDSalisbury,40,11079.77,10455.57,9485.97
DRG176,PID210061,RIDMDSalisbury,17,6392.82,6009.35,5214.05
DRG177,PID80006,RIDMDSalisbury,34,23875.11,16474.73,14634.38
DRG177,PID80007,RIDMDSalisbury,72,40224.51,12414.27,11862.56
DRG177,PID210019,RIDMDSalisbury,41,20985.41,19918.26,16490.56
DRG177,PID210061,RIDMDSalisbury,12,19263,18107.33,17449.66
DRG178,PID80006,RIDMDSalisbury,16,19376.87,10905.87,10058.87
DRG178,PID80007,RIDMDSalisbury,15,27679.86,8918.6,8231.4
DRG178,PID210019,RIDMDSalisbury,53,15526.32,14594.73,13934.67
DRG178,PID210061,RIDMDSalisbury,11,8259.36,7763.72,7255
DRG189,PID80006,RIDMDSalisbury,93,17292.94,10030.94,9381.22
