drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID210004,RIDMDTakomaPark,12,11580.16,10885.08,9847.41
DRG057,PID210003,RIDMDTakomaPark,20,13751.7,12926.5,12171.2
DRG057,PID210004,RIDMDTakomaPark,33,13917.75,13082.66,10947.45
DRG057,PID210016,RIDMDTakomaPark,14,10815.78,10166.85,9607.71
DRG057,PID210018,RIDMDTakomaPark,22,6953.18,6536.04,5718.59
DRG057,PID210051,RIDMDTakomaPark,17,9345.52,8862.52,7763
DRG064,PID210003,RIDMDTakomaPark,32,23506.68,22096.28,21184.53
DRG064,PID210004,RIDMDTakomaPark,68,21853.82,20572.01,19412
DRG064,PID210016,RIDMDTakomaPark,26,23246.42,21895.11,20538.3
DRG064,PID210018,RIDMDTakomaPark,40,12872.55,12100.2,11228.5
DRG064,PID210051,RIDMDTakomaPark,22,17725.68,16797.54,14395.68
DRG064,PID210055,RIDMDTakomaPark,14,14679.57,13798.78,13315.92
DRG065,PID210003,RIDMDTakomaPark,20,13200.2,12408.05,11563.85
DRG065,PID210004,RIDMDTakomaPark,110,11064.33,10440.38,9341.73
DRG065,PID210016,RIDMDTakomaPark,49,12074.14,11401.08,10100.1
DRG065,PID210018,RIDMDTakomaPark,38,11483.36,10794.47,9905.84
DRG065,PID210051,RIDMDTakomaPark,46,9567.26,9041.78,7926.71
DRG065,PID210055,RIDMDTakomaPark,17,9045.17,8502.35,7703.29
DRG066,PID210003,RIDMDTakomaPark,14,9032.57,8490.64,7370.07
DRG066,PID210004,RIDMDTakomaPark,48,7378.68,6936.04,5928.62
DRG066,PID210016,RIDMDTakomaPark,21,8652.04,8237.57,6640.52
DRG066,PID210018,RIDMDTakomaPark,38,9468.36,8929.18,7410.55
DRG066,PID210051,RIDMDTakomaPark,23,6430.69,6044.91,5067.52
DRG069,PID210003,RIDMDTakomaPark,21,9883.04,9343.9,8034.33
DRG069,PID210004,RIDMDTakomaPark,94,6581.96,6211.11,5187.94
DRG069,PID210016,RIDMDTakomaPark,41,9584.48,9038.73,8058.65
DRG069,PID210018,RIDMDTakomaPark,62,7675.58,7215.01,6258.69
DRG069,PID210051,RIDMDTakomaPark,76,6106.34,5739.88,4762.3
DRG074,PID210003,RIDMDTakomaPark,13,8878.92,8346.07,7828.53
DRG074,PID210004,RIDMDTakomaPark,23,8692.91,8186.69,7061.34
DRG074,PID210018,RIDMDTakomaPark,13,8922.76,8471.76,7410.07
DRG074,PID210051,RIDMDTakomaPark,25,6808.28,6445.2,5187.96
DRG101,PID210003,RIDMDTakomaPark,32,12257.53,11594.15,10441.4
DRG101,PID210004,RIDMDTakomaPark,59,7978.11,7499.47,6585.03
DRG101,PID210016,RIDMDTakomaPark,38,7289.73,6852.34,6053.92
DRG101,PID210018,RIDMDTakomaPark,11,7052.9,6732.54,5100.63
DRG101,PID210051,RIDMDTakomaPark,36,6716.08,6375.13,5464.33
DRG101,PID210055,RIDMDTakomaPark,11,7275.9,6861.09,5399.45
DRG149,PID210003,RIDMDTakomaPark,21,8888.76,8355.57,7392.9
DRG149,PID210004,RIDMDTakomaPark,29,4931.48,4635.58,3667.44
DRG149,PID210016,RIDMDTakomaPark,30,6920.73,6548.83,5501.66
DRG149,PID210018,RIDMDTakomaPark,41,6601.04,6231.97,5103.39
DRG149,PID210051,RIDMDTakomaPark,68,4953.89,4706.91,3336.19
DRG176,PID210003,RIDMDTakomaPark,12,12048.66,11325.83,10390.5
DRG176,PID210004,RIDMDTakomaPark,22,6915.04,6619.13,5190.81
DRG176,PID210016,RIDMDTakomaPark,17,12309,11570.47,10708.58
DRG176,PID210018,RIDMDTakomaPark,25,10629.64,10037.24,9020.04
DRG176,PID210051,RIDMDTakomaPark,13,8746.3,8221.61,7355.76
DRG177,PID210004,RIDMDTakomaPark,32,20877.71,19625.03,18869.46
DRG177,PID210016,RIDMDTakomaPark,15,18964.86,17841.26,16134.86
DRG177,PID210018,RIDMDTakomaPark,25,15726.24,14782.6,14221.4
