drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID200033,RIDMEBangor,75,16001.94,7225.66,5446.48
DRG057,PID200001,RIDMEBangor,13,9367.23,5183.46,4230.53
DRG057,PID200033,RIDMEBangor,15,14009.4,6190.8,5367.06
DRG057,PID200050,RIDMEBangor,12,20536.16,6009,5257
DRG064,PID200001,RIDMEBangor,12,20932.41,10830.83,9987.16
DRG064,PID200033,RIDMEBangor,68,25419.39,12874.69,12082.7
DRG064,PID200050,RIDMEBangor,11,25718.72,10812.63,9998.09
DRG065,PID200001,RIDMEBangor,27,16421.07,6581.14,5749.74
DRG065,PID200031,RIDMEBangor,14,12065.78,6689.42,5730.57
DRG065,PID200033,RIDMEBangor,89,15614.51,7809.76,6593.69
DRG065,PID200050,RIDMEBangor,15,16932.53,7203.06,6301.73
DRG066,PID200001,RIDMEBangor,14,14878.71,4725.85,3322.14
DRG066,PID200033,RIDMEBangor,38,11333.68,5322.39,4346.07
DRG069,PID200001,RIDMEBangor,14,7864.28,4118.35,3473.78
DRG069,PID200033,RIDMEBangor,48,10605.56,4822.06,3933.22
DRG069,PID200052,RIDMEBangor,11,9949,6724,5597.81
DRG074,PID200033,RIDMEBangor,13,11948.38,5664,5061.84
DRG101,PID200033,RIDMEBangor,44,14273.52,5103.56,3968.93
DRG149,PID200033,RIDMEBangor,20,10168.7,4266.25,3162.1
DRG176,PID200001,RIDMEBangor,12,14208.83,6029.5,5280.16
DRG176,PID200033,RIDMEBangor,31,16646.77,6985.32,6116.16
DRG177,PID200001,RIDMEBangor,15,26974.4,11792.93,11189.2
DRG177,PID200018,RIDMEBangor,12,62028.91,17068.08,16224.41
DRG177,PID200033,RIDMEBangor,36,28443.36,13107.83,12215.61
DRG178,PID200001,RIDMEBangor,24,17361.37,8211.66,7695.5
DRG178,PID200031,RIDMEBangor,18,17379.94,9516.27,8890.94
DRG178,PID200033,RIDMEBangor,25,18960,9541.56,8822.2
DRG178,PID200052,RIDMEBangor,13,14945.76,13163.3,12556.23
DRG189,PID200018,RIDMEBangor,26,17972.34,9503.88,8721.42
DRG189,PID200031,RIDMEBangor,17,21391.05,8852.29,6827.35
