drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID200009,RIDMEPortland,91,11722.21,7322.59,5794.6
DRG039,PID200024,RIDMEPortland,39,15717.82,6361.28,5470.51
DRG057,PID200009,RIDMEPortland,51,22894.86,8761.52,7007.07
DRG057,PID200020,RIDMEPortland,14,16138.92,5036.35,4151.5
DRG057,PID200039,RIDMEPortland,19,20934.63,6196.47,5249.89
DRG057,PID200063,RIDMEPortland,17,15566.35,6529.88,5673.64
DRG064,PID200009,RIDMEPortland,81,28895.55,14472.24,12226.51
DRG064,PID200019,RIDMEPortland,15,34343.06,11018.26,9968.13
DRG064,PID200024,RIDMEPortland,29,31019.62,12390.17,11536.93
DRG064,PID200039,RIDMEPortland,28,31036.85,12819.42,12017.75
DRG064,PID200063,RIDMEPortland,11,30652.81,12940.45,11917.18
DRG065,PID200002,RIDMEPortland,15,17518.46,10076.4,9181.46
DRG065,PID200008,RIDMEPortland,26,13962.46,6570.11,5750.26
DRG065,PID200009,RIDMEPortland,86,20009.61,8935.72,6696.4
DRG065,PID200019,RIDMEPortland,49,17351.26,6682.77,5742.12
DRG065,PID200020,RIDMEPortland,19,25405.47,7365.05,6297.63
DRG065,PID200021,RIDMEPortland,29,16913.93,6870.1,5903.06
DRG065,PID200024,RIDMEPortland,52,15627.86,7205.78,6368.8
DRG065,PID200034,RIDMEPortland,27,17199.55,7569.62,6738.22
DRG065,PID200037,RIDMEPortland,14,18406,8574.28,7700.85
DRG065,PID200039,RIDMEPortland,60,17886.23,7499.68,6242.48
DRG065,PID200040,RIDMEPortland,11,13905.54,6576.63,5653.36
DRG065,PID200063,RIDMEPortland,35,16500.02,7885,7143.85
DRG065,PID300014,RIDMEPortland,20,18471.6,6993.65,6034.65
DRG065,PID300018,RIDMEPortland,40,20252.42,7322.25,5844.5
DRG066,PID200008,RIDMEPortland,11,10504.54,5320.54,3598.72
DRG066,PID200009,RIDMEPortland,34,15750.76,6768.64,4589.61
DRG066,PID200019,RIDMEPortland,18,13863.38,4772.66,3840
DRG066,PID200020,RIDMEPortland,19,13682.21,4503.68,3671.26
DRG066,PID200024,RIDMEPortland,25,11925.8,5095,4197.08
DRG066,PID200039,RIDMEPortland,23,13204.43,5624.13,4066.95
DRG066,PID200063,RIDMEPortland,23,11606.95,5909.82,4546.86
DRG066,PID300018,RIDMEPortland,17,18457,4888.88,4099.23
DRG069,PID200008,RIDMEPortland,18,13234.83,4459.44,3523.22
DRG069,PID200009,RIDMEPortland,36,13881.27,5489.08,4164
DRG069,PID200019,RIDMEPortland,33,13647.96,4422.36,3499.09
DRG069,PID200020,RIDMEPortland,36,14038.86,4200.05,3061.36
DRG069,PID200024,RIDMEPortland,15,10070.6,4650.86,3827.13
DRG069,PID200039,RIDMEPortland,32,11685.78,4799.62,3586.34
