drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID230046,RIDMIAnnArbor,50,22439.9,9834.92,7797.68
DRG039,PID230092,RIDMIAnnArbor,22,20394.5,6364.13,4986.81
DRG039,PID230151,RIDMIAnnArbor,23,16450.91,8475,6895.52
DRG039,PID230156,RIDMIAnnArbor,49,31979.65,6600.12,5552.59
DRG057,PID230002,RIDMIAnnArbor,28,11901.82,5529.17,4325.82
DRG057,PID230046,RIDMIAnnArbor,39,25595.66,11837.58,7741.84
DRG057,PID230092,RIDMIAnnArbor,27,16315.03,5298.66,4321.7
DRG057,PID230142,RIDMIAnnArbor,14,13278.35,5737.21,5018.64
DRG057,PID230151,RIDMIAnnArbor,51,9357.62,7260.05,6088.45
DRG057,PID230156,RIDMIAnnArbor,30,11562.86,5829.23,4932.16
DRG064,PID230002,RIDMIAnnArbor,40,21713.07,10566.97,9850.92
DRG064,PID230046,RIDMIAnnArbor,43,55104.83,19263.55,18372.97
DRG064,PID230092,RIDMIAnnArbor,47,34732.74,10938.21,10103.4
DRG064,PID230142,RIDMIAnnArbor,29,29568.06,11496.27,10684.27
DRG064,PID230151,RIDMIAnnArbor,29,19299.41,14586.65,13851.62
DRG064,PID230156,RIDMIAnnArbor,76,29916.69,11993.82,11107.3
DRG065,PID230002,RIDMIAnnArbor,85,17558.29,6746.75,5858.6
DRG065,PID230005,RIDMIAnnArbor,19,21629.84,6598.1,5592
DRG065,PID230046,RIDMIAnnArbor,71,38730.43,12405.61,10828.81
DRG065,PID230069,RIDMIAnnArbor,16,18005.5,7569.12,6447.12
DRG065,PID230092,RIDMIAnnArbor,77,21578.06,7146.92,5661.12
DRG065,PID230142,RIDMIAnnArbor,29,20754.89,7419.82,6470.1
DRG065,PID230151,RIDMIAnnArbor,67,15739.14,9426.4,8572.37
DRG065,PID230156,RIDMIAnnArbor,120,16580.59,7587.99,6201.07
DRG065,PID230259,RIDMIAnnArbor,16,16840.43,6762.06,5638.06
DRG066,PID230002,RIDMIAnnArbor,33,12507.9,4712.75,3792.39
DRG066,PID230005,RIDMIAnnArbor,19,17710.47,4620.31,3556.31
DRG066,PID230046,RIDMIAnnArbor,54,23643.81,9576.87,6343.07
DRG066,PID230069,RIDMIAnnArbor,17,16273.35,5972.05,4039.41
DRG066,PID230092,RIDMIAnnArbor,32,18735.06,4752.28,3764.78
DRG066,PID230142,RIDMIAnnArbor,26,17904.73,5206.26,4255.8
DRG066,PID230151,RIDMIAnnArbor,20,14176.4,6819.6,5807.2
DRG066,PID230156,RIDMIAnnArbor,65,14055.92,5316.15,4194.53
DRG069,PID230002,RIDMIAnnArbor,119,11418.25,4349.66,3361.41
DRG069,PID230005,RIDMIAnnArbor,30,17224.26,4236.06,2968.3
DRG069,PID230046,RIDMIAnnArbor,47,15922.59,6707.25,5822.91
DRG069,PID230069,RIDMIAnnArbor,43,14296.37,5449.74,3636.11
DRG069,PID230092,RIDMIAnnArbor,96,17910.01,4366.46,3372.17
DRG069,PID230142,RIDMIAnnArbor,34,14346.52,4686.23,3828.11
DRG069,PID230151,RIDMIAnnArbor,67,9468.41,5955.89,5203.71
DRG069,PID230156,RIDMIAnnArbor,110,12879.06,4948.41,3680.69
