drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID230020,RIDMIDearborn,34,34338.47,7179.5,6289.97
DRG039,PID230146,RIDMIDearborn,19,25710.78,6327.68,5439.05
DRG039,PID230244,RIDMIDearborn,21,12591.04,7145.33,6288.95
DRG057,PID230020,RIDMIDearborn,49,16753.91,6694.59,5960.48
DRG057,PID230146,RIDMIDearborn,23,13680.69,5824.26,4562.39
DRG057,PID230176,RIDMIDearborn,19,17345.36,7885.63,4726.26
DRG057,PID230244,RIDMIDearborn,13,15801.84,7657,4935.61
DRG064,PID230020,RIDMIDearborn,110,30751.9,13175.21,12555.29
DRG064,PID230146,RIDMIDearborn,45,28177.24,11953.93,11230.08
DRG064,PID230176,RIDMIDearborn,26,28881.3,11929.19,11152.88
DRG064,PID230244,RIDMIDearborn,18,18776.77,13061.77,12188.44
DRG064,PID230270,RIDMIDearborn,21,23591.61,10976.52,10710.04
DRG065,PID230020,RIDMIDearborn,99,22958.29,8259.64,7360.58
DRG065,PID230146,RIDMIDearborn,64,16374.54,7066.37,6249.45
DRG065,PID230176,RIDMIDearborn,31,23469.19,7731.8,6751.03
DRG065,PID230244,RIDMIDearborn,45,14096.82,8331.46,7458.13
DRG065,PID230270,RIDMIDearborn,17,21286.05,6887.35,6079.64
DRG066,PID230020,RIDMIDearborn,58,16126.25,5785.91,4913.7
DRG066,PID230146,RIDMIDearborn,22,13276.59,5424.9,4156
DRG066,PID230176,RIDMIDearborn,12,12578.5,5341.75,4589.75
DRG066,PID230244,RIDMIDearborn,24,11573.83,5875.66,5080.5
DRG066,PID230270,RIDMIDearborn,11,17135.27,5081.36,4263.9
DRG069,PID230020,RIDMIDearborn,101,15408.21,5270.34,4327.49
DRG069,PID230146,RIDMIDearborn,100,10263.62,4557.93,3694.93
DRG069,PID230176,RIDMIDearborn,44,14952.61,5009.79,3858.43
DRG069,PID230244,RIDMIDearborn,36,10551.05,5340.55,4420.05
DRG069,PID230270,RIDMIDearborn,25,13360,4502.4,3601.92
DRG074,PID230020,RIDMIDearborn,33,18122.81,6274.63,5519.15
DRG074,PID230146,RIDMIDearborn,20,10348.95,5755.95,3786.45
DRG074,PID230176,RIDMIDearborn,15,14523.26,5752.86,4849.4
DRG074,PID230270,RIDMIDearborn,18,14483.77,5326.38,4638.16
DRG101,PID230020,RIDMIDearborn,64,11831.14,5557.6,4710.9
DRG101,PID230146,RIDMIDearborn,47,9377.85,4793.74,3859.51
DRG101,PID230176,RIDMIDearborn,21,14418.14,5063.47,4314.9
DRG101,PID230244,RIDMIDearborn,35,9665.25,5528.08,4790.6
DRG101,PID230270,RIDMIDearborn,22,12841.59,4727.27,4012.72
DRG149,PID230020,RIDMIDearborn,37,11404.1,4596.43,3565.72
DRG149,PID230146,RIDMIDearborn,29,10014.41,4087.24,2831.1
DRG176,PID230020,RIDMIDearborn,25,24288.44,9765.6,6556.52
DRG176,PID230146,RIDMIDearborn,23,18334.43,6757.26,5851.13
