drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID230031,RIDMIDetroit,18,22357.55,6001.66,4281.77
DRG039,PID230047,RIDMIDetroit,26,26024.88,6293.92,5517.61
DRG039,PID230089,RIDMIDetroit,12,24093.5,6239.33,4790.33
DRG039,PID230104,RIDMIDetroit,17,27379.88,10062.76,9139.94
DRG039,PID230165,RIDMIDetroit,32,27995.59,7926.62,6459.46
DRG039,PID230195,RIDMIDetroit,14,23259.85,6661.78,5707.5
DRG039,PID230216,RIDMIDetroit,23,18607.73,5952.08,4828.43
DRG039,PID230227,RIDMIDetroit,28,27193.89,6684.85,5761.85
DRG057,PID230024,RIDMIDetroit,22,14041.63,8260.9,7392
DRG057,PID230047,RIDMIDetroit,52,10859.34,5630.84,4941.61
DRG057,PID230053,RIDMIDetroit,48,16616.08,8552.45,7733.7
DRG057,PID230089,RIDMIDetroit,21,13145.04,5524.19,4777.14
DRG057,PID230104,RIDMIDetroit,16,23163.43,11009.75,8881
DRG057,PID230165,RIDMIDetroit,31,19785.25,7271.25,6617.06
DRG057,PID230195,RIDMIDetroit,71,14459.28,6146.14,5341.57
DRG057,PID230216,RIDMIDetroit,20,17036.5,5422.5,4636.5
DRG057,PID230227,RIDMIDetroit,19,11030.15,5896.68,5365.52
DRG057,PID230273,RIDMIDetroit,23,18316.91,8474,7592.26
DRG064,PID230024,RIDMIDetroit,54,26476.33,15694.98,14861.2
DRG064,PID230031,RIDMIDetroit,18,14995.05,9741.05,9054.61
DRG064,PID230047,RIDMIDetroit,57,24892.49,11157.57,10488.52
DRG064,PID230053,RIDMIDetroit,91,53039.65,18943.63,17826.12
DRG064,PID230089,RIDMIDetroit,24,22790.33,10452.7,9652.2
DRG064,PID230104,RIDMIDetroit,19,35396.47,20790.57,20257.73
DRG064,PID230165,RIDMIDetroit,93,28526.19,14348.26,13562.67
DRG064,PID230195,RIDMIDetroit,72,36421.2,12022.69,11248.44
DRG064,PID230216,RIDMIDetroit,31,31154.61,10983.51,10223.9
DRG064,PID230227,RIDMIDetroit,83,25617.39,12359.77,11559.33
DRG064,PID230273,RIDMIDetroit,45,69861.42,20552.04,19753.42
DRG065,PID230024,RIDMIDetroit,108,17861.49,9933.15,8777.57
DRG065,PID230031,RIDMIDetroit,45,12606.44,6626.68,5427.93
DRG065,PID230047,RIDMIDetroit,108,15929.23,7395.62,5988.63
DRG065,PID230053,RIDMIDetroit,129,34296.87,10654.53,9660.47
DRG065,PID230089,RIDMIDetroit,26,15211.69,6663.69,5311.84
DRG065,PID230104,RIDMIDetroit,36,22160.22,12210.86,11156.75
DRG065,PID230165,RIDMIDetroit,160,22660.31,8994.91,8062.13
DRG065,PID230195,RIDMIDetroit,97,21366.44,7586.77,6535
DRG065,PID230216,RIDMIDetroit,65,18684.7,6917.9,5821.16
DRG065,PID230227,RIDMIDetroit,57,13717.31,7280.05,6433.38
DRG065,PID230241,RIDMIDetroit,15,11060,6445.66,5544.33
DRG065,PID230273,RIDMIDetroit,49,39802.48,11539.65,10655.4
DRG066,PID230024,RIDMIDetroit,28,14924.85,7361.42,6314.85
DRG066,PID230047,RIDMIDetroit,59,11082.52,5285.2,3938.55
DRG066,PID230053,RIDMIDetroit,40,25321.85,7511.72,6588.97
DRG066,PID230089,RIDMIDetroit,13,13398.61,5006.76,3966.76
DRG066,PID230104,RIDMIDetroit,21,19253.47,8481.8,7409.8
DRG066,PID230165,RIDMIDetroit,30,18325.03,6715.86,5307.7
DRG066,PID230195,RIDMIDetroit,29,18290.41,5486.79,4517.55
DRG066,PID230216,RIDMIDetroit,25,14681.56,4840.2,3565.76
DRG066,PID230227,RIDMIDetroit,19,12028.05,5497.1,4666.36
DRG066,PID230273,RIDMIDetroit,28,24872.14,8139.14,7179.14
DRG069,PID230024,RIDMIDetroit,62,14980.56,6656.16,5860.54
DRG069,PID230031,RIDMIDetroit,38,9951.21,4209.13,3065.42
DRG069,PID230047,RIDMIDetroit,137,10282.13,4678.85,3588.43
DRG069,PID230053,RIDMIDetroit,50,19245.64,6693.52,5727.2
DRG069,PID230089,RIDMIDetroit,38,11470.31,4448.18,3532.28
DRG069,PID230104,RIDMIDetroit,71,18724.66,7851.95,6810.66
DRG069,PID230165,RIDMIDetroit,116,16380.72,5881.37,4834.5
DRG069,PID230195,RIDMIDetroit,115,14126.83,4900.06,3895
DRG069,PID230216,RIDMIDetroit,109,13110.11,4312.68,3371.5
DRG069,PID230227,RIDMIDetroit,87,12451.82,4969.5,3985.56
DRG069,PID230241,RIDMIDetroit,17,9733.41,4177.64,3186.35
DRG069,PID230273,RIDMIDetroit,21,19257.8,7219.14,6259.52
DRG074,PID230024,RIDMIDetroit,27,12112.11,7684.44,7062.66
DRG074,PID230047,RIDMIDetroit,53,11605.07,5381.45,4585.05
DRG074,PID230053,RIDMIDetroit,49,16750.53,8259.81,7103.18
DRG074,PID230089,RIDMIDetroit,25,12216.32,5594.68,4070.16
DRG074,PID230104,RIDMIDetroit,37,19657.32,9052.72,8504.62
DRG074,PID230165,RIDMIDetroit,41,17733.39,7058.29,6052.63
DRG074,PID230195,RIDMIDetroit,57,13924.05,5734.56,4996
DRG074,PID230216,RIDMIDetroit,18,15835.77,5034.16,4096.16
DRG074,PID230227,RIDMIDetroit,23,13371.91,5825.43,4849.43
DRG074,PID230273,RIDMIDetroit,18,22204.94,8635.11,7952.22
DRG101,PID230024,RIDMIDetroit,125,13661.63,6890.36,6033.2
