drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID230141,RIDMIFlint,36,26176.02,7306.27,6245.16
DRG039,PID230197,RIDMIFlint,45,24363.53,7618.2,6596.77
DRG057,PID230141,RIDMIFlint,41,13212.36,6658.97,5625.31
DRG057,PID230197,RIDMIFlint,24,14878.62,6985.29,6142.95
DRG064,PID230132,RIDMIFlint,26,60778.11,19498,18678.15
DRG064,PID230141,RIDMIFlint,72,28611.72,13449.68,12618.36
DRG064,PID230193,RIDMIFlint,34,28172.2,10597.85,9577.97
DRG064,PID230197,RIDMIFlint,88,28258.81,13667.12,12894.69
DRG065,PID230132,RIDMIFlint,33,30289.39,11386.24,9791.9
DRG065,PID230141,RIDMIFlint,111,20126.48,8363.82,7435.42
DRG065,PID230193,RIDMIFlint,15,17205.8,6671.06,5702.8
DRG065,PID230197,RIDMIFlint,127,18216.59,8751,7762.69
DRG066,PID230141,RIDMIFlint,25,15908.92,6132.6,4784.72
DRG066,PID230197,RIDMIFlint,24,14042.87,6237.58,5163.41
DRG069,PID230132,RIDMIFlint,52,18842.15,6923.76,6038
DRG069,PID230141,RIDMIFlint,143,13678.06,5351.32,4448.58
DRG069,PID230193,RIDMIFlint,38,14533.89,4339.6,3285.73
DRG069,PID230197,RIDMIFlint,44,13589.75,5605.61,4605.88
DRG074,PID230132,RIDMIFlint,15,18593.6,8158.8,7567.86
DRG074,PID230141,RIDMIFlint,46,16893.71,6338.45,5582.54
DRG101,PID230132,RIDMIFlint,52,16244.57,7103.21,6523.44
DRG101,PID230141,RIDMIFlint,47,11818.82,5514.74,4771.51
DRG101,PID230193,RIDMIFlint,12,10789.66,4476.25,3535.58
DRG101,PID230197,RIDMIFlint,33,14443.21,5888.42,4871.93
DRG149,PID230141,RIDMIFlint,21,15805.85,4718.14,3809.38
DRG149,PID230197,RIDMIFlint,16,19039.56,4998.93,3872.93
DRG176,PID230141,RIDMIFlint,26,20705.42,7823.34,6909.53
DRG176,PID230197,RIDMIFlint,17,20861.41,8342.23,7413.76
DRG177,PID230132,RIDMIFlint,12,50787.41,20402.58,19839.33
DRG177,PID230141,RIDMIFlint,54,29812.46,14388.09,13624.22
DRG177,PID230193,RIDMIFlint,22,39123.04,11388.63,10725.54
DRG177,PID230197,RIDMIFlint,230,38938.71,15735.2,14976.9
DRG178,PID230141,RIDMIFlint,22,18857.77,9744.4,8901.95
DRG178,PID230193,RIDMIFlint,13,24581.3,8319.92,7889.46
DRG178,PID230197,RIDMIFlint,55,26474.83,11347.21,10842.47
DRG189,PID230132,RIDMIFlint,22,43631.27,12668.81,11749.9
DRG189,PID230141,RIDMIFlint,71,23418.26,9384.32,8627.78
DRG189,PID230193,RIDMIFlint,47,26317.78,7518.06,6630.42
DRG189,PID230197,RIDMIFlint,66,25297.98,9928.98,9213.95
DRG190,PID230132,RIDMIFlint,91,27857.19,11624.54,10882.04
DRG190,PID230141,RIDMIFlint,195,16987.13,8673.83,7843.29
DRG190,PID230193,RIDMIFlint,69,23410.72,6839.53,6003.84
DRG190,PID230197,RIDMIFlint,155,21922.1,9132.38,8354.07
DRG191,PID230132,RIDMIFlint,52,23658.86,9457.82,8702.05
DRG191,PID230141,RIDMIFlint,184,13476.8,6987.75,6278.97
DRG191,PID230193,RIDMIFlint,70,17140.94,5616.7,4737.77
DRG191,PID230197,RIDMIFlint,60,18356,7494.31,6597.78
DRG192,PID230132,RIDMIFlint,55,17731.85,7009.98,6131.36
DRG192,PID230141,RIDMIFlint,64,11713.92,5352.93,4376.75
DRG192,PID230193,RIDMIFlint,43,13343.69,4137.02,3223.81
DRG192,PID230197,RIDMIFlint,26,17303.3,5681.5,4861.65
DRG193,PID230132,RIDMIFlint,59,39273.74,14607.69,13782.76
DRG193,PID230141,RIDMIFlint,106,23021.83,10546.61,9730.26
DRG193,PID230193,RIDMIFlint,62,24143.75,8610.16,7059.51
DRG193,PID230197,RIDMIFlint,163,25869.98,11250.72,10423.63
DRG194,PID230132,RIDMIFlint,47,22222.97,9946.61,9110.44
DRG194,PID230141,RIDMIFlint,66,13470.69,7312.54,6442.45
DRG194,PID230193,RIDMIFlint,52,17527.3,5850.01,4985.4
DRG194,PID230197,RIDMIFlint,65,19781.9,7970.43,6795.26
DRG195,PID230132,RIDMIFlint,26,15188.11,6893.19,6027.34
DRG195,PID230141,RIDMIFlint,17,10033.82,5256.52,4331.82
DRG195,PID230193,RIDMIFlint,23,12399.17,4042.47,3122.65
DRG202,PID230132,RIDMIFlint,12,17680.25,8111,6987
DRG202,PID230141,RIDMIFlint,41,12395.58,6193.68,5397.68
DRG202,PID230193,RIDMIFlint,17,16530,4903.35,4237.47
DRG202,PID230197,RIDMIFlint,19,14231.21,6498.05,5554.89
DRG203,PID230132,RIDMIFlint,20,14929.2,5904.05,4948.25
DRG203,PID230141,RIDMIFlint,17,8879.52,4475.64,3615.64
DRG207,PID230132,RIDMIFlint,27,132832.44,51644.29,50808.18
DRG207,PID230141,RIDMIFlint,27,80686.59,36669.55,35817.77
DRG207,PID230197,RIDMIFlint,33,105539.45,39528.33,37355.63
DRG208,PID230132,RIDMIFlint,53,51848.73,21775.11,20045.32
DRG208,PID230141,RIDMIFlint,99,40701.49,16411.9,15560.71
DRG208,PID230193,RIDMIFlint,23,71551.08,14428.73,13693.26
DRG208,PID230197,RIDMIFlint,102,50744.79,17553.22,16749.34
DRG238,PID230141,RIDMIFlint,27,84689.33,22515.59,21730.81
DRG238,PID230197,RIDMIFlint,17,59006,23045.35,22061.58
DRG243,PID230141,RIDMIFlint,60,68914.5,19125.66,18199.36
DRG243,PID230197,RIDMIFlint,32,64303.87,21320.68,18341.5
DRG244,PID230141,RIDMIFlint,22,62966.9,14814.4,13994.04
DRG244,PID230197,RIDMIFlint,12,58868.83,16102.75,13240.91
DRG246,PID230141,RIDMIFlint,54,127764.11,26397.4,25141.81
DRG246,PID230197,RIDMIFlint,31,55339.67,23848.06,22905.87
DRG247,PID230141,RIDMIFlint,126,82836.37,14815.56,12846.91
DRG247,PID230197,RIDMIFlint,74,41037.39,15063.29,13412.6
DRG249,PID230141,RIDMIFlint,28,68361.96,13051.78,11562.25
DRG249,PID230197,RIDMIFlint,23,42528.3,13427.65,12450.26
DRG251,PID230141,RIDMIFlint,24,51107.83,13028.33,12140.16
DRG251,PID230197,RIDMIFlint,14,38815.64,13465.85,12426.14
DRG252,PID230132,RIDMIFlint,26,83687.88,31907.88,30325.19
DRG252,PID230141,RIDMIFlint,40,75821.62,21694.25,20936.52
DRG252,PID230197,RIDMIFlint,24,47720.29,22589.37,21853.16
DRG253,PID230132,RIDMIFlint,13,61168.84,22793.38,22104.15
DRG253,PID230141,RIDMIFlint,28,56010.07,17372.53,16449.53
DRG253,PID230197,RIDMIFlint,36,44004.94,18342.88,16967.61
DRG254,PID230141,RIDMIFlint,16,37241.56,11608.18,10698.43
DRG280,PID230132,RIDMIFlint,38,61874.86,19385.15,18866.36
DRG280,PID230141,RIDMIFlint,93,36240.02,13285.47,12639.43
DRG280,PID230193,RIDMIFlint,46,34384.6,10137.34,9330.13
DRG280,PID230197,RIDMIFlint,82,32481.03,13590.43,12677.87
DRG281,PID230132,RIDMIFlint,21,39093.57,11277.19,10847.47
DRG281,PID230141,RIDMIFlint,38,33446.23,8759.5,7900.65
DRG281,PID230193,RIDMIFlint,13,15346.69,6278.38,5327.92
DRG281,PID230197,RIDMIFlint,47,22235.36,8874.23,7853.42
DRG282,PID230132,RIDMIFlint,15,31019.26,10229.26,6475.13
DRG282,PID230141,RIDMIFlint,14,26615.07,5965.71,5328
DRG282,PID230193,RIDMIFlint,18,13849.94,4760.61,3391.44
DRG286,PID230132,RIDMIFlint,24,41603.25,18835.58,18007.37
DRG286,PID230141,RIDMIFlint,51,40128.54,14770.01,13732.41
DRG286,PID230197,RIDMIFlint,27,36522.55,15257.55,14151.59
DRG287,PID230132,RIDMIFlint,45,33176.91,10255.91,9377.6
DRG287,PID230141,RIDMIFlint,127,26731.8,7965.6,6950.52
DRG287,PID230197,RIDMIFlint,85,22510.94,8395.3,7331.47
DRG291,PID230132,RIDMIFlint,104,33406.24,14893.76,14162.25
DRG291,PID230141,RIDMIFlint,300,24131.31,10669.42,10007.42
DRG291,PID230193,RIDMIFlint,80,29276.46,8779.32,7791.25
DRG291,PID230197,RIDMIFlint,303,25895.36,11357.84,10600.72
DRG292,PID230132,RIDMIFlint,116,20863.33,9897.31,9212.44
DRG292,PID230141,RIDMIFlint,235,14847.57,7447.56,6769.64
DRG292,PID230193,RIDMIFlint,53,18266.73,5906.41,5099.01
DRG292,PID230197,RIDMIFlint,112,16703.29,7885.69,7105.58
DRG293,PID230132,RIDMIFlint,34,15880.14,6554.11,5862.47
DRG293,PID230141,RIDMIFlint,57,10987.42,5022.31,4292.56
DRG293,PID230193,RIDMIFlint,14,16163.78,3995.57,3029.85
DRG293,PID230197,RIDMIFlint,23,13670.6,5372.95,4536.26
DRG300,PID230132,RIDMIFlint,16,31442.43,10142.93,9512.12
DRG300,PID230141,RIDMIFlint,65,15678.3,7028.38,6241.15
DRG300,PID230193,RIDMIFlint,14,16526.42,5501.14,4697.14
DRG300,PID230197,RIDMIFlint,66,16864.95,7507,6855.31
DRG301,PID230132,RIDMIFlint,15,15556.73,6641.66,5667
DRG301,PID230141,RIDMIFlint,28,12457.6,4962.75,4201.46
DRG301,PID230193,RIDMIFlint,14,11470.71,3850.21,2889.07
DRG301,PID230197,RIDMIFlint,12,10614.5,5236.91,4490.25
DRG303,PID230132,RIDMIFlint,17,18975.76,5900,5112.29
DRG303,PID230141,RIDMIFlint,174,9932.78,4275.41,3430.82
DRG303,PID230193,RIDMIFlint,14,13801.71,3548,2105.14
DRG303,PID230197,RIDMIFlint,66,12805.66,4501.15,3582.72
DRG305,PID230141,RIDMIFlint,71,10651.32,4481.14,3595.95
DRG305,PID230193,RIDMIFlint,12,12587.83,3562.75,2538.41
DRG305,PID230197,RIDMIFlint,16,13197.31,4724.81,3669.56
DRG308,PID230132,RIDMIFlint,30,27310.1,11757.5,10984.4
DRG308,PID230141,RIDMIFlint,119,17500.24,8990.47,8246.24
DRG308,PID230193,RIDMIFlint,29,22115.27,6954.51,6139.2
DRG308,PID230197,RIDMIFlint,87,19735.06,9522.71,8510.79
DRG309,PID230132,RIDMIFlint,21,18466.71,8133.8,7355.23
DRG309,PID230141,RIDMIFlint,130,12533.97,6176.91,5294.2
DRG309,PID230193,RIDMIFlint,45,18351.35,4936.82,4054.84
DRG309,PID230197,RIDMIFlint,116,14667.4,6540.32,5479.19
DRG310,PID230132,RIDMIFlint,15,13677.93,5552.26,4588.26
DRG310,PID230141,RIDMIFlint,79,10975.72,4235.87,3262.39
DRG310,PID230193,RIDMIFlint,26,11477.8,3330.92,2638
DRG310,PID230197,RIDMIFlint,51,12546.05,4594.49,3356.86
DRG312,PID230132,RIDMIFlint,87,15297.43,6818.79,5932.71
DRG312,PID230141,RIDMIFlint,132,12908.14,5267.55,4480.59
DRG312,PID230193,RIDMIFlint,67,15413.56,4181.71,3392
DRG312,PID230197,RIDMIFlint,152,15533.21,5597.93,4714.73
DRG313,PID230132,RIDMIFlint,44,15836.47,5331.86,4565.86
DRG313,PID230141,RIDMIFlint,120,11373.98,4032.31,3185.5
DRG313,PID230193,RIDMIFlint,32,13914.18,3199.46,2402.68
DRG313,PID230197,RIDMIFlint,64,12090.18,4222.75,3324.18
DRG314,PID230132,RIDMIFlint,55,33106,17655.92,16894.47
DRG314,PID230141,RIDMIFlint,85,30473.47,12996.67,12022.3
DRG314,PID230197,RIDMIFlint,57,31187.54,13458.01,12836.87
DRG315,PID230141,RIDMIFlint,26,15243.38,6922.15,6272.76
