drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID230038,RIDMIGrandRapids,70,15543.24,7884.64,6205.3
DRG039,PID230236,RIDMIGrandRapids,25,19195.36,8599.56,5507.24
DRG057,PID230038,RIDMIGrandRapids,39,12262.89,6761.79,5777.71
DRG057,PID230059,RIDMIGrandRapids,17,17401.64,7005.88,6280.94
DRG057,PID230081,RIDMIGrandRapids,14,10359.35,5316.92,4351.21
DRG064,PID230038,RIDMIGrandRapids,80,25947.93,14348.32,12617.56
DRG064,PID230059,RIDMIGrandRapids,22,18204.54,13377.22,12464.63
DRG064,PID230072,RIDMIGrandRapids,12,26355.33,10682.66,9844.33
DRG064,PID230236,RIDMIGrandRapids,27,23116.03,13644.96,12733.25
DRG065,PID230035,RIDMIGrandRapids,13,11913,6700.76,5917.07
DRG065,PID230038,RIDMIGrandRapids,149,15623.36,8403.65,7403.1
DRG065,PID230040,RIDMIGrandRapids,19,10387.15,6928.26,5985.1
DRG065,PID230059,RIDMIGrandRapids,45,11955,8113.77,7239.73
DRG065,PID230072,RIDMIGrandRapids,19,12222.73,6909.1,5903
DRG065,PID230081,RIDMIGrandRapids,19,13472.05,6720.89,5711.42
DRG065,PID230093,RIDMIGrandRapids,12,7024.08,6881.33,6226.33
DRG065,PID230106,RIDMIGrandRapids,13,14575.61,6874.23,5484.53
DRG065,PID230236,RIDMIGrandRapids,31,15544.45,8230.45,6682.19
DRG066,PID230035,RIDMIGrandRapids,16,11099.06,5018.31,3963.06
DRG066,PID230038,RIDMIGrandRapids,112,12263.73,6207.86,4882.87
DRG066,PID230059,RIDMIGrandRapids,27,10948.33,5953.74,4952.25
DRG066,PID230072,RIDMIGrandRapids,20,12403.45,4986,3975.2
DRG066,PID230081,RIDMIGrandRapids,23,11820.73,5102.78,3189.43
DRG066,PID230236,RIDMIGrandRapids,26,13321.38,6211.34,4708.84
DRG069,PID230038,RIDMIGrandRapids,104,10445.55,5608.16,4250.68
DRG069,PID230040,RIDMIGrandRapids,13,8226.53,4399.61,3277.46
DRG069,PID230059,RIDMIGrandRapids,32,9742.75,5710.31,4294.25
DRG069,PID230072,RIDMIGrandRapids,31,10095.61,4506.64,3528.96
DRG069,PID230081,RIDMIGrandRapids,24,11719.58,4263,3416.66
DRG069,PID230093,RIDMIGrandRapids,18,5076.5,4669.94,3613.27
DRG069,PID230106,RIDMIGrandRapids,12,9020.25,4705.91,3584.58
DRG069,PID230236,RIDMIGrandRapids,21,10018.76,5171.9,4101.42
DRG074,PID230038,RIDMIGrandRapids,36,12943.75,6377.83,5569.5
DRG074,PID230059,RIDMIGrandRapids,30,11425.76,6883.43,5433.56
DRG074,PID230081,RIDMIGrandRapids,12,11111.16,5890.91,3850.5
