drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID230017,RIDMIKalamazoo,40,20494.25,7566.67,6752.37
DRG039,PID230075,RIDMIKalamazoo,17,25653.29,6187.94,5142.05
DRG039,PID230117,RIDMIKalamazoo,63,28822.95,7301.76,5596.3
DRG057,PID230017,RIDMIKalamazoo,18,20133.66,6787.38,5791.83
DRG057,PID230075,RIDMIKalamazoo,15,11355,5818.4,4581.26
DRG057,PID230117,RIDMIKalamazoo,13,17652.07,6021.15,5165.15
DRG064,PID230017,RIDMIKalamazoo,56,26224.64,13600.5,12716.78
DRG064,PID230022,RIDMIKalamazoo,14,19493.57,10294.14,9568.71
DRG064,PID230075,RIDMIKalamazoo,29,17877.03,10873.96,10071.72
DRG064,PID230117,RIDMIKalamazoo,68,42723.82,13195.02,11933.5
DRG065,PID230015,RIDMIKalamazoo,13,12678.38,6588.38,5986.23
DRG065,PID230017,RIDMIKalamazoo,96,20554.87,8470.77,7517.08
DRG065,PID230022,RIDMIKalamazoo,21,12611.95,6854.52,6101.38
DRG065,PID230075,RIDMIKalamazoo,29,14806.1,7107.62,6189.37
DRG065,PID230117,RIDMIKalamazoo,98,23557.13,8066.7,7012.5
DRG066,PID230017,RIDMIKalamazoo,46,16205.15,6221.63,5022.34
DRG066,PID230022,RIDMIKalamazoo,13,13236.46,5055.38,4017.84
DRG066,PID230075,RIDMIKalamazoo,28,13079.21,5170.92,3755.67
DRG066,PID230117,RIDMIKalamazoo,38,22304,5932.92,4606.1
DRG069,PID230017,RIDMIKalamazoo,63,14507.52,5492.77,4565.53
DRG069,PID230022,RIDMIKalamazoo,14,12544.28,4788.07,3312.71
DRG069,PID230037,RIDMIKalamazoo,14,8515.35,4582.5,3623.64
DRG069,PID230075,RIDMIKalamazoo,62,11690.01,4649.01,3606.66
DRG069,PID230117,RIDMIKalamazoo,70,16383.6,5324.72,4049.44
DRG069,PID230217,RIDMIKalamazoo,22,16870.04,4328.77,3508.4
DRG074,PID230017,RIDMIKalamazoo,24,17841.7,6540.87,5636.91
DRG074,PID230117,RIDMIKalamazoo,20,16015.2,5985.25,5029.45
DRG101,PID230017,RIDMIKalamazoo,41,14400.34,5704.36,4856.26
DRG101,PID230075,RIDMIKalamazoo,25,9016.52,4771.64,3624.64
DRG101,PID230117,RIDMIKalamazoo,34,16907.38,5414.41,4114.88
DRG149,PID230017,RIDMIKalamazoo,19,14995.36,4854.15,3793.52
DRG149,PID230075,RIDMIKalamazoo,16,11100,4299,2813.93
DRG149,PID230117,RIDMIKalamazoo,29,12110.41,4445.62,3438.44
DRG176,PID230017,RIDMIKalamazoo,47,21256.51,8084.65,7272.57
DRG176,PID230117,RIDMIKalamazoo,26,22596.34,6988.26,6220
DRG177,PID230017,RIDMIKalamazoo,27,40415.85,16583.33,14137.4
DRG177,PID230022,RIDMIKalamazoo,14,26088.28,12373.07,11667.85
DRG177,PID230075,RIDMIKalamazoo,34,27814.02,12204.79,11580.67
DRG177,PID230117,RIDMIKalamazoo,43,32576.55,13269.27,12720.9
DRG178,PID230017,RIDMIKalamazoo,27,24868.14,10669.77,10087.55
