drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID230167,RIDMILansing,25,17711.48,6997.72,5683.08
DRG039,PID230230,RIDMILansing,17,28022.64,7463.76,6664.7
DRG057,PID230167,RIDMILansing,15,17488.86,6158.73,5106.46
DRG057,PID230230,RIDMILansing,20,24040.7,7027.9,6048.6
DRG064,PID230167,RIDMILansing,23,47852.43,14050.91,12924.65
DRG064,PID230230,RIDMILansing,72,40816.37,13756.86,12465.84
DRG065,PID230030,RIDMILansing,16,13036.25,9285.37,8513.12
DRG065,PID230080,RIDMILansing,18,15415.44,5956.11,4575.61
DRG065,PID230121,RIDMILansing,14,21047.14,7213.85,6088.71
DRG065,PID230167,RIDMILansing,51,25941.74,8014.82,7137.01
DRG065,PID230180,RIDMILansing,14,12364.21,6506,5704.28
DRG065,PID230208,RIDMILansing,12,9962.66,8468.83,7533.5
DRG065,PID230230,RIDMILansing,82,34388.29,8596.57,7774.52
DRG066,PID230030,RIDMILansing,16,12591.56,6126.68,5212.93
DRG066,PID230080,RIDMILansing,14,12004.21,4577.14,3696.85
DRG066,PID230167,RIDMILansing,32,18582.87,5474.53,4490.03
DRG066,PID230230,RIDMILansing,96,22298.87,6069.27,5076.64
DRG069,PID230030,RIDMILansing,15,9094.46,5505,4457
DRG069,PID230080,RIDMILansing,12,9243.16,4161.83,3218.5
DRG069,PID230167,RIDMILansing,64,19704.67,5106.67,4078.51
DRG069,PID230230,RIDMILansing,85,17104.95,5471.78,4448.58
DRG074,PID230167,RIDMILansing,25,21686.56,6009.52,5112.88
DRG074,PID230230,RIDMILansing,21,25476.61,6684.42,5721.76
DRG101,PID230030,RIDMILansing,13,6958.38,6092.92,4965.84
DRG101,PID230080,RIDMILansing,15,10965.86,4087.4,3261.53
DRG101,PID230167,RIDMILansing,37,17457.32,5349.72,4498.27
DRG101,PID230230,RIDMILansing,78,17956.97,6011.78,4650.7
DRG149,PID230167,RIDMILansing,36,14961.02,4463.66,3439.19
DRG149,PID230230,RIDMILansing,45,16443.02,4952.82,3479.24
DRG176,PID230167,RIDMILansing,23,23255.04,7452.52,6528.52
DRG176,PID230230,RIDMILansing,41,26646.17,7954.85,7026.26
DRG177,PID230121,RIDMILansing,12,28483.66,11792.16,11048.16
DRG177,PID230167,RIDMILansing,22,43671.09,14471.86,13808.77
DRG177,PID230230,RIDMILansing,55,48933.56,15334.85,14130.1
DRG178,PID230030,RIDMILansing,17,16242.35,12257.94,11599.58
DRG178,PID230080,RIDMILansing,15,25541.06,8261.66,7511.33
DRG178,PID230121,RIDMILansing,13,25023.23,8139,7444.84
DRG178,PID230167,RIDMILansing,28,25079.35,9607.32,8662.39
DRG178,PID230230,RIDMILansing,22,26486.54,10757.4,9904.27
DRG189,PID230121,RIDMILansing,29,20888.93,7911.62,7252.44
DRG189,PID230167,RIDMILansing,54,29745.31,9513.88,8863.09
DRG189,PID230208,RIDMILansing,45,10708.06,9496.15,8481.26
DRG189,PID230230,RIDMILansing,117,39073.47,10280.4,9420.24
DRG190,PID230030,RIDMILansing,55,12414.5,9485.01,8555.78
DRG190,PID230080,RIDMILansing,59,19011.06,6428.83,5779.74
DRG190,PID230121,RIDMILansing,36,20357.38,6820.72,5823.02
DRG190,PID230167,RIDMILansing,124,26615.03,8304,7560.33
DRG190,PID230180,RIDMILansing,83,10690.55,6345.24,5523.38
DRG190,PID230208,RIDMILansing,16,12106.37,8258.81,7561.31
DRG190,PID230230,RIDMILansing,145,26009.15,8852.13,7850.72
DRG191,PID230030,RIDMILansing,59,11075.16,8017.25,7102.72
DRG191,PID230080,RIDMILansing,26,13421.19,5437.23,4744.3
DRG191,PID230121,RIDMILansing,40,19348.27,5920.1,4963.5
DRG191,PID230167,RIDMILansing,194,21731.91,6769.62,6043.54
DRG191,PID230180,RIDMILansing,38,10614.86,5196.63,4490.1
DRG191,PID230208,RIDMILansing,15,11105.13,7210.53,5895.13
DRG191,PID230230,RIDMILansing,81,22462,7221.13,6395.79
DRG192,PID230030,RIDMILansing,53,8866.05,6117.86,5288
DRG192,PID230080,RIDMILansing,49,12178.69,4038.26,3196.46
DRG192,PID230121,RIDMILansing,34,17597.11,4514.47,3420.88
DRG192,PID230167,RIDMILansing,90,14847.23,5031.28,4156.88
DRG192,PID230180,RIDMILansing,51,8309.68,3993.86,3076.88
DRG192,PID230208,RIDMILansing,26,8307.26,5333.42,4467.57
DRG192,PID230230,RIDMILansing,66,15616.95,5385.45,4483.69
DRG193,PID230030,RIDMILansing,23,17609.78,11775.34,10781.43
DRG193,PID230080,RIDMILansing,21,16387.61,7454.33,6919.85
DRG193,PID230121,RIDMILansing,38,25159,8527.28,7702.44
DRG193,PID230167,RIDMILansing,45,32740.71,10323.33,9240.13
DRG193,PID230180,RIDMILansing,13,21849.07,8495.69,7888.61
DRG193,PID230230,RIDMILansing,152,34693.26,11114.42,10367.5
DRG194,PID230030,RIDMILansing,55,10475.09,7992.41,7256.7
DRG194,PID230080,RIDMILansing,85,16745.14,5438.6,4547.08
DRG194,PID230121,RIDMILansing,60,22432.85,6239.2,5182.35
DRG194,PID230167,RIDMILansing,99,21140.42,7009.91,6260.1
DRG194,PID230180,RIDMILansing,30,10601.46,5467.86,4572.93
DRG194,PID230208,RIDMILansing,17,10963.11,7217.76,6357.76
DRG194,PID230230,RIDMILansing,77,22431.23,7358.33,6404.75
DRG195,PID230030,RIDMILansing,45,9758.31,6427.8,5297.64
DRG195,PID230080,RIDMILansing,48,12134.68,4037.87,2864.95
DRG195,PID230167,RIDMILansing,40,13579.12,4937.32,3894.22
DRG195,PID230180,RIDMILansing,15,7833.93,3940.26,2890.13
DRG195,PID230230,RIDMILansing,48,21629.56,5737.81,4083.87
DRG202,PID230167,RIDMILansing,28,20880.67,5942.07,5378.35
DRG202,PID230230,RIDMILansing,29,24401.79,6372.58,5362.1
DRG203,PID230167,RIDMILansing,12,11620.58,4245.58,3590.58
DRG203,PID230230,RIDMILansing,11,16559.63,4528.09,3196
DRG207,PID230167,RIDMILansing,13,106666.15,35681.07,34494
DRG207,PID230230,RIDMILansing,29,117205.44,38589.89,37065.24
DRG208,PID230030,RIDMILansing,15,29695.06,17067.6,13451.2
DRG208,PID230080,RIDMILansing,11,33597,12683.45,11991.72
DRG208,PID230121,RIDMILansing,12,57825.91,14500.41,11976
DRG208,PID230167,RIDMILansing,37,58444.91,15837.83,15141.05
DRG208,PID230180,RIDMILansing,12,31077.5,11099,10305.16
DRG208,PID230230,RIDMILansing,50,65228,16978.4,16039.42
DRG238,PID230167,RIDMILansing,28,59728.96,20706.82,19744.53
DRG238,PID230230,RIDMILansing,31,76709,23746.67,21600.7
DRG291,PID230208,RIDMILansing,18,10280.33,10390.72,9831.83
DRG243,PID230167,RIDMILansing,25,69286.4,19069,18264.16
DRG243,PID230230,RIDMILansing,28,57010.67,19105.67,18189.53
DRG244,PID230167,RIDMILansing,22,59288.77,15727.95,14857.59
DRG244,PID230230,RIDMILansing,35,49132.8,15911.45,13051.97
DRG246,PID230230,RIDMILansing,30,81318.13,26727.33,20187.26
DRG247,PID230167,RIDMILansing,73,47742.57,13304.3,12051.83
DRG247,PID230230,RIDMILansing,125,52621.4,14638.03,13032.92
DRG249,PID230167,RIDMILansing,25,40044.44,11980.6,10992.12
DRG249,PID230230,RIDMILansing,33,46208.24,13764.93,11223.18
DRG251,PID230167,RIDMILansing,17,31082.82,12242.29,11317.58
DRG251,PID230230,RIDMILansing,16,40741.06,13150.5,12378.25
DRG252,PID230167,RIDMILansing,25,64545.24,21918.6,21333.8
DRG252,PID230230,RIDMILansing,29,122157.96,28887,27908.79
DRG253,PID230167,RIDMILansing,28,51575.89,16640.1,15216.1
DRG253,PID230230,RIDMILansing,30,75104.03,21305.76,20330.03
DRG254,PID230230,RIDMILansing,31,40344.74,12044.22,11393.12
DRG280,PID230030,RIDMILansing,17,10863.76,8934.7,8407.64
DRG280,PID230080,RIDMILansing,21,18091.95,7999.19,7415.9
DRG280,PID230121,RIDMILansing,12,23748,8349.25,7599.91
DRG280,PID230167,RIDMILansing,29,28769.62,12260.1,11371.13
DRG280,PID230180,RIDMILansing,22,16674.59,9829.81,9062.36
DRG280,PID230230,RIDMILansing,62,40609.16,13720.66,12969.14
DRG281,PID230030,RIDMILansing,17,12826.41,8561.94,7700.05
DRG281,PID230167,RIDMILansing,25,21638.52,8148.76,7296.12
DRG281,PID230230,RIDMILansing,29,26180.79,8644.1,7867.82
DRG282,PID230030,RIDMILansing,12,10149.08,5658.91,4797.75
DRG282,PID230080,RIDMILansing,14,9623.57,5230.14,3263.78
DRG282,PID230167,RIDMILansing,18,22438.38,5519.88,4524.33
DRG282,PID230180,RIDMILansing,14,7482,4295.21,3731.5
DRG282,PID230230,RIDMILansing,28,20686.35,5920.82,4957.39
DRG286,PID230167,RIDMILansing,16,31967.12,13564.56,12725.56
DRG286,PID230230,RIDMILansing,33,44934.33,15065.39,14181.27
DRG287,PID230030,RIDMILansing,11,15109.36,7371.63,6460
DRG287,PID230080,RIDMILansing,11,20145.45,5853,5441.36
DRG287,PID230167,RIDMILansing,96,25545.19,7490.54,6348.14
DRG287,PID230230,RIDMILansing,164,24274.15,8326.65,6869.37
DRG291,PID230030,RIDMILansing,52,13802.03,11304.03,10723.65
DRG291,PID230080,RIDMILansing,52,18652.23,7833.98,7249.28
DRG291,PID230121,RIDMILansing,28,27371.35,8746.92,7512.39
DRG291,PID230167,RIDMILansing,79,35775.25,11566.65,10364.34
DRG291,PID230180,RIDMILansing,24,16918.83,7719.12,7159.79
DRG291,PID230230,RIDMILansing,129,35512.81,11290.07,10754.55
DRG292,PID230030,RIDMILansing,52,10282.92,8254.92,7542.07
DRG292,PID230080,RIDMILansing,40,12824.22,5557.17,4799.47
DRG292,PID230121,RIDMILansing,30,20056.13,6155.1,5404.7
DRG292,PID230167,RIDMILansing,162,18921.06,7171.9,6442.98
DRG292,PID230180,RIDMILansing,26,11733.88,5687.69,4913.84
DRG292,PID230208,RIDMILansing,29,8851.51,7097.37,6476.13
DRG292,PID230230,RIDMILansing,152,23143.48,7564.75,6941.5
DRG293,PID230030,RIDMILansing,28,7140.03,5498.03,4659.32
DRG293,PID230080,RIDMILansing,25,11188.88,3800.76,3126.68
DRG293,PID230167,RIDMILansing,83,11593.69,4760.84,3985.77
DRG293,PID230180,RIDMILansing,16,8038.68,3751.06,2912.06
DRG293,PID230208,RIDMILansing,11,6570.54,4800.81,3883.36
DRG293,PID230230,RIDMILansing,92,15142.39,5120.48,4386.3
DRG300,PID230167,RIDMILansing,35,17486.74,6643.85,5713.68
DRG300,PID230180,RIDMILansing,13,6551.46,4532.38,3584.38
DRG300,PID230230,RIDMILansing,36,25465,7146.33,6190.63
DRG301,PID230030,RIDMILansing,11,5858.45,5445.09,4483.09
DRG301,PID230080,RIDMILansing,12,7519.25,3726,2885
DRG301,PID230167,RIDMILansing,16,9754.75,4659.87,3650.12
DRG301,PID230180,RIDMILansing,14,4912.14,3449.35,2547.21
DRG301,PID230230,RIDMILansing,26,16540.07,5173.34,4079.46
DRG303,PID230167,RIDMILansing,17,12996.64,4124.47,3016.05
DRG303,PID230230,RIDMILansing,32,13414.09,4342.06,3711.31
DRG305,PID230167,RIDMILansing,13,13876,4319.69,3284.61
DRG305,PID230230,RIDMILansing,31,19920.22,4666.83,3650.58
DRG308,PID230030,RIDMILansing,16,15956.62,10474.93,9669.31
DRG308,PID230080,RIDMILansing,14,17174.92,6629.28,6070.14
DRG308,PID230121,RIDMILansing,15,28350.86,7238.06,6267.66
DRG308,PID230167,RIDMILansing,47,26712.04,9138.89,8514.72
DRG308,PID230230,RIDMILansing,80,28736.13,9437.66,8407.82
DRG309,PID230030,RIDMILansing,25,11983.76,6963.12,6292.88
DRG309,PID230080,RIDMILansing,25,13357,4641.48,3831.56
DRG309,PID230121,RIDMILansing,20,14078.65,5011.3,4112.1
DRG309,PID230167,RIDMILansing,92,13299.33,5807.67,4966.32
DRG309,PID230180,RIDMILansing,14,9960.14,4678.85,4041.14
DRG309,PID230230,RIDMILansing,112,21262.34,6368.01,5536.84
DRG310,PID230030,RIDMILansing,49,6831.79,4682.02,3704.38
DRG310,PID230080,RIDMILansing,48,8646.08,3209.7,2366.04
DRG310,PID230121,RIDMILansing,12,17820.5,3695.16,2487.58
DRG310,PID230167,RIDMILansing,105,10338.12,3993.51,2999.95
DRG310,PID230180,RIDMILansing,12,7591.25,3169.91,2231.91
DRG310,PID230230,RIDMILansing,181,13425.29,4448.27,3228.25
DRG312,PID230030,RIDMILansing,27,8197.14,5613.03,4695.4
DRG312,PID230080,RIDMILansing,16,11795.75,4019.12,3461.12
