drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID230054,RIDMIMarquette,30,19283.43,7267.7,6331.83
DRG064,PID230054,RIDMIMarquette,36,17367.72,13069.38,12132.27
DRG065,PID230054,RIDMIMarquette,37,12362.18,7750.7,6869.51
DRG066,PID230054,RIDMIMarquette,11,12642.63,5880.54,4860.18
DRG066,PID230101,RIDMIMarquette,12,13489.08,5334.83,4496.5
DRG069,PID230054,RIDMIMarquette,11,10774.27,5977.63,3947.09
DRG101,PID230054,RIDMIMarquette,11,7694.45,5208.72,3583.45
DRG176,PID230054,RIDMIMarquette,14,9754.14,6729.07,5844.21
DRG176,PID230101,RIDMIMarquette,14,22467.07,7009,6290.42
DRG177,PID230054,RIDMIMarquette,21,24140.28,13939.09,13356.8
DRG178,PID230108,RIDMIMarquette,20,10994.35,9821,9311.6
DRG189,PID230054,RIDMIMarquette,62,12904.62,9164.91,8456.46
DRG189,PID230101,RIDMIMarquette,26,17625.57,8655.92,7965.46
DRG190,PID230054,RIDMIMarquette,21,11705.04,8389.66,7479.38
DRG190,PID230101,RIDMIMarquette,27,19776.14,8086,7215.03
DRG190,PID230108,RIDMIMarquette,16,10423.5,8317.62,7476.62
DRG191,PID230054,RIDMIMarquette,12,8595.25,6423.25,5765.58
DRG191,PID230101,RIDMIMarquette,26,19461.57,6324.19,5542.96
DRG191,PID230108,RIDMIMarquette,15,10176.2,7574.6,5548.4
DRG192,PID230101,RIDMIMarquette,26,12960.26,4846.57,3811.5
DRG193,PID230054,RIDMIMarquette,30,15778.96,10244.46,9456.33
DRG193,PID230101,RIDMIMarquette,28,25734.89,9641.32,8877.75
DRG194,PID230054,RIDMIMarquette,50,10606.12,6911.94,6127.86
DRG194,PID230101,RIDMIMarquette,32,18403.03,6798.75,5922.37
DRG194,PID230108,RIDMIMarquette,31,9671.51,6866.45,5924.25
DRG195,PID230054,RIDMIMarquette,16,8191.31,4989.25,4144.25
DRG195,PID230101,RIDMIMarquette,13,14520.76,4758.61,3636.46
DRG207,PID230054,RIDMIMarquette,11,62229.27,36875.18,36566.45
DRG208,PID230054,RIDMIMarquette,27,27734.59,16187.29,15605.07
DRG243,PID230054,RIDMIMarquette,25,27651.16,17542.52,16775.32
DRG244,PID230054,RIDMIMarquette,27,26410.96,14525.33,13527.4
DRG246,PID230054,RIDMIMarquette,29,60155.68,23705.68,21446.41
DRG247,PID230054,RIDMIMarquette,96,40957.2,14409.81,12992.1
DRG249,PID230054,RIDMIMarquette,22,32282.04,12639.45,11724.9
DRG252,PID230054,RIDMIMarquette,24,38183.91,21244.2,20586.54
DRG253,PID230054,RIDMIMarquette,16,38135.06,17166.68,16598.31
DRG254,PID230054,RIDMIMarquette,15,20990.8,11538.6,10561.8
DRG280,PID230054,RIDMIMarquette,46,19425.89,12688.78,12054.52
DRG280,PID230108,RIDMIMarquette,14,13884.57,10838.57,10281.71
DRG281,PID230054,RIDMIMarquette,29,13738.24,8480.89,7743.65
DRG286,PID230054,RIDMIMarquette,12,22683,14289.08,13353.75
DRG287,PID230054,RIDMIMarquette,53,14819.73,7769.35,6901.5
DRG291,PID230054,RIDMIMarquette,52,14992.94,10163.67,9537.28
DRG291,PID230101,RIDMIMarquette,19,24295.36,10123.84,9713.52
DRG291,PID230108,RIDMIMarquette,12,13762,10367.08,9714.75
DRG292,PID230054,RIDMIMarquette,46,10325.95,7261.91,6700.78
DRG292,PID230101,RIDMIMarquette,28,22412.25,6770.1,5970.67
DRG292,PID230108,RIDMIMarquette,18,7773.11,7180.72,6240.94
DRG293,PID230054,RIDMIMarquette,19,8294.78,4930.57,4161.1
DRG293,PID230101,RIDMIMarquette,15,14988.2,4637.13,3895.26
DRG300,PID230054,RIDMIMarquette,11,17792,7276.18,5048.72
DRG308,PID230054,RIDMIMarquette,22,11769.72,8822.63,8206.63
DRG309,PID230054,RIDMIMarquette,23,11197.3,6017.56,5287.65
DRG309,PID230101,RIDMIMarquette,14,19529.14,5765,4884.71
DRG309,PID230108,RIDMIMarquette,13,11526.15,6210,5257.07
DRG310,PID230054,RIDMIMarquette,24,7727.7,4050,3100.75
DRG310,PID230101,RIDMIMarquette,18,13707.61,3924,2795.55
DRG312,PID230054,RIDMIMarquette,15,10805,5228.2,4220.8
DRG313,PID230054,RIDMIMarquette,18,9179.66,3938.38,3122.61
DRG314,PID230054,RIDMIMarquette,19,16919.15,12540.21,11952.84
DRG329,PID230054,RIDMIMarquette,22,39837.68,35561.45,34689.63
DRG330,PID230054,RIDMIMarquette,31,28274.03,18386.87,17519.77
DRG377,PID230054,RIDMIMarquette,31,17247.96,12155.87,11398.29
DRG378,PID230054,RIDMIMarquette,48,11541.72,7228.43,6434.6
DRG378,PID230101,RIDMIMarquette,17,26618.64,6867,6138.29
DRG378,PID230108,RIDMIMarquette,12,11805.41,7375.91,6346.25
DRG379,PID230101,RIDMIMarquette,14,20285.35,4912,3955.42
DRG390,PID230054,RIDMIMarquette,13,5873.38,4579.23,3710.92
DRG391,PID230054,RIDMIMarquette,13,14005.76,8288.38,7514.53
DRG392,PID230054,RIDMIMarquette,39,9781.43,5045.87,4298.58
DRG392,PID230101,RIDMIMarquette,20,18923.6,4932.55,4039.75
DRG392,PID230108,RIDMIMarquette,22,9045,5311,4443.54
DRG394,PID230054,RIDMIMarquette,19,10853.1,7137.21,6486.89
DRG460,PID230054,RIDMIMarquette,72,60110.37,27302.91,26288.11
DRG469,PID230054,RIDMIMarquette,13,36704.46,21554.84,20781
DRG470,PID230054,RIDMIMarquette,212,29100.9,14533.54,13082.07
DRG470,PID230101,RIDMIMarquette,22,41355.54,14462,13343.09
DRG470,PID230108,RIDMIMarquette,34,33112.67,15382.26,14322.5
DRG473,PID230054,RIDMIMarquette,16,28593.62,14763.12,13707.87
DRG480,PID230054,RIDMIMarquette,24,39564.95,21697.5,20853.79
DRG481,PID230054,RIDMIMarquette,33,27152.12,13047.33,12129.87
DRG481,PID230101,RIDMIMarquette,18,34095.72,12958.77,11900.33
DRG481,PID230108,RIDMIMarquette,13,25496.69,13958.38,12828.84
DRG482,PID230101,RIDMIMarquette,13,32099,10558.84,9618.23
DRG491,PID230054,RIDMIMarquette,58,13532.31,7132.27,5901.89
DRG552,PID230054,RIDMIMarquette,13,7580.23,5665.84,4712.92
DRG603,PID230054,RIDMIMarquette,28,9322,5873.46,5111.03
DRG603,PID230101,RIDMIMarquette,17,11784,5578.05,4778.47
DRG603,PID230108,RIDMIMarquette,11,7303.09,6010.45,5090.09
DRG638,PID230054,RIDMIMarquette,13,10149.92,6473.23,5019.69
DRG640,PID230054,RIDMIMarquette,14,14078.14,7956.78,7074.21
DRG641,PID230054,RIDMIMarquette,21,10223.38,4979.85,4234.33
DRG682,PID230054,RIDMIMarquette,33,22466.45,12349.81,11705.81
DRG683,PID230054,RIDMIMarquette,51,14494.23,7299.31,6492.37
DRG690,PID230054,RIDMIMarquette,25,7516.84,5416.84,4643.68
