drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID230004,RIDMIMuskegon,53,18694.9,6323.88,5303.03
DRG057,PID230066,RIDMIMuskegon,15,11496.4,6146.86,5251.93
DRG064,PID230004,RIDMIMuskegon,24,17308.37,10983.16,10095
DRG064,PID230066,RIDMIMuskegon,14,15237.92,10875.42,9828.85
DRG065,PID230004,RIDMIMuskegon,73,11258.36,6843.08,5948.5
DRG065,PID230066,RIDMIMuskegon,56,11460.67,7200.23,5837.21
DRG065,PID230110,RIDMIMuskegon,14,13313.78,7768,6804.57
DRG066,PID230004,RIDMIMuskegon,42,9519.38,5095.21,4212.64
DRG066,PID230066,RIDMIMuskegon,31,8166.22,5202.48,4059.7
DRG066,PID230174,RIDMIMuskegon,11,9985.09,4562.9,3639.63
DRG069,PID230004,RIDMIMuskegon,49,8120.36,4618,3702.4
DRG069,PID230066,RIDMIMuskegon,17,9950.41,4680.29,3622.41
DRG101,PID230004,RIDMIMuskegon,13,10665.92,4848.84,3726.69
DRG101,PID230066,RIDMIMuskegon,15,11099.66,5156.13,3879.26
DRG176,PID230004,RIDMIMuskegon,14,10918.85,6628.5,5981.64
DRG177,PID230004,RIDMIMuskegon,18,18925.44,12302.05,10506.66
DRG177,PID230066,RIDMIMuskegon,12,15696.75,11597.25,10748.25
DRG178,PID230004,RIDMIMuskegon,17,14360.17,9114.94,8456.58
DRG178,PID230066,RIDMIMuskegon,14,15976,8542.28,7900
DRG189,PID230004,RIDMIMuskegon,70,12961.68,8375.15,7134.38
DRG189,PID230066,RIDMIMuskegon,32,12397.31,8237.53,6931.06
DRG189,PID230110,RIDMIMuskegon,18,34904.22,11036.27,7263.44
DRG189,PID230174,RIDMIMuskegon,17,15883.17,7142.17,6348.76
DRG190,PID230004,RIDMIMuskegon,33,10097.57,7175.27,5993.09
DRG190,PID230110,RIDMIMuskegon,39,21748.58,8089.64,6774.35
DRG190,PID230174,RIDMIMuskegon,11,12617.9,6567,5640.81
DRG191,PID230004,RIDMIMuskegon,35,10844.42,6407.02,5100.48
DRG191,PID230066,RIDMIMuskegon,20,10860.35,6626.1,4904.85
DRG191,PID230110,RIDMIMuskegon,20,23644.7,6574.8,5960.2
DRG192,PID230004,RIDMIMuskegon,25,8501.4,4614.6,3582.12
DRG192,PID230066,RIDMIMuskegon,11,6692.72,4628.45,3708.09
DRG192,PID230110,RIDMIMuskegon,15,13571.86,5275.66,3727.46
DRG193,PID230004,RIDMIMuskegon,64,13103.14,9100.56,8333.73
DRG193,PID230066,RIDMIMuskegon,18,16378.61,9193.05,8197.5
DRG193,PID230110,RIDMIMuskegon,20,28837.6,9852,8951.2
DRG194,PID230004,RIDMIMuskegon,54,10805.9,6426.66,5244.42
DRG194,PID230066,RIDMIMuskegon,23,15047.3,6462.69,5587.91
DRG194,PID230110,RIDMIMuskegon,78,19753.14,6936.55,5713.67
DRG194,PID230174,RIDMIMuskegon,14,12206.71,5279.42,4480
DRG195,PID230004,RIDMIMuskegon,20,9653,4486.65,3479.05
DRG195,PID230066,RIDMIMuskegon,16,9030.56,4610.31,3223.12
DRG195,PID230110,RIDMIMuskegon,23,14170.6,4725,3792.65
DRG207,PID230004,RIDMIMuskegon,21,61252.38,31544.42,30488.95
DRG208,PID230004,RIDMIMuskegon,52,23431.3,14428.73,13239.84
DRG208,PID230066,RIDMIMuskegon,26,24664.42,14152.84,13417.61
DRG238,PID230004,RIDMIMuskegon,28,36990.67,19334.39,18407.96
DRG243,PID230004,RIDMIMuskegon,25,26024.72,16662.56,15719.36
DRG244,PID230004,RIDMIMuskegon,21,22284.57,12766.19,11640.28
DRG246,PID230004,RIDMIMuskegon,20,53068.75,20099.55,19203.55
DRG247,PID230004,RIDMIMuskegon,69,41756.89,12536.76,11019.02
DRG249,PID230004,RIDMIMuskegon,38,31881.26,11500.1,9584.31
DRG252,PID230004,RIDMIMuskegon,33,42804.33,19223.06,18402.15
DRG253,PID230004,RIDMIMuskegon,25,38906,15464.68,14564.2
DRG254,PID230004,RIDMIMuskegon,36,23329.02,10181.41,9214.63
DRG280,PID230004,RIDMIMuskegon,47,19892.55,11864.61,10052.8
DRG281,PID230004,RIDMIMuskegon,25,13916.88,7348.32,6539.68
DRG282,PID230004,RIDMIMuskegon,16,12706.68,5079.31,4038.06
DRG286,PID230004,RIDMIMuskegon,11,26064.9,13199.36,10896.09
DRG287,PID230004,RIDMIMuskegon,49,18447.38,7021.71,5763.1
DRG291,PID230004,RIDMIMuskegon,95,15618.51,9270.35,8547.2
DRG291,PID230066,RIDMIMuskegon,16,13518.62,9070.06,8160.31
DRG291,PID230110,RIDMIMuskegon,13,18155,9462.3,8598.92
DRG292,PID230004,RIDMIMuskegon,83,12069.22,6492.45,5870.09
DRG292,PID230066,RIDMIMuskegon,28,11581.07,6762.28,6083
DRG292,PID230110,RIDMIMuskegon,28,21199.57,6755.92,6035.07
DRG292,PID230174,RIDMIMuskegon,12,13706.41,5280.66,4720
DRG293,PID230004,RIDMIMuskegon,20,8858.45,4389.25,3541.85
DRG293,PID230066,RIDMIMuskegon,12,9903.41,4412.66,3660.66
DRG293,PID230110,RIDMIMuskegon,13,11691.23,5179.69,3261.53
DRG303,PID230004,RIDMIMuskegon,15,8132.4,3705.8,2882.06
DRG308,PID230004,RIDMIMuskegon,33,16831.6,7963.24,6863.3
DRG309,PID230004,RIDMIMuskegon,61,10451.4,5469.7,4241.9
DRG309,PID230066,RIDMIMuskegon,15,12366.13,5385.2,4335.06
DRG309,PID230110,RIDMIMuskegon,11,16007.63,5585,4561.72
DRG310,PID230004,RIDMIMuskegon,38,8003.05,3684.55,2546.55
DRG310,PID230066,RIDMIMuskegon,22,8729.36,3700.27,2607.4
