drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID230105,RIDMIPetoskey,68,13731.89,6737,5814.64
DRG057,PID230105,RIDMIPetoskey,14,9766.14,5954.07,5073.78
DRG064,PID230105,RIDMIPetoskey,24,22615.58,12254.41,11595.41
DRG064,PID230239,RIDMIPetoskey,11,20470,14969.45,12596
DRG065,PID230105,RIDMIPetoskey,51,14978.09,7412.23,6507.21
DRG065,PID230133,RIDMIPetoskey,15,8669.8,7170.8,6116.4
DRG065,PID230239,RIDMIPetoskey,15,12397.2,9161,8268.2
DRG066,PID230105,RIDMIPetoskey,29,15646.41,5581.93,4308
DRG069,PID230105,RIDMIPetoskey,16,12030.43,4984.81,3555.25
DRG101,PID230105,RIDMIPetoskey,23,13537.56,5040,4211.65
DRG176,PID230105,RIDMIPetoskey,23,13337.26,6810.13,5929.78
DRG176,PID230239,RIDMIPetoskey,11,12203.36,8406,7485.63
DRG177,PID230105,RIDMIPetoskey,12,23656.25,13184.16,12340.5
DRG177,PID230239,RIDMIPetoskey,21,26834.42,16160.23,15411.66
DRG178,PID230105,RIDMIPetoskey,12,20725.25,9280.33,8625.33
DRG178,PID230239,RIDMIPetoskey,19,18993.1,11689,10861.63
DRG189,PID230105,RIDMIPetoskey,37,18005.24,8473,7865.43
DRG190,PID230105,RIDMIPetoskey,28,13760.1,7660.07,6858.35
DRG190,PID230133,RIDMIPetoskey,28,14222.46,8123.92,7284.07
DRG190,PID230239,RIDMIPetoskey,59,14129.37,9256.42,8510.4
DRG191,PID230105,RIDMIPetoskey,48,13200.45,6507.91,5350.27
DRG191,PID230239,RIDMIPetoskey,38,9514.97,7612.44,6870.23
DRG192,PID230105,RIDMIPetoskey,47,10546.91,4762.8,3832.34
DRG192,PID230133,RIDMIPetoskey,23,10771.17,4894.69,4066.34
DRG192,PID230239,RIDMIPetoskey,31,7925.51,5572.29,4992.16
DRG193,PID230105,RIDMIPetoskey,37,17289.91,9292.45,8499.59
DRG193,PID230239,RIDMIPetoskey,22,22038.09,11499.18,10527.36
DRG194,PID230105,RIDMIPetoskey,50,15216.64,6561.08,5481.22
DRG194,PID230133,RIDMIPetoskey,53,12110.33,6755.83,5918.79
DRG194,PID230239,RIDMIPetoskey,28,11740.67,7960.92,7155.78
DRG195,PID230105,RIDMIPetoskey,39,11442.61,4692.58,3525.79
DRG195,PID230133,RIDMIPetoskey,25,9199.48,4942.16,3734.56
DRG195,PID230239,RIDMIPetoskey,24,9397.62,5573.12,4340.75
DRG207,PID230105,RIDMIPetoskey,12,65585,32680.66,31839.66
DRG208,PID230105,RIDMIPetoskey,26,36068.65,16017.07,14304.8
DRG208,PID230239,RIDMIPetoskey,11,41187.36,18099.18,16978.72
DRG238,PID230105,RIDMIPetoskey,59,54600.35,21165.44,19703.89
DRG243,PID230105,RIDMIPetoskey,40,48603.9,17244,16432.1
DRG244,PID230105,RIDMIPetoskey,27,40806.7,13387.07,12384.4
DRG246,PID230105,RIDMIPetoskey,17,57234.82,21052.41,20122.05
DRG247,PID230105,RIDMIPetoskey,75,40381.89,13463.61,11748.7
DRG249,PID230105,RIDMIPetoskey,24,34510.7,11735.79,10658.91
DRG251,PID230105,RIDMIPetoskey,25,36861.76,12158.8,10629.48
DRG252,PID230105,RIDMIPetoskey,14,56068.92,22199.21,21718.5
DRG253,PID230105,RIDMIPetoskey,48,40963.35,16063.56,15316.89
DRG254,PID230105,RIDMIPetoskey,45,29825.15,10772.11,9826.88
DRG280,PID230105,RIDMIPetoskey,27,21487.03,12240.96,10534.11
DRG280,PID230239,RIDMIPetoskey,17,17184.17,13818.58,13158.35
DRG281,PID230105,RIDMIPetoskey,32,18172.28,7757.78,6808.65
DRG281,PID230239,RIDMIPetoskey,20,11990.5,8830.25,8159.05
DRG282,PID230105,RIDMIPetoskey,22,15037.13,5334,4310.72
DRG282,PID230239,RIDMIPetoskey,15,8417.4,6131.93,5454.86
DRG286,PID230105,RIDMIPetoskey,11,26099,13238,12420.54
DRG287,PID230105,RIDMIPetoskey,57,19666.59,7609,6067.64
DRG291,PID230105,RIDMIPetoskey,27,19444.18,9564.51,8908.62
DRG291,PID230239,RIDMIPetoskey,22,14908.54,11369.04,10453.04
DRG292,PID230105,RIDMIPetoskey,106,15226.31,6670.66,5831.18
DRG292,PID230133,RIDMIPetoskey,20,8556.2,6523.65,5732.85
DRG292,PID230239,RIDMIPetoskey,27,11467.37,8033.18,7240.14
DRG293,PID230105,RIDMIPetoskey,48,11311.66,4533,3899.58
DRG293,PID230133,RIDMIPetoskey,20,7106.35,4717,4042.6
DRG293,PID230239,RIDMIPetoskey,12,7748.91,5285.5,4261.16
DRG300,PID230105,RIDMIPetoskey,15,13498.33,6216.66,5390.8
DRG301,PID230105,RIDMIPetoskey,11,16036.27,4101.09,3386.54
DRG308,PID230105,RIDMIPetoskey,24,22978.33,8162.41,7130.04
DRG308,PID230239,RIDMIPetoskey,12,11938,9689,8942.33
DRG309,PID230105,RIDMIPetoskey,50,10545.02,5518.2,4774.92
DRG309,PID230239,RIDMIPetoskey,13,10798.53,6586,5635.53
DRG310,PID230105,RIDMIPetoskey,69,8252.01,3885.13,2772.57
DRG310,PID230239,RIDMIPetoskey,20,7674.9,4475.05,3465.85
DRG312,PID230105,RIDMIPetoskey,54,11060.35,4744,3785.62
DRG312,PID230239,RIDMIPetoskey,16,9393.5,5632,4716.25
DRG313,PID230105,RIDMIPetoskey,35,9953.45,3637,2736.88
DRG313,PID230239,RIDMIPetoskey,19,9247.84,4318,3434.42
DRG314,PID230105,RIDMIPetoskey,12,17222,11778.08,9918.33
DRG315,PID230105,RIDMIPetoskey,14,15691.42,7157.57,6434.42
DRG329,PID230105,RIDMIPetoskey,26,63827.69,35009.76,34274.57
DRG330,PID230105,RIDMIPetoskey,30,35066.53,17229.6,15696.46
DRG377,PID230105,RIDMIPetoskey,14,18385.64,10801.57,9997.57
DRG378,PID230105,RIDMIPetoskey,40,14133.85,6756.9,6025.1
DRG378,PID230239,RIDMIPetoskey,30,14649.96,8009.73,7147.2
DRG379,PID230105,RIDMIPetoskey,30,10191.1,4727,3753.4
DRG389,PID230105,RIDMIPetoskey,13,11214.38,6181,5148.38
DRG390,PID230105,RIDMIPetoskey,26,11518.38,4367.65,3374.88
DRG392,PID230105,RIDMIPetoskey,49,11687.65,4745,3808.91
DRG392,PID230133,RIDMIPetoskey,13,12750.76,4837.76,3974.38
DRG392,PID230239,RIDMIPetoskey,28,10764.67,5589.17,4628.03
DRG394,PID230105,RIDMIPetoskey,11,18581.9,6574,5650.72
DRG419,PID230105,RIDMIPetoskey,11,16167.63,7738,6714.72
DRG460,PID230105,RIDMIPetoskey,44,34834.2,24925.34,23301.84
DRG460,PID230133,RIDMIPetoskey,11,56440.45,30458.63,29335.36
DRG470,PID230105,RIDMIPetoskey,231,23065.26,13588.07,12106.54
DRG470,PID230133,RIDMIPetoskey,100,28316.19,14530.27,13166.9
DRG470,PID230239,RIDMIPetoskey,77,37766.36,15942.4,14690.33
DRG473,PID230105,RIDMIPetoskey,19,19625.89,14099.73,10691.63
DRG480,PID230105,RIDMIPetoskey,12,29417.08,19135.41,18200.08
DRG481,PID230105,RIDMIPetoskey,20,25593.9,12181.15,11170.35
DRG481,PID230133,RIDMIPetoskey,11,25352.9,13325.72,12299.54
DRG482,PID230105,RIDMIPetoskey,23,19120.69,10015.91,9087.73
DRG491,PID230105,RIDMIPetoskey,29,12748.48,6558,5518.41
DRG536,PID230105,RIDMIPetoskey,11,9093.72,4495.54,3472.27
DRG552,PID230105,RIDMIPetoskey,12,13900.66,5468.33,3979.66
DRG552,PID230239,RIDMIPetoskey,11,13773.18,6442,5530.36
DRG603,PID230105,RIDMIPetoskey,44,10453.72,5492.93,4547.56
DRG603,PID230239,RIDMIPetoskey,26,11748.69,6463.46,5281.23
DRG638,PID230105,RIDMIPetoskey,17,12968.47,5363.76,4640.7
DRG640,PID230105,RIDMIPetoskey,11,15083.45,7541,6926.45
DRG641,PID230105,RIDMIPetoskey,41,9526.34,4519.19,3751.58
DRG641,PID230133,RIDMIPetoskey,18,9466.66,4760,3820.22
DRG641,PID230239,RIDMIPetoskey,30,7994.43,5431,4719.4
DRG682,PID230105,RIDMIPetoskey,29,28127.27,11336.75,10489.79
DRG682,PID230239,RIDMIPetoskey,21,17144.76,12292.28,11648.47
DRG683,PID230105,RIDMIPetoskey,24,18224.87,6718.16,5877.16
DRG683,PID230239,RIDMIPetoskey,20,10301.35,7968.05,6976.2
DRG690,PID230105,RIDMIPetoskey,59,10966.98,5147.66,4175.11
DRG690,PID230133,RIDMIPetoskey,13,7352.61,5098,4142.61
DRG690,PID230239,RIDMIPetoskey,33,9557.33,6084.72,5198.66
DRG812,PID230105,RIDMIPetoskey,23,12039.95,5263,4576.73
DRG871,PID230105,RIDMIPetoskey,30,29920.26,12617.8,11831.83
DRG871,PID230133,RIDMIPetoskey,13,16002.69,12274.07,11599.23
DRG871,PID230239,RIDMIPetoskey,68,24369.48,14350.55,13429.35
DRG872,PID230105,RIDMIPetoskey,17,19777.35,7559.64,6768.11
DRG872,PID230239,RIDMIPetoskey,21,12163.33,8743.28,7645.85
DRG918,PID230105,RIDMIPetoskey,11,7376.72,4147,3223.72
DRG918,PID230239,RIDMIPetoskey,11,7563.27,4859.36,4047.72
DRG948,PID230105,RIDMIPetoskey,18,11175.66,4488.27,3929.38
