drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID230029,RIDMIPontiac,22,31944.31,7666.27,6850.27
DRG039,PID230277,RIDMIPontiac,15,31908.66,7582.93,5140.66
DRG057,PID230029,RIDMIPontiac,23,13317.34,7161.52,6230.56
DRG064,PID230029,RIDMIPontiac,72,27533.04,15003.41,12664.61
DRG064,PID230207,RIDMIPontiac,14,41094.21,16988,16188.64
DRG064,PID230277,RIDMIPontiac,25,27732.24,11830.24,10976.36
DRG065,PID230029,RIDMIPontiac,65,20082.5,8686.9,7892.69
DRG065,PID230207,RIDMIPontiac,17,17616.94,10633.64,9642.35
DRG065,PID230277,RIDMIPontiac,31,18902.7,7618.22,6641.58
DRG066,PID230029,RIDMIPontiac,32,19847.93,6812.93,5288.56
DRG066,PID230277,RIDMIPontiac,15,13508.4,5391.6,4268.13
DRG069,PID230029,RIDMIPontiac,88,16272.68,5844.6,4625
DRG069,PID230207,RIDMIPontiac,25,13061.52,6884,6028.8
DRG069,PID230277,RIDMIPontiac,19,15414.68,4999.52,3645.05
DRG074,PID230029,RIDMIPontiac,11,20742.9,6750.27,5632.81
DRG074,PID230277,RIDMIPontiac,13,16214.61,5707.23,5100.15
DRG101,PID230029,RIDMIPontiac,30,12156.46,5868.26,5121.06
DRG101,PID230207,RIDMIPontiac,17,11440.52,6836.82,6239.41
DRG149,PID230029,RIDMIPontiac,25,11962,4945.04,3957.84
DRG176,PID230029,RIDMIPontiac,24,17410.95,8431.66,7588
DRG176,PID230277,RIDMIPontiac,13,20270.84,7145.46,6366.69
DRG177,PID230029,RIDMIPontiac,43,20017.09,15270.86,14747.88
DRG177,PID230207,RIDMIPontiac,22,35288.27,18977.5,18353
DRG177,PID230277,RIDMIPontiac,12,33973.91,13687.41,12186.08
DRG178,PID230029,RIDMIPontiac,23,18443.69,11220.86,9837.26
DRG189,PID230029,RIDMIPontiac,121,16581.42,9973.62,9084.33
DRG189,PID230207,RIDMIPontiac,65,24918.23,12235.43,11355.49
DRG189,PID230277,RIDMIPontiac,38,26276.63,8322.31,7672
DRG190,PID230013,RIDMIPontiac,25,16495.16,8940.96,8270.72
DRG190,PID230029,RIDMIPontiac,134,15038.64,9184.82,8298.59
DRG190,PID230207,RIDMIPontiac,53,17595.6,10906.84,10129.62
DRG190,PID230277,RIDMIPontiac,62,22710.66,7726.08,6970.77
DRG191,PID230013,RIDMIPontiac,33,9787.3,7292.3,6380.51
DRG191,PID230029,RIDMIPontiac,111,12802.18,7527.24,6683.14
DRG191,PID230207,RIDMIPontiac,19,11959.1,8609.31,8195.63
DRG191,PID230277,RIDMIPontiac,53,17044.47,6291.83,5478.58
DRG192,PID230013,RIDMIPontiac,20,9186.7,5529.4,4859.8
DRG192,PID230029,RIDMIPontiac,41,10074.26,5719.17,4421.68
DRG192,PID230277,RIDMIPontiac,22,12269,4545,3679
DRG193,PID230029,RIDMIPontiac,133,17910.8,11338.32,10263.96
