drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID230019,RIDMIRoyalOak,14,20386.28,7385.92,6417.92
DRG039,PID230130,RIDMIRoyalOak,64,22950.46,7543.17,5886.01
DRG039,PID230254,RIDMIRoyalOak,13,21591.76,6608.46,4883
DRG039,PID230269,RIDMIRoyalOak,42,17569.95,6303.11,5158.09
DRG057,PID230019,RIDMIRoyalOak,28,16185.6,6918.53,6075.25
DRG057,PID230130,RIDMIRoyalOak,100,18647.05,7146.53,5748.51
DRG057,PID230254,RIDMIRoyalOak,23,14502.47,5629.04,4848.52
DRG057,PID230269,RIDMIRoyalOak,25,18908.72,5553.84,4972.88
DRG057,PID230302,RIDMIRoyalOak,15,16187.73,4882.8,3906
DRG064,PID230019,RIDMIRoyalOak,78,35669.14,13484.38,12612.26
DRG064,PID230130,RIDMIRoyalOak,170,45654.95,14698.23,13504.15
DRG064,PID230254,RIDMIRoyalOak,32,37584.28,11132.25,10491.9
DRG064,PID230269,RIDMIRoyalOak,41,37966.12,11309.29,10217.58
DRG064,PID230302,RIDMIRoyalOak,30,44855.83,12653.66,11857.2
DRG065,PID230019,RIDMIRoyalOak,160,24956.64,8591.45,7531.65
DRG065,PID230130,RIDMIRoyalOak,197,25443.24,8597.47,7433.43
DRG065,PID230254,RIDMIRoyalOak,50,19000,6954.42,5964.02
DRG065,PID230269,RIDMIRoyalOak,80,25331.33,7038.73,5993.16
DRG065,PID230302,RIDMIRoyalOak,40,26578.77,6248.67,5491.77
DRG066,PID230019,RIDMIRoyalOak,55,19192,6278.43,5122.03
DRG066,PID230130,RIDMIRoyalOak,56,19068.33,6106.67,4950.12
DRG066,PID230254,RIDMIRoyalOak,33,14585.93,5348.57,3846.78
DRG066,PID230269,RIDMIRoyalOak,61,19778,5099.91,3943.04
DRG066,PID230302,RIDMIRoyalOak,21,18798.28,5201,3173.19
DRG069,PID230019,RIDMIRoyalOak,149,17386.48,5516.43,4356.08
DRG069,PID230130,RIDMIRoyalOak,133,17967.97,5470.1,4299.02
DRG069,PID230254,RIDMIRoyalOak,66,15933.74,4424.25,3524.92
DRG069,PID230269,RIDMIRoyalOak,105,16658.82,4675.03,3528.5
DRG069,PID230302,RIDMIRoyalOak,33,15719.27,3962.42,3145.93
DRG074,PID230019,RIDMIRoyalOak,50,19003.2,6484.12,5854.04
DRG074,PID230130,RIDMIRoyalOak,65,17202.32,6482.87,5263.26
DRG074,PID230254,RIDMIRoyalOak,16,15337.43,5216.37,4306.62
DRG074,PID230269,RIDMIRoyalOak,48,16803.5,5478.18,4477.5
DRG101,PID230019,RIDMIRoyalOak,89,13219.07,5636.29,4911.23
DRG101,PID230130,RIDMIRoyalOak,56,16449.46,5567.21,4538.5
DRG101,PID230254,RIDMIRoyalOak,26,16074.19,4629.42,3766.03
DRG101,PID230269,RIDMIRoyalOak,63,15424.34,4697.04,3699.3
DRG101,PID230302,RIDMIRoyalOak,13,19804.23,4906.15,3610.76
DRG149,PID230019,RIDMIRoyalOak,39,13486.61,4731.02,3695.12
DRG149,PID230130,RIDMIRoyalOak,68,14591.01,4783,3603.05
DRG149,PID230254,RIDMIRoyalOak,26,14991.92,3924.92,2795.76
DRG149,PID230269,RIDMIRoyalOak,54,15173.29,4021.03,2945.62
DRG149,PID230302,RIDMIRoyalOak,15,13146.8,3441.93,2542.73
DRG176,PID230019,RIDMIRoyalOak,76,20500.15,7769.63,6955.89
DRG176,PID230130,RIDMIRoyalOak,80,28403.31,8039.23,6715.21
DRG176,PID230254,RIDMIRoyalOak,35,24970.17,6496.6,5760.94
DRG176,PID230269,RIDMIRoyalOak,56,32351.17,6759.37,5598.03
DRG176,PID230302,RIDMIRoyalOak,19,21148.68,5780.63,4951.57
DRG177,PID230019,RIDMIRoyalOak,47,37160.12,15230.8,14586.97
DRG177,PID230130,RIDMIRoyalOak,183,49948.78,15831.75,14966.53
DRG177,PID230254,RIDMIRoyalOak,19,61748.42,14137.73,12373.68
DRG177,PID230269,RIDMIRoyalOak,64,43412.9,12473.06,11528.62
DRG177,PID230302,RIDMIRoyalOak,48,40510.35,13215.85,12367.7
DRG178,PID230019,RIDMIRoyalOak,52,28118.84,10795.23,10172.44
DRG178,PID230130,RIDMIRoyalOak,112,32300.43,11334.79,10009.54
DRG178,PID230254,RIDMIRoyalOak,11,35751.45,9026.54,7948.9
DRG178,PID230269,RIDMIRoyalOak,36,28950.19,8957.22,8455
DRG178,PID230302,RIDMIRoyalOak,44,26148.25,7635.15,7277.88
DRG189,PID230019,RIDMIRoyalOak,25,27343.48,9566.88,8982.08
DRG189,PID230130,RIDMIRoyalOak,71,41071.64,9994.92,9399.15
DRG189,PID230254,RIDMIRoyalOak,24,40503.54,8242.66,7648.29
DRG189,PID230269,RIDMIRoyalOak,85,40018.18,8590.23,7432.65
DRG189,PID230302,RIDMIRoyalOak,26,34859.88,7708.15,7145.84
DRG190,PID230019,RIDMIRoyalOak,170,27912.98,9108.06,8370.15
DRG190,PID230130,RIDMIRoyalOak,252,31518.67,9019.59,7923.3
DRG190,PID230254,RIDMIRoyalOak,130,31760.2,7327.26,6556.63
DRG190,PID230269,RIDMIRoyalOak,235,38622.16,7832.17,6934.42
DRG190,PID230302,RIDMIRoyalOak,39,25920.82,6465.76,5481.23
DRG191,PID230019,RIDMIRoyalOak,264,21275.91,7289.04,6361.77
DRG191,PID230130,RIDMIRoyalOak,301,25629.06,7446.55,6535.68
DRG191,PID230254,RIDMIRoyalOak,102,21738.23,5868.17,5054.85
DRG191,PID230269,RIDMIRoyalOak,251,24959.17,6233.21,5080.57
DRG191,PID230302,RIDMIRoyalOak,45,17378.42,5155.97,4414.71
DRG192,PID230019,RIDMIRoyalOak,83,16169.81,5452.83,4408.85
DRG192,PID230130,RIDMIRoyalOak,103,15898.89,5402.36,4256.63
DRG192,PID230254,RIDMIRoyalOak,50,15039.54,4575.44,3281.24
DRG192,PID230269,RIDMIRoyalOak,94,17293.93,4532.24,3529.92
DRG192,PID230302,RIDMIRoyalOak,14,11602.78,3765.35,3127.64
DRG193,PID230019,RIDMIRoyalOak,133,28248.84,10913.95,10104.15
DRG193,PID230130,RIDMIRoyalOak,120,33047.55,11002.19,10258.39
DRG193,PID230254,RIDMIRoyalOak,60,36025.7,9035.7,8167.11
DRG193,PID230269,RIDMIRoyalOak,126,30494.81,9048.47,7970
DRG193,PID230302,RIDMIRoyalOak,32,30490.53,8442.34,7835.18
DRG194,PID230019,RIDMIRoyalOak,211,18555.33,7413.56,6575.53
DRG194,PID230130,RIDMIRoyalOak,151,19326.15,7456.27,6295.45
DRG194,PID230254,RIDMIRoyalOak,67,20923.37,6125.17,5239.67
DRG194,PID230269,RIDMIRoyalOak,146,22779.28,6180.26,5149.75
DRG194,PID230302,RIDMIRoyalOak,56,15268.87,5418.5,4317.57
