drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID230036,RIDMISaginaw,23,14654.34,7015,5995.34
DRG039,PID230041,RIDMISaginaw,56,21735.21,5819.58,4876.37
DRG039,PID230070,RIDMISaginaw,25,22537.4,6469.12,5523.36
DRG039,PID230077,RIDMISaginaw,49,16385.1,6423.32,5414.02
DRG039,PID230222,RIDMISaginaw,22,17693.45,6807.95,5989.04
DRG057,PID230041,RIDMISaginaw,29,12498.65,5356.17,4423.75
DRG057,PID230070,RIDMISaginaw,22,15068.81,5898.36,4928
DRG057,PID230077,RIDMISaginaw,28,19013.39,5628.78,4738.67
DRG064,PID230036,RIDMISaginaw,12,27294.58,13420.08,10827.75
DRG064,PID230041,RIDMISaginaw,35,32405.28,10489.65,9720.74
DRG064,PID230070,RIDMISaginaw,59,31972.42,11929,11016.72
DRG064,PID230077,RIDMISaginaw,50,40661.66,12060.34,11196.36
DRG064,PID230222,RIDMISaginaw,23,24055.69,12478.91,11698.34
DRG065,PID230036,RIDMISaginaw,17,22266.05,7711.88,6916.58
DRG065,PID230041,RIDMISaginaw,67,22627.34,6610.62,5687.1
DRG065,PID230070,RIDMISaginaw,89,18345.76,7339.05,6430.47
DRG065,PID230077,RIDMISaginaw,72,29772.36,7889.98,6689.79
DRG065,PID230222,RIDMISaginaw,45,14295.88,7499.11,6576.17
DRG066,PID230036,RIDMISaginaw,17,15289.7,5646,4654.7
DRG066,PID230041,RIDMISaginaw,27,18551.18,4702.81,3786.37
DRG066,PID230070,RIDMISaginaw,28,13129.89,5786.42,4075.25
DRG066,PID230077,RIDMISaginaw,61,20122.73,5197.11,4257.5
DRG066,PID230222,RIDMISaginaw,44,13648.77,5517.84,4546.75
DRG069,PID230041,RIDMISaginaw,91,14925.13,4205.9,3284.1
DRG069,PID230070,RIDMISaginaw,146,13230.22,4743.15,3736.22
DRG069,PID230077,RIDMISaginaw,26,20231.15,4699,3746.07
DRG069,PID230095,RIDMISaginaw,14,5008.07,4430,3466.57
DRG069,PID230222,RIDMISaginaw,34,10716.52,4933.32,3974.38
DRG074,PID230041,RIDMISaginaw,30,18293.63,4936.2,4201.63
DRG074,PID230070,RIDMISaginaw,35,17575.74,5568.31,4978.97
DRG074,PID230077,RIDMISaginaw,16,22811.75,5521.75,4535.25
DRG101,PID230041,RIDMISaginaw,40,13743.67,4362.45,3501.8
DRG101,PID230070,RIDMISaginaw,62,15303.95,4913.35,4052.8
