drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID230021,RIDMISt.Joseph,11,19762.27,6422.9,5502.54
DRG057,PID230021,RIDMISt.Joseph,23,9673.78,5821.26,4599.13
DRG064,PID230021,RIDMISt.Joseph,66,23636.8,12759.54,9835.1
DRG065,PID230021,RIDMISt.Joseph,96,15165.3,7154.56,6167.71
DRG066,PID230021,RIDMISt.Joseph,29,9715.62,5228.06,4100.06
DRG069,PID230021,RIDMISt.Joseph,84,9870.94,4750.9,3445.29
DRG074,PID230021,RIDMISt.Joseph,22,10959.54,5431.95,4615.95
DRG101,PID230021,RIDMISt.Joseph,34,9433.44,4849.7,3958.52
DRG149,PID230021,RIDMISt.Joseph,27,8694.59,4026.74,3068.37
DRG176,PID230021,RIDMISt.Joseph,29,11895.17,6949.41,5127
DRG177,PID230021,RIDMISt.Joseph,86,24711.87,13226.73,11432.59
DRG178,PID230021,RIDMISt.Joseph,33,13687.87,8520.45,7738.27
DRG189,PID230021,RIDMISt.Joseph,53,18044.58,8938.66,7856.15
DRG190,PID230021,RIDMISt.Joseph,177,13135.01,7235.53,6259.81
DRG190,PID230085,RIDMISt.Joseph,27,12373.25,8699.25,7950.51
DRG191,PID230021,RIDMISt.Joseph,103,10749.98,5918.25,5075.77
DRG192,PID230021,RIDMISt.Joseph,31,8019.9,4480.06,3404.03
DRG192,PID230078,RIDMISt.Joseph,22,10170.81,5882.22,4121.54
DRG192,PID230085,RIDMISt.Joseph,12,11641.25,5550.08,4528.41
DRG193,PID230021,RIDMISt.Joseph,100,15508.88,8917.96,8086.35
DRG194,PID230021,RIDMISt.Joseph,92,10620.41,6100.15,5137.64
DRG194,PID230078,RIDMISt.Joseph,43,11805.88,7103.41,6323.67
DRG194,PID230085,RIDMISt.Joseph,12,14629.41,7638.66,6884
DRG195,PID230021,RIDMISt.Joseph,23,8752.82,4548.56,3239.6
DRG195,PID230078,RIDMISt.Joseph,15,9107.46,5460.73,3739.46
DRG195,PID230085,RIDMISt.Joseph,11,9934.63,5437.81,4420.36
DRG202,PID230021,RIDMISt.Joseph,22,9033.18,5161.63,4135.13
