drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID230097,RIDMITraverseCity,92,15254.57,7236.39,5723.27
DRG057,PID230097,RIDMITraverseCity,32,16567.56,6343.18,5473.5
DRG064,PID230097,RIDMITraverseCity,54,29740.98,13213.87,11832.44
DRG065,PID230058,RIDMITraverseCity,15,14113.8,6796.86,5824.33
DRG065,PID230097,RIDMITraverseCity,90,20379.07,7962.85,6984.51
DRG066,PID230097,RIDMITraverseCity,84,14905.04,5916.88,4487.36
DRG069,PID230058,RIDMITraverseCity,33,9982.87,4821.36,3635.3
DRG069,PID230097,RIDMITraverseCity,79,11703.93,5096.08,3966.3
DRG074,PID230097,RIDMITraverseCity,32,14123.28,6083.12,4693.06
DRG101,PID230097,RIDMITraverseCity,54,15900.01,5331.53,3948.31
DRG149,PID230097,RIDMITraverseCity,25,11372.2,4425.88,3618.52
DRG176,PID230097,RIDMITraverseCity,31,17673.09,7827.96,6077.8
DRG177,PID230058,RIDMITraverseCity,23,20589.82,9964.56,9182.65
DRG177,PID230097,RIDMITraverseCity,47,40944.78,15194.48,13473.19
DRG178,PID230058,RIDMITraverseCity,14,13945.07,7983.28,7029
DRG178,PID230097,RIDMITraverseCity,48,22148.33,10198.04,9008.39
DRG189,PID230058,RIDMITraverseCity,58,13887,8129.55,7412.37
DRG189,PID230097,RIDMITraverseCity,103,29037.3,9176.73,8321.46
DRG190,PID230058,RIDMITraverseCity,31,11895.58,7068.32,6050
DRG190,PID230097,RIDMITraverseCity,105,26236.76,8541.34,7327.25
DRG191,PID230058,RIDMITraverseCity,44,10479.29,5852.88,4691.52
DRG191,PID230097,RIDMITraverseCity,128,18251.2,6705.16,5800.77
DRG192,PID230058,RIDMITraverseCity,12,9874.58,4991.08,3311.91
DRG192,PID230097,RIDMITraverseCity,99,14008.03,5013.92,4093.76
DRG193,PID230058,RIDMITraverseCity,29,16725.96,8255.75,6945.17
DRG193,PID230097,RIDMITraverseCity,91,30036.12,10330.51,9056.59
DRG194,PID230058,RIDMITraverseCity,28,12050.53,6301.42,5107.89
DRG194,PID230097,RIDMITraverseCity,140,17312.67,7065.96,5880.95
DRG195,PID230097,RIDMITraverseCity,79,12703.07,4923.44,3964.53
DRG202,PID230097,RIDMITraverseCity,36,19281.13,5925.36,5238.91
DRG203,PID230097,RIDMITraverseCity,26,10252.84,4264.61,3144.92
DRG207,PID230097,RIDMITraverseCity,14,85501.14,36660.57,35935.14
DRG208,PID230058,RIDMITraverseCity,15,24399.13,12941.26,12264.2
DRG208,PID230097,RIDMITraverseCity,27,45216,16886.29,13577.44
DRG238,PID230097,RIDMITraverseCity,99,54318.15,22057.45,19463.94
DRG243,PID230097,RIDMITraverseCity,89,47136.55,18192.66,16557.28
DRG244,PID230097,RIDMITraverseCity,151,36524.46,14261.68,12858.21
DRG246,PID230097,RIDMITraverseCity,64,56810.43,22197.62,20781.6
DRG247,PID230097,RIDMITraverseCity,348,37472.54,13679.93,12341.93
DRG249,PID230097,RIDMITraverseCity,141,33593.02,12505.58,11231.97
DRG251,PID230097,RIDMITraverseCity,41,30493.29,12580.29,10903.7
DRG252,PID230097,RIDMITraverseCity,33,75801.54,22330.93,21719.33
DRG253,PID230097,RIDMITraverseCity,109,56136.55,17088.27,15946.83
DRG254,PID230097,RIDMITraverseCity,147,42546.62,11288.97,10024.79
DRG280,PID230058,RIDMITraverseCity,27,13018.74,9213.18,8585.48
DRG280,PID230097,RIDMITraverseCity,128,33895.36,12913.17,11814.34
DRG281,PID230058,RIDMITraverseCity,18,11005.61,6714.55,6340.77
DRG281,PID230097,RIDMITraverseCity,106,24915.67,8370.86,7373.89
DRG282,PID230058,RIDMITraverseCity,16,8433.31,5050.75,4209.75
DRG282,PID230097,RIDMITraverseCity,87,19195.66,5604.48,4777.35
DRG286,PID230097,RIDMITraverseCity,29,38349.86,14151.62,13491.34
DRG287,PID230097,RIDMITraverseCity,230,18703.68,7605.94,6451.91
DRG291,PID230058,RIDMITraverseCity,33,14946.66,8524.72,7912.12
DRG291,PID230097,RIDMITraverseCity,56,31843.19,11119.41,10341.8
DRG292,PID230058,RIDMITraverseCity,32,11814.09,6164.96,5249.21
DRG292,PID230097,RIDMITraverseCity,182,22706.8,7204.5,6398.01
DRG293,PID230097,RIDMITraverseCity,112,15212.52,4810,3829.28
DRG300,PID230058,RIDMITraverseCity,11,12811.09,5510.63,4699
DRG300,PID230097,RIDMITraverseCity,21,18729.95,6299.38,5503.04
DRG301,PID230097,RIDMITraverseCity,25,15349.68,4585.8,3728.04
DRG303,PID230058,RIDMITraverseCity,33,9434.09,3791.36,2755.15
DRG303,PID230097,RIDMITraverseCity,18,10723.94,4038.22,3336.05
DRG305,PID230097,RIDMITraverseCity,17,15094.58,4256.17,3264.88
DRG308,PID230058,RIDMITraverseCity,23,16215.39,7546.3,6099.86
DRG308,PID230097,RIDMITraverseCity,38,28368.73,8753.63,7527.34
DRG309,PID230058,RIDMITraverseCity,37,12025.16,5322.21,4469.51
DRG309,PID230097,RIDMITraverseCity,85,16708.77,5940.27,4840.45
DRG310,PID230058,RIDMITraverseCity,19,8533.42,3648.52,2759.89
DRG310,PID230097,RIDMITraverseCity,144,11935.97,4024.64,3013.63
DRG312,PID230058,RIDMITraverseCity,28,11160.78,4622,3656.28
DRG312,PID230097,RIDMITraverseCity,108,13315.02,5224.69,3962.02
DRG313,PID230058,RIDMITraverseCity,33,9879.84,3544,2626.54
DRG313,PID230097,RIDMITraverseCity,107,11228.22,3882.98,2844.73
DRG314,PID230097,RIDMITraverseCity,20,33244.35,15121.05,13430.6
DRG315,PID230097,RIDMITraverseCity,22,25197.09,6908.09,5446.68
DRG329,PID230097,RIDMITraverseCity,39,94943.97,36802.79,35132.79
DRG330,PID230097,RIDMITraverseCity,36,38976.58,17453.97,15641.75
DRG372,PID230097,RIDMITraverseCity,30,29694.56,9462.13,7648.2
DRG377,PID230097,RIDMITraverseCity,33,32642.81,12224.54,10960.36
DRG378,PID230058,RIDMITraverseCity,36,15196.44,6577.47,5545.08
DRG378,PID230097,RIDMITraverseCity,112,18115.08,7149.15,6164.43
DRG379,PID230097,RIDMITraverseCity,48,13834.83,4953.81,4035.45
DRG389,PID230058,RIDMITraverseCity,11,16357.18,5800.54,4983.09
DRG389,PID230097,RIDMITraverseCity,36,12915.61,6443.47,5633.91
DRG390,PID230058,RIDMITraverseCity,13,12029.53,4104,3068.92
DRG390,PID230097,RIDMITraverseCity,28,12077.67,4487.25,3343.78
DRG391,PID230058,RIDMITraverseCity,29,17580.79,7237.41,6697.55
DRG391,PID230097,RIDMITraverseCity,43,26935.09,8135.74,7289.9
DRG392,PID230058,RIDMITraverseCity,84,11499.61,4609.71,3753.57
DRG392,PID230097,RIDMITraverseCity,197,15207.61,5106.25,4143.23
DRG394,PID230097,RIDMITraverseCity,41,21811.73,7418.31,6716.63
DRG418,PID230097,RIDMITraverseCity,32,32921.59,11971.68,10211.78
DRG419,PID230097,RIDMITraverseCity,21,22235.33,8229.9,6470.47
DRG439,PID230058,RIDMITraverseCity,12,12971.75,5940.83,5377.5
DRG439,PID230097,RIDMITraverseCity,31,20353.35,7013.54,6118.03
DRG460,PID230097,RIDMITraverseCity,131,45079.19,26838.87,23912.05
DRG469,PID230097,RIDMITraverseCity,21,51917.71,23438,22529.19
DRG470,PID230058,RIDMITraverseCity,47,30548.21,13347.25,12290.91
DRG470,PID230097,RIDMITraverseCity,503,25065.45,12171.65,10232.79
DRG473,PID230097,RIDMITraverseCity,49,30119.81,14669.48,11109.3
DRG480,PID230097,RIDMITraverseCity,16,45892.37,21838.5,20926.75
DRG481,PID230097,RIDMITraverseCity,81,31225.81,13737.81,11133.29
DRG482,PID230097,RIDMITraverseCity,47,26235.87,11158.42,8991.61
DRG491,PID230097,RIDMITraverseCity,157,15316.07,7022.1,5276.82
DRG536,PID230097,RIDMITraverseCity,26,9555.38,5126.42,3555.34
DRG552,PID230097,RIDMITraverseCity,94,12731.32,6195.92,4476.91
DRG563,PID230097,RIDMITraverseCity,28,11305.75,4959.82,4041.39
DRG602,PID230097,RIDMITraverseCity,12,40462.25,12784.58,11004.33
DRG603,PID230058,RIDMITraverseCity,29,11950.06,5413.86,3943.68
DRG603,PID230097,RIDMITraverseCity,108,15376.67,5937.61,4610.05
DRG638,PID230058,RIDMITraverseCity,11,9694.9,5175.63,4249.45
DRG638,PID230097,RIDMITraverseCity,33,16382.42,5822.03,4862.39
DRG640,PID230097,RIDMITraverseCity,26,29509.84,8924.88,8143.65
DRG641,PID230058,RIDMITraverseCity,34,9267.5,4349.85,3297.67
DRG641,PID230097,RIDMITraverseCity,140,12567.02,4788.3,4030.21
DRG682,PID230097,RIDMITraverseCity,50,29424.8,11180.28,10598.68
DRG683,PID230058,RIDMITraverseCity,19,10934.89,6104.15,5327.31
DRG683,PID230097,RIDMITraverseCity,85,21189.09,7081.65,6278.57
DRG684,PID230097,RIDMITraverseCity,50,14836.22,4573.5,3789.64
DRG689,PID230097,RIDMITraverseCity,47,21112.4,8549.19,6721.34
DRG690,PID230058,RIDMITraverseCity,46,10273.06,4800.3,3922.04
DRG690,PID230097,RIDMITraverseCity,197,13622.31,5419.85,4517.98
DRG699,PID230097,RIDMITraverseCity,24,16967.58,6550.16,6031.33
DRG812,PID230058,RIDMITraverseCity,18,9357.66,5128,4256.44
DRG812,PID230097,RIDMITraverseCity,42,15798.11,5565.97,4528.66
DRG853,PID230097,RIDMITraverseCity,29,89209.37,37676.34,36706.03
DRG871,PID230058,RIDMITraverseCity,65,19945.41,10741.47,9992.2
DRG871,PID230097,RIDMITraverseCity,201,34545.12,13455.71,12185.1
DRG872,PID230058,RIDMITraverseCity,29,14315.86,6758.13,6254
DRG872,PID230097,RIDMITraverseCity,107,21605.56,8068.22,7126.15
DRG885,PID230097,RIDMITraverseCity,16,19377.68,6293.5,5804.25
DRG897,PID230058,RIDMITraverseCity,11,12866.54,4197,3173.72
DRG897,PID230097,RIDMITraverseCity,33,13952.06,4647.09,3521.93
