drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID240002,RIDMNDuluth,37,17597.54,6791.35,5876.1
DRG039,PID240047,RIDMNDuluth,14,33972.07,8047.35,5276.5
DRG057,PID240002,RIDMNDuluth,17,18891.82,6201.29,5282.23
DRG057,PID240047,RIDMNDuluth,17,11129.29,6151.58,5422.88
DRG064,PID240002,RIDMNDuluth,35,27602.22,12513.48,11710.42
DRG064,PID240047,RIDMNDuluth,32,18119.84,11586.68,10706.31
DRG065,PID240002,RIDMNDuluth,51,20460.72,7830.05,6817.92
DRG065,PID240047,RIDMNDuluth,43,11036.72,7244,6130.51
DRG065,PID240084,RIDMNDuluth,14,13320.92,6983.14,6262.28
DRG066,PID240002,RIDMNDuluth,52,16581.67,5712.15,4283.34
DRG066,PID240047,RIDMNDuluth,14,10856.21,5298,4249.14
DRG066,PID240084,RIDMNDuluth,13,10826.92,5610.76,4660.3
DRG069,PID240002,RIDMNDuluth,26,13056.92,4888.73,3938.26
DRG069,PID240047,RIDMNDuluth,13,9829.23,4841.23,3888.3
DRG101,PID240002,RIDMNDuluth,32,11821.28,5054.21,4350.71
DRG101,PID240047,RIDMNDuluth,19,13032.21,5050.89,4071.21
DRG149,PID240002,RIDMNDuluth,24,10475.91,4272.87,3196.04
DRG176,PID240002,RIDMNDuluth,34,17301.73,7157.32,6004.88
DRG176,PID240047,RIDMNDuluth,23,15063,7003.43,5905.43
DRG177,PID240002,RIDMNDuluth,13,53897.38,15334.69,14901.69
DRG177,PID240047,RIDMNDuluth,29,31492.55,14794.75,11689.03
DRG178,PID240002,RIDMNDuluth,28,23949.57,10138.35,9453.35
DRG178,PID240047,RIDMNDuluth,18,14003.83,9274.94,8584.94
DRG189,PID240002,RIDMNDuluth,28,26476.46,9606.32,7697
DRG189,PID240047,RIDMNDuluth,75,29824.97,9418.16,8347.62
DRG190,PID240002,RIDMNDuluth,26,18154.19,7962.88,7095.8
DRG190,PID240047,RIDMNDuluth,39,21567.51,7841.15,7063.2
DRG190,PID240084,RIDMNDuluth,23,15209.56,8433.34,7455.95
DRG191,PID240002,RIDMNDuluth,48,15214.27,6513.06,5553.22
DRG191,PID240047,RIDMNDuluth,28,11449.42,6565.32,5128.25
DRG192,PID240002,RIDMNDuluth,31,12792.51,4871.41,3876.38
DRG192,PID240084,RIDMNDuluth,15,8939.73,5031.13,3983.13
DRG193,PID240002,RIDMNDuluth,30,22293.03,9678.43,9004.56
DRG193,PID240047,RIDMNDuluth,59,25246.55,10285.91,8561.38
DRG194,PID240002,RIDMNDuluth,100,16390.17,6904.57,5809.06
DRG194,PID240019,RIDMNDuluth,14,10253.78,8330,6445.71
DRG194,PID240047,RIDMNDuluth,65,14220.06,6597.9,5681.78
DRG194,PID240084,RIDMNDuluth,20,14401.35,6651.05,5916.85
DRG195,PID240002,RIDMNDuluth,38,12444.57,4711.97,3643.76
DRG195,PID240047,RIDMNDuluth,12,10967.83,4707,3771.66
DRG202,PID240002,RIDMNDuluth,16,14154.18,5643.68,4657.87
DRG207,PID240002,RIDMNDuluth,40,117398.55,40719.4,39476.57
DRG208,PID240002,RIDMNDuluth,54,43432.38,15162.37,14496.88
DRG208,PID240047,RIDMNDuluth,15,60485.2,17721.13,17125.86
DRG238,PID240002,RIDMNDuluth,63,72784.87,20980.39,20054.68
DRG238,PID240047,RIDMNDuluth,12,70314.58,20347.25,19595.25
DRG243,PID240002,RIDMNDuluth,43,42233.34,17489.55,16729.83
DRG243,PID240047,RIDMNDuluth,24,53469.45,17260.95,16465.79
DRG244,PID240002,RIDMNDuluth,50,39704.6,13625.96,12612.28
DRG244,PID240047,RIDMNDuluth,19,41105.52,13239.42,12460.52
DRG246,PID240002,RIDMNDuluth,36,69689.19,22710.3,21802.88
