drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID240001,RIDMNMinneapolis,23,28847.95,6678.91,6046.04
DRG039,PID240053,RIDMNMinneapolis,25,17466.44,6381.72,5479.96
DRG039,PID240057,RIDMNMinneapolis,42,34628.73,7602.57,5427.45
DRG039,PID240078,RIDMNMinneapolis,65,17139.52,6216.76,5012.5
DRG039,PID240088,RIDMNMinneapolis,15,12607.73,7529.8,6479.66
DRG039,PID240093,RIDMNMinneapolis,11,15378.63,7211,5248
DRG039,PID240115,RIDMNMinneapolis,34,28506.64,7288.58,5192
DRG039,PID520013,RIDMNMinneapolis,14,35808.85,6703.42,5737.71
DRG039,PID520070,RIDMNMinneapolis,20,26436.95,5733.5,4719.5
DRG057,PID240001,RIDMNMinneapolis,41,17589.82,5967.53,5336.41
DRG057,PID240004,RIDMNMinneapolis,13,15486.3,10576.92,9718.46
DRG057,PID240053,RIDMNMinneapolis,27,8519.11,5546.18,4755.51
DRG057,PID240057,RIDMNMinneapolis,46,28584.84,6814.73,5199.93
DRG057,PID240075,RIDMNMinneapolis,15,13297.26,5812.13,4839.6
DRG057,PID240078,RIDMNMinneapolis,15,30688.86,6310.06,5106.86
DRG057,PID240080,RIDMNMinneapolis,23,52209.21,12328.47,11200.6
DRG057,PID240093,RIDMNMinneapolis,19,12706.36,6359.26,5109.73
DRG057,PID240115,RIDMNMinneapolis,30,17442,5600.93,4608.33
DRG057,PID240132,RIDMNMinneapolis,24,20053.54,5153.75,4404.41
DRG064,PID240001,RIDMNMinneapolis,53,44342.81,12403.13,11683.58
DRG064,PID240004,RIDMNMinneapolis,37,45651.62,22035.67,19690.29
DRG064,PID240053,RIDMNMinneapolis,64,16226.87,11418.56,10317.29
DRG064,PID240057,RIDMNMinneapolis,74,55488.72,12546.44,11728.16
DRG064,PID240075,RIDMNMinneapolis,14,14440.14,11559.92,10919.92
DRG064,PID240078,RIDMNMinneapolis,38,33651.15,11007.81,9853.71
DRG064,PID240080,RIDMNMinneapolis,14,55562.64,21612.28,19550.57
DRG064,PID240093,RIDMNMinneapolis,37,25424.54,11820.1,10971.24
DRG064,PID240115,RIDMNMinneapolis,28,36648.75,11161.64,10237.5
DRG064,PID240132,RIDMNMinneapolis,13,46222.84,11300.84,10604.23
DRG064,PID520013,RIDMNMinneapolis,32,43369.59,13692.5,12919.25
DRG064,PID520070,RIDMNMinneapolis,20,27420.25,10129.6,9288.6
DRG065,PID240001,RIDMNMinneapolis,100,29144.32,7531.05,6414.3
DRG065,PID240004,RIDMNMinneapolis,28,35677.85,13494.1,12648.57
DRG065,PID240030,RIDMNMinneapolis,12,14496.08,6760.75,5820.08
DRG065,PID240040,RIDMNMinneapolis,19,12936.57,7746.52,6679.15
DRG065,PID240050,RIDMNMinneapolis,15,19853.8,7126.6,6300.73
DRG065,PID240053,RIDMNMinneapolis,95,11633.14,7113.87,5770.61
DRG065,PID240056,RIDMNMinneapolis,25,16068.48,6536.84,5593.64
DRG065,PID240057,RIDMNMinneapolis,120,33238.4,8397.28,6537.17
DRG065,PID240064,RIDMNMinneapolis,16,9696.68,6531.12,5619.37
DRG065,PID240075,RIDMNMinneapolis,31,16487.8,7010.61,6245.83
DRG065,PID240078,RIDMNMinneapolis,89,22720.78,6612.16,5471.53
DRG065,PID240080,RIDMNMinneapolis,23,33601.3,11138.6,10064.17
DRG065,PID240088,RIDMNMinneapolis,12,15910.58,8472,7722.66
DRG065,PID240093,RIDMNMinneapolis,34,20873.29,8585.85,6247.23
DRG065,PID240104,RIDMNMinneapolis,17,26250.17,7047.7,6052.64
DRG065,PID240115,RIDMNMinneapolis,73,29674.9,7465.45,6199.24
