drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID240036,RIDMNSt.Cloud,54,21249.25,7831.68,6817.64
DRG057,PID240036,RIDMNSt.Cloud,36,24035.33,7631.83,6880.72
DRG064,PID240036,RIDMNSt.Cloud,64,30718.54,13386.46,12421.29
DRG065,PID240036,RIDMNSt.Cloud,84,23624.25,8840.09,7573.42
DRG066,PID240036,RIDMNSt.Cloud,59,15175.98,6313.06,5112.76
DRG069,PID240036,RIDMNSt.Cloud,60,16548.95,5639.6,4613.98
DRG074,PID240036,RIDMNSt.Cloud,22,15203.54,6596.09,6034.45
DRG101,PID240036,RIDMNSt.Cloud,42,12763.9,5773.8,4862
DRG149,PID240036,RIDMNSt.Cloud,43,12911.41,4924.11,3819.9
DRG176,PID240036,RIDMNSt.Cloud,44,19884.47,8206.15,6571.54
DRG177,PID240036,RIDMNSt.Cloud,40,37095.62,16001.12,14615.67
DRG178,PID240036,RIDMNSt.Cloud,49,28545.63,10849.67,10279.3
DRG189,PID240036,RIDMNSt.Cloud,39,27508.94,11449.07,8424.12
DRG190,PID240036,RIDMNSt.Cloud,88,21493.75,9083.43,8187.4
DRG191,PID240036,RIDMNSt.Cloud,114,15626.3,7364.42,6265.49
DRG192,PID240036,RIDMNSt.Cloud,60,11948.41,5598.75,4626.53
DRG193,PID240036,RIDMNSt.Cloud,89,28301.25,10944.7,10289.06
DRG194,PID240036,RIDMNSt.Cloud,203,18281.75,7679.68,6773.78
DRG195,PID240036,RIDMNSt.Cloud,55,14584.25,5441.36,4603.9
DRG202,PID240036,RIDMNSt.Cloud,28,13928.6,6502.17,5579.92
DRG203,PID240036,RIDMNSt.Cloud,19,11135.36,4937.05,3170.42
DRG207,PID240036,RIDMNSt.Cloud,26,101104.5,39840,39363.57
DRG208,PID240036,RIDMNSt.Cloud,92,42016.09,17220.84,16523.32
DRG238,PID240036,RIDMNSt.Cloud,39,68660.46,23720.66,21393.48
DRG243,PID240036,RIDMNSt.Cloud,65,57267.36,19829.01,19000.95
DRG244,PID240036,RIDMNSt.Cloud,78,49630.46,15632.25,14315.83
DRG246,PID240036,RIDMNSt.Cloud,55,64137.67,25176.18,22411.72
DRG247,PID240036,RIDMNSt.Cloud,230,42723.4,15145.42,13643.75
DRG249,PID240036,RIDMNSt.Cloud,46,38618.43,13910.91,11768.8
DRG251,PID240036,RIDMNSt.Cloud,66,42475.84,13828.66,12688.98
DRG252,PID240036,RIDMNSt.Cloud,21,65904.9,25343.8,21506.8
DRG253,PID240036,RIDMNSt.Cloud,43,53743.81,18823.69,17302.72
DRG254,PID240036,RIDMNSt.Cloud,31,36681,12490.67,10845.77
DRG280,PID240036,RIDMNSt.Cloud,47,34739.46,13803.76,13013.04
DRG281,PID240036,RIDMNSt.Cloud,50,22790.16,9090.36,8273.5
DRG282,PID240036,RIDMNSt.Cloud,22,15699.31,6166.09,5245.72
DRG286,PID240036,RIDMNSt.Cloud,20,44740.55,15315.5,14589.3
DRG287,PID240036,RIDMNSt.Cloud,131,20840.87,8385.21,7037.8
DRG291,PID240036,RIDMNSt.Cloud,105,33557.23,11537.11,10756.06
DRG292,PID240036,RIDMNSt.Cloud,237,20404.75,7820.89,7078.58
DRG293,PID240036,RIDMNSt.Cloud,68,14619.94,5270.47,4319.01
DRG300,PID240036,RIDMNSt.Cloud,34,19468.32,7293.79,6080.38
DRG301,PID240036,RIDMNSt.Cloud,13,12236,5082.53,4127.15
DRG303,PID240036,RIDMNSt.Cloud,34,13279.38,4523.29,3374.02
DRG305,PID240036,RIDMNSt.Cloud,33,13794.87,4698.96,3743.33
DRG308,PID240036,RIDMNSt.Cloud,44,28976.65,9670.31,8716.7
DRG309,PID240036,RIDMNSt.Cloud,84,18017.17,6400.78,5561.58
DRG310,PID240036,RIDMNSt.Cloud,115,11492.01,4492.17,3325.38
DRG312,PID240036,RIDMNSt.Cloud,113,13751.5,5565.04,4503.73
DRG313,PID240036,RIDMNSt.Cloud,173,12985.98,4271,3288.54
DRG314,PID240036,RIDMNSt.Cloud,45,36619.55,14197.02,13450.64
DRG315,PID240036,RIDMNSt.Cloud,27,21101.62,7378.59,6732.88
DRG329,PID240036,RIDMNSt.Cloud,38,88999.55,40048.5,39338.57
DRG330,PID240036,RIDMNSt.Cloud,57,54505.17,20102.35,18500.91
DRG372,PID240036,RIDMNSt.Cloud,36,23546.16,9731.55,9146.41
DRG377,PID240036,RIDMNSt.Cloud,41,38802.26,13776.95,13145.02
DRG378,PID240036,RIDMNSt.Cloud,139,19950.54,7882.12,6889.87
DRG379,PID240036,RIDMNSt.Cloud,16,11712.87,5405,4562
DRG389,PID240036,RIDMNSt.Cloud,65,18646.78,7254.33,5918.63
DRG390,PID240036,RIDMNSt.Cloud,32,11907.93,4891,3942.87
DRG391,PID240036,RIDMNSt.Cloud,37,20207.32,8843.64,8209.81
DRG392,PID240036,RIDMNSt.Cloud,226,14680.77,5592.23,4566.36
DRG394,PID240036,RIDMNSt.Cloud,40,18352.35,7719.72,6340.37
DRG418,PID240036,RIDMNSt.Cloud,39,42005.84,13008.48,12028.17
DRG419,PID240036,RIDMNSt.Cloud,19,26583.78,8934.68,8046.05
DRG439,PID240036,RIDMNSt.Cloud,14,33030.21,8871.71,8144
DRG460,PID240036,RIDMNSt.Cloud,68,85706.3,29807.36,27265.8
DRG469,PID240036,RIDMNSt.Cloud,28,59523.25,25344.32,24377.46
DRG470,PID240036,RIDMNSt.Cloud,479,42857.78,16380.01,14199.43
DRG473,PID240036,RIDMNSt.Cloud,47,36223.1,16034.57,13836.95
DRG480,PID240036,RIDMNSt.Cloud,13,69901.15,23290.15,22429.23
DRG481,PID240036,RIDMNSt.Cloud,65,40468.33,14266.9,13080.8
DRG482,PID240036,RIDMNSt.Cloud,21,32572.95,11749.52,10060.61
DRG491,PID240036,RIDMNSt.Cloud,166,19676.48,7666,6297.46
DRG536,PID240036,RIDMNSt.Cloud,19,16528.21,5541.84,4591.94
DRG552,PID240036,RIDMNSt.Cloud,73,17997.05,7181.89,4783.27
DRG563,PID240036,RIDMNSt.Cloud,20,13615.1,6288.45,4013.35
DRG602,PID240036,RIDMNSt.Cloud,18,25497.61,10741.72,9706.11
DRG603,PID240036,RIDMNSt.Cloud,87,15175.06,6399.05,5320.35
DRG638,PID240036,RIDMNSt.Cloud,40,14811.55,6341.62,5667.22
DRG640,PID240036,RIDMNSt.Cloud,47,25453.29,8752,7953.61
DRG641,PID240036,RIDMNSt.Cloud,139,15045.58,5333.74,4334.87
DRG682,PID240036,RIDMNSt.Cloud,58,38075.44,12730.34,11542.84
DRG683,PID240036,RIDMNSt.Cloud,145,19728.16,7853.4,6864.57
DRG684,PID240036,RIDMNSt.Cloud,27,12586.59,5052.4,4259.37
DRG689,PID240036,RIDMNSt.Cloud,19,31979.63,10281.42,9568.15
DRG690,PID240036,RIDMNSt.Cloud,140,15008.33,5936.7,5069.61
DRG698,PID240036,RIDMNSt.Cloud,26,26777.34,11934.69,11419.61
DRG699,PID240036,RIDMNSt.Cloud,31,15619.96,7380.29,6342.41
DRG812,PID240036,RIDMNSt.Cloud,41,19892.17,6108.04,5337.31
DRG853,PID240036,RIDMNSt.Cloud,38,113910.36,45375.73,43326.13
DRG870,PID240036,RIDMNSt.Cloud,23,143632.82,53651.6,51754.43
DRG871,PID240036,RIDMNSt.Cloud,185,44500.4,15243.89,14018.07
DRG872,PID240036,RIDMNSt.Cloud,78,21330.56,8638.14,7789.6
DRG885,PID240036,RIDMNSt.Cloud,116,25304.16,7958.94,6237.42
DRG897,PID240036,RIDMNSt.Cloud,40,18565.92,5008.55,4004.45
DRG917,PID240036,RIDMNSt.Cloud,21,52267.23,15705.09,12136.85
DRG918,PID240036,RIDMNSt.Cloud,34,15296.17,5172.91,3659.55
DRG948,PID240036,RIDMNSt.Cloud,43,14382.3,5264.67,4408.9
