drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID240063,RIDMNSt.Paul,14,51058.64,13234.35,4930.28
DRG039,PID240106,RIDMNSt.Paul,26,32270.19,8478.19,7486.65
DRG057,PID240038,RIDMNSt.Paul,41,24342.31,6713,5249
DRG057,PID240063,RIDMNSt.Paul,26,16888.5,5873.65,4366.11
DRG057,PID240106,RIDMNSt.Paul,18,28631.72,8157.5,7065.55
DRG057,PID240210,RIDMNSt.Paul,25,19232.24,5844.44,5126.36
DRG064,PID240038,RIDMNSt.Paul,52,57475.03,12913.84,11053.88
DRG064,PID240063,RIDMNSt.Paul,55,48355.27,12838.09,12032.12
DRG064,PID240106,RIDMNSt.Paul,53,42774.24,16204.96,15143.62
DRG064,PID240210,RIDMNSt.Paul,14,26460.85,10438.71,9711
DRG065,PID240038,RIDMNSt.Paul,69,36224.49,7647.42,6444.27
DRG065,PID240063,RIDMNSt.Paul,78,29853.41,8397.75,6570.84
DRG065,PID240106,RIDMNSt.Paul,79,28671.06,9688.89,8697.07
DRG065,PID240210,RIDMNSt.Paul,41,24038.02,7537.53,6063.85
DRG065,PID240213,RIDMNSt.Paul,11,30101.54,8766.36,5569.45
DRG066,PID240038,RIDMNSt.Paul,34,32684.26,5411.61,4453.61
DRG066,PID240063,RIDMNSt.Paul,46,25124.97,5448.63,4471.23
DRG066,PID240106,RIDMNSt.Paul,39,24394.1,6987.1,5600.38
DRG066,PID240210,RIDMNSt.Paul,27,18260.48,5359.03,3865.03
DRG066,PID240213,RIDMNSt.Paul,15,20520.86,6092.26,3627.13
DRG069,PID240038,RIDMNSt.Paul,38,24892.23,5336.97,3791.68
DRG069,PID240063,RIDMNSt.Paul,37,20647.7,4880.64,3939.13
DRG069,PID240106,RIDMNSt.Paul,34,16666.17,6152.32,5103.2
DRG069,PID240210,RIDMNSt.Paul,28,15778.1,5232.42,3673.53
DRG069,PID240213,RIDMNSt.Paul,12,18492,4414,3384.33
DRG074,PID240038,RIDMNSt.Paul,33,25615.9,5686.45,4969
DRG074,PID240106,RIDMNSt.Paul,18,29279.72,7953,7083.22
DRG074,PID240210,RIDMNSt.Paul,13,18313.15,5592.76,4985.69
DRG101,PID240038,RIDMNSt.Paul,87,22945.03,5414.96,3905.52
DRG101,PID240063,RIDMNSt.Paul,30,18629.7,5051.86,4263.73
DRG101,PID240106,RIDMNSt.Paul,40,22039.92,6485.8,5662.02
DRG101,PID240210,RIDMNSt.Paul,14,16690.64,4930.78,4129.07
DRG149,PID240038,RIDMNSt.Paul,34,20080.64,4199.5,3370.91
DRG149,PID240106,RIDMNSt.Paul,29,15043.34,5411.65,4288.89
DRG149,PID240210,RIDMNSt.Paul,20,17150.95,4149.6,3195.4
DRG176,PID240038,RIDMNSt.Paul,35,29609.31,6787.11,6176.25
DRG176,PID240063,RIDMNSt.Paul,13,25281,6981.84,6033.84
DRG176,PID240106,RIDMNSt.Paul,26,18523.34,8683.61,7648.53
DRG176,PID240210,RIDMNSt.Paul,25,16831.12,7707.52,5641.48
DRG176,PID240213,RIDMNSt.Paul,11,16543.54,6247,5329.54
DRG177,PID240038,RIDMNSt.Paul,23,37142.91,12408.17,11917.39
DRG177,PID240063,RIDMNSt.Paul,18,36742.11,12286.44,11706.5
DRG177,PID240106,RIDMNSt.Paul,15,31837.2,16544.73,16094.06
DRG177,PID240210,RIDMNSt.Paul,15,29080.46,11711.4,11017.6
DRG177,PID240213,RIDMNSt.Paul,14,34020.21,11955.07,9507.07
DRG178,PID240038,RIDMNSt.Paul,29,30582.34,8964.06,8380.75
DRG178,PID240063,RIDMNSt.Paul,17,32637.05,9463.29,8938.11
DRG178,PID240066,RIDMNSt.Paul,12,18984.08,8023.41,7462.75
DRG178,PID240106,RIDMNSt.Paul,15,23995.46,11238.86,10568.2
DRG178,PID240210,RIDMNSt.Paul,23,23952.82,9117.82,8631.21
DRG189,PID240038,RIDMNSt.Paul,57,34772.49,9518.82,8006.89
DRG189,PID240063,RIDMNSt.Paul,86,30887.86,8788.54,8185.66
DRG189,PID240106,RIDMNSt.Paul,77,28187.98,11289.2,10535.76
DRG189,PID240210,RIDMNSt.Paul,58,29425.27,8734.08,7667.87
DRG189,PID240213,RIDMNSt.Paul,36,19671.72,8158.97,6779.52
DRG190,PID240038,RIDMNSt.Paul,40,27302.55,7588.4,6800
DRG190,PID240063,RIDMNSt.Paul,22,21511.86,7808,6840.54
DRG190,PID240106,RIDMNSt.Paul,57,20147.63,9523.66,8582.68
DRG190,PID240210,RIDMNSt.Paul,49,22392.28,7298.1,6515.24
DRG190,PID240213,RIDMNSt.Paul,22,24723.45,9021.27,5075.09
DRG191,PID240038,RIDMNSt.Paul,54,20590.24,6327.01,5517.75
DRG191,PID240059,RIDMNSt.Paul,17,15299.7,5924.94,5063.05
DRG191,PID240063,RIDMNSt.Paul,41,19174.17,6408.8,5723.24
DRG191,PID240106,RIDMNSt.Paul,52,13115.55,7790.51,6782.9
DRG191,PID240210,RIDMNSt.Paul,78,16391.26,6843.1,5013.88
DRG191,PID240213,RIDMNSt.Paul,15,17902.73,7346.2,4006.6
DRG192,PID240038,RIDMNSt.Paul,31,19908.03,5096.64,3737.45
DRG192,PID240059,RIDMNSt.Paul,12,12358.08,4897.83,4051.5
DRG192,PID240063,RIDMNSt.Paul,13,16538.76,4809.92,3941.61
DRG192,PID240066,RIDMNSt.Paul,11,10817.54,4401,3209.81
DRG192,PID240106,RIDMNSt.Paul,28,14893.25,6200.57,4678.85
DRG192,PID240210,RIDMNSt.Paul,35,13789.8,4886.74,3708.71
DRG193,PID240038,RIDMNSt.Paul,45,40138.24,10428.93,8243.62
DRG193,PID240059,RIDMNSt.Paul,15,23114.26,9280,8452
DRG193,PID240063,RIDMNSt.Paul,38,25631.78,10034.02,8453.5
