drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID260110,RIDMOCapeGirardeau,37,42454.29,5841.83,4720.86
DRG039,PID260183,RIDMOCapeGirardeau,36,32259,6408.16,4977.25
DRG057,PID260183,RIDMOCapeGirardeau,17,25342.41,5261.58,4466.29
DRG064,PID260110,RIDMOCapeGirardeau,32,48165.25,10759.43,10059.93
DRG064,PID260183,RIDMOCapeGirardeau,39,53116.35,12288.2,11424.74
DRG065,PID260110,RIDMOCapeGirardeau,56,24472.69,6258.44,5325.07
DRG065,PID260113,RIDMOCapeGirardeau,17,19368.52,7079.58,6078.11
DRG065,PID260183,RIDMOCapeGirardeau,70,32280.64,6719.38,5738.87
DRG066,PID260110,RIDMOCapeGirardeau,53,20059.64,4583.07,3649.94
DRG066,PID260183,RIDMOCapeGirardeau,59,22295.93,5057.01,3773.71
DRG069,PID260110,RIDMOCapeGirardeau,48,17828.64,4188.87,3371.45
DRG069,PID260113,RIDMOCapeGirardeau,18,16824.72,4845,3901.66
DRG069,PID260160,RIDMOCapeGirardeau,11,10401.09,4475.81,3664.18
DRG069,PID260183,RIDMOCapeGirardeau,49,21443.75,4699.06,3142.06
DRG074,PID260183,RIDMOCapeGirardeau,12,26295,5030.16,4097.5
DRG101,PID260070,RIDMOCapeGirardeau,13,9538.76,4477.07,3759.84
DRG101,PID260110,RIDMOCapeGirardeau,16,22413.25,4365.25,3308
DRG101,PID260113,RIDMOCapeGirardeau,15,19253.53,4910.66,4093.33
DRG101,PID260183,RIDMOCapeGirardeau,21,20220.66,4392.28,3642.19
DRG149,PID260110,RIDMOCapeGirardeau,11,18258.09,3733.27,2471.45
DRG149,PID260183,RIDMOCapeGirardeau,11,23158.63,3740.72,2614.54
DRG176,PID260110,RIDMOCapeGirardeau,13,22943.53,6182,4832.92
DRG176,PID260183,RIDMOCapeGirardeau,23,27914.26,7261.21,5131.65
DRG177,PID260110,RIDMOCapeGirardeau,22,54439.45,12171.77,11507.22
DRG177,PID260183,RIDMOCapeGirardeau,23,57434.78,12887.73,12302.69
DRG178,PID260113,RIDMOCapeGirardeau,11,37474.36,9347.45,8713
DRG178,PID260183,RIDMOCapeGirardeau,27,41768.07,8599.18,7893.55
