drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID260009,RIDMOColumbia,14,11025.57,5382.5,4261.92
DRG039,PID260025,RIDMOColumbia,14,29222,6708.5,5902.21
DRG039,PID260047,RIDMOColumbia,46,20238,6211.65,5001.02
DRG039,PID260068,RIDMOColumbia,111,12889.36,5066.52,4065.29
DRG039,PID260141,RIDMOColumbia,16,29369.18,7517.37,6680
DRG039,PID260186,RIDMOColumbia,11,26651,7083.18,6057
DRG057,PID260009,RIDMOColumbia,16,12106.37,4942,4171.75
DRG057,PID260011,RIDMOColumbia,16,15335.62,4756.31,3980.06
DRG057,PID260068,RIDMOColumbia,30,12625.63,4621,3571.93
DRG057,PID260141,RIDMOColumbia,14,25684.92,6826.35,6105.5
DRG057,PID260186,RIDMOColumbia,13,23741.23,6389,5349
DRG064,PID260009,RIDMOColumbia,17,26328.88,9761.76,9031.17
DRG064,PID260011,RIDMOColumbia,15,23543.93,9382.46,8483.26
DRG064,PID260025,RIDMOColumbia,16,25381.56,14284.25,9823.62
DRG064,PID260047,RIDMOColumbia,13,16308.84,11194.3,10062.76
DRG064,PID260068,RIDMOColumbia,63,27194.6,9049.15,8178.87
DRG064,PID260141,RIDMOColumbia,50,36290.72,14062.12,13112.28
DRG064,PID260186,RIDMOColumbia,16,38708.68,12949.81,11901.37
DRG065,PID260009,RIDMOColumbia,36,16100.05,6416.16,5521.69
DRG065,PID260011,RIDMOColumbia,42,21079.92,5940.28,5110.09
DRG065,PID260022,RIDMOColumbia,12,30806.58,8726.58,7882.91
DRG065,PID260025,RIDMOColumbia,36,14202.22,7554.33,6505.86
DRG065,PID260047,RIDMOColumbia,41,16151.09,6882.85,6008.7
DRG065,PID260064,RIDMOColumbia,14,15468.35,6690.71,5969.85
DRG065,PID260068,RIDMOColumbia,101,18098.93,5837.63,4350.07
DRG065,PID260141,RIDMOColumbia,60,28725.28,8721.15,7339.53
DRG065,PID260186,RIDMOColumbia,42,25603.97,7658.4,6883.64
DRG066,PID260009,RIDMOColumbia,27,14411.81,4471.55,3424.44
DRG066,PID260011,RIDMOColumbia,12,15859.5,3916.41,3078.08
DRG066,PID260025,RIDMOColumbia,13,11547.84,5222.3,4271.84
DRG066,PID260047,RIDMOColumbia,15,13701.46,5032.93,3982.8
DRG066,PID260068,RIDMOColumbia,65,13268.38,4338.21,2984.09
DRG066,PID260141,RIDMOColumbia,35,24605.77,7344.22,4799.51
DRG066,PID260186,RIDMOColumbia,26,24319.69,5734.73,4664.61
DRG069,PID260009,RIDMOColumbia,14,12785.14,4290.07,2898.07
DRG069,PID260011,RIDMOColumbia,37,15461.86,4204.05,2588.81
DRG069,PID260047,RIDMOColumbia,22,11695.09,4623.63,3804.72
DRG069,PID260064,RIDMOColumbia,17,16088.94,4854.94,3930.17
