drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID260001,RIDMOJoplin,56,15148.83,5800.48,4800.37
DRG039,PID260137,RIDMOJoplin,54,23523.01,6018.42,4923.46
DRG057,PID260001,RIDMOJoplin,13,16028.38,5110.84,4421.61
DRG064,PID260001,RIDMOJoplin,23,38011.82,10447.65,9720.47
DRG064,PID260137,RIDMOJoplin,35,39502.94,11119.82,10347.25
DRG065,PID170006,RIDMOJoplin,21,18444,6179.19,5275
DRG065,PID260001,RIDMOJoplin,52,22580.59,6505.9,5513.44
DRG065,PID260137,RIDMOJoplin,69,23396.81,7109.66,6020.63
DRG065,PID370004,RIDMOJoplin,19,13723.31,6380.31,5126.89
DRG065,PID370113,RIDMOJoplin,26,16511.15,7585.03,5624.61
DRG066,PID170006,RIDMOJoplin,12,15181.83,4522.33,3587
DRG066,PID260001,RIDMOJoplin,28,16983.6,4577.28,3615
DRG066,PID260137,RIDMOJoplin,39,15462.51,4972.15,3992.66
DRG066,PID370004,RIDMOJoplin,13,11695.76,4592,3731.07
DRG069,PID260001,RIDMOJoplin,33,15827.3,4240.6,3028.42
DRG069,PID260137,RIDMOJoplin,64,16859.48,4453.35,3486.43
DRG069,PID370004,RIDMOJoplin,17,10210.76,4095,3170.29
DRG069,PID370113,RIDMOJoplin,19,11275.68,4157,3326.26
DRG074,PID260001,RIDMOJoplin,13,17140.07,4886.07,4196.84
DRG101,PID260137,RIDMOJoplin,28,15619.1,5101.03,3258.25
DRG101,PID370004,RIDMOJoplin,11,10511.18,4691.45,2808.63
DRG149,PID260001,RIDMOJoplin,11,17924.81,3633,2715.54
DRG149,PID260137,RIDMOJoplin,21,17660.33,3889.04,2978.76
DRG176,PID260001,RIDMOJoplin,11,22637.27,6047.18,5338.45
DRG176,PID260137,RIDMOJoplin,30,26193.06,6603.76,5538.4
DRG177,PID260001,RIDMOJoplin,16,55609.12,11620.75,10574.75
DRG177,PID260137,RIDMOJoplin,20,51108.35,12508.4,12131.15
DRG178,PID170006,RIDMOJoplin,19,25182.47,8441.94,7737.1
DRG178,PID170058,RIDMOJoplin,13,35123.76,9234.38,8453.15
DRG178,PID260001,RIDMOJoplin,13,25988.69,8000.84,7396.23
DRG178,PID260061,RIDMOJoplin,14,17947.07,9893.28,9008.42
DRG178,PID260137,RIDMOJoplin,17,36791.76,9148.82,7874.82
DRG178,PID370113,RIDMOJoplin,16,27475.43,8360.68,7869.43
DRG189,PID170006,RIDMOJoplin,21,31733.14,7948.23,6630.71
DRG189,PID170058,RIDMOJoplin,12,41190.16,8198,7260
DRG189,PID260001,RIDMOJoplin,96,33269.17,7397.25,6363.52
DRG189,PID260137,RIDMOJoplin,105,38941.88,8041.05,7061.24
DRG190,PID170006,RIDMOJoplin,27,25844.44,6860,6237.03
DRG190,PID260001,RIDMOJoplin,50,30247.8,6889.78,5772.32
DRG190,PID260137,RIDMOJoplin,95,25583.14,7293.63,6282.56
DRG190,PID370004,RIDMOJoplin,27,24262.59,6778.81,5989.33
DRG190,PID370113,RIDMOJoplin,21,19383.95,6700.66,5545.52
DRG191,PID170006,RIDMOJoplin,33,19290,5566.84,4886.6
DRG191,PID260001,RIDMOJoplin,40,24808.87,5552.32,4377.95
DRG191,PID260061,RIDMOJoplin,11,16493.54,7009.63,6192.18
DRG191,PID260137,RIDMOJoplin,56,18329.25,5932.69,4841.96
DRG191,PID370004,RIDMOJoplin,24,11809.12,5405.16,4469.83
DRG191,PID370113,RIDMOJoplin,31,15278.09,5460.77,4700.12
DRG192,PID170006,RIDMOJoplin,36,15482.3,4158.5,3163.5
DRG192,PID170058,RIDMOJoplin,22,16436.9,4603.86,3344.4
DRG192,PID260001,RIDMOJoplin,33,16411.72,4046.96,3058.45
DRG192,PID260061,RIDMOJoplin,16,9214.31,5198,4215.5
DRG192,PID260137,RIDMOJoplin,38,16018.6,4324.47,3012.15
DRG192,PID370004,RIDMOJoplin,35,12205.77,4041.25,3143.88
DRG192,PID370113,RIDMOJoplin,46,12719.23,4198.52,3246.32
DRG193,PID170006,RIDMOJoplin,27,34699.18,9687.18,8225.29
DRG193,PID260001,RIDMOJoplin,119,36889.09,8399.51,7447.27
DRG193,PID260137,RIDMOJoplin,93,36249.27,9020.81,8172.79
DRG193,PID370004,RIDMOJoplin,36,22500.27,8219.11,7227.44
DRG194,PID170006,RIDMOJoplin,59,21509.18,6205.88,4986.98
DRG194,PID170058,RIDMOJoplin,26,29098.88,6558.38,5825.61
DRG194,PID260001,RIDMOJoplin,63,21769.41,5711.33,4677.19
DRG194,PID260061,RIDMOJoplin,15,14673,6996.73,6024.2
DRG194,PID260137,RIDMOJoplin,108,23891.5,6109.87,5147.65
DRG194,PID370004,RIDMOJoplin,79,19091.72,5652.25,4636.5
DRG194,PID370113,RIDMOJoplin,57,17884.84,5771.35,4847.33
DRG195,PID170006,RIDMOJoplin,33,15486.75,4252.96,2859.36
DRG195,PID170058,RIDMOJoplin,23,18545.52,4533.52,3568.43
DRG195,PID260001,RIDMOJoplin,35,14911.97,3990.2,2900.6
DRG195,PID260061,RIDMOJoplin,17,10362.35,5021.05,3970.7
DRG195,PID260137,RIDMOJoplin,44,15052.29,4445.22,3306.97
DRG195,PID370004,RIDMOJoplin,34,13564.91,3975,2984.64
DRG195,PID370113,RIDMOJoplin,47,10439.4,3993.46,3204.1
DRG202,PID260001,RIDMOJoplin,15,28517.6,4800,3969.86
DRG202,PID260137,RIDMOJoplin,16,22674.81,5196.12,3968.62
DRG207,PID260001,RIDMOJoplin,18,124077.72,28883.55,28380.44
DRG207,PID260137,RIDMOJoplin,31,101393.09,29925.74,28963.22
DRG208,PID260001,RIDMOJoplin,50,58312.7,13084.16,12508.2
DRG208,PID260137,RIDMOJoplin,97,52190.78,13979.79,12950.16
DRG208,PID370113,RIDMOJoplin,19,44751.68,12902.42,12417.68
DRG238,PID260001,RIDMOJoplin,21,42693.47,17038.8,15359.47
DRG238,PID260137,RIDMOJoplin,48,69917.95,19281.14,17060.52
DRG243,PID260001,RIDMOJoplin,12,58025.58,15082.41,14246.75
DRG243,PID260137,RIDMOJoplin,21,63548.09,15656.52,14904.9
DRG244,PID260001,RIDMOJoplin,24,53442.79,12149,10325
DRG244,PID260137,RIDMOJoplin,25,57325.64,12520.32,10574.28
DRG246,PID260001,RIDMOJoplin,34,94242.26,19131.58,16368.14
DRG246,PID260137,RIDMOJoplin,61,80219.21,19504.65,18765.5
DRG247,PID170006,RIDMOJoplin,28,39821.89,11328,10402.71
DRG247,PID260001,RIDMOJoplin,106,62190.72,11756.67,9813.26
DRG247,PID260137,RIDMOJoplin,241,43195.35,12051.25,10213.06
DRG247,PID370113,RIDMOJoplin,22,44947.31,11978.63,9872.04
DRG249,PID260001,RIDMOJoplin,20,54204.8,10083.2,8962.4
DRG249,PID260137,RIDMOJoplin,28,34874.14,10702.42,9086.92
DRG251,PID260001,RIDMOJoplin,19,57361.73,10632.15,9804.78
DRG251,PID260137,RIDMOJoplin,26,33941.65,11496.46,9566.19
DRG252,PID260137,RIDMOJoplin,26,61287.88,17836.15,16556.65
DRG253,PID260001,RIDMOJoplin,20,39122.7,13836.9,12994.3
DRG253,PID260137,RIDMOJoplin,83,45341.14,14526.19,13232.19
DRG254,PID260001,RIDMOJoplin,29,31047.44,9363.96,8396.93
DRG254,PID260137,RIDMOJoplin,65,35162.67,9760.53,8796.66
DRG280,PID170006,RIDMOJoplin,12,33941.41,10449.41,9516.75
DRG280,PID260001,RIDMOJoplin,25,49407.36,10355.64,9686.68
DRG280,PID260137,RIDMOJoplin,21,52730.14,11568.47,10762.95
DRG281,PID170006,RIDMOJoplin,12,29627.33,6613,5766.66
DRG281,PID260137,RIDMOJoplin,25,22560.44,7151.04,6022.84
DRG282,PID170006,RIDMOJoplin,15,18023.46,4504.93,3763.06
DRG282,PID260137,RIDMOJoplin,15,17819,4883.93,3831.66
DRG286,PID260001,RIDMOJoplin,12,44434.08,11387.33,10646
DRG286,PID260137,RIDMOJoplin,28,50219.07,12503.17,11629.21
DRG287,PID170006,RIDMOJoplin,65,23281.41,6583.26,4850.61
DRG287,PID260001,RIDMOJoplin,79,26802.11,6169,5013.22
DRG287,PID260137,RIDMOJoplin,178,20332.88,6723.16,5680.58
DRG287,PID370113,RIDMOJoplin,25,23981.12,6087.04,5230.56
DRG291,PID170006,RIDMOJoplin,29,28519.75,8503.93,7843.65
DRG291,PID170058,RIDMOJoplin,16,26203.18,9777.25,9062.62
DRG291,PID260001,RIDMOJoplin,90,32994.73,8319.17,7672.95
DRG291,PID260137,RIDMOJoplin,80,38410.93,9163.23,8450.1
DRG291,PID370004,RIDMOJoplin,21,24454.33,8221.52,7783.28
DRG291,PID370113,RIDMOJoplin,20,21443.1,7948.3,7273.9
DRG292,PID170006,RIDMOJoplin,56,17305.03,5878.62,5133.8
DRG292,PID170058,RIDMOJoplin,13,24716.76,6237.76,5371.92
DRG292,PID260001,RIDMOJoplin,30,21512.66,5712,5144.03
DRG292,PID260061,RIDMOJoplin,23,14863.21,7241,6606.73
DRG292,PID260137,RIDMOJoplin,97,19594.7,6216.73,5590.17
DRG292,PID370004,RIDMOJoplin,32,15374.34,5828.31,5020.93
DRG292,PID370113,RIDMOJoplin,32,11045.09,5583.46,5029.31
DRG293,PID170006,RIDMOJoplin,28,14053.25,3943,3104.28
DRG293,PID170058,RIDMOJoplin,14,17365.14,4213,3568.42
DRG293,PID260001,RIDMOJoplin,24,13366.91,3887.58,3142.25
DRG293,PID260061,RIDMOJoplin,13,11267.69,4959.23,4270
DRG293,PID260137,RIDMOJoplin,34,13187.85,4183.35,3346.2
DRG293,PID370004,RIDMOJoplin,25,10601.12,3917,3100.64
DRG293,PID370113,RIDMOJoplin,22,7774.68,3745.22,3133.59
DRG300,PID260001,RIDMOJoplin,18,19217.05,5547.88,4927.88
DRG300,PID260137,RIDMOJoplin,27,18360.22,5858.96,5039.66
DRG301,PID260001,RIDMOJoplin,18,12119.94,3761.77,2953.11
DRG301,PID260137,RIDMOJoplin,16,12428.62,4064.31,2764.12
