drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID170040,RIDMOKansasCity,26,41190.73,7305.38,6361.53
DRG039,PID170049,RIDMOKansasCity,47,11874.25,5548.06,4385.48
DRG039,PID170104,RIDMOKansasCity,56,28878.64,5622.5,4596.75
DRG039,PID170182,RIDMOKansasCity,17,38828.58,6643,4398.82
DRG039,PID170195,RIDMOKansasCity,12,15452.41,5513,4577.66
DRG039,PID260006,RIDMOKansasCity,32,21196.62,8452.81,6167.68
DRG039,PID260027,RIDMOKansasCity,19,41765.63,6473,5529.84
DRG039,PID260085,RIDMOKansasCity,26,25976.26,5932.65,4134.3
DRG039,PID260095,RIDMOKansasCity,19,41315,5784.36,5076.15
DRG039,PID260096,RIDMOKansasCity,56,19609.51,5586.64,4600.85
DRG039,PID260138,RIDMOKansasCity,38,41915.02,6933.92,5980.34
DRG039,PID260177,RIDMOKansasCity,28,20889.92,5231.17,4210.53
DRG057,PID170040,RIDMOKansasCity,36,45348.25,8032.77,5445.61
DRG057,PID170104,RIDMOKansasCity,29,32860.03,5603.58,4788.24
DRG057,PID170146,RIDMOKansasCity,16,25273.62,5566.81,4721.81
DRG057,PID170182,RIDMOKansasCity,11,20964.63,4767,4052.45
DRG057,PID170185,RIDMOKansasCity,11,36258.63,4974,4159.45
DRG057,PID260006,RIDMOKansasCity,22,15481.13,6676.36,5857.45
DRG057,PID260085,RIDMOKansasCity,13,17485.07,4532.69,3669.3
DRG057,PID260096,RIDMOKansasCity,25,18767.4,4845.88,4125.24
DRG057,PID260138,RIDMOKansasCity,28,32853.89,6453.14,5206.64
DRG057,PID260177,RIDMOKansasCity,28,14165.96,5036.71,4354
DRG057,PID260216,RIDMOKansasCity,15,28379.13,4714.8,3811.33
DRG064,PID170040,RIDMOKansasCity,46,66163.36,14144.3,12069.89
DRG064,PID170049,RIDMOKansasCity,29,35219.93,9826.86,9087.41
DRG064,PID170104,RIDMOKansasCity,32,32712.71,9828.59,8724.68
DRG064,PID170137,RIDMOKansasCity,18,20687.77,10091.22,9214.33
DRG064,PID170146,RIDMOKansasCity,12,44911.33,10650.08,9384.58
DRG064,PID170176,RIDMOKansasCity,13,79859.92,10732.3,9433.23
DRG064,PID170182,RIDMOKansasCity,13,45093.46,9766.76,8903.38
DRG064,PID260006,RIDMOKansasCity,36,27163.25,15651.86,12324.05
DRG064,PID260027,RIDMOKansasCity,34,93173.79,12244.55,11451.23
DRG064,PID260085,RIDMOKansasCity,23,43218.26,10505.47,9869.78
DRG064,PID260095,RIDMOKansasCity,44,57681.22,10959.02,10230.54
DRG064,PID260096,RIDMOKansasCity,61,35662.52,9872.21,8673.14
DRG064,PID260138,RIDMOKansasCity,95,61309.14,14259.17,11616.62
DRG064,PID260177,RIDMOKansasCity,21,23693.42,9805.9,8951.04
DRG064,PID260193,RIDMOKansasCity,11,35874.45,9843.54,8929
DRG065,PID170040,RIDMOKansasCity,39,50066.1,8548.71,7566.74
DRG065,PID170049,RIDMOKansasCity,43,21849.18,6217.46,5512.62
DRG065,PID170104,RIDMOKansasCity,62,32337.69,6236.5,5169.79
DRG065,PID170137,RIDMOKansasCity,24,17562.95,7100.58,4779.95
DRG065,PID170146,RIDMOKansasCity,29,29962.86,6977.51,5653.1
DRG065,PID170176,RIDMOKansasCity,32,48907.25,6699.81,5469.03
DRG065,PID170182,RIDMOKansasCity,30,42765.36,6309.23,5217.5
DRG065,PID170185,RIDMOKansasCity,22,29756.36,5956.36,5036
DRG065,PID260006,RIDMOKansasCity,81,21879.23,8641.55,7390.49
DRG065,PID260027,RIDMOKansasCity,40,60523.55,7479.42,6165.12
DRG065,PID260048,RIDMOKansasCity,14,28046.57,11976.57,11087.14
DRG065,PID260062,RIDMOKansasCity,13,32763.23,7971.23,5753
DRG065,PID260085,RIDMOKansasCity,53,31529.11,7223.09,5049.62
DRG065,PID260095,RIDMOKansasCity,54,46281.85,6437.03,5531.66
DRG065,PID260096,RIDMOKansasCity,64,22183.65,6022.37,4854.32
DRG065,PID260138,RIDMOKansasCity,157,42286.19,8094.47,6913.47
DRG065,PID260177,RIDMOKansasCity,60,18314.63,6168.88,5401.75
DRG065,PID260190,RIDMOKansasCity,30,31475.53,6118.26,4799.3
DRG065,PID260216,RIDMOKansasCity,32,36472.78,7293.25,4398.34
DRG066,PID170040,RIDMOKansasCity,23,32416.3,6412.73,4282.52
DRG066,PID170049,RIDMOKansasCity,21,16009.04,4337.19,3425.38
DRG066,PID170104,RIDMOKansasCity,40,26838.17,4653.92,3213.15
DRG066,PID170146,RIDMOKansasCity,13,24165,4853.69,3987.84
DRG066,PID170176,RIDMOKansasCity,17,38774.47,4679.88,4017.76
DRG066,PID170182,RIDMOKansasCity,18,29129.83,4313.61,3442.05
DRG066,PID260006,RIDMOKansasCity,51,17363.52,6375.11,5020.31
DRG066,PID260027,RIDMOKansasCity,19,58453.94,5552.52,4546.42
DRG066,PID260057,RIDMOKansasCity,11,13713,4919.45,4510.72
DRG066,PID260085,RIDMOKansasCity,21,21678.14,4390.85,3588.38
DRG066,PID260095,RIDMOKansasCity,42,39912.21,5162.78,3209.47
DRG066,PID260096,RIDMOKansasCity,31,21776.87,4371.35,3462.58
DRG066,PID260138,RIDMOKansasCity,94,29220.95,5830.51,4400.03
DRG066,PID260175,RIDMOKansasCity,16,12609.25,5064.81,4432.06
DRG066,PID260177,RIDMOKansasCity,36,15125.16,4735.86,3229.55
DRG066,PID260193,RIDMOKansasCity,12,21844.66,4791.16,3470.08
DRG066,PID260216,RIDMOKansasCity,24,29917,4317.87,3427.04
DRG069,PID170040,RIDMOKansasCity,17,24770.05,5282.41,3971.47
DRG069,PID170049,RIDMOKansasCity,26,16452.15,3965.73,3096.19
DRG069,PID170104,RIDMOKansasCity,95,24456.98,4091.69,2897.65
DRG069,PID170137,RIDMOKansasCity,13,16452.15,4283,3327.61
DRG069,PID170176,RIDMOKansasCity,20,40088.2,4344.2,3215.4
DRG069,PID170182,RIDMOKansasCity,22,26340.63,4826.36,2600.5
DRG069,PID170185,RIDMOKansasCity,25,21255.16,3957,2981.12
DRG069,PID260006,RIDMOKansasCity,136,17091.1,5712.36,4331.32
DRG069,PID260027,RIDMOKansasCity,17,54926.76,4648.64,3657.35
DRG069,PID260048,RIDMOKansasCity,23,11922.3,7360.82,6479.08
DRG069,PID260085,RIDMOKansasCity,29,17100.55,3769.24,2917.1
DRG069,PID260095,RIDMOKansasCity,58,37496.15,4144.13,3282.24
DRG069,PID260096,RIDMOKansasCity,67,18389.13,4141.98,2990.74
DRG069,PID260138,RIDMOKansasCity,62,24907.64,5052.17,3994.03
DRG069,PID260175,RIDMOKansasCity,16,10668.93,4743.12,3756.62
DRG069,PID260177,RIDMOKansasCity,50,12976.72,4038.6,3055.06
DRG069,PID260193,RIDMOKansasCity,25,24834.32,4059.76,3297.68
DRG069,PID260216,RIDMOKansasCity,35,24514.42,3900.22,2849.85
DRG074,PID170040,RIDMOKansasCity,22,31114.45,6227.5,5207.09
DRG074,PID170049,RIDMOKansasCity,11,15159.09,4767.63,3674
DRG074,PID170104,RIDMOKansasCity,20,25539.1,4693,4186.8
DRG074,PID170146,RIDMOKansasCity,18,19827,5250.44,4286.72
DRG074,PID260006,RIDMOKansasCity,23,16013.73,6981.39,4732.43
DRG074,PID260027,RIDMOKansasCity,16,47284,5474.62,4625.62
DRG074,PID260048,RIDMOKansasCity,16,10495.43,8664,7923.12
DRG074,PID260085,RIDMOKansasCity,14,19310.14,4666.57,3905.28
DRG074,PID260095,RIDMOKansasCity,16,37869.12,4887.31,4111.06
DRG074,PID260096,RIDMOKansasCity,53,23105.37,5341.39,3526.71
DRG074,PID260138,RIDMOKansasCity,17,32223.88,5893.52,4751.88
DRG074,PID260177,RIDMOKansasCity,27,15774.03,5099.29,3688.44
DRG101,PID170040,RIDMOKansasCity,66,28994.36,5658.83,4468.16
DRG101,PID170049,RIDMOKansasCity,11,16646.27,4132.63,3109.36
DRG101,PID170104,RIDMOKansasCity,16,22376.12,4210.5,2903.68
DRG101,PID170137,RIDMOKansasCity,13,9168.46,4381.3,3667.61
DRG101,PID170182,RIDMOKansasCity,11,22973.27,4348.63,2932.36
DRG101,PID260006,RIDMOKansasCity,48,14517.58,5522.29,4732.97
DRG101,PID260027,RIDMOKansasCity,36,43172.72,4729.25,3821.8
DRG101,PID260048,RIDMOKansasCity,28,10615.89,7672.28,6894.35
DRG101,PID260085,RIDMOKansasCity,19,21306.42,4069.47,3538.31
DRG101,PID260095,RIDMOKansasCity,31,32932.93,4829.29,3745.64
DRG101,PID260096,RIDMOKansasCity,32,18629.68,4095.09,3249.09
DRG101,PID260138,RIDMOKansasCity,75,26694.22,5586.62,4219.96
DRG101,PID260177,RIDMOKansasCity,25,11582.24,4265.28,3247.68
DRG101,PID260216,RIDMOKansasCity,21,23271.85,4036.95,3132.76
DRG149,PID170049,RIDMOKansasCity,20,12984.1,3465.85,2561.85
DRG149,PID170104,RIDMOKansasCity,21,15586.04,3527.38,2425.85
DRG149,PID170185,RIDMOKansasCity,13,19167.53,3433.84,2391.38
DRG149,PID260006,RIDMOKansasCity,36,14352.52,5586.5,3619.88
DRG149,PID260062,RIDMOKansasCity,11,19434.45,3825.54,2696.45
DRG149,PID260085,RIDMOKansasCity,24,14857.2,3342.66,2235.12
DRG149,PID260095,RIDMOKansasCity,13,29332.38,4047.46,2387.84
DRG149,PID260096,RIDMOKansasCity,26,14321,3465,2427.46
DRG149,PID260138,RIDMOKansasCity,26,24940.15,4372.57,3418.42
DRG149,PID260177,RIDMOKansasCity,27,13292.88,3550.4,2362.74
DRG149,PID260216,RIDMOKansasCity,17,19097.94,3474.58,2483.29
DRG176,PID170040,RIDMOKansasCity,25,38322.12,9220.56,7447.16
DRG176,PID170049,RIDMOKansasCity,16,22264.18,5686,4841
DRG176,PID170104,RIDMOKansasCity,25,30092.16,5569.52,4810
DRG176,PID170137,RIDMOKansasCity,12,14041,6514.16,5035.25
DRG176,PID170185,RIDMOKansasCity,13,37618.38,5965.15,4572.92
DRG176,PID260006,RIDMOKansasCity,24,19592.5,7792.5,6855.83
DRG176,PID260062,RIDMOKansasCity,11,28567.27,6215.72,5498.27
DRG176,PID260085,RIDMOKansasCity,32,26106.03,5701.81,4871.65
DRG176,PID260095,RIDMOKansasCity,14,31407.14,5833.42,5274.28
DRG176,PID260096,RIDMOKansasCity,20,26580.75,5722.55,4774.75
DRG176,PID260138,RIDMOKansasCity,23,40953.52,7557.21,6200.73
DRG176,PID260177,RIDMOKansasCity,14,19232.85,5884.57,5263
DRG176,PID260193,RIDMOKansasCity,15,26073.86,6101.93,5573.66
DRG176,PID260216,RIDMOKansasCity,12,29881.33,6509.08,4523.75
DRG177,PID170040,RIDMOKansasCity,28,60198.57,14840.75,12781.32
DRG177,PID170049,RIDMOKansasCity,23,39707.08,10836.86,9649.78
DRG177,PID170104,RIDMOKansasCity,44,48754.7,10911.84,10348.02
DRG177,PID170137,RIDMOKansasCity,21,27562.71,10852.61,10208.8
DRG177,PID170146,RIDMOKansasCity,22,42045.4,11822.31,11416.5
DRG177,PID170176,RIDMOKansasCity,11,76074.36,11780,11677.09
DRG177,PID170182,RIDMOKansasCity,14,67570.07,11618.07,9791.92
DRG177,PID170185,RIDMOKansasCity,14,46834.71,13244.57,9669.57
DRG177,PID260006,RIDMOKansasCity,48,40094.5,15181.93,14595.7
DRG177,PID260027,RIDMOKansasCity,20,92388.6,14092.1,13669.15
DRG177,PID260062,RIDMOKansasCity,14,57373.14,11203.07,10648.5
DRG177,PID260085,RIDMOKansasCity,61,61478.93,11529.96,10885.73
DRG177,PID260095,RIDMOKansasCity,33,65581.96,11577.21,10997.93
DRG177,PID260096,RIDMOKansasCity,169,40538.73,11132.6,10362.66
DRG177,PID260097,RIDMOKansasCity,13,40300.07,17660.38,17140.3
DRG177,PID260138,RIDMOKansasCity,39,70448.92,14792.12,13937.84
DRG177,PID260177,RIDMOKansasCity,30,36124.46,12046.96,10770.43
DRG177,PID260193,RIDMOKansasCity,15,43817.33,11796.6,11427.8
DRG177,PID260216,RIDMOKansasCity,15,62386.4,12720.4,12213.13
DRG178,PID170014,RIDMOKansasCity,13,21560.61,9533.23,8931.07
DRG178,PID170040,RIDMOKansasCity,19,40443.89,11753.52,8546
DRG178,PID170049,RIDMOKansasCity,22,28854,7697.81,6766.09
DRG178,PID170104,RIDMOKansasCity,32,35111.75,7840.4,6638.34
DRG178,PID170146,RIDMOKansasCity,12,34923.75,8742.83,8087.83
