drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID40027,RIDMOSpringfield,76,16582.34,5496.31,4424.64
DRG039,PID260040,RIDMOSpringfield,45,18411.82,6014.97,5016.91
DRG039,PID260065,RIDMOSpringfield,67,27612,5797.19,4942.2
DRG057,PID40027,RIDMOSpringfield,11,6492.09,4690.09,3878.45
DRG057,PID260040,RIDMOSpringfield,20,14975.55,5363.3,4474.35
DRG057,PID260065,RIDMOSpringfield,24,18265.41,5292.54,4257.54
DRG064,PID260040,RIDMOSpringfield,87,30544.28,11208.31,10153.36
DRG064,PID260065,RIDMOSpringfield,89,36101.38,11565.69,10634.2
DRG064,PID260078,RIDMOSpringfield,19,24458.42,10542.26,9595.73
DRG064,PID260094,RIDMOSpringfield,25,39605.32,9883.76,8894
DRG065,PID40027,RIDMOSpringfield,48,9884.12,5439.79,4623.7
DRG065,PID260024,RIDMOSpringfield,15,14979.93,7377.26,6553.53
DRG065,PID260040,RIDMOSpringfield,111,16744.05,6731.09,5711.42
DRG065,PID260059,RIDMOSpringfield,13,12353.07,7577,6882.84
DRG065,PID260065,RIDMOSpringfield,121,21664.14,6596.09,5588.96
DRG065,PID260078,RIDMOSpringfield,15,16394,6846.33,5945
DRG065,PID260094,RIDMOSpringfield,44,17091.27,6435.65,4979.22
DRG065,PID260195,RIDMOSpringfield,19,16762.31,7302,6413.36
DRG066,PID40027,RIDMOSpringfield,44,8126.34,4108.36,3208.63
DRG066,PID260040,RIDMOSpringfield,40,16709.87,4874.82,3740.9
DRG066,PID260065,RIDMOSpringfield,74,15568.87,4716.41,3449.81
DRG066,PID260078,RIDMOSpringfield,17,15079.94,5072.76,4013
DRG066,PID260094,RIDMOSpringfield,17,14072.76,4599.76,3173.76
DRG069,PID40027,RIDMOSpringfield,51,6863.05,3939.31,2890.35
DRG069,PID260040,RIDMOSpringfield,54,15516.07,4377.92,3329.77
DRG069,PID260065,RIDMOSpringfield,59,17318.74,4164.93,3110.81
DRG069,PID260094,RIDMOSpringfield,28,13545.67,4326.92,2904.71
DRG069,PID260195,RIDMOSpringfield,12,9902.33,4788.58,3853.25
DRG074,PID260040,RIDMOSpringfield,12,13441.83,5154.83,4408.16
DRG074,PID260065,RIDMOSpringfield,12,26229.08,5319.83,4292.83
DRG101,PID260040,RIDMOSpringfield,29,12726.41,4588.62,3822.96
DRG101,PID260065,RIDMOSpringfield,35,18818.05,4803.22,3615.17
DRG149,PID260040,RIDMOSpringfield,11,12582.9,3826.63,2703.36
DRG176,PID40027,RIDMOSpringfield,23,11646.69,5304.21,4380.82
DRG176,PID260040,RIDMOSpringfield,28,17037.53,6334.28,4838.32
DRG176,PID260065,RIDMOSpringfield,57,22085.31,6403.38,5190.56
DRG176,PID260078,RIDMOSpringfield,12,19918.75,6542.66,5793.33
DRG176,PID260094,RIDMOSpringfield,14,22532.07,7370.92,4551.57
DRG177,PID40027,RIDMOSpringfield,63,23434.66,10557.6,9728.23
DRG177,PID260040,RIDMOSpringfield,84,32750.7,11962.9,11226.35
DRG177,PID260065,RIDMOSpringfield,72,41224.29,12150.54,10821.19
DRG177,PID260078,RIDMOSpringfield,18,35201.72,12351.72,11539.5
DRG177,PID260094,RIDMOSpringfield,21,38565.09,11090.57,10448.28
DRG177,PID260195,RIDMOSpringfield,24,26904.08,12621.45,12060.79
DRG178,PID40027,RIDMOSpringfield,34,17964.7,7762.64,7204.14
DRG178,PID260040,RIDMOSpringfield,28,18358.17,8548.75,7825.6
