drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID140046,RIDMOSt.Louis,15,27295.66,5691.6,4719.06
DRG039,PID140164,RIDMOSt.Louis,20,27280.05,6098.7,5146.1
DRG039,PID140185,RIDMOSt.Louis,18,20829.33,5850.61,4429.33
DRG039,PID140187,RIDMOSt.Louis,14,25633.85,5329,4145.21
DRG039,PID260005,RIDMOSt.Louis,24,18893.54,6059.33,5405.66
DRG039,PID260020,RIDMOSt.Louis,27,22819.25,6028.96,4943.62
DRG039,PID260032,RIDMOSt.Louis,32,21531.71,8629.81,6126.53
DRG039,PID260077,RIDMOSt.Louis,22,19067.63,5344.45,4008.68
DRG039,PID260091,RIDMOSt.Louis,11,25351.45,7884,6863.63
DRG039,PID260104,RIDMOSt.Louis,17,19240.29,6192.64,5277.35
DRG039,PID260108,RIDMOSt.Louis,43,15047.79,5568.83,4213.86
DRG039,PID260119,RIDMOSt.Louis,27,75192.51,6491.85,5616.14
DRG039,PID260176,RIDMOSt.Louis,23,30790.17,5893.56,4964
DRG039,PID260179,RIDMOSt.Louis,61,18307.11,5947.81,4522.14
DRG039,PID260180,RIDMOSt.Louis,18,16135.5,6141.83,4686
DRG057,PID140034,RIDMOSt.Louis,11,14628,5465.09,4450.54
DRG057,PID140046,RIDMOSt.Louis,17,13955.58,4966.76,4175.23
DRG057,PID140125,RIDMOSt.Louis,12,40990.08,6353.75,5227.08
DRG057,PID140185,RIDMOSt.Louis,20,16746.9,5052.55,4268.15
DRG057,PID140187,RIDMOSt.Louis,17,13594.41,5351.11,4557.7
DRG057,PID260017,RIDMOSt.Louis,13,19230.38,6952.53,5500.3
DRG057,PID260020,RIDMOSt.Louis,30,18834.7,5360.4,4684.4
DRG057,PID260023,RIDMOSt.Louis,13,9893.84,4926.61,3968.76
DRG057,PID260032,RIDMOSt.Louis,78,19301.5,7556.92,5545.28
DRG057,PID260077,RIDMOSt.Louis,30,11153.53,4664.23,3997.83
DRG057,PID260091,RIDMOSt.Louis,30,19073.56,7101.9,6429.1
DRG057,PID260104,RIDMOSt.Louis,43,19968.72,5585.39,4854.97
DRG057,PID260105,RIDMOSt.Louis,26,23641.19,8420.53,7415.65
DRG057,PID260108,RIDMOSt.Louis,31,13138.54,5957.38,3822.8
DRG057,PID260119,RIDMOSt.Louis,21,18485.52,5800.85,4785.8
DRG057,PID260179,RIDMOSt.Louis,28,14597.28,5149.28,4464.28
DRG057,PID260180,RIDMOSt.Louis,23,19410.91,5272.43,4226.04
DRG057,PID260210,RIDMOSt.Louis,15,21730.4,5583.8,4349.26
DRG064,PID140011,RIDMOSt.Louis,15,24064.66,10106.86,9281
DRG064,PID140034,RIDMOSt.Louis,13,19647.15,10905.76,10214.07
DRG064,PID140046,RIDMOSt.Louis,12,25754,10428.75,9679.41
DRG064,PID140164,RIDMOSt.Louis,24,26572.33,10993,10360.91
DRG064,PID140185,RIDMOSt.Louis,38,32427.92,10126.26,9418.89
DRG064,PID140187,RIDMOSt.Louis,26,31548.76,10580.92,9802.15
DRG064,PID140289,RIDMOSt.Louis,21,33187.66,9827.85,9026.9
DRG064,PID260005,RIDMOSt.Louis,24,31171.04,10818.54,10116.37
DRG064,PID260017,RIDMOSt.Louis,14,25800.57,12114.78,11315.35
DRG064,PID260020,RIDMOSt.Louis,37,46909.08,11296.51,10537.67
DRG064,PID260023,RIDMOSt.Louis,30,20870.96,9649.3,9197.56
DRG064,PID260032,RIDMOSt.Louis,113,43748.02,15175.28,13287.81
DRG064,PID260052,RIDMOSt.Louis,13,33036.23,9325.76,8723.61
DRG064,PID260077,RIDMOSt.Louis,68,29840.22,10003.85,9179.86
DRG064,PID260081,RIDMOSt.Louis,56,43624.1,9957.23,9083.64
DRG064,PID260091,RIDMOSt.Louis,44,36817.59,14606.29,12805.25
DRG064,PID260104,RIDMOSt.Louis,64,43904,11345.51,10143.59
DRG064,PID260105,RIDMOSt.Louis,114,62753.22,17769.06,16097.87
DRG064,PID260108,RIDMOSt.Louis,49,18346.81,9350.59,8335.95
DRG064,PID260119,RIDMOSt.Louis,22,51293.04,12368.86,11497.04
DRG064,PID260176,RIDMOSt.Louis,12,77621.75,11317.25,10381.91
DRG064,PID260179,RIDMOSt.Louis,44,29416.4,10401.7,9659.97
DRG064,PID260180,RIDMOSt.Louis,45,40439.42,11024.08,10298.84
DRG064,PID260191,RIDMOSt.Louis,13,17352.46,9031.76,8253
DRG064,PID260200,RIDMOSt.Louis,15,31364.6,9482.4,8811.73
DRG065,PID140002,RIDMOSt.Louis,23,21170.08,6131.65,5106.43
DRG065,PID140011,RIDMOSt.Louis,32,18052.21,6487.62,5747.75
DRG065,PID140034,RIDMOSt.Louis,24,19443.25,7035.16,6375.04
DRG065,PID140046,RIDMOSt.Louis,32,17063.68,6359,5519
DRG065,PID140052,RIDMOSt.Louis,15,27196.06,5368.73,4547.13
DRG065,PID140059,RIDMOSt.Louis,11,8666.09,5865.54,5453.9
DRG065,PID140125,RIDMOSt.Louis,17,55860.52,7812.35,7083.64
DRG065,PID140145,RIDMOSt.Louis,13,13366.3,6777.84,5780.15
DRG065,PID140164,RIDMOSt.Louis,43,15961.2,6694.97,5885.58
DRG065,PID140185,RIDMOSt.Louis,71,25920.74,6287.92,5399.14
DRG065,PID140187,RIDMOSt.Louis,25,18835.24,6354.24,5408.48
DRG065,PID140289,RIDMOSt.Louis,41,21610.48,6025.75,5392.29
DRG065,PID260005,RIDMOSt.Louis,51,24261.03,6689.5,5396.96
