drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID250019,RIDMSGulfport,72,32590.63,6275.09,5308.76
DRG064,PID250019,RIDMSGulfport,48,73135.02,11475.79,10681.43
DRG065,PID250007,RIDMSGulfport,18,54865.22,7160,6532.88
DRG065,PID250019,RIDMSGulfport,84,40381.98,6863.19,5953.28
DRG066,PID250007,RIDMSGulfport,12,36355.16,5033.75,4095.75
DRG066,PID250019,RIDMSGulfport,42,29841.85,5142.11,3941.04
DRG066,PID250123,RIDMSGulfport,16,37750.12,4669.18,3684.68
DRG069,PID250007,RIDMSGulfport,23,33483.13,4493.95,3567.17
DRG069,PID250019,RIDMSGulfport,103,30730.24,4665.29,3376.4
DRG074,PID250007,RIDMSGulfport,12,43054.75,5526.66,4099.25
DRG074,PID250019,RIDMSGulfport,12,43417.5,5420.83,4485.5
DRG101,PID250007,RIDMSGulfport,18,31563.77,4673.44,3642.88
DRG101,PID250019,RIDMSGulfport,42,35335.76,4721.71,3785.66
DRG176,PID250019,RIDMSGulfport,24,41721,7712.91,5637.33
DRG177,PID250007,RIDMSGulfport,13,83388.38,12227.61,11881.76
DRG177,PID250019,RIDMSGulfport,46,90238.19,13768.97,11951.67
DRG178,PID250019,RIDMSGulfport,45,56334.44,9912.44,8095.33
DRG189,PID250019,RIDMSGulfport,15,45628.8,7874.8,7187.93
DRG190,PID250007,RIDMSGulfport,30,51948.8,7309.96,6637.16
DRG190,PID250019,RIDMSGulfport,125,48456.39,7555.76,6494.11
DRG190,PID250123,RIDMSGulfport,37,45842.75,6938.75,6151.94
DRG191,PID250007,RIDMSGulfport,41,38046.19,5823.48,4984.07
DRG191,PID250019,RIDMSGulfport,115,36218.39,5974.01,5141.72
DRG191,PID250123,RIDMSGulfport,29,39551.17,7726.1,3882.31
DRG192,PID250007,RIDMSGulfport,68,29276.76,4405.17,3511.41
DRG192,PID250019,RIDMSGulfport,61,27280.03,4443.81,3463.85
DRG192,PID250123,RIDMSGulfport,44,24739.97,4178.95,3335.77
DRG193,PID250007,RIDMSGulfport,20,89561.35,10185.65,8324.25
DRG193,PID250019,RIDMSGulfport,46,61589.73,9034.71,8265.8
DRG193,PID250123,RIDMSGulfport,16,52021.56,8370.56,7739.81
DRG194,PID250007,RIDMSGulfport,42,40331.8,6219.23,5392.09
DRG194,PID250019,RIDMSGulfport,112,48377.06,7130,5617.57
DRG194,PID250123,RIDMSGulfport,20,40073.15,5876,5082.65
DRG195,PID250007,RIDMSGulfport,20,32032.95,4353.9,3449.9
DRG195,PID250019,RIDMSGulfport,38,28633.92,4628.76,3119.52
DRG202,PID250019,RIDMSGulfport,20,38020.15,6072.15,4208.9
DRG203,PID250007,RIDMSGulfport,21,28031.38,3793.9,2687.47
