drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID250078,RIDMSHattiesburg,93,16732.33,6312.64,5235.22
DRG039,PID250094,RIDMSHattiesburg,17,36666.05,6034.94,5112.11
DRG057,PID250078,RIDMSHattiesburg,17,15454.82,5383.7,3826.23
DRG064,PID250058,RIDMSHattiesburg,23,28105.21,10401.39,9522.39
DRG064,PID250078,RIDMSHattiesburg,101,26962.78,11027.78,9959.63
DRG065,PID250058,RIDMSHattiesburg,38,18683.55,6418.78,5472.26
DRG065,PID250078,RIDMSHattiesburg,116,16369.26,6873.54,5947.68
DRG065,PID250094,RIDMSHattiesburg,26,33637.07,6781.73,5917.11
DRG066,PID250058,RIDMSHattiesburg,25,11719.68,4630,3593.68
DRG066,PID250078,RIDMSHattiesburg,62,13682.46,5092.96,3713.72
DRG066,PID250094,RIDMSHattiesburg,29,26936.48,4824.65,3893.34
DRG069,PID250058,RIDMSHattiesburg,14,12002.5,4130.14,3088.14
DRG069,PID250078,RIDMSHattiesburg,53,13459.64,4515.37,3561.49
DRG069,PID250094,RIDMSHattiesburg,19,20548.73,4241,3000.68
DRG074,PID250078,RIDMSHattiesburg,28,12756.5,5383.46,4244.57
DRG101,PID250058,RIDMSHattiesburg,15,11628.26,4310.66,3409.33
DRG101,PID250077,RIDMSHattiesburg,13,5221.92,4423,3477.46
DRG101,PID250078,RIDMSHattiesburg,36,10973.88,4756.13,3553.77
DRG101,PID250094,RIDMSHattiesburg,12,27151.16,4503.25,3753.91
DRG176,PID250058,RIDMSHattiesburg,19,11695.36,6396.57,4586.63
DRG176,PID250078,RIDMSHattiesburg,24,14709.75,6326.16,5539.16
DRG176,PID250094,RIDMSHattiesburg,15,34397.6,6098,5574
DRG177,PID250058,RIDMSHattiesburg,27,36527.22,12866.81,11616.18
DRG177,PID250078,RIDMSHattiesburg,84,31230.88,12182.75,11426
DRG177,PID250094,RIDMSHattiesburg,20,84919.65,13724.65,13216.85
DRG178,PID250058,RIDMSHattiesburg,43,22950,8527.53,7651.58
DRG178,PID250078,RIDMSHattiesburg,43,22138.93,8385.18,7755.6
DRG178,PID250094,RIDMSHattiesburg,18,48303.27,8818.77,8114.83
DRG189,PID250058,RIDMSHattiesburg,26,20403.15,7281.65,6530.61
DRG189,PID250078,RIDMSHattiesburg,108,23928.95,8092.51,7397.43
DRG189,PID250094,RIDMSHattiesburg,15,51050.26,7751.6,6495.4
DRG190,PID250058,RIDMSHattiesburg,49,21213.63,7036.79,6259.16
DRG190,PID250077,RIDMSHattiesburg,17,12908.11,6973.76,6309.76
DRG190,PID250078,RIDMSHattiesburg,189,19691.99,7003.58,6159.6
DRG190,PID250094,RIDMSHattiesburg,69,41420.66,7127.44,6252.13
DRG191,PID250058,RIDMSHattiesburg,42,12436.95,5401.97,4427.26
DRG191,PID250077,RIDMSHattiesburg,21,11409.33,5652,5008.19
DRG191,PID250078,RIDMSHattiesburg,185,14669.1,5781.7,4867.2
DRG191,PID250094,RIDMSHattiesburg,69,30791.24,5686.42,4985.6
DRG192,PID250058,RIDMSHattiesburg,45,10168.02,4039.82,3215.37
DRG192,PID250077,RIDMSHattiesburg,15,5408.86,4291.06,3072.46
DRG192,PID250078,RIDMSHattiesburg,80,11930.43,4379.6,3480.8
DRG192,PID250094,RIDMSHattiesburg,65,19526.36,4208.78,3229.72
DRG193,PID250058,RIDMSHattiesburg,52,27233.07,8608.96,7857.4
DRG193,PID250077,RIDMSHattiesburg,26,10452.65,8389.38,7516.26
DRG193,PID250078,RIDMSHattiesburg,143,25416.59,8829.51,7758.03
DRG193,PID250094,RIDMSHattiesburg,47,62164.63,8929.36,8103.85
DRG194,PID250058,RIDMSHattiesburg,117,19444.05,5823.66,4840.39
DRG194,PID250077,RIDMSHattiesburg,40,9677.57,5886.97,5132.47
DRG194,PID250078,RIDMSHattiesburg,137,15383.67,6012.48,5026.44
DRG194,PID250094,RIDMSHattiesburg,52,33809.25,5905.46,5071.07
DRG195,PID250058,RIDMSHattiesburg,41,9817.29,3970.65,3027.48
DRG195,PID250077,RIDMSHattiesburg,20,8417.15,4120,3137.5
DRG195,PID250078,RIDMSHattiesburg,50,9325.9,4330.02,3186.12
DRG195,PID250094,RIDMSHattiesburg,43,26517.55,4847.44,3113.04
DRG202,PID250058,RIDMSHattiesburg,22,15031.68,4751.72,3883.54
DRG202,PID250077,RIDMSHattiesburg,22,10156.77,4891,3982.04
DRG202,PID250078,RIDMSHattiesburg,76,12893.47,5305.86,4024.52
DRG202,PID250094,RIDMSHattiesburg,13,25925.23,4986.69,4205.46
DRG203,PID250058,RIDMSHattiesburg,20,9979.45,3432.6,2423.4
DRG203,PID250077,RIDMSHattiesburg,16,7841.68,3530,2614.25
DRG203,PID250078,RIDMSHattiesburg,20,12567.95,3801.05,2632.95
DRG207,PID250058,RIDMSHattiesburg,15,73047.8,30076.4,26485.2
DRG207,PID250078,RIDMSHattiesburg,35,90454.57,31350.05,30628.74
DRG207,PID250094,RIDMSHattiesburg,26,252806.76,42693.15,42003.96
DRG208,PID250058,RIDMSHattiesburg,30,36989.53,12929.03,11820.2
DRG208,PID250077,RIDMSHattiesburg,11,15047.72,11740.36,10168.63
DRG208,PID250078,RIDMSHattiesburg,110,43756.33,14455.3,13767.15
DRG208,PID250094,RIDMSHattiesburg,36,69573.61,13448,12825.33
DRG238,PID250058,RIDMSHattiesburg,15,33255.06,17625.53,15425.86
