drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID250001,RIDMSJackson,11,20600.18,10017.36,6677.54
DRG039,PID250031,RIDMSJackson,17,56501.88,6593.29,5250.41
DRG039,PID250048,RIDMSJackson,59,23840.42,6025.01,4414.54
DRG039,PID250102,RIDMSJackson,64,16572.9,5519.29,4137.06
DRG057,PID250001,RIDMSJackson,37,19944.24,7889.86,6562.13
DRG057,PID250031,RIDMSJackson,15,22420.06,5702.2,5025.13
DRG057,PID250048,RIDMSJackson,74,17287.6,5530.81,4117.67
DRG057,PID250072,RIDMSJackson,12,34879.58,5774,4930.33
DRG057,PID250096,RIDMSJackson,21,23008.9,4592.9,3691.33
DRG057,PID250099,RIDMSJackson,13,15010.07,5593.3,4940.23
DRG057,PID250102,RIDMSJackson,16,21160.56,5319.43,3742.12
DRG064,PID250001,RIDMSJackson,122,41065.82,15631.3,14607.09
DRG064,PID250031,RIDMSJackson,17,74060.82,12688.52,11828.47
DRG064,PID250048,RIDMSJackson,58,43866.27,11584.05,10396.94
DRG064,PID250049,RIDMSJackson,12,15406.91,8728.5,7990.5
DRG064,PID250072,RIDMSJackson,23,68728.69,11910.04,11173.17
DRG064,PID250099,RIDMSJackson,21,42374.14,11262.57,9690.71
DRG064,PID250102,RIDMSJackson,46,45457,11325.06,10150.15
DRG065,PID250001,RIDMSJackson,88,26318.98,9643.05,8605.86
DRG065,PID250031,RIDMSJackson,44,36929.11,7270.61,6400.25
DRG065,PID250048,RIDMSJackson,114,25472.96,6458.52,5561.17
DRG065,PID250049,RIDMSJackson,13,7689.15,5964.46,5270.3
DRG065,PID250057,RIDMSJackson,15,12796.66,6679,5706.46
DRG065,PID250059,RIDMSJackson,20,12887,6788.4,5996
DRG065,PID250072,RIDMSJackson,27,40945.74,7079.66,5989.59
DRG065,PID250084,RIDMSJackson,16,31191.43,5608.62,4769.62
DRG065,PID250096,RIDMSJackson,12,46776.25,6240.66,5382.08
DRG065,PID250097,RIDMSJackson,27,13249.33,6925.7,6054.74
DRG065,PID250099,RIDMSJackson,49,21515.97,7203.55,6397.59
DRG065,PID250102,RIDMSJackson,124,23911.03,5963.41,4666.58
DRG065,PID250122,RIDMSJackson,12,35132.66,6396.91,5555.91
DRG065,PID250138,RIDMSJackson,13,45153.84,6843.3,5805.76
DRG066,PID250001,RIDMSJackson,37,20574.02,6763.62,5822.1
DRG066,PID250031,RIDMSJackson,26,27153.11,5123.57,4127.11
DRG066,PID250048,RIDMSJackson,87,18766.56,4639.86,3554.25
DRG066,PID250084,RIDMSJackson,17,17422.29,4349,3357.7
DRG066,PID250097,RIDMSJackson,21,10708.33,5102.66,4086.09
DRG066,PID250099,RIDMSJackson,20,17673.85,5272.3,4196.6
DRG066,PID250102,RIDMSJackson,68,18133.23,4495.72,2945.36
DRG069,PID250001,RIDMSJackson,12,22290.33,6074.75,5325.41
DRG069,PID250031,RIDMSJackson,37,24699.18,4662.72,3692.35
DRG069,PID250048,RIDMSJackson,94,17356.6,4112.48,3172.7
DRG069,PID250049,RIDMSJackson,24,7064.12,3887.25,3097.41
DRG069,PID250059,RIDMSJackson,19,8478.26,4307.57,3361.05
DRG069,PID250072,RIDMSJackson,21,33045.9,4567.38,3449.76
DRG069,PID250097,RIDMSJackson,23,9528.95,4549.17,3616.82
DRG069,PID250099,RIDMSJackson,15,13614.86,4740.2,3841
DRG069,PID250102,RIDMSJackson,53,19728.43,4065.09,2887.37
DRG069,PID250122,RIDMSJackson,22,27586.5,4094,3176.54
DRG074,PID250001,RIDMSJackson,26,22843.96,8077.5,5794.88
DRG074,PID250031,RIDMSJackson,19,25543,5489.68,4895.57
DRG074,PID250048,RIDMSJackson,70,16548.98,4937.27,3758.37
DRG074,PID250072,RIDMSJackson,13,38827.07,6373.23,4006.61
DRG074,PID250102,RIDMSJackson,35,27144.6,5090.77,3996.97
DRG101,PID250001,RIDMSJackson,25,19056.6,7087.68,5441.68
DRG101,PID250031,RIDMSJackson,31,18443.06,4814.25,3834.51
DRG101,PID250048,RIDMSJackson,56,18261.3,4500.71,3108.05
DRG101,PID250072,RIDMSJackson,14,28542.78,4609,4209.28
DRG101,PID250096,RIDMSJackson,11,23216.54,4077.72,3566.09
DRG101,PID250097,RIDMSJackson,11,8589.45,4743.72,3774.81
DRG101,PID250099,RIDMSJackson,11,13230.09,4981.18,4266.63
DRG101,PID250102,RIDMSJackson,40,19852.8,4341.1,2813.8
DRG101,PID250122,RIDMSJackson,19,21831.73,4266,3436.94
DRG149,PID250048,RIDMSJackson,27,13082.18,3608.92,2524.55
DRG149,PID250096,RIDMSJackson,14,28561.78,3507.07,2206.71
DRG149,PID250102,RIDMSJackson,12,11200.41,3334.66,2159.33
DRG176,PID250001,RIDMSJackson,22,25900.09,9101.72,7793.18
DRG176,PID250048,RIDMSJackson,45,19837.15,6008.26,5270.2
DRG176,PID250097,RIDMSJackson,24,12449.41,6538.2,5555.5
DRG176,PID250099,RIDMSJackson,16,21340.18,7411.68,5711.75
DRG176,PID250102,RIDMSJackson,46,22033.5,5638.17,4578.39
DRG177,PID250001,RIDMSJackson,20,49894.15,17283.6,15800.1
DRG177,PID250031,RIDMSJackson,18,82911.72,13725.55,12071
DRG177,PID250048,RIDMSJackson,37,33836.62,11500.56,10816.51
DRG177,PID250057,RIDMSJackson,14,23640.78,10288.42,9547.92
DRG177,PID250072,RIDMSJackson,16,79533.06,12011,11433.31
DRG177,PID250099,RIDMSJackson,21,37480.28,13099.76,12723.95
DRG177,PID250102,RIDMSJackson,38,46667.52,10557.36,9838.36
DRG178,PID250001,RIDMSJackson,24,20724.87,11418.45,10726.75
DRG178,PID250031,RIDMSJackson,17,51518,8922.17,8522.58
DRG178,PID250048,RIDMSJackson,28,22305.82,8159.57,6708.53
DRG178,PID250049,RIDMSJackson,17,13930.47,7699.82,6819.76
DRG178,PID250072,RIDMSJackson,14,56742.28,8817.28,8175
DRG178,PID250096,RIDMSJackson,13,65387.15,7787,7419.38
DRG178,PID250097,RIDMSJackson,12,17873.58,9264.5,8512.5
DRG178,PID250099,RIDMSJackson,12,26677.83,9646.91,8986.58
DRG178,PID250102,RIDMSJackson,40,38098.95,8014.07,7037.35
DRG189,PID250001,RIDMSJackson,16,17087.62,10643,10222.5
DRG189,PID250031,RIDMSJackson,34,64658.08,8386.32,7645.47
DRG189,PID250048,RIDMSJackson,77,24606.09,7434.94,6285.94
DRG189,PID250057,RIDMSJackson,28,20262.25,7199.25,6717.53
DRG189,PID250072,RIDMSJackson,35,47879.02,7908.54,7106.28
DRG189,PID250097,RIDMSJackson,14,18857.35,7971.85,7569.85
DRG189,PID250099,RIDMSJackson,61,20336.5,8381.01,7971.91
DRG189,PID250102,RIDMSJackson,92,34855.02,7153.96,6268.14
DRG189,PID250138,RIDMSJackson,20,47502.15,7910.75,6773.4
DRG190,PID250001,RIDMSJackson,26,23227.15,9655.19,8964.73
DRG190,PID250031,RIDMSJackson,50,46771.86,7583.5,6816.3
DRG190,PID250048,RIDMSJackson,103,20216.28,6734.36,5939.7
DRG190,PID250049,RIDMSJackson,17,11732.47,6339.64,5691.76
DRG190,PID250057,RIDMSJackson,31,16505.22,6475.58,5752.48
DRG190,PID250059,RIDMSJackson,16,12538.12,6927.06,5948.56
DRG190,PID250072,RIDMSJackson,42,48467,7398.04,6283.76
DRG190,PID250095,RIDMSJackson,35,10201.28,7348.11,6438.97
DRG190,PID250096,RIDMSJackson,32,42442.25,7335.68,5456.46
DRG190,PID250097,RIDMSJackson,29,15431.24,7393.37,6655.03
DRG190,PID250099,RIDMSJackson,38,21604.15,7741.63,6965.42
DRG190,PID250102,RIDMSJackson,93,30519.37,6543.04,5349.69
DRG190,PID250122,RIDMSJackson,25,41943.28,6558.28,5807.52
DRG190,PID250138,RIDMSJackson,21,52426.42,7207.04,6404.57
DRG191,PID250001,RIDMSJackson,24,17165.2,7686.58,6947.37
DRG191,PID250031,RIDMSJackson,44,34955.09,6739.75,5201.34
DRG191,PID250048,RIDMSJackson,111,15031.42,5369.66,4427.9
DRG191,PID250049,RIDMSJackson,23,9121.52,5185.21,4438.69
DRG191,PID250057,RIDMSJackson,22,13316.13,5573,4754.09
DRG191,PID250059,RIDMSJackson,15,10832.53,5736,5134.4
