drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID250069,RIDMSMeridian,14,19534.85,6310.42,4141.21
DRG039,PID250104,RIDMSMeridian,14,34301.92,5734.57,4773.42
DRG057,PID250104,RIDMSMeridian,14,14662.92,5124.21,4165.35
DRG064,PID250069,RIDMSMeridian,14,43234.92,13094.21,9568.28
DRG064,PID250104,RIDMSMeridian,32,33333.4,10153.75,9207.62
DRG065,PID250069,RIDMSMeridian,41,23041.12,7107.12,5935.87
DRG065,PID250104,RIDMSMeridian,61,17952,6329.75,5390.67
DRG066,PID250069,RIDMSMeridian,42,16653.52,5019.88,3809.64
DRG066,PID250104,RIDMSMeridian,34,15173.32,4513.61,3591.73
DRG069,PID250069,RIDMSMeridian,22,15384.31,4484.9,3613.09
DRG069,PID250104,RIDMSMeridian,19,13016.1,4090.63,3261.57
DRG101,PID250069,RIDMSMeridian,23,13246.91,4622,3745.82
DRG101,PID250081,RIDMSMeridian,12,22693.66,4601.75,3949.41
DRG101,PID250104,RIDMSMeridian,15,22159.26,4310.46,3560.06
DRG176,PID250069,RIDMSMeridian,17,21188.29,6429.29,5404.41
DRG176,PID250104,RIDMSMeridian,18,20830.77,6032,5068.77
DRG177,PID250069,RIDMSMeridian,16,40833.93,12767.12,11725.56
DRG177,PID250104,RIDMSMeridian,37,30632.54,11363.24,10413.86
DRG178,PID250069,RIDMSMeridian,15,29500,8787.86,7474.86
DRG178,PID250081,RIDMSMeridian,14,44868.92,8970.85,8252.28
DRG178,PID250104,RIDMSMeridian,45,28569.04,8281.55,7530.44
DRG189,PID250069,RIDMSMeridian,23,30873.13,7867.82,7334.78
DRG189,PID250104,RIDMSMeridian,32,25397.46,7216.21,6442.96
DRG190,PID250069,RIDMSMeridian,17,29916.88,7426.29,6638.58
DRG190,PID250081,RIDMSMeridian,15,42392.33,7418.4,6445.86
DRG190,PID250104,RIDMSMeridian,72,20375.98,6661.61,5864.66
DRG191,PID250043,RIDMSMeridian,16,12271.75,6016.75,5171.75
DRG191,PID250069,RIDMSMeridian,24,25604.75,5983.62,5236.95
DRG191,PID250081,RIDMSMeridian,15,26821.66,6034.2,4795.4
DRG191,PID250104,RIDMSMeridian,92,20176.77,5478.72,4706.39
DRG192,PID250043,RIDMSMeridian,36,8842.97,4488.58,3677.91
DRG192,PID250069,RIDMSMeridian,39,19368.74,4489,3334.35
DRG192,PID250081,RIDMSMeridian,17,21107.58,4467,3546.05
DRG192,PID250104,RIDMSMeridian,87,15002.66,4045.66,3109.81
DRG193,PID250104,RIDMSMeridian,75,26092.48,8073.92,7313.48
DRG194,PID250043,RIDMSMeridian,27,14137.51,6257.07,5468.77
DRG194,PID250069,RIDMSMeridian,39,24836,6135.58,5081.97
DRG194,PID250081,RIDMSMeridian,19,35290.57,6232.42,5444.63
DRG194,PID250104,RIDMSMeridian,126,21019.96,5727.86,4807.53
DRG195,PID250043,RIDMSMeridian,23,10511.08,4350.56,3494.82
DRG195,PID250069,RIDMSMeridian,30,20068.13,4349.56,3561.43
DRG195,PID250104,RIDMSMeridian,74,14707.95,3971.52,3045.74
DRG202,PID250069,RIDMSMeridian,15,22656.6,5177.93,4280.86
DRG202,PID250104,RIDMSMeridian,23,17067.95,4746.43,3719.82
DRG203,PID250104,RIDMSMeridian,12,11026.91,3427.66,2584
DRG207,PID250069,RIDMSMeridian,18,102234,31517.11,30828.88
DRG207,PID250104,RIDMSMeridian,23,64866.26,26971.73,26192.6
DRG208,PID250069,RIDMSMeridian,22,49144.63,14204.72,13545.27
DRG208,PID250104,RIDMSMeridian,39,43151.43,13052.33,12508.23
DRG238,PID250069,RIDMSMeridian,16,51738.25,18958.5,17830.5
DRG238,PID250104,RIDMSMeridian,16,87223.75,18105.87,16882.18
DRG243,PID250104,RIDMSMeridian,16,48002.25,17838.31,12480.5
DRG244,PID250104,RIDMSMeridian,18,32241.38,11431.44,10338
DRG246,PID250104,RIDMSMeridian,19,70036.36,17924.57,16926.89
DRG247,PID250069,RIDMSMeridian,52,51038.9,12420.34,10436.65
DRG247,PID250104,RIDMSMeridian,51,52384.27,11148.76,9865.05
DRG249,PID250104,RIDMSMeridian,14,42289.71,9989.57,8873.57
DRG251,PID250104,RIDMSMeridian,14,36654.85,9813.14,8594.07
DRG252,PID250069,RIDMSMeridian,11,50987.09,18396,16148.18
DRG252,PID250104,RIDMSMeridian,16,66008.56,17708.25,17012.68
DRG253,PID250069,RIDMSMeridian,19,46100.26,14729.36,13724.94
DRG253,PID250104,RIDMSMeridian,17,55874.76,13526,12799.17
DRG254,PID250069,RIDMSMeridian,12,27929.75,13287.5,8136
DRG254,PID250104,RIDMSMeridian,15,44356.6,9168.46,7679
DRG280,PID250104,RIDMSMeridian,20,32123.3,10336.7,9321.1
DRG281,PID250069,RIDMSMeridian,11,22472.63,7318.54,6298.18
DRG281,PID250104,RIDMSMeridian,17,23149.52,6707.35,5659.23
DRG287,PID250069,RIDMSMeridian,52,25738.28,6634.48,5607.51
DRG287,PID250104,RIDMSMeridian,18,25246.16,6127.44,5252.33
DRG291,PID250069,RIDMSMeridian,22,29825.27,8312.5,7169.27
DRG291,PID250081,RIDMSMeridian,20,29360.95,9180.9,8451.5
DRG291,PID250104,RIDMSMeridian,112,27972.75,8338.68,7532.59
DRG292,PID250043,RIDMSMeridian,14,10101.5,6336.78,5613.64
DRG292,PID250069,RIDMSMeridian,40,20265.37,6209.95,5561.45
DRG292,PID250081,RIDMSMeridian,28,28823.42,6380.35,5608.96
DRG292,PID250104,RIDMSMeridian,103,19640.55,5747.84,5062.91
DRG293,PID250069,RIDMSMeridian,48,12884.1,4106.75,3412.33
DRG293,PID250081,RIDMSMeridian,11,22096.27,4261.45,3752.72
DRG293,PID250104,RIDMSMeridian,47,13134,3742.57,2905.72
DRG300,PID250104,RIDMSMeridian,27,17547.44,5457.37,4918.25
DRG303,PID250104,RIDMSMeridian,12,14247.91,3283.58,2442.58
DRG305,PID250104,RIDMSMeridian,11,12114.54,3458.09,2437.72
DRG308,PID250104,RIDMSMeridian,43,22817.39,7090.69,6330.97
