drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID250034,RIDMSOxford,38,16094.73,6068.05,5118.15
DRG064,PID250034,RIDMSOxford,32,35163.75,11121.93,10385.06
DRG065,PID250015,RIDMSOxford,29,18381.75,6412.55,5101.41
DRG065,PID250034,RIDMSOxford,28,18304.42,6704.39,5663.53
DRG066,PID250034,RIDMSOxford,18,16354.33,4884.44,3822.44
DRG069,PID250015,RIDMSOxford,11,16579.54,4098,3386.36
DRG069,PID250034,RIDMSOxford,24,12211.37,4447.87,3189.25
DRG176,PID250034,RIDMSOxford,11,21468.36,6378.45,5769.72
DRG177,PID250017,RIDMSOxford,15,18227.2,12606.93,12005.33
DRG177,PID250034,RIDMSOxford,67,34581.04,12250.31,11585.16
DRG178,PID250015,RIDMSOxford,13,27945.84,8090.3,7488.15
DRG178,PID250017,RIDMSOxford,14,16185.71,9147.85,8507.85
DRG178,PID250034,RIDMSOxford,23,23853.73,8795.13,7832.47
DRG189,PID250034,RIDMSOxford,52,17989.61,7592.55,7029.63
DRG190,PID250015,RIDMSOxford,20,19957,6367.7,5643.1
DRG190,PID250017,RIDMSOxford,13,14406.46,7070.76,6374.15
DRG190,PID250034,RIDMSOxford,38,20171.65,7744.86,6616.18
DRG190,PID250128,RIDMSOxford,13,21764,7612.07,5840.46
DRG191,PID250015,RIDMSOxford,28,13930.42,5330.78,4567.21
DRG191,PID250017,RIDMSOxford,13,11620.07,6180.15,5423.15
DRG191,PID250034,RIDMSOxford,21,13147.76,5977.66,4564.95
DRG191,PID250061,RIDMSOxford,16,4616.87,5852.5,5219.75
DRG191,PID250128,RIDMSOxford,16,16431.18,5875.68,5174.18
DRG192,PID250015,RIDMSOxford,31,13078.22,3947.32,3076.09
DRG192,PID250017,RIDMSOxford,17,10463.7,4685.64,3623.17
DRG192,PID250034,RIDMSOxford,18,13250.33,4634.38,3125.22
DRG192,PID250061,RIDMSOxford,38,4095.5,4426.86,3480.34
DRG192,PID250128,RIDMSOxford,18,13841.22,4384.44,3633.33
DRG193,PID250015,RIDMSOxford,17,20602.35,7874.94,7079.64
DRG193,PID250034,RIDMSOxford,93,26455.84,9015.9,8012.07
DRG194,PID250015,RIDMSOxford,39,15434.35,5508.61,4495.89
DRG194,PID250017,RIDMSOxford,39,13380.97,6438.53,5631.56
DRG194,PID250034,RIDMSOxford,57,19228.28,6192.45,4939.38
DRG194,PID250061,RIDMSOxford,20,5092.6,6281.6,5607.2
DRG194,PID250128,RIDMSOxford,35,21275,6110.88,5234.77
DRG195,PID250015,RIDMSOxford,18,13465.38,3977,2857.44
DRG195,PID250034,RIDMSOxford,23,9783.08,4230.95,3155.13
DRG195,PID250061,RIDMSOxford,15,4552.33,4296.53,3395.2
DRG195,PID250128,RIDMSOxford,18,14130.72,4246.66,3563.77
DRG207,PID250034,RIDMSOxford,14,101942.35,38048.42,30720.35
DRG208,PID250015,RIDMSOxford,17,33001.47,12213.35,11686.29
DRG208,PID250034,RIDMSOxford,47,42329.8,14227.12,13069.46
DRG238,PID250034,RIDMSOxford,11,45794.72,18384.72,17267.27
DRG243,PID250034,RIDMSOxford,15,60525.46,15795.8,15041.13
DRG244,PID250034,RIDMSOxford,11,52961.36,12152.9,11026.72
DRG246,PID250034,RIDMSOxford,69,67458.21,19938.52,17327.56
DRG247,PID250034,RIDMSOxford,48,49388.12,12181.93,10243.16
DRG252,PID250034,RIDMSOxford,17,51336.82,18241.82,17675.82
DRG253,PID250034,RIDMSOxford,17,44169.35,15041.94,14181.94
DRG254,PID250034,RIDMSOxford,25,19799.56,9627.44,8730.8
DRG280,PID250015,RIDMSOxford,18,29734.5,9595.16,9221.38
DRG280,PID250034,RIDMSOxford,70,27538.44,10868.87,9817.2
DRG281,PID250034,RIDMSOxford,17,19253.7,7648.52,5889.58
DRG282,PID250034,RIDMSOxford,20,17974.55,4782.6,3713.6
DRG286,PID250034,RIDMSOxford,18,30476.72,11815.22,10175
DRG287,PID250034,RIDMSOxford,31,22221.38,6917.58,5126.54
DRG291,PID250015,RIDMSOxford,30,15821.33,7197.96,6672.9
DRG291,PID250017,RIDMSOxford,12,17671.83,8847.75,8378.75
DRG291,PID250034,RIDMSOxford,102,22280.56,9225.37,8073.85
DRG292,PID250015,RIDMSOxford,29,13931.2,5436.2,4460.41
DRG292,PID250017,RIDMSOxford,15,11876.06,6522.4,5998.4
DRG292,PID250034,RIDMSOxford,48,15695.02,6059.16,5267.29
DRG292,PID250061,RIDMSOxford,20,4622.8,6217.4,5771
DRG292,PID250128,RIDMSOxford,33,18003.36,6031.48,5431.15
DRG293,PID250015,RIDMSOxford,14,12521.14,3921.85,2690.78
DRG293,PID250034,RIDMSOxford,16,10040.56,4335.25,3058.31
DRG293,PID250061,RIDMSOxford,12,5141.25,4245.91,3590.91
DRG293,PID250128,RIDMSOxford,17,12544.29,4121.52,3452.7
DRG300,PID250015,RIDMSOxford,14,14418.57,5128.5,4567.07
DRG300,PID250034,RIDMSOxford,16,17402,5741.75,4898.75
DRG303,PID250034,RIDMSOxford,14,13776.14,3473.85,2591.28
DRG308,PID250015,RIDMSOxford,13,24473.23,6664.3,6146.76
DRG308,PID250034,RIDMSOxford,28,18069.75,7759.89,6160.17
DRG309,PID250015,RIDMSOxford,33,12302.78,4701,3780.63
DRG309,PID250034,RIDMSOxford,21,12753.19,5031.52,4021.95
DRG310,PID250015,RIDMSOxford,15,8281.33,3200,2225.33
DRG310,PID250034,RIDMSOxford,23,9696.65,3394.69,2466.52
DRG312,PID250015,RIDMSOxford,13,9746.23,4020,3241.23
DRG312,PID250034,RIDMSOxford,35,15757,5067.71,3023.34
DRG313,PID250034,RIDMSOxford,12,14480.66,3280.08,2263.75
DRG314,PID250015,RIDMSOxford,13,20697.84,9874,9160.53
DRG314,PID250034,RIDMSOxford,38,30880.15,11093.15,9630.31
DRG329,PID250034,RIDMSOxford,28,73746.42,31915.64,30110.17
DRG330,PID250034,RIDMSOxford,26,40181.53,15223.73,13265.3
DRG372,PID250034,RIDMSOxford,13,20284.61,7534.84,6843.15
DRG377,PID250034,RIDMSOxford,38,31394.63,10594.13,9666.6
DRG378,PID250015,RIDMSOxford,32,13796.5,5442.62,4775.5
DRG378,PID250034,RIDMSOxford,70,16872.31,6151.07,5025.8
DRG389,PID250034,RIDMSOxford,18,12787.61,5499.22,4753.44
DRG390,PID250034,RIDMSOxford,16,7808.5,3824,2659.12
DRG391,PID250034,RIDMSOxford,25,17954.24,6886.48,6199.8
DRG392,PID250015,RIDMSOxford,25,13188.48,3933.84,3050.24
DRG392,PID250017,RIDMSOxford,19,10928.31,4631.15,3744.21
DRG392,PID250034,RIDMSOxford,79,13746.75,4736.53,3399.36
DRG392,PID250128,RIDMSOxford,23,12230.6,4493.69,3639.39
DRG418,PID250034,RIDMSOxford,13,26626.69,10139.3,9188.84
DRG419,PID250034,RIDMSOxford,17,21246.58,6970.52,5912.64
DRG439,PID250034,RIDMSOxford,11,21672.18,6016.36,5107.63
DRG469,PID250034,RIDMSOxford,16,53039.93,20431.87,19516.12
DRG470,PID250034,RIDMSOxford,164,31976.21,12582.51,11074.76
DRG480,PID250034,RIDMSOxford,17,50168.41,17386.17,16394.88
DRG481,PID250015,RIDMSOxford,12,27938.66,10381.33,9438
DRG481,PID250034,RIDMSOxford,68,31188.76,11083.25,10158.07
DRG482,PID250034,RIDMSOxford,12,24707.83,9128.83,7260.5
DRG603,PID250015,RIDMSOxford,17,15431.76,4695,3836.88
DRG603,PID250034,RIDMSOxford,30,17968.56,5506.8,3763.06
DRG603,PID250061,RIDMSOxford,11,3255.81,5197.72,4377.36
DRG603,PID250128,RIDMSOxford,13,11994.07,5124,4258.15
DRG638,PID250015,RIDMSOxford,15,10309.2,4527.4,3888.06
DRG638,PID250034,RIDMSOxford,16,18182.06,4933.43,4161.18
DRG640,PID250034,RIDMSOxford,30,16909.63,6752.83,6078.96
DRG641,PID250015,RIDMSOxford,31,11041.87,3803.51,3004.29
DRG641,PID250017,RIDMSOxford,22,7416.77,4469.72,3809.54
DRG641,PID250034,RIDMSOxford,45,8716.17,4066.02,3193.4
DRG641,PID250128,RIDMSOxford,32,10970.84,4147.93,3339.31
DRG682,PID250015,RIDMSOxford,14,14755.21,9060.78,7349.71
DRG682,PID250034,RIDMSOxford,87,27927.45,9704.64,8834.37
DRG683,PID250015,RIDMSOxford,30,12433.56,5333.6,4472.13
DRG683,PID250034,RIDMSOxford,66,16909.3,5940.03,5008.5
DRG689,PID250034,RIDMSOxford,31,22415.45,7450.74,6690.09
DRG690,PID250015,RIDMSOxford,59,9985.27,4343.37,3374.06
DRG690,PID250017,RIDMSOxford,29,9210.86,5044.06,4195.24
DRG690,PID250034,RIDMSOxford,48,11665.41,4714.02,3704.75
DRG690,PID250061,RIDMSOxford,14,3637.92,4871.5,4229.21
DRG690,PID250128,RIDMSOxford,51,12609.54,4750.64,3919.82
DRG698,PID250015,RIDMSOxford,33,23022.93,8376.18,7716.24
DRG699,PID250015,RIDMSOxford,15,12694.66,5471.13,4702.93
DRG811,PID250015,RIDMSOxford,11,16352.18,8413,5222.36
DRG811,PID250034,RIDMSOxford,23,21246.52,7474.13,6908.13
DRG812,PID250015,RIDMSOxford,47,12693.17,4764.87,3761.72
DRG812,PID250017,RIDMSOxford,24,13350.95,5144.33,4723.83
DRG812,PID250034,RIDMSOxford,36,14477.38,4744,3847.08
DRG812,PID250061,RIDMSOxford,15,4611.26,4932.73,4104.73
DRG812,PID250128,RIDMSOxford,28,13612.14,4767.64,3628.64
DRG853,PID250034,RIDMSOxford,31,99562.22,33673.35,32825
DRG870,PID250034,RIDMSOxford,15,99290.06,34607.2,33366.26
DRG871,PID250015,RIDMSOxford,55,23167.25,9970.98,8869.94
DRG871,PID250017,RIDMSOxford,13,20711.3,11433.07,10651.84
DRG871,PID250034,RIDMSOxford,130,34550.35,11438.07,10557.19
DRG872,PID250015,RIDMSOxford,44,17951.95,6331.88,5590.15
DRG872,PID250034,RIDMSOxford,21,24916,6772.33,5872.09
DRG885,PID250128,RIDMSOxford,185,13646.9,5957.56,4643.1
DRG897,PID250128,RIDMSOxford,13,9883.53,3984,3461.53
DRG948,PID250034,RIDMSOxford,12,12775.91,4244.25,2907.5
