drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID250004,RIDMSTupelo,100,15615.08,6370.63,4956.07
DRG039,PID250100,RIDMSTupelo,16,26736.18,6094.75,5316.5
DRG057,PID250004,RIDMSTupelo,44,18147.27,6204.38,4879.13
DRG057,PID250006,RIDMSTupelo,12,10633.66,5163.66,4317.33
DRG064,PID250004,RIDMSTupelo,146,26306.33,11169.71,9966.58
DRG064,PID250100,RIDMSTupelo,20,26712.65,11000.4,10161
DRG065,PID250004,RIDMSTupelo,151,19595.95,6918.48,5953.57
DRG065,PID250025,RIDMSTupelo,23,22925.73,6054.43,5124.86
DRG065,PID250050,RIDMSTupelo,12,15054.16,6795,5951.33
DRG065,PID250100,RIDMSTupelo,54,23871.18,6852.14,5957.25
DRG066,PID250004,RIDMSTupelo,82,16173.08,5189.42,3915.59
DRG066,PID250006,RIDMSTupelo,21,16307.66,4988,4076.19
DRG066,PID250025,RIDMSTupelo,21,10768.33,4349,3335.47
DRG066,PID250050,RIDMSTupelo,27,12421.62,4775,3773.51
DRG066,PID250100,RIDMSTupelo,34,17699.14,4792.97,3735.08
DRG069,PID250004,RIDMSTupelo,60,16396.5,4965.45,3250.8
DRG069,PID250006,RIDMSTupelo,23,18741.47,4448,3519.82
DRG069,PID250025,RIDMSTupelo,13,10456.23,3878,3181.38
DRG069,PID250100,RIDMSTupelo,13,17060,4375.07,3342.46
DRG074,PID250004,RIDMSTupelo,24,18380.33,5196.37,4588.54
DRG101,PID250004,RIDMSTupelo,30,15703,4541.4,3706.96
DRG149,PID250004,RIDMSTupelo,17,12882.41,3847.17,2789.29
DRG176,PID250004,RIDMSTupelo,45,16895.71,6479.44,5177.82
DRG176,PID250100,RIDMSTupelo,11,17483,6378.09,5354.81
DRG177,PID250004,RIDMSTupelo,146,35004.47,12591.36,11899.25
DRG177,PID250025,RIDMSTupelo,12,59100.58,11882.66,11319.33
DRG177,PID250100,RIDMSTupelo,22,34234.36,11626.5,10860.5
DRG178,PID250004,RIDMSTupelo,50,20678.22,8949.5,8024.3
DRG178,PID250006,RIDMSTupelo,14,26432.14,8337.5,7612
DRG178,PID250020,RIDMSTupelo,23,21605.82,8262.47,7774.47
DRG178,PID250025,RIDMSTupelo,13,31026.38,7897,7031.15
DRG189,PID250004,RIDMSTupelo,158,29481.05,8765.63,7918.37
DRG189,PID250006,RIDMSTupelo,21,23963.28,7964.04,7317.19
DRG189,PID250025,RIDMSTupelo,12,31625.75,6754.5,6565.83
DRG189,PID250044,RIDMSTupelo,46,19149.5,8063.39,7414.04
DRG189,PID250050,RIDMSTupelo,12,25363.83,7776.58,7402
DRG189,PID250100,RIDMSTupelo,60,28093.06,8143.03,7186.41
DRG190,PID10044,RIDMSTupelo,41,18480.43,6532.14,5708.53
DRG190,PID250004,RIDMSTupelo,197,20086.53,7240.67,6261.01
DRG190,PID250006,RIDMSTupelo,33,20143.75,7059.57,6241.15
DRG190,PID250020,RIDMSTupelo,12,18383.16,7351.75,5805.83
DRG190,PID250025,RIDMSTupelo,36,26715.13,6168.83,5516.5
DRG190,PID250044,RIDMSTupelo,43,16128.76,7452.44,6562.58
DRG190,PID250050,RIDMSTupelo,15,19321.2,6790.66,6191.2
DRG190,PID250067,RIDMSTupelo,12,15916.75,6552.75,5709.08
DRG190,PID250100,RIDMSTupelo,26,20729.61,7044.15,6180.76
DRG193,PID250025,RIDMSTupelo,18,31160.88,7691.72,7071.72
DRG191,PID10044,RIDMSTupelo,13,16010.92,5437.53,4446
DRG191,PID250004,RIDMSTupelo,115,15138.77,5825.77,4979.4
DRG191,PID250006,RIDMSTupelo,35,14451.51,6024.31,4856
DRG191,PID250020,RIDMSTupelo,17,13609.58,5654.05,4729.35
DRG191,PID250025,RIDMSTupelo,28,21712.92,5047.53,4164.96
DRG191,PID250044,RIDMSTupelo,45,15072.66,6068.62,5388.82
DRG191,PID250050,RIDMSTupelo,19,17567.36,5607.15,4955.15
DRG191,PID250067,RIDMSTupelo,19,9687.84,5569.94,4861.73
DRG191,PID250100,RIDMSTupelo,27,19188.96,5868.37,4894.74
DRG192,PID10044,RIDMSTupelo,24,14522.75,4101.2,2999.45
DRG192,PID250004,RIDMSTupelo,55,11795.7,4383.67,3347.54
DRG192,PID250006,RIDMSTupelo,77,11089.01,4359.41,3553.8
DRG192,PID250020,RIDMSTupelo,21,11072.61,4191.8,3332.38
DRG192,PID250025,RIDMSTupelo,56,16766,3972.39,2705.58
DRG192,PID250044,RIDMSTupelo,74,11665.97,4539.22,3610.85
DRG192,PID250050,RIDMSTupelo,40,13183.52,4201.62,3331.52
DRG192,PID250067,RIDMSTupelo,16,7968.37,5008.93,2979.12
DRG192,PID250100,RIDMSTupelo,26,11400.61,4315.23,3451.84
DRG193,PID250004,RIDMSTupelo,167,23727.47,9016.03,8103.78
DRG193,PID250006,RIDMSTupelo,15,25525.6,8674.46,7926.2
DRG193,PID250020,RIDMSTupelo,25,25991.96,8546.48,7653.64
DRG193,PID250100,RIDMSTupelo,57,29669.42,8778.31,8012.77
DRG194,PID10044,RIDMSTupelo,44,15334.31,5226.56,4408.38
DRG194,PID250004,RIDMSTupelo,113,14476.09,6064.8,5159.48
DRG194,PID250006,RIDMSTupelo,36,21458.61,6903.97,5250.94
DRG194,PID250020,RIDMSTupelo,84,19490.01,5859.64,5068.13
DRG194,PID250025,RIDMSTupelo,41,25203.07,5341.21,4462.39
DRG194,PID250044,RIDMSTupelo,36,16121.75,6391.58,5454.47
DRG194,PID250050,RIDMSTupelo,62,22076.09,6015.88,5181.7
DRG194,PID250067,RIDMSTupelo,29,11594.2,6025,5330.1
DRG194,PID250100,RIDMSTupelo,43,20999.67,6040.74,4945.76
DRG195,PID10044,RIDMSTupelo,23,13579.65,3905.04,2911.95
DRG195,PID250004,RIDMSTupelo,31,11787,4281.38,3269.25
DRG195,PID250006,RIDMSTupelo,37,15550.86,4998.21,3211.02
DRG195,PID250020,RIDMSTupelo,42,13223,4641.64,2898.23
DRG195,PID250025,RIDMSTupelo,21,14359.57,3839.28,2565.14
DRG195,PID250044,RIDMSTupelo,28,13632.35,4665.39,3461.92
DRG195,PID250050,RIDMSTupelo,18,15166.72,4125.61,3006.05
DRG195,PID250067,RIDMSTupelo,17,8339.23,4212,3287.29
DRG195,PID250100,RIDMSTupelo,17,15373.05,4246.58,3318.11
DRG202,PID250004,RIDMSTupelo,37,16510.24,5090.56,4274.02
DRG202,PID250020,RIDMSTupelo,12,10342.83,4900.08,4053.75
DRG202,PID250025,RIDMSTupelo,14,17686.35,4468,3578.57
DRG202,PID250067,RIDMSTupelo,11,7927.09,5000,4105.36
DRG203,PID250004,RIDMSTupelo,14,10428.21,3838.71,2627.78
DRG203,PID250006,RIDMSTupelo,17,8244.11,3700,2575.52
DRG203,PID250020,RIDMSTupelo,15,12591.33,3524.26,2553.86
DRG203,PID250025,RIDMSTupelo,21,12730,3226,2260.28
