drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID270004,RIDMTBillings,33,14227.39,6339.3,5452.27
DRG039,PID270049,RIDMTBillings,31,16555.54,7078.22,5278.74
DRG057,PID270004,RIDMTBillings,35,23746.65,6804.54,5574.37
DRG064,PID270004,RIDMTBillings,23,27297.95,12257.21,11378.21
DRG064,PID270049,RIDMTBillings,26,21151.23,11476.88,10525.19
DRG064,PID270057,RIDMTBillings,11,13720.18,10204.9,9281.63
DRG065,PID270003,RIDMTBillings,28,12774.07,6957,5872.28
DRG065,PID270004,RIDMTBillings,61,18685.86,7382.96,6161.95
DRG065,PID270049,RIDMTBillings,54,14433.48,7024.79,6110.12
DRG065,PID270057,RIDMTBillings,24,15238.33,6183.37,4765.62
DRG065,PID530006,RIDMTBillings,15,19543.33,11356.73,10388.46
DRG066,PID270003,RIDMTBillings,11,8206.72,4903.63,3780.36
DRG066,PID270004,RIDMTBillings,29,15554.79,5581.31,3966.06
DRG066,PID270049,RIDMTBillings,26,11289.5,5130.8,4267.42
DRG066,PID270057,RIDMTBillings,15,10263.73,4578,3680.93
DRG069,PID270004,RIDMTBillings,18,13594.94,6019.72,2986.38
DRG069,PID270049,RIDMTBillings,26,11291.42,4544.19,3632.34
DRG074,PID270049,RIDMTBillings,13,9607.07,5381.76,4782.07
DRG101,PID270004,RIDMTBillings,12,14363.75,4864.58,3509.91
DRG101,PID270049,RIDMTBillings,20,11867.6,4764.5,4088.5
DRG149,PID270004,RIDMTBillings,19,11773.73,3986.05,3157
DRG176,PID270003,RIDMTBillings,21,11648.28,6438,5632.47
DRG176,PID270004,RIDMTBillings,21,15283.66,7084.14,5372.95
DRG176,PID270049,RIDMTBillings,15,12955.86,6843.53,5376.93
DRG176,PID270057,RIDMTBillings,11,11319.72,5538.09,4717.72
DRG177,PID270003,RIDMTBillings,14,30205.71,12932.57,12126.28
DRG177,PID270004,RIDMTBillings,33,27481.24,12424.12,11817.18
DRG177,PID270049,RIDMTBillings,27,27602.96,12996.77,12207.33
DRG177,PID270057,RIDMTBillings,12,20628.91,11042.08,10106.83
DRG178,PID270003,RIDMTBillings,22,22558.68,8616.18,7797.27
DRG178,PID270004,RIDMTBillings,31,17980.7,8950.25,8371.16
DRG178,PID270049,RIDMTBillings,18,15858.16,8951.83,8328.27
DRG178,PID270057,RIDMTBillings,33,12828.87,7323.3,6539.18
DRG189,PID270004,RIDMTBillings,36,15799.75,7982.88,7199.44
DRG189,PID270049,RIDMTBillings,71,18987.66,8229.66,7253.67
DRG189,PID530002,RIDMTBillings,22,22234.13,12891.68,12225.68
DRG190,PID270003,RIDMTBillings,33,22972.33,8773.57,6648.48
DRG190,PID270004,RIDMTBillings,71,14845.26,7466.07,6505.15
DRG190,PID270049,RIDMTBillings,30,12305.66,7403.96,6421.5
DRG190,PID270057,RIDMTBillings,20,11861.55,6736.2,5634.25
DRG190,PID530002,RIDMTBillings,22,20939.09,11990,11074
DRG190,PID530006,RIDMTBillings,33,28328.27,12550.39,11696.69
DRG191,PID270003,RIDMTBillings,25,12736.52,7122.4,4867.36
DRG191,PID270004,RIDMTBillings,42,13870.45,6243.45,5069.26
DRG191,PID270049,RIDMTBillings,30,12312.53,6014.2,5039.53
DRG191,PID270057,RIDMTBillings,12,8619.66,5340.66,4491.66
DRG191,PID530002,RIDMTBillings,11,13959.81,9572.18,7381.72
DRG192,PID270003,RIDMTBillings,15,9029.53,5304.2,3286.4
DRG192,PID270004,RIDMTBillings,17,10844.17,4510.47,3656.11
DRG192,PID270049,RIDMTBillings,21,8321.76,4511,3549.85
DRG192,PID270057,RIDMTBillings,26,6523.76,4103.5,2952.53
DRG192,PID530002,RIDMTBillings,28,13630,7390.07,6409.21
DRG192,PID530006,RIDMTBillings,12,15941.83,6940,6002
DRG193,PID270003,RIDMTBillings,33,20000.93,8796.72,8111.63
DRG193,PID270004,RIDMTBillings,76,16679.07,9338.84,8508.11
DRG193,PID270049,RIDMTBillings,87,20558.68,9177,8468.72
DRG193,PID270057,RIDMTBillings,12,17474.66,7924.33,7169.66
DRG194,PID270003,RIDMTBillings,83,17782.93,7350.66,5176.57
DRG194,PID270004,RIDMTBillings,79,11343.56,6212.82,5309.07
DRG194,PID270049,RIDMTBillings,79,11710.03,6429.78,5228.53
DRG194,PID270057,RIDMTBillings,54,10358.88,5549,4569.07
DRG194,PID530002,RIDMTBillings,38,18305,10189.6,9182.1
DRG194,PID530006,RIDMTBillings,39,18301.23,9770.56,8790.25
DRG195,PID270003,RIDMTBillings,23,11940.3,4272.56,3251.52
DRG195,PID270004,RIDMTBillings,27,10916.85,4780,3353.44
DRG195,PID270049,RIDMTBillings,30,9263.4,4480.13,3365.26
DRG195,PID270057,RIDMTBillings,18,8142.44,3940.83,3001.05
DRG195,PID530006,RIDMTBillings,21,13458,6801,5895.28
DRG202,PID270003,RIDMTBillings,12,9879.08,5245.66,4103.25
DRG202,PID270004,RIDMTBillings,13,10203.76,5252,4383.69
DRG207,PID270004,RIDMTBillings,15,69458.26,31074.73,29328.6
DRG208,PID270004,RIDMTBillings,29,38846.79,14681.34,13072.68
DRG208,PID270049,RIDMTBillings,16,61759.5,15790.25,15090.75
DRG238,PID270004,RIDMTBillings,32,54309.21,20196.31,17747.9
DRG238,PID270049,RIDMTBillings,42,84478.11,23457.02,20891.21
DRG243,PID270004,RIDMTBillings,32,41600.62,16602.65,15214.28
DRG243,PID270049,RIDMTBillings,14,55825.14,16684.14,15882.35
DRG244,PID270004,RIDMTBillings,25,38308.88,13319.08,11243.36
DRG244,PID270049,RIDMTBillings,12,53593.91,23075.83,10713.91
DRG246,PID270004,RIDMTBillings,17,69664.88,21571.47,18008.35
DRG246,PID270049,RIDMTBillings,16,75143.81,20718.56,19952.31
DRG247,PID270003,RIDMTBillings,30,35705.86,13426.53,10266.93
DRG247,PID270004,RIDMTBillings,65,49639.64,14578.03,10226.81
DRG247,PID270049,RIDMTBillings,64,53477.76,14716.59,10662.29
DRG247,PID270057,RIDMTBillings,12,28308.41,10996,9958.33
DRG249,PID270004,RIDMTBillings,43,48552.93,11064.02,10018.44
DRG249,PID270057,RIDMTBillings,12,22818.41,9902,8778
DRG251,PID270004,RIDMTBillings,11,37837,12187.27,9564.45
DRG252,PID270049,RIDMTBillings,11,64872.54,19404.09,18698.27
DRG253,PID270004,RIDMTBillings,13,27140.76,14788.46,13109.69
DRG253,PID270049,RIDMTBillings,36,51585.52,15161.94,14540.16
DRG254,PID270004,RIDMTBillings,28,19282.17,10362.14,8731.17
DRG254,PID270049,RIDMTBillings,23,31211.86,10855.86,8743.43
DRG280,PID270004,RIDMTBillings,12,22555.41,11307.66,10275.33
DRG280,PID270049,RIDMTBillings,13,28278.46,11731,10952.3
DRG281,PID270049,RIDMTBillings,15,20964.53,7450.66,6562.13
DRG282,PID270049,RIDMTBillings,14,13830,5046.71,4087.85
DRG286,PID270004,RIDMTBillings,15,28222.26,12466.93,11716.53
DRG287,PID270003,RIDMTBillings,12,16121.5,9137.33,4220.75
DRG287,PID270004,RIDMTBillings,81,20324.88,7430.81,5582.07
DRG287,PID270049,RIDMTBillings,15,19548,7111.73,5588.8
DRG291,PID270003,RIDMTBillings,15,22085.66,8925.33,7948.53
DRG291,PID270004,RIDMTBillings,56,16534.92,9213.71,8401.28
DRG291,PID270049,RIDMTBillings,54,18542.55,9309.48,8643.4
DRG291,PID270057,RIDMTBillings,23,12141.95,8115.08,7077.39
DRG292,PID270003,RIDMTBillings,37,12333.91,6645.4,5310.91
DRG292,PID270004,RIDMTBillings,88,12506.5,6336.87,5457.65
DRG292,PID270049,RIDMTBillings,72,12920.01,6580.87,5507.66
DRG292,PID270057,RIDMTBillings,43,9390.79,5686.11,4846.67
DRG292,PID530002,RIDMTBillings,34,14493.73,10017.73,9550.47
DRG292,PID530006,RIDMTBillings,16,21327.31,9828.56,9339.31
DRG293,PID270004,RIDMTBillings,32,8693.56,4274.25,3465.62
DRG293,PID270049,RIDMTBillings,35,10302.57,4508.34,3498.37
DRG293,PID270057,RIDMTBillings,14,6873.92,3827,2942.14
DRG293,PID530002,RIDMTBillings,16,13013,6891,6185.5
DRG300,PID270004,RIDMTBillings,15,9222.93,6098.13,5574.13
DRG308,PID270003,RIDMTBillings,14,20511.64,8666.92,7703.5
DRG308,PID270004,RIDMTBillings,27,15357.14,7791.88,6615.29
DRG308,PID270049,RIDMTBillings,26,19402,8281.07,7330.61
DRG309,PID270003,RIDMTBillings,17,7975.94,5222.94,3521.29
DRG309,PID270004,RIDMTBillings,41,9833.24,5372.04,4149.97
DRG309,PID270049,RIDMTBillings,33,12598.39,5251.6,4434.15
DRG309,PID270057,RIDMTBillings,15,6122.06,4652.86,3598.26
DRG309,PID530002,RIDMTBillings,11,12453.27,8434,7716.54
DRG310,PID270003,RIDMTBillings,13,8902.07,3493,2460.38
DRG310,PID270004,RIDMTBillings,33,6124.03,3555.39,2703.12
DRG310,PID270049,RIDMTBillings,26,8102.84,3573.53,2661.69
DRG310,PID270057,RIDMTBillings,11,8003.27,3188,2476.36
DRG310,PID530006,RIDMTBillings,16,21232.31,5957,5116.06
DRG312,PID270003,RIDMTBillings,16,9507.12,4388,3545
DRG312,PID270004,RIDMTBillings,23,10444.65,4471.69,3615.95
DRG312,PID270049,RIDMTBillings,19,11331,4799.42,3368.1
DRG312,PID270057,RIDMTBillings,13,8616.07,4073.53,2977.61
DRG313,PID270004,RIDMTBillings,27,8788.96,3514.03,2469.77
DRG313,PID530002,RIDMTBillings,13,10360.46,5553.3,4487
DRG314,PID270004,RIDMTBillings,19,18602.63,11685,10234.05
DRG329,PID270003,RIDMTBillings,12,57809.83,32208.66,31181.66
DRG329,PID270004,RIDMTBillings,28,80884.14,34998.96,32494.1
DRG329,PID270049,RIDMTBillings,27,79689.55,34990.03,32844.07
DRG330,PID270004,RIDMTBillings,55,31625.41,16373.45,14310.27
DRG330,PID270049,RIDMTBillings,17,25284.7,15358.47,14496.58
DRG330,PID270057,RIDMTBillings,12,46750.5,16951.75,16019.16
DRG372,PID270004,RIDMTBillings,14,17380.71,7932.14,6798.78
DRG372,PID270049,RIDMTBillings,13,16102.76,7618.53,6839.76
