drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID270012,RIDMTGreatFalls,59,20515.96,6619.44,5782.3
DRG057,PID270012,RIDMTGreatFalls,15,17316.33,5859.53,5037.93
DRG064,PID270012,RIDMTGreatFalls,29,28955.41,14612.48,11478.48
DRG065,PID270012,RIDMTGreatFalls,43,17442.51,7664.72,6440.86
DRG066,PID270012,RIDMTGreatFalls,26,10988.03,5231.92,4276.53
DRG069,PID270012,RIDMTGreatFalls,29,12122.72,4760.48,3906.13
DRG074,PID270012,RIDMTGreatFalls,13,10428.61,5612.46,5005.38
DRG101,PID270012,RIDMTGreatFalls,24,12547.29,4969.33,4125.66
DRG176,PID270012,RIDMTGreatFalls,21,10438.52,7033.71,5716.76
DRG177,PID270012,RIDMTGreatFalls,35,27866.51,12899.34,11820.85
DRG178,PID270012,RIDMTGreatFalls,39,18142.05,10035.28,8463.76
DRG189,PID270012,RIDMTGreatFalls,46,19535.39,8863.47,7164.15
DRG190,PID270012,RIDMTGreatFalls,49,15812.2,7713.89,6645
DRG191,PID270012,RIDMTGreatFalls,50,13965.22,6364.1,5555.46
DRG191,PID270032,RIDMTGreatFalls,11,10788.72,6823,6208.45
DRG192,PID270012,RIDMTGreatFalls,36,10196.33,4710.72,3835.61
DRG192,PID270032,RIDMTGreatFalls,18,9711.11,5087.66,4015.5
DRG192,PID270074,RIDMTGreatFalls,14,7575.42,6451.71,5643.14
DRG193,PID270012,RIDMTGreatFalls,44,20105.15,9527.4,8582.04
DRG194,PID270012,RIDMTGreatFalls,63,13281.46,6562.85,5497.69
DRG194,PID270032,RIDMTGreatFalls,34,13230.2,7036.26,6248.5
DRG194,PID270074,RIDMTGreatFalls,19,10086.94,8670.15,8018.15
DRG195,PID270012,RIDMTGreatFalls,32,11635.56,4630.53,3644.03
DRG195,PID270032,RIDMTGreatFalls,22,9552.31,5018.13,4016.72
DRG195,PID270074,RIDMTGreatFalls,15,9102.8,6486.93,5663.2
DRG208,PID270012,RIDMTGreatFalls,25,42785.44,14964.44,14379.64
DRG238,PID270012,RIDMTGreatFalls,21,83129.47,23514.57,22659.76
DRG243,PID270012,RIDMTGreatFalls,15,40089.6,18539.4,15387.4
DRG244,PID270012,RIDMTGreatFalls,21,31547.14,14448.33,11799.95
DRG246,PID270012,RIDMTGreatFalls,11,53583.45,20612.63,19589.36
DRG247,PID270012,RIDMTGreatFalls,45,40014.33,13576.55,11198.4
DRG249,PID270012,RIDMTGreatFalls,21,36845.66,12246.52,10126.8
DRG252,PID270012,RIDMTGreatFalls,18,62033.83,20366.61,19666.61
DRG253,PID270012,RIDMTGreatFalls,26,47356.26,15638.73,14859.96
DRG254,PID270012,RIDMTGreatFalls,24,31791.95,11259.91,9363.75
DRG280,PID270012,RIDMTGreatFalls,11,32179.36,11605.36,10785
DRG281,PID270012,RIDMTGreatFalls,15,19676,8136.33,6408.8
DRG287,PID270012,RIDMTGreatFalls,49,22307.42,7479.51,6561.3
DRG291,PID270012,RIDMTGreatFalls,32,21989.75,9636.25,9112.62
DRG292,PID270012,RIDMTGreatFalls,62,16181.2,6728.56,5916.24
