drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID270014,RIDMTMissoula,34,22178.94,5697.38,4802.2
DRG039,PID270051,RIDMTMissoula,17,17520.05,6144.7,5157.17
DRG057,PID270051,RIDMTMissoula,13,9978.53,5438.3,4572.46
DRG064,PID270014,RIDMTMissoula,28,25477.25,11030.78,8930.67
DRG065,PID270014,RIDMTMissoula,38,14886,6806.13,5020.55
DRG065,PID270017,RIDMTMissoula,17,20557.23,8379,7385.82
DRG065,PID270023,RIDMTMissoula,20,18330.65,7277.7,6321.9
DRG065,PID270051,RIDMTMissoula,36,17431.44,6889.52,5920.08
DRG066,PID270014,RIDMTMissoula,25,14930,4850.48,3412.12
DRG066,PID270017,RIDMTMissoula,14,12175.71,6467,4245.64
DRG066,PID270051,RIDMTMissoula,19,11537.84,4882.05,3875.94
DRG069,PID270051,RIDMTMissoula,12,10259.58,4407.5,3377.83
DRG176,PID270014,RIDMTMissoula,20,14595.55,5805.25,4846.25
DRG176,PID270023,RIDMTMissoula,17,17398.23,7049.05,6061.52
DRG176,PID270051,RIDMTMissoula,17,15180.76,6787.29,5051.29
DRG177,PID270014,RIDMTMissoula,38,23508.97,10877.34,10035.92
DRG177,PID270023,RIDMTMissoula,19,18133,13715.21,12768.68
DRG177,PID270051,RIDMTMissoula,13,25615.92,10792.07,10189.92
DRG178,PID270014,RIDMTMissoula,17,15784.82,7490.7,6767.64
DRG178,PID270017,RIDMTMissoula,13,26621.07,10551.46,9770.23
DRG178,PID270051,RIDMTMissoula,28,19004.85,9039,8277.71
DRG189,PID270014,RIDMTMissoula,69,20812.73,8015.92,6527.01
DRG189,PID270017,RIDMTMissoula,14,22056.71,9199,8390.42
DRG189,PID270023,RIDMTMissoula,14,20884.78,9260.14,7433.28
DRG189,PID270051,RIDMTMissoula,19,26922.68,7855.73,7026.68
DRG190,PID270014,RIDMTMissoula,37,14032.86,6624.08,5470.05
DRG190,PID270017,RIDMTMissoula,32,17094.93,8647.65,7768.31
DRG190,PID270023,RIDMTMissoula,11,17390.27,7955.54,6929.36
DRG190,PID270051,RIDMTMissoula,44,16366.36,7065.4,6172.95
DRG191,PID270014,RIDMTMissoula,21,14563,5394.71,4544.42
DRG191,PID270017,RIDMTMissoula,20,15491.3,6992,6265.8
DRG191,PID270051,RIDMTMissoula,37,12187.51,6071.78,4763.02
DRG192,PID270014,RIDMTMissoula,15,12271.2,4385.06,2764.26
DRG192,PID270017,RIDMTMissoula,23,15797.43,5413.86,4377.86
DRG192,PID270051,RIDMTMissoula,24,11586,4464.29,3191.75
DRG193,PID270014,RIDMTMissoula,67,20479.83,9169.38,6778.05
DRG193,PID270017,RIDMTMissoula,26,28115.07,10997.11,10393.69
DRG193,PID270023,RIDMTMissoula,20,21933.3,9604.65,8928.65
DRG193,PID270051,RIDMTMissoula,19,26021.31,10511.21,9568.05
DRG194,PID270014,RIDMTMissoula,54,13727.92,5890.62,4588.88
DRG194,PID270017,RIDMTMissoula,34,17846.67,7266.47,6277.05
DRG194,PID270023,RIDMTMissoula,15,14736.53,7604.26,5256.4
DRG194,PID270051,RIDMTMissoula,86,15631.13,6263.17,5195.15
DRG195,PID270014,RIDMTMissoula,24,9894.58,4017.66,2877.58
DRG195,PID270017,RIDMTMissoula,17,12000.47,5080.58,4022.7
DRG195,PID270051,RIDMTMissoula,34,9946.23,4439.91,3306.26
DRG202,PID270051,RIDMTMissoula,12,12816.41,5090,4052.33
DRG208,PID270014,RIDMTMissoula,34,43842.11,13903.61,13177.73
DRG208,PID270051,RIDMTMissoula,22,39362.4,14043.09,13327.09
DRG238,PID270014,RIDMTMissoula,26,47588.38,17318.23,15763.65
DRG238,PID270051,RIDMTMissoula,14,56205,22265.57,16608.21
DRG243,PID270051,RIDMTMissoula,16,51644.31,17338.62,13795.43
DRG244,PID270014,RIDMTMissoula,15,36114.66,11342.86,10592.46
DRG246,PID270014,RIDMTMissoula,30,59828.93,20054.03,16974.03
DRG247,PID270014,RIDMTMissoula,99,40053.63,12658.1,9494.53
DRG247,PID270017,RIDMTMissoula,11,62821.81,19011.9,15488.63
DRG247,PID270051,RIDMTMissoula,57,50275.8,12085.49,11056.15
DRG249,PID270014,RIDMTMissoula,18,36357.38,11195.72,8306.22
DRG249,PID270051,RIDMTMissoula,22,44618.95,10701.45,9679.63
DRG253,PID270051,RIDMTMissoula,11,50417.9,14484.63,13570
DRG286,PID270014,RIDMTMissoula,11,33255,11936.72,11122.09
DRG287,PID270014,RIDMTMissoula,27,22248.11,6514.88,4908.22
DRG287,PID270051,RIDMTMissoula,33,27357.78,6586.12,5500.06
DRG291,PID270014,RIDMTMissoula,42,22275.07,8140.57,7417.42
DRG291,PID270017,RIDMTMissoula,34,22522.23,10472.29,9843.47
DRG291,PID270023,RIDMTMissoula,18,21536,10064.5,9191.16
DRG291,PID270051,RIDMTMissoula,19,21565.15,9296.63,7464.15
DRG292,PID270014,RIDMTMissoula,45,22666.77,6141.26,4936.82
DRG292,PID270017,RIDMTMissoula,22,17995.04,7331.59,6517.04
DRG292,PID270023,RIDMTMissoula,15,12795.46,6777.6,5953.86
DRG292,PID270051,RIDMTMissoula,46,14649.28,6170.82,5240.06
DRG293,PID270014,RIDMTMissoula,14,11549.92,3836.28,2953.71
DRG293,PID270051,RIDMTMissoula,15,9102.4,4062.13,3160.8
DRG300,PID270051,RIDMTMissoula,11,12833.63,5564.9,4749.45
DRG308,PID270014,RIDMTMissoula,14,21336.35,6907.64,6343.92
DRG308,PID270017,RIDMTMissoula,12,16280,8566,7722.33
DRG308,PID270023,RIDMTMissoula,14,18196.85,8597.78,7955.5
