drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID340002,RIDNCAsheville,84,18304.59,6548.45,5305.85
DRG039,PID340017,RIDNCAsheville,19,17132.63,5787.15,4959.78
DRG057,PID340002,RIDNCAsheville,52,19869.84,5905.94,5041.32
DRG064,PID340002,RIDNCAsheville,141,27581.27,12121.8,10909.99
DRG064,PID340017,RIDNCAsheville,19,15308.78,10358.78,9529.73
DRG065,PID340002,RIDNCAsheville,175,19276.09,7551.29,6332.01
DRG065,PID340011,RIDNCAsheville,16,8856.56,7232.37,6393.37
DRG065,PID340016,RIDNCAsheville,16,19428.93,6697,5641.75
DRG065,PID340017,RIDNCAsheville,32,13292.21,6579.65,5474.53
DRG065,PID340023,RIDNCAsheville,13,15842.07,6749,5706.53
DRG065,PID340087,RIDNCAsheville,11,12290.54,7964.18,6155.18
DRG065,PID340184,RIDNCAsheville,27,11860.96,6489.88,5273.25
DRG066,PID340002,RIDNCAsheville,101,16548.4,5398.12,4327.54
DRG066,PID340017,RIDNCAsheville,15,7927.6,4485.46,3437.46
DRG066,PID340184,RIDNCAsheville,19,9638.1,4921.05,3431.68
DRG069,PID340002,RIDNCAsheville,70,16194.65,4743.94,3780.97
DRG069,PID340017,RIDNCAsheville,27,9273.81,4265.59,3241.03
DRG069,PID340184,RIDNCAsheville,28,7488.1,4168.28,3201.42
DRG074,PID340002,RIDNCAsheville,33,15601.39,6067.72,4771.33
DRG074,PID340017,RIDNCAsheville,12,10033.75,4968.33,4599
DRG101,PID340002,RIDNCAsheville,77,13151.59,4972.38,4112.49
DRG149,PID340002,RIDNCAsheville,33,11940.93,4156.66,3168.66
DRG149,PID340184,RIDNCAsheville,11,7692.72,3689.54,2769.18
DRG176,PID340002,RIDNCAsheville,63,15934.01,6921.71,5948.3
DRG176,PID340017,RIDNCAsheville,29,13273.79,6220.27,5324.68
DRG176,PID340023,RIDNCAsheville,13,19327.07,6287.46,5511.15
DRG176,PID340184,RIDNCAsheville,15,15610.73,5995.2,5397.86
DRG177,PID340002,RIDNCAsheville,191,23319.04,12731.76,11544.21
DRG177,PID340016,RIDNCAsheville,41,28271.95,11852.24,11329.21
DRG177,PID340017,RIDNCAsheville,25,19616.2,10671.88,9907.24
DRG177,PID340184,RIDNCAsheville,30,21645.8,11277.86,10526.4
DRG178,PID340002,RIDNCAsheville,82,16400.07,9059.07,8172.96
DRG178,PID340011,RIDNCAsheville,15,14614.13,9142.93,8050.8
DRG178,PID340016,RIDNCAsheville,24,18950.2,8079.58,7423.25
DRG178,PID340017,RIDNCAsheville,28,16362.92,8016.92,7293.78
DRG178,PID340023,RIDNCAsheville,19,16821.89,9005.47,7391
DRG178,PID340184,RIDNCAsheville,28,17474.78,7885.64,7163.64
DRG189,PID340002,RIDNCAsheville,210,21617.93,8770.53,7441.24
DRG189,PID340011,RIDNCAsheville,13,9614.15,7822.15,7215.07
DRG189,PID340016,RIDNCAsheville,153,18211.3,7490.74,6565.43
DRG189,PID340017,RIDNCAsheville,43,16992.53,7467.3,6655.67
DRG189,PID340087,RIDNCAsheville,31,12171.35,8388.32,7664.19
DRG189,PID340184,RIDNCAsheville,61,18819.45,7284.54,6528.93
DRG190,PID340002,RIDNCAsheville,264,16231.67,7861.23,6660.48
DRG190,PID340011,RIDNCAsheville,34,11725.82,7316.82,6523.41
DRG190,PID340016,RIDNCAsheville,16,17152.37,6905.37,5997.62
DRG190,PID340017,RIDNCAsheville,75,17081.56,6832.44,5960.84
DRG190,PID340023,RIDNCAsheville,30,16884.46,7054.6,6269.66
DRG190,PID340087,RIDNCAsheville,27,11336,7954.37,6996
DRG190,PID340184,RIDNCAsheville,38,12477.65,6681.15,5941.47
DRG193,PID340023,RIDNCAsheville,20,22768,8886,8072.5
DRG191,PID340002,RIDNCAsheville,167,12984.61,6442.5,5211.82
DRG191,PID340011,RIDNCAsheville,40,7205.57,5850.35,5148.45
DRG191,PID340016,RIDNCAsheville,20,11955.8,5873,4754.4
DRG191,PID340017,RIDNCAsheville,59,12098.37,5507.01,4725.79
DRG191,PID340023,RIDNCAsheville,20,17930.85,5851.1,5120.1
DRG191,PID340087,RIDNCAsheville,30,9910.8,6600.46,5803.5
DRG191,PID340184,RIDNCAsheville,48,12246.64,5620.6,4848.35
DRG192,PID340002,RIDNCAsheville,61,11217.93,4837.39,3662.39
DRG192,PID340011,RIDNCAsheville,49,6410.04,4574.34,3786.89
DRG192,PID340016,RIDNCAsheville,12,7859,4202.33,3264.33
DRG192,PID340017,RIDNCAsheville,42,11081.54,4241.59,3308.78
