drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID340001,RIDNCCharlotte,58,26855.27,6984.6,5173.44
DRG039,PID340032,RIDNCCharlotte,39,21486.66,6404.71,5176.53
DRG039,PID340053,RIDNCCharlotte,42,28982.42,6554.04,5328.3
DRG039,PID340098,RIDNCCharlotte,15,34154.66,5833.86,5012.26
DRG039,PID340113,RIDNCCharlotte,64,40611.73,9397.12,6259.57
DRG039,PID420002,RIDNCCharlotte,42,22432.35,6490.71,5192.85
DRG057,PID340001,RIDNCCharlotte,43,13954.95,5860.67,5049.04
DRG057,PID340021,RIDNCCharlotte,14,13637.21,5483.14,4605.14
DRG057,PID340032,RIDNCCharlotte,25,20560.12,5950.08,5229.44
DRG057,PID340053,RIDNCCharlotte,30,17090.83,5908.26,5044.66
DRG057,PID340098,RIDNCCharlotte,15,19708.26,5169.73,4268.4
DRG057,PID340113,RIDNCCharlotte,41,23699.51,8617.21,7780.58
DRG057,PID340129,RIDNCCharlotte,21,28155.14,5668.28,4701.04
DRG057,PID340130,RIDNCCharlotte,13,13192.46,6026,5329.38
DRG057,PID340166,RIDNCCharlotte,15,14378.8,5365,4690.06
DRG057,PID340171,RIDNCCharlotte,15,12195.53,5253.46,4356.4
DRG057,PID420002,RIDNCCharlotte,16,14398.18,5510.93,4663.93
DRG064,PID340001,RIDNCCharlotte,98,26151.97,11416.59,10544.85
DRG064,PID340015,RIDNCCharlotte,27,25878,10235.96,9442.92
DRG064,PID340021,RIDNCCharlotte,16,20974.62,10235.81,9251.31
DRG064,PID340032,RIDNCCharlotte,69,26943.52,11832.4,10148.98
DRG064,PID340053,RIDNCCharlotte,86,38203.22,11830.89,10810.36
DRG064,PID340075,RIDNCCharlotte,16,26047.87,10367,9596.75
DRG064,PID340098,RIDNCCharlotte,29,35945.51,10864.68,10010.34
DRG064,PID340106,RIDNCCharlotte,14,42414.85,11255.42,10716.5
DRG064,PID340113,RIDNCCharlotte,183,37852.74,15434.02,14404.97
DRG064,PID340119,RIDNCCharlotte,24,25899.08,11300.7,10692.87
DRG064,PID340130,RIDNCCharlotte,24,20312.33,11495.12,10606.95
DRG064,PID340145,RIDNCCharlotte,11,36870.54,10635.36,9812.09
DRG064,PID340171,RIDNCCharlotte,25,26335.4,10017.64,9161.16
DRG064,PID420002,RIDNCCharlotte,26,37420.53,11071.69,10336.46
DRG065,PID340001,RIDNCCharlotte,106,17096.69,6947.85,6190.77
