drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID340030,RIDNCDurham,38,23353.18,8708.86,7849.18
DRG039,PID340050,RIDNCDurham,33,29631.63,8226.6,6266.66
DRG039,PID340070,RIDNCDurham,19,12656.42,6003.42,5174.36
DRG039,PID340115,RIDNCDurham,49,16295.77,6544.26,4857.79
DRG039,PID490075,RIDNCDurham,11,34409.72,10624,4019
DRG057,PID340008,RIDNCDurham,12,13814.75,5920.66,4888.33
DRG057,PID340020,RIDNCDurham,18,20616,5045.55,4109.33
DRG057,PID340030,RIDNCDurham,40,29247.87,10120.37,8788.37
DRG057,PID340050,RIDNCDurham,74,19505.52,7130.29,6293.6
DRG057,PID340061,RIDNCDurham,64,23327.54,10545.39,9502.64
DRG057,PID340070,RIDNCDurham,14,9733.92,5550.14,4672.14
DRG057,PID340115,RIDNCDurham,38,17382.44,5739.13,4694.23
DRG057,PID340155,RIDNCDurham,21,14954.09,6034.8,5072.14
DRG057,PID490075,RIDNCDurham,13,13101.84,5256.53,4390.69
DRG057,PID490079,RIDNCDurham,11,18660.36,5217.27,4399.81
DRG064,PID340008,RIDNCDurham,16,30833.68,11008,9884
DRG064,PID340020,RIDNCDurham,15,46436.73,10402.26,9807.06
DRG064,PID340030,RIDNCDurham,72,62857,20124.76,19272.79
DRG064,PID340050,RIDNCDurham,36,40584.36,13962.25,12520
DRG064,PID340061,RIDNCDurham,93,30673.64,19707.55,18560
DRG064,PID340070,RIDNCDurham,32,17297.06,10352.31,9582.06
DRG064,PID340115,RIDNCDurham,77,28441.19,10830.97,9992.24
DRG064,PID340155,RIDNCDurham,43,29536.06,11990.65,10956.16
DRG064,PID490013,RIDNCDurham,16,16025.93,10891.5,9985.75
DRG064,PID490075,RIDNCDurham,35,28430.14,9721.85,8889.17
DRG065,PID340008,RIDNCDurham,31,23558.25,7145.67,6345.41
DRG065,PID340020,RIDNCDurham,33,28076,6437.18,5582.81
DRG065,PID340030,RIDNCDurham,84,33053.16,11331.05,10476.2
DRG065,PID340050,RIDNCDurham,78,27027.23,8565.8,7326.73
DRG065,PID340061,RIDNCDurham,72,20424.55,12274.91,11447.19
DRG065,PID340070,RIDNCDurham,54,12918.09,6995.74,6014.62
DRG065,PID340115,RIDNCDurham,158,17917.48,7017.95,5927.68
DRG065,PID340132,RIDNCDurham,32,19033.96,7601.12,6651
DRG065,PID340155,RIDNCDurham,61,23241.55,8834.13,6442.03
DRG065,PID490013,RIDNCDurham,25,12183.36,7006.04,5589.08
DRG065,PID490075,RIDNCDurham,59,18624.28,6724.06,5534.35
DRG065,PID490079,RIDNCDurham,39,20804.46,6350.07,5571.3
DRG066,PID340020,RIDNCDurham,25,20283.04,4399.4,3365.64
DRG066,PID340030,RIDNCDurham,63,25248.11,7810.19,6166.34
DRG066,PID340050,RIDNCDurham,24,19640.25,6111.7,4945.91
DRG066,PID340061,RIDNCDurham,45,14809.08,8481.77,7333.77
DRG066,PID340070,RIDNCDurham,20,10368.2,5000.4,4047.8
DRG066,PID340115,RIDNCDurham,58,13983.13,5498.98,3779.63
DRG066,PID340132,RIDNCDurham,29,14300.51,5325.58,4316.2
DRG066,PID340155,RIDNCDurham,26,20408.61,5418.57,4319.8
DRG066,PID490075,RIDNCDurham,26,14590.69,4702.38,3663.61
DRG066,PID490079,RIDNCDurham,25,15926.44,5348.44,3354.84
