drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID340091,RIDNCGreensboro,51,12379.68,6831.6,4774.45
DRG057,PID340091,RIDNCGreensboro,32,13353.06,6656.59,5570.68
DRG064,PID340091,RIDNCGreensboro,87,25209.25,12321.51,11176.48
DRG064,PID340123,RIDNCGreensboro,14,22245.78,11029,9173.71
DRG065,PID340060,RIDNCGreensboro,19,14194.52,6907.63,6083.63
DRG065,PID340091,RIDNCGreensboro,180,17527.1,7581.03,6528.16
DRG065,PID340123,RIDNCGreensboro,32,15769.25,6768.81,5995.56
DRG066,PID340060,RIDNCGreensboro,22,10707.54,4945.22,3871.95
DRG066,PID340091,RIDNCGreensboro,105,14351.47,5492.06,4188.58
DRG066,PID340123,RIDNCGreensboro,21,13738.33,4943.71,3924.09
DRG069,PID340060,RIDNCGreensboro,19,7429.15,4419.47,3408.31
DRG069,PID340091,RIDNCGreensboro,103,14157.8,5074.14,3770.43
DRG074,PID340091,RIDNCGreensboro,31,15711.77,5807.25,5145.22
DRG101,PID340091,RIDNCGreensboro,60,13530.53,5376.86,4434.4
DRG149,PID340091,RIDNCGreensboro,40,12140.95,4385.22,3431.02
DRG176,PID340060,RIDNCGreensboro,20,15340.55,6355.55,5332.9
DRG176,PID340091,RIDNCGreensboro,75,15226.34,7248.37,6178.86
DRG177,PID340060,RIDNCGreensboro,22,21218.04,11840.54,11228.9
DRG177,PID340091,RIDNCGreensboro,92,23157.13,13379.67,12413.08
DRG177,PID340123,RIDNCGreensboro,64,20876.93,11403.18,10721.29
DRG178,PID340060,RIDNCGreensboro,22,18738.18,8558.5,8104.13
DRG178,PID340091,RIDNCGreensboro,77,17419.81,9968.03,8466.29
DRG189,PID340060,RIDNCGreensboro,40,17248.77,7638.45,7145.6
DRG189,PID340091,RIDNCGreensboro,124,20337.75,9198.41,7839.27
DRG189,PID340123,RIDNCGreensboro,81,16065.61,7733.53,6936.66
DRG190,PID340060,RIDNCGreensboro,84,16567.55,7066.34,6388.95
DRG190,PID340091,RIDNCGreensboro,149,16581.92,8091.48,7243.51
DRG190,PID340123,RIDNCGreensboro,27,14800,7135.96,6177.59
DRG191,PID340060,RIDNCGreensboro,65,12298.46,5852.67,5177.9
DRG191,PID340091,RIDNCGreensboro,145,13592.41,6660.53,5752
DRG192,PID340060,RIDNCGreensboro,77,9687.75,4416.25,3629.45
DRG192,PID340091,RIDNCGreensboro,104,9652.75,5108.07,3771.49
DRG193,PID340060,RIDNCGreensboro,45,21274.4,8623.11,8171.02
DRG193,PID340091,RIDNCGreensboro,224,21365.76,9928.65,9125.22
DRG193,PID340123,RIDNCGreensboro,195,16975.06,8786.37,7819.11
DRG194,PID340060,RIDNCGreensboro,73,15204.3,6123.65,5282.04
DRG194,PID340091,RIDNCGreensboro,305,12691.02,6873.65,5784.52
DRG194,PID340123,RIDNCGreensboro,25,16235.72,6100.56,5153.52
DRG195,PID340060,RIDNCGreensboro,35,10813.97,4447.74,3234.22
DRG195,PID340091,RIDNCGreensboro,117,10410.17,4910.41,3904.36
DRG195,PID340123,RIDNCGreensboro,14,9738.14,4289.28,3242.71
DRG202,PID340060,RIDNCGreensboro,13,14084.07,5614.92,3748.46
DRG202,PID340091,RIDNCGreensboro,54,11067.5,5826.72,4597.44
DRG203,PID340060,RIDNCGreensboro,18,9551.05,4001.72,2523.72
DRG203,PID340091,RIDNCGreensboro,26,9192.38,4145.46,3109.15
DRG207,PID340091,RIDNCGreensboro,39,57413.92,30890.02,29600.51
DRG207,PID340123,RIDNCGreensboro,15,47930.66,27789.4,26795.86
DRG208,PID340060,RIDNCGreensboro,18,35197,13839.33,11749.44
DRG208,PID340091,RIDNCGreensboro,90,30374.07,15646.72,13482.04
DRG208,PID340123,RIDNCGreensboro,16,34411.75,12975.56,12429.18
DRG238,PID340091,RIDNCGreensboro,62,40192.06,19674.12,17944.83
DRG243,PID340091,RIDNCGreensboro,42,35280.35,16691.71,15813.71
DRG244,PID340091,RIDNCGreensboro,64,28546.71,12918.51,11476.46
DRG246,PID340091,RIDNCGreensboro,27,62479.77,21980.14,19899.14
DRG247,PID340091,RIDNCGreensboro,151,38434.86,13316.17,10800.74
DRG249,PID340091,RIDNCGreensboro,65,34079.4,11439.9,10017.04
DRG251,PID340091,RIDNCGreensboro,42,33996.47,12158,10089.04
DRG252,PID340091,RIDNCGreensboro,42,37678.66,20097.04,18407.23
DRG253,PID340091,RIDNCGreensboro,46,33629,16222.84,14651.08
DRG254,PID340091,RIDNCGreensboro,36,26992.22,12134.86,8262.8
DRG280,PID340060,RIDNCGreensboro,19,24794.63,10261.52,9728.68
DRG280,PID340091,RIDNCGreensboro,108,27863.62,12315,11337.25
DRG280,PID340123,RIDNCGreensboro,21,25837.47,10826.42,9681.71
DRG281,PID340060,RIDNCGreensboro,14,14949.57,6556.57,5560.21
DRG281,PID340091,RIDNCGreensboro,59,19058.44,7972.91,6913.15
DRG281,PID340123,RIDNCGreensboro,16,14865.12,6558.18,5789.93
DRG282,PID340091,RIDNCGreensboro,37,17805.59,5685.4,4225.72
DRG282,PID340123,RIDNCGreensboro,14,8357,4678.14,3619.92
DRG286,PID340091,RIDNCGreensboro,41,32243.46,13398.63,12397.87
DRG287,PID340091,RIDNCGreensboro,257,17988.62,7265.79,5966.54
DRG291,PID340060,RIDNCGreensboro,59,17005.86,8854.69,8109.13
DRG291,PID340091,RIDNCGreensboro,195,21838.37,10093.76,9136.29
DRG291,PID340123,RIDNCGreensboro,107,16444.75,8794.4,8121.2
DRG292,PID340060,RIDNCGreensboro,80,13646.43,6240.78,5623.7
DRG292,PID340091,RIDNCGreensboro,286,14442.83,7063.93,6049.91
DRG292,PID340123,RIDNCGreensboro,29,15094.79,6280.65,5585.75
DRG293,PID340060,RIDNCGreensboro,45,8337.55,4187.44,3537.66
DRG293,PID340091,RIDNCGreensboro,113,10815.02,4776.61,4029.53
DRG293,PID340123,RIDNCGreensboro,15,12341.86,4178.06,3507.4
DRG300,PID340060,RIDNCGreensboro,11,12005.27,5977.09,5053.81
DRG300,PID340091,RIDNCGreensboro,46,11540.95,6468.69,5232.47
DRG301,PID340091,RIDNCGreensboro,27,11291.62,4554.14,3808.96
DRG303,PID340060,RIDNCGreensboro,27,8430.33,3514.25,2852.92
DRG303,PID340091,RIDNCGreensboro,32,9448.9,3956,3144.78
DRG303,PID340123,RIDNCGreensboro,13,12409.92,3653.76,2554.15
DRG305,PID340091,RIDNCGreensboro,31,9991.67,4224.32,2949.74
DRG305,PID340123,RIDNCGreensboro,20,13227.4,3926.2,2656.75
DRG308,PID340060,RIDNCGreensboro,20,17240.3,7305.9,6739.9
DRG308,PID340091,RIDNCGreensboro,118,16872.07,8514.79,7481.66
DRG308,PID340123,RIDNCGreensboro,13,17479.84,7529.53,6753.23
DRG309,PID340060,RIDNCGreensboro,24,10192.79,4938,4235.83
DRG309,PID340091,RIDNCGreensboro,160,12648.89,5728.93,4792.76
DRG309,PID340123,RIDNCGreensboro,27,11482.18,4995,3792.4
DRG310,PID340060,RIDNCGreensboro,37,8009.97,3435.37,2704.56
DRG310,PID340091,RIDNCGreensboro,138,8822.86,4032.53,2799.26
DRG310,PID340123,RIDNCGreensboro,23,9734.3,3464.13,2441.69
DRG312,PID340060,RIDNCGreensboro,24,8969.25,4329.37,3521.41
DRG312,PID340091,RIDNCGreensboro,220,12451.85,4944.57,3964.82
DRG312,PID340123,RIDNCGreensboro,23,10523.65,4269.08,3221.21
DRG313,PID340060,RIDNCGreensboro,43,8483.25,3328.37,2383.18
DRG313,PID340091,RIDNCGreensboro,327,9657.01,3747.13,2830.59
DRG313,PID340123,RIDNCGreensboro,22,9948.9,3335.9,2192.4
DRG314,PID340091,RIDNCGreensboro,44,22233.27,11570.47,11035.29
DRG315,PID340091,RIDNCGreensboro,35,13272.54,6446.62,5614.28
DRG329,PID340091,RIDNCGreensboro,36,62580.83,36226.13,32129.05
DRG330,PID340060,RIDNCGreensboro,14,37096,15626.07,14981.5
DRG330,PID340091,RIDNCGreensboro,63,31964.15,16791.76,15604.58
DRG330,PID340123,RIDNCGreensboro,14,38944.64,15338.07,14296.07
DRG372,PID340091,RIDNCGreensboro,58,14870.12,8525.27,7934.44
DRG372,PID340123,RIDNCGreensboro,12,15169.83,7723.83,6882.83
DRG377,PID340060,RIDNCGreensboro,13,15529.38,10351.38,10005.53
DRG377,PID340091,RIDNCGreensboro,78,20170.47,11196.74,10607.05
DRG378,PID340060,RIDNCGreensboro,43,13815.2,6184.81,5531.88
DRG378,PID340091,RIDNCGreensboro,158,14158.06,6880.42,6006.28
DRG378,PID340123,RIDNCGreensboro,24,15273.33,6114.33,5315.16
DRG379,PID340091,RIDNCGreensboro,42,8811.8,4863.19,3628.95
DRG379,PID340123,RIDNCGreensboro,11,10011.9,4259.81,3236.54
DRG389,PID340060,RIDNCGreensboro,22,10710.5,5496,4632.9
DRG389,PID340091,RIDNCGreensboro,88,11650.56,6463.92,5282.06
DRG390,PID340060,RIDNCGreensboro,11,12059.9,3974.27,3259.72
DRG390,PID340091,RIDNCGreensboro,48,10436.62,4668.95,3401.68
DRG390,PID340123,RIDNCGreensboro,11,9778.36,3833.54,2913.18
DRG391,PID340060,RIDNCGreensboro,19,13656.73,7011.89,6110.05
DRG391,PID340091,RIDNCGreensboro,87,15193.32,7767.36,7026.87
DRG392,PID340060,RIDNCGreensboro,96,9215.79,4423.46,3299.98
DRG392,PID340091,RIDNCGreensboro,356,10323.72,4943.39,3988
DRG392,PID340123,RIDNCGreensboro,36,12666.94,4379.08,3505.75
DRG394,PID340060,RIDNCGreensboro,12,12451.91,6033.5,5289.5
DRG394,PID340091,RIDNCGreensboro,54,14174.7,6919.53,5792.79
DRG418,PID340060,RIDNCGreensboro,12,32224.5,10286.58,9353.91
DRG418,PID340091,RIDNCGreensboro,38,24299.92,11827.86,10004.68
DRG419,PID340060,RIDNCGreensboro,12,21721.25,7079.41,5447.41
DRG419,PID340091,RIDNCGreensboro,42,16819.04,7639.9,6487.42
DRG439,PID340091,RIDNCGreensboro,40,14260.22,7048.55,5513.6
DRG460,PID340091,RIDNCGreensboro,187,44867.8,24172.76,21529.81
DRG469,PID340091,RIDNCGreensboro,44,42639.15,22059.18,20163.77
DRG470,PID340060,RIDNCGreensboro,32,36008.84,12594.62,11574.75
DRG470,PID340091,RIDNCGreensboro,689,25577.26,13757.88,10974.98
DRG470,PID340123,RIDNCGreensboro,59,26621.13,12411.74,10940.94
DRG473,PID340091,RIDNCGreensboro,92,23972.73,12962.39,11328.57
DRG480,PID340091,RIDNCGreensboro,39,34840.15,19539.94,18732.15
DRG481,PID340060,RIDNCGreensboro,18,21665.05,10905.66,9908.33
DRG481,PID340091,RIDNCGreensboro,109,26276.58,12264.98,11176.19
DRG481,PID340123,RIDNCGreensboro,24,23638.83,11173.83,10192.66
DRG482,PID340091,RIDNCGreensboro,35,19992.22,9956.05,9089.2
DRG491,PID340091,RIDNCGreensboro,119,12320.04,6342.11,5272.3
DRG536,PID340091,RIDNCGreensboro,49,10565.32,5063.46,4001.83
DRG552,PID340060,RIDNCGreensboro,18,9974.72,4997.16,4127.38
DRG552,PID340091,RIDNCGreensboro,87,13663.12,5895.56,5002.91
DRG563,PID340091,RIDNCGreensboro,27,9682.18,4947.44,3991.44
DRG602,PID340060,RIDNCGreensboro,13,17797.23,8604.61,8087.07
