drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID340027,RIDNCGreenville,22,19897.4,6421.45,4993
DRG039,PID340040,RIDNCGreenville,76,24838.84,7958.06,6415.6
DRG039,PID340131,RIDNCGreenville,93,11461.06,6927.13,5906.04
DRG057,PID340040,RIDNCGreenville,64,22976.68,8951.98,8160.54
DRG057,PID340042,RIDNCGreenville,14,13710.35,5882.07,4833.21
DRG057,PID340131,RIDNCGreenville,22,10820,6221.5,5245.31
DRG064,PID340027,RIDNCGreenville,27,24587.25,11044.51,10508.96
DRG064,PID340040,RIDNCGreenville,168,48802.57,16886.72,15998.92
DRG064,PID340042,RIDNCGreenville,12,31078.5,11166.25,10513.91
DRG064,PID340099,RIDNCGreenville,13,27177.84,11534.23,10581.3
DRG064,PID340131,RIDNCGreenville,55,21475.9,12475.83,11784.1
DRG064,PID340142,RIDNCGreenville,27,17424.92,12513.74,11725.44
DRG065,PID340027,RIDNCGreenville,48,17890.27,7217.18,6238.68
DRG065,PID340038,RIDNCGreenville,16,10356.75,6843.56,5929.81
DRG065,PID340040,RIDNCGreenville,173,31844.78,10095.8,9121.12
DRG065,PID340042,RIDNCGreenville,32,24601.4,7347.12,6399
DRG065,PID340099,RIDNCGreenville,35,19981.54,7290.6,6421
DRG065,PID340107,RIDNCGreenville,25,18657.6,6447.64,5639
DRG065,PID340120,RIDNCGreenville,11,19842.36,7566.63,6552.09
DRG065,PID340131,RIDNCGreenville,102,11794.55,7766.44,6548.9
DRG065,PID340133,RIDNCGreenville,19,26590,6875.68,5985.36
DRG065,PID340142,RIDNCGreenville,43,13192.11,7812.65,6998.04
DRG066,PID340027,RIDNCGreenville,44,14971.15,5121.56,4077.65
DRG066,PID340040,RIDNCGreenville,58,24981.98,7286.06,5922.91
DRG066,PID340042,RIDNCGreenville,22,18769.27,5118.54,4099.63
DRG066,PID340099,RIDNCGreenville,19,17989.78,5393.78,4392.73
DRG066,PID340107,RIDNCGreenville,34,18927.29,5352.88,3971.41
DRG066,PID340120,RIDNCGreenville,14,11270.85,5333,4614.42
DRG066,PID340131,RIDNCGreenville,43,8840.51,5660.32,4458.37
DRG066,PID340133,RIDNCGreenville,18,18158.22,5021.11,4081.33
DRG066,PID340142,RIDNCGreenville,18,9453.05,5591.66,4472.11
DRG069,PID340027,RIDNCGreenville,59,12159.91,4641.45,3558.23
DRG069,PID340038,RIDNCGreenville,18,9464.61,4448,3384.22
DRG069,PID340040,RIDNCGreenville,92,21823.82,6124.86,4933.21
DRG069,PID340042,RIDNCGreenville,32,16171.84,4567.84,3619.71
DRG069,PID340099,RIDNCGreenville,15,14014.93,4710,3812.93
DRG069,PID340107,RIDNCGreenville,34,13717.61,4789.17,3344.41
DRG069,PID340131,RIDNCGreenville,82,9880.28,5058.15,3938.21
DRG069,PID340133,RIDNCGreenville,16,14190,4612.25,3559
DRG069,PID340142,RIDNCGreenville,48,10975.81,5036.02,4122.27
DRG074,PID340040,RIDNCGreenville,38,23852.42,7562.47,6911.28
DRG074,PID340131,RIDNCGreenville,20,11568.7,5918.2,5187.2
