drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID340116,RIDNCHickory,46,32061.15,5758.34,4420.23
DRG039,PID340143,RIDNCHickory,22,19157.63,6178.59,5364.04
DRG064,PID340041,RIDNCHickory,11,18873.72,10416.36,9390.18
DRG064,PID340116,RIDNCHickory,38,38885.5,9795.68,8430.65
DRG064,PID340143,RIDNCHickory,39,30783.89,11458.87,10595.48
DRG065,PID340041,RIDNCHickory,22,14181.31,6924,6108
DRG065,PID340116,RIDNCHickory,34,26993.7,6563.47,5138.17
DRG065,PID340143,RIDNCHickory,34,20086.79,6860.47,6101.29
DRG066,PID340041,RIDNCHickory,14,13536.5,4911.35,3788.5
DRG066,PID340116,RIDNCHickory,37,24393.97,4536.62,3528.45
DRG066,PID340143,RIDNCHickory,16,16330.06,4915.43,4072.43
DRG069,PID340116,RIDNCHickory,26,20872.11,4234.61,3048.03
DRG069,PID340143,RIDNCHickory,27,18041.07,4586.62,3419.62
DRG101,PID340116,RIDNCHickory,15,23913.4,4473.4,3060.4
DRG176,PID340116,RIDNCHickory,19,34202.21,7375.94,3879.57
DRG176,PID340143,RIDNCHickory,17,19083.29,6800.88,5186.7
DRG177,PID340041,RIDNCHickory,14,21742.35,12015.42,11054.28
DRG177,PID340055,RIDNCHickory,29,36988.31,10541.17,9662.62
DRG177,PID340116,RIDNCHickory,16,59063.06,10646.37,10011.62
DRG177,PID340143,RIDNCHickory,50,28192.32,11919.32,11157.24
DRG178,PID340041,RIDNCHickory,21,19932.85,8939.95,8085.09
DRG178,PID340055,RIDNCHickory,17,32422.7,7480,6880.7
DRG178,PID340116,RIDNCHickory,12,46292.25,7821.91,7447.25
DRG178,PID340143,RIDNCHickory,27,27319.77,9741.48,8996.29
DRG189,PID340041,RIDNCHickory,18,18501.88,7674.83,6943
DRG189,PID340055,RIDNCHickory,27,21337.18,7879.37,6000.62
DRG189,PID340116,RIDNCHickory,66,38717.25,7528.92,6460.54
DRG189,PID340143,RIDNCHickory,33,25573.24,9850.69,6862.09
DRG190,PID340041,RIDNCHickory,44,15901.77,7107.36,5824.22
DRG190,PID340055,RIDNCHickory,15,19245.4,6679.73,4907.8
DRG190,PID340116,RIDNCHickory,57,35422.4,6646.68,5590.26
DRG190,PID340143,RIDNCHickory,49,21893.73,7603.22,6731.87
DRG191,PID340041,RIDNCHickory,35,13671.25,5855.34,5373.85
DRG191,PID340055,RIDNCHickory,23,21944.13,5537.82,4239.21
DRG191,PID340116,RIDNCHickory,53,28694.66,5376.37,4635.47
DRG191,PID340143,RIDNCHickory,28,18216.28,6143.03,5302.03
DRG192,PID340041,RIDNCHickory,35,10144.25,4370.82,3470.71
DRG192,PID340116,RIDNCHickory,37,27279.97,4021.05,3011.94
DRG192,PID340143,RIDNCHickory,32,17343.15,4526.43,3420.46
DRG193,PID340041,RIDNCHickory,41,21685.9,8947.56,7963.12
DRG193,PID340055,RIDNCHickory,35,28896.48,7902.97,6959.91
DRG193,PID340116,RIDNCHickory,97,47680.61,8301.78,7515.26
DRG193,PID340143,RIDNCHickory,30,17858.5,8705.76,7871.86
DRG194,PID340041,RIDNCHickory,52,15728.21,6174.01,5308.78
DRG194,PID340055,RIDNCHickory,22,22848.68,5293.09,4324.18
DRG194,PID340116,RIDNCHickory,83,28426.97,5802.42,4514.75
DRG194,PID340143,RIDNCHickory,38,17486.73,6265.28,5322.13
DRG195,PID340041,RIDNCHickory,14,11378.64,4325.78,3286.07
DRG195,PID340055,RIDNCHickory,11,19419.9,4286.45,2647.81
DRG195,PID340116,RIDNCHickory,36,21310.36,3938.13,2882.55
DRG202,PID340116,RIDNCHickory,11,21635.63,4690.9,3564.72
DRG202,PID340143,RIDNCHickory,13,21293.38,5430.69,4562.38
DRG207,PID340041,RIDNCHickory,20,59032.4,26409.2,25583.95
DRG207,PID340116,RIDNCHickory,13,205745.84,31509.46,30651
DRG207,PID340143,RIDNCHickory,20,94117.35,30318.2,29588.8
DRG208,PID340041,RIDNCHickory,18,30310.5,12072.27,11384.05
DRG208,PID340055,RIDNCHickory,11,47212.18,11528.63,10917
DRG208,PID340116,RIDNCHickory,32,73844.15,12545.93,11001.53
DRG208,PID340143,RIDNCHickory,31,44926.74,14197.61,13471.38
DRG238,PID340116,RIDNCHickory,42,77840.9,17032.52,15929.02
DRG238,PID340143,RIDNCHickory,13,55297.53,18573.92,17621
DRG243,PID340116,RIDNCHickory,15,73931.13,16676.46,12804
DRG244,PID340116,RIDNCHickory,31,53195.51,11359.74,10598.06
DRG246,PID340116,RIDNCHickory,46,119539.58,18610.5,16568.69
DRG247,PID340116,RIDNCHickory,141,81140.78,12554.14,9296.21
DRG247,PID340143,RIDNCHickory,22,54746.72,11781.09,10592.18
