drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID340028,RIDNCRaleigh,69,24250.44,7044.68,5907.13
DRG039,PID340069,RIDNCRaleigh,58,23062.32,7405.12,6041.7
DRG039,PID340073,RIDNCRaleigh,22,24837.36,6038.5,5063.77
DRG039,PID340114,RIDNCRaleigh,24,15563.66,5657.45,4469.87
DRG057,PID340010,RIDNCRaleigh,14,9742.78,6278.57,5398.28
DRG057,PID340028,RIDNCRaleigh,31,21397,6672.77,5656.51
DRG057,PID340069,RIDNCRaleigh,38,25109.71,7101.42,6245.1
DRG057,PID340073,RIDNCRaleigh,11,19480.27,5079.45,3956.18
DRG057,PID340090,RIDNCRaleigh,17,19413,6332.52,5341.23
DRG057,PID340114,RIDNCRaleigh,34,22035.44,5070.73,4244.02
DRG057,PID340126,RIDNCRaleigh,13,22062.07,5944.76,5173.38
DRG057,PID340147,RIDNCRaleigh,16,14342.5,6616.31,5629.81
DRG057,PID340173,RIDNCRaleigh,24,20385.08,5354.62,4461.12
DRG064,PID340010,RIDNCRaleigh,40,19602.1,12465.1,11292.35
DRG064,PID340024,RIDNCRaleigh,14,21293.14,10772.35,9935.92
DRG064,PID340028,RIDNCRaleigh,85,55642.5,14012.25,13051.96
DRG064,PID340069,RIDNCRaleigh,109,52566.82,14221.32,12436.94
DRG064,PID340071,RIDNCRaleigh,21,28193.57,12995,12244.9
DRG064,PID340073,RIDNCRaleigh,13,26476.07,9999.92,8954
DRG064,PID340090,RIDNCRaleigh,17,44292.58,13293,11156.94
DRG064,PID340114,RIDNCRaleigh,56,28397.32,10092.8,8772.26
DRG064,PID340126,RIDNCRaleigh,26,36749.03,11997.46,10963.57
DRG064,PID340147,RIDNCRaleigh,34,22785.41,12381.79,11457.08
DRG064,PID340151,RIDNCRaleigh,17,27810.58,11460.88,10674.94
DRG064,PID340173,RIDNCRaleigh,17,40526.7,12019.23,11096.47
DRG065,PID340010,RIDNCRaleigh,56,14521.25,7783.85,6879.33
DRG065,PID340024,RIDNCRaleigh,25,13876.2,7027.44,6261.52
DRG065,PID340028,RIDNCRaleigh,141,31860.6,8199.57,7211.35
DRG065,PID340036,RIDNCRaleigh,11,17954.36,7473.18,6761.54
DRG065,PID340069,RIDNCRaleigh,217,27289.97,8140.02,7254.56
DRG065,PID340071,RIDNCRaleigh,55,20038.5,8241.87,7361.5
DRG065,PID340073,RIDNCRaleigh,32,20252,6616.96,5668.84
DRG065,PID340090,RIDNCRaleigh,41,26966.73,8221.34,6489.87
DRG065,PID340114,RIDNCRaleigh,160,19666.18,6208.66,5266.42
DRG065,PID340126,RIDNCRaleigh,56,22247.94,7216.75,6237.46
DRG065,PID340147,RIDNCRaleigh,100,16004.59,8023.38,7169.78
DRG065,PID340151,RIDNCRaleigh,24,14355.95,6721.95,5924.12
DRG065,PID340173,RIDNCRaleigh,58,29754.6,6591.58,5698.75
DRG066,PID340010,RIDNCRaleigh,35,10523.8,5554.51,4413.48
DRG066,PID340024,RIDNCRaleigh,13,9115.76,5311.07,3940
DRG066,PID340028,RIDNCRaleigh,45,22397.86,5980.6,4501.33
DRG066,PID340069,RIDNCRaleigh,91,26178.47,5908.6,4703.43
DRG066,PID340071,RIDNCRaleigh,25,16116.12,5878.08,4984
DRG066,PID340073,RIDNCRaleigh,18,17884.61,4803.55,3404.16
DRG066,PID340090,RIDNCRaleigh,24,20829.95,5474.29,4445.95
DRG066,PID340114,RIDNCRaleigh,55,16735.09,4765.65,3189.05
DRG066,PID340126,RIDNCRaleigh,12,14820.5,5048.33,4016
DRG066,PID340147,RIDNCRaleigh,52,13466.15,5777.84,4475.51
DRG066,PID340151,RIDNCRaleigh,27,12171.14,5096.77,3992.81
DRG066,PID340173,RIDNCRaleigh,29,21971.13,4698.82,3528.96
DRG069,PID340010,RIDNCRaleigh,30,11253.1,4923.66,4030.86
DRG069,PID340024,RIDNCRaleigh,13,12438.92,4861,3910.53
DRG069,PID340028,RIDNCRaleigh,104,24288.89,5368.47,4084.08
DRG069,PID340069,RIDNCRaleigh,175,21105.04,5227.04,4198.92
DRG069,PID340071,RIDNCRaleigh,55,13418.09,5290.72,4354.43
DRG069,PID340073,RIDNCRaleigh,17,18223.35,4155.64,3295.64
DRG069,PID340090,RIDNCRaleigh,28,20192.42,4941,4096.57
DRG069,PID340114,RIDNCRaleigh,108,14465.71,4054.73,3018.68
DRG069,PID340126,RIDNCRaleigh,28,18346.96,4796,3856.78
DRG069,PID340147,RIDNCRaleigh,31,13324,5346.48,4039.77
DRG069,PID340151,RIDNCRaleigh,32,11520.75,4525.31,3670.37
DRG069,PID340173,RIDNCRaleigh,56,22689.37,4201.25,3258.03
DRG074,PID340010,RIDNCRaleigh,22,11082.45,5966.95,4909.13
DRG074,PID340028,RIDNCRaleigh,63,26225.84,6829.58,5080.33
DRG074,PID340069,RIDNCRaleigh,25,26056.92,6633.4,5778.16
DRG074,PID340071,RIDNCRaleigh,17,14504.29,6287.41,5556.82
DRG074,PID340073,RIDNCRaleigh,14,20756.14,4972.14,4087.28
DRG074,PID340090,RIDNCRaleigh,14,24500.64,5869,5226.71
DRG074,PID340114,RIDNCRaleigh,38,18451.21,4773,3861.31
DRG074,PID340126,RIDNCRaleigh,24,16172.95,5596.5,4992.66
DRG074,PID340147,RIDNCRaleigh,11,14662.72,6061.72,5228
DRG101,PID340010,RIDNCRaleigh,19,12778.36,5237.1,4591.84
DRG101,PID340028,RIDNCRaleigh,61,20116.13,5544.27,4288.06
DRG101,PID340069,RIDNCRaleigh,66,21607.09,5405.96,4451.98
DRG101,PID340071,RIDNCRaleigh,33,12179.42,5452.57,4606.63
DRG101,PID340114,RIDNCRaleigh,25,15471.6,4215.6,3300.12
DRG101,PID340126,RIDNCRaleigh,14,17795.85,4845.21,3958.07
DRG101,PID340147,RIDNCRaleigh,26,15320.88,5687.5,4907.5
DRG101,PID340151,RIDNCRaleigh,17,11973,4766.11,3908
DRG101,PID340173,RIDNCRaleigh,23,19772.3,4330.21,3548.3
DRG149,PID340028,RIDNCRaleigh,20,20001.35,4597.55,3350.8
DRG149,PID340069,RIDNCRaleigh,36,19183,4563.77,3660.77
DRG149,PID340071,RIDNCRaleigh,11,13818.9,4628.81,3811.36
DRG149,PID340090,RIDNCRaleigh,13,17289.38,4310.46,3360
DRG149,PID340114,RIDNCRaleigh,30,14466.63,3527.73,2633.86
DRG149,PID340151,RIDNCRaleigh,13,10078.38,4023.15,2983.15
DRG149,PID340173,RIDNCRaleigh,21,21396.38,3673.19,2655.09
DRG176,PID340010,RIDNCRaleigh,17,15153.47,7851.35,5597.11
DRG176,PID340024,RIDNCRaleigh,11,15850.54,7133.27,6318.72
