drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID340141,RIDNCWilmington,91,17083.09,6777.62,5540.86
DRG057,PID340141,RIDNCWilmington,40,18539.12,7027.8,5865.9
DRG064,PID340141,RIDNCWilmington,136,24778.42,12642.74,11842.41
DRG065,PID340068,RIDNCWilmington,30,18862.46,8075.96,6422.56
DRG065,PID340141,RIDNCWilmington,175,17483.28,7993.94,6849.19
DRG065,PID340158,RIDNCWilmington,27,23501.44,7153,6152.7
DRG066,PID340068,RIDNCWilmington,22,15588.68,5592.27,4299.22
DRG066,PID340141,RIDNCWilmington,98,14226.73,5653.21,4463.61
DRG066,PID340158,RIDNCWilmington,25,16015,4920.48,3973.44
DRG069,PID340068,RIDNCWilmington,31,12512.38,4947.19,3791.22
DRG069,PID340141,RIDNCWilmington,98,13479.83,4943.5,3943.23
DRG069,PID340158,RIDNCWilmington,19,14779.05,4440.42,3492.21
DRG074,PID340068,RIDNCWilmington,12,14179.41,5785,5127.33
DRG074,PID340141,RIDNCWilmington,48,15159.45,6093,5413.08
DRG101,PID340068,RIDNCWilmington,14,17966.07,5042.21,4238.21
DRG101,PID340141,RIDNCWilmington,54,12028.98,5148.48,4222.4
DRG149,PID340141,RIDNCWilmington,25,12579.44,4458.48,3422.16
DRG176,PID340068,RIDNCWilmington,16,13923.06,6439.31,5596.31
DRG176,PID340141,RIDNCWilmington,47,17187.14,7096.51,6078.7
DRG177,PID340068,RIDNCWilmington,17,36512.94,14012.94,13613.35
DRG177,PID340141,RIDNCWilmington,125,26731.35,13673.99,12939.04
DRG177,PID340158,RIDNCWilmington,16,30532.68,12091.81,11461.06
DRG178,PID340068,RIDNCWilmington,25,20563.36,9055.36,8473.12
DRG178,PID340141,RIDNCWilmington,71,17837.29,9904.6,9145.61
DRG178,PID340158,RIDNCWilmington,15,17858.13,8198.8,7311.46
DRG189,PID340068,RIDNCWilmington,96,17098.09,8345.41,7870.52
DRG189,PID340141,RIDNCWilmington,197,19577.54,9015.84,8148.11
DRG189,PID340158,RIDNCWilmington,24,18711.25,7782.33,7169.16
DRG190,PID340068,RIDNCWilmington,36,18996,7526.55,6791.08
DRG190,PID340141,RIDNCWilmington,168,16138.89,8175.08,7311.06
DRG190,PID340158,RIDNCWilmington,41,21617.75,7268.87,6420
DRG191,PID340068,RIDNCWilmington,36,15653.22,6439.77,5691.33
DRG191,PID340141,RIDNCWilmington,86,14298.61,6785.12,5704.45
DRG191,PID340158,RIDNCWilmington,51,15756.86,5846,5029.13
DRG192,PID340068,RIDNCWilmington,37,11042.67,4680.72,3744.4
DRG192,PID340141,RIDNCWilmington,57,11052.66,5038.84,3940.54
DRG192,PID340158,RIDNCWilmington,50,13371.08,4354.88,3521.04
DRG193,PID340068,RIDNCWilmington,34,22954.23,9520.88,8594.29
DRG193,PID340141,RIDNCWilmington,178,21549.95,9758.42,8928.16
DRG193,PID340158,RIDNCWilmington,31,26236.93,9086.12,8395.41
DRG194,PID340068,RIDNCWilmington,77,15726.37,6614.48,5685.74
DRG194,PID340141,RIDNCWilmington,138,13943.66,6851.81,6006.97
DRG194,PID340158,RIDNCWilmington,45,19152.13,6393.91,5092.31
DRG195,PID340068,RIDNCWilmington,28,11507.32,5052.46,3665.67
DRG195,PID340141,RIDNCWilmington,52,10824.46,5011.4,3777.53
DRG195,PID340158,RIDNCWilmington,21,11702.85,4357.28,3444.8
DRG202,PID340141,RIDNCWilmington,46,13840.71,5908.71,4842.8
DRG203,PID340141,RIDNCWilmington,19,10251.63,4154.36,3146.57
DRG207,PID340141,RIDNCWilmington,43,82324.44,35872.39,34066.46
DRG208,PID340068,RIDNCWilmington,13,28760.38,14029.23,13511.69
DRG208,PID340141,RIDNCWilmington,133,41003.78,15981.84,14936.61
DRG208,PID340158,RIDNCWilmington,23,36042.91,13763.69,12958.47
DRG238,PID340141,RIDNCWilmington,96,55440.83,20140.58,18337.16
DRG243,PID340141,RIDNCWilmington,48,41995.25,17211.79,16277.12
DRG244,PID340141,RIDNCWilmington,60,35193.1,13292.58,12390.71
DRG246,PID340141,RIDNCWilmington,79,55790.67,20816.64,19920.39
DRG247,PID340141,RIDNCWilmington,262,47297.77,13093.61,11633.41
DRG249,PID340141,RIDNCWilmington,74,44185.9,12522.93,10223.25
DRG251,PID340141,RIDNCWilmington,52,37546.67,12525.09,10412.63
DRG252,PID340141,RIDNCWilmington,44,51573.52,20349.88,19633.88
DRG253,PID340068,RIDNCWilmington,14,36554.07,15681.21,14794.07
DRG253,PID340141,RIDNCWilmington,90,37090.01,15854.02,14849.28
DRG254,PID340141,RIDNCWilmington,53,23646.66,10609.98,9615.18
DRG280,PID340068,RIDNCWilmington,11,15899.63,7992.54,7661
DRG280,PID340141,RIDNCWilmington,134,30334,12550.47,11731.39
DRG281,PID340141,RIDNCWilmington,50,24519.44,8099.34,7242.22
DRG282,PID340141,RIDNCWilmington,29,18294.55,5705.06,4213.17
DRG286,PID340141,RIDNCWilmington,63,33845.39,13582.98,12960.69
DRG287,PID340141,RIDNCWilmington,289,21545.44,7350.45,6256.98
DRG291,PID340068,RIDNCWilmington,71,18264.88,9340.77,8554.53
DRG291,PID340141,RIDNCWilmington,337,21273.8,10251.8,9556.52
DRG291,PID340158,RIDNCWilmington,28,22997.78,8997.67,8517.1
DRG292,PID340068,RIDNCWilmington,64,12766.84,6471.81,5839.06
DRG292,PID340141,RIDNCWilmington,294,14306.4,7047.64,6377.38
DRG292,PID340158,RIDNCWilmington,42,18915.83,6109.11,5386.73
DRG293,PID340068,RIDNCWilmington,33,9674.87,4627.3,3566.54
DRG293,PID340141,RIDNCWilmington,84,10105.82,4704.88,3943.59
DRG293,PID340158,RIDNCWilmington,23,13017.82,4721.08,2922.17
DRG300,PID340068,RIDNCWilmington,15,18171.86,6605.46,5930.53
DRG300,PID340141,RIDNCWilmington,43,13419.86,6753.09,5948.34
DRG301,PID340068,RIDNCWilmington,11,10673.09,4676.54,3119.45
DRG301,PID340141,RIDNCWilmington,16,12741.56,4588.18,3680.43
DRG303,PID340068,RIDNCWilmington,27,10281.33,4080.22,2901.48
DRG303,PID340141,RIDNCWilmington,46,11284.43,3944.04,3141.69
DRG305,PID340068,RIDNCWilmington,14,9113.78,4090.21,3205.35
DRG305,PID340141,RIDNCWilmington,24,14574.2,4331.12,3397.12
DRG308,PID340068,RIDNCWilmington,20,17348.95,7752.6,6690.7
DRG308,PID340141,RIDNCWilmington,147,21076.25,8764.31,7980.41
DRG308,PID340158,RIDNCWilmington,19,24375.21,7228.1,6513.15
DRG309,PID340068,RIDNCWilmington,32,11274.4,5247.34,4402.34
DRG309,PID340141,RIDNCWilmington,173,13206.32,5793.84,4874.21
DRG310,PID340068,RIDNCWilmington,23,9445.3,3732.3,2944.82
DRG310,PID340141,RIDNCWilmington,189,9829.88,4029.22,2919.46
DRG310,PID340158,RIDNCWilmington,33,10884.33,3449.36,2527.06
DRG312,PID340068,RIDNCWilmington,29,12882.41,4725.75,3950.58
DRG312,PID340141,RIDNCWilmington,116,14562.75,5291.93,4071.93
DRG312,PID340158,RIDNCWilmington,15,16879,4396.4,3426
DRG313,PID340068,RIDNCWilmington,59,11442.06,3654.84,2636.4
DRG313,PID340141,RIDNCWilmington,155,13974.32,3772.03,2739.98
DRG314,PID340141,RIDNCWilmington,76,26354.01,11975.01,11174.9
DRG315,PID340141,RIDNCWilmington,30,16926.1,6712.43,5692.46
DRG329,PID340068,RIDNCWilmington,20,55283.6,34465.75,33624.75
DRG329,PID340141,RIDNCWilmington,64,84081.1,36263.4,34444.35
DRG330,PID340068,RIDNCWilmington,13,32123.84,16763.61,16241.15
DRG330,PID340141,RIDNCWilmington,109,40625.62,17316.1,15484.05
DRG330,PID340158,RIDNCWilmington,15,55635.4,15765.2,14943.6
DRG372,PID340068,RIDNCWilmington,12,14683.75,7910.58,7444.25
DRG372,PID340141,RIDNCWilmington,23,16893.65,9062.82,7587.3
DRG377,PID340068,RIDNCWilmington,13,18837.76,11184.61,10514.07
DRG377,PID340141,RIDNCWilmington,92,23988.39,11828.61,11148.57
DRG378,PID340068,RIDNCWilmington,36,13737.44,6819.72,6007.5
DRG378,PID340141,RIDNCWilmington,257,13030.75,7106.14,6039.91
DRG378,PID340158,RIDNCWilmington,29,16470.58,6118.2,5304
DRG379,PID340068,RIDNCWilmington,18,9761.77,4664.66,3726.66
DRG379,PID340141,RIDNCWilmington,39,9166.1,4822.46,3749.56
DRG389,PID340068,RIDNCWilmington,23,12099.39,6233.43,5303.86
DRG389,PID340141,RIDNCWilmington,71,14720.76,7087.7,5526.8
DRG390,PID340068,RIDNCWilmington,12,8793.58,4388.83,2858.16
DRG390,PID340141,RIDNCWilmington,52,11537.15,4596.73,3574.42
DRG390,PID340158,RIDNCWilmington,13,11847.3,3886.38,2851.3
DRG391,PID340068,RIDNCWilmington,12,32307.83,9692.58,8854.25
DRG391,PID340141,RIDNCWilmington,68,20496.89,8612.1,7468.83
DRG392,PID340068,RIDNCWilmington,99,10865.62,4839.36,3827.11
DRG392,PID340141,RIDNCWilmington,267,13171.79,5270.68,4079.61
DRG392,PID340158,RIDNCWilmington,37,15203.97,4394.67,3545.81
DRG394,PID340141,RIDNCWilmington,90,14212.98,6878.71,6104.57
DRG418,PID340068,RIDNCWilmington,16,28216.68,10939.31,10025.56
DRG418,PID340141,RIDNCWilmington,46,32212.19,11810.63,10111.32
DRG419,PID340068,RIDNCWilmington,23,21436.26,7945.6,6406.91
DRG419,PID340141,RIDNCWilmington,29,25248.51,8069.24,6677.51
DRG439,PID340141,RIDNCWilmington,43,16717.76,7205.93,5955.69
DRG460,PID340141,RIDNCWilmington,175,104813.34,27960.25,26191.58
DRG469,PID340141,RIDNCWilmington,51,47401.98,20459.94,19466.13
DRG470,PID340068,RIDNCWilmington,37,27004.51,13770.64,11920.94
DRG470,PID340141,RIDNCWilmington,970,35400.31,13871.85,12336
DRG470,PID340158,RIDNCWilmington,109,55450.69,13010.11,11314.81
DRG473,PID340141,RIDNCWilmington,110,47032.95,13664.27,11918.59
DRG480,PID340141,RIDNCWilmington,53,42965.81,19479.62,18674.64
DRG481,PID340141,RIDNCWilmington,185,35432.44,12347.11,11313.04
DRG481,PID340158,RIDNCWilmington,19,41288.36,11296,10291.57
DRG482,PID340141,RIDNCWilmington,23,24063.17,9735.43,8611.78
DRG482,PID340158,RIDNCWilmington,11,31387.81,9353,8529.72
DRG491,PID340141,RIDNCWilmington,22,21891.13,6881.77,5279.68
DRG536,PID340141,RIDNCWilmington,36,9523.02,4950.02,3887.13
DRG552,PID340141,RIDNCWilmington,116,13446,5651.07,4785.37
DRG563,PID340141,RIDNCWilmington,21,9111.23,4798.47,3729.52
DRG602,PID340141,RIDNCWilmington,27,19476.77,9592.81,8969.85
DRG603,PID340068,RIDNCWilmington,39,12649.66,5525.74,4688.1
DRG603,PID340141,RIDNCWilmington,120,12873.9,6001.48,4851.23
DRG603,PID340158,RIDNCWilmington,17,13446.35,5147.7,4289.58
DRG638,PID340068,RIDNCWilmington,25,11980.08,5285.76,4522.4
DRG638,PID340141,RIDNCWilmington,60,13871.3,5920.98,4994.25
DRG640,PID340141,RIDNCWilmington,92,19338.64,7994.1,7357.75
DRG641,PID340068,RIDNCWilmington,45,10879.48,4572.26,3849.15
DRG641,PID340141,RIDNCWilmington,178,10796.19,4824.62,3932.86
DRG641,PID340158,RIDNCWilmington,28,11281.96,4329.89,3161.21
DRG682,PID340068,RIDNCWilmington,26,21972.46,10443.03,9834.73
DRG682,PID340141,RIDNCWilmington,159,24361.86,11596.59,10560.23
DRG682,PID340158,RIDNCWilmington,15,29915,10062.53,9538.53
DRG683,PID340068,RIDNCWilmington,54,14711.79,6946.27,5911.94
DRG683,PID340141,RIDNCWilmington,202,13458.84,7176.87,6086.88
DRG683,PID340158,RIDNCWilmington,23,18389.6,5988.78,5108.43
DRG684,PID340068,RIDNCWilmington,12,8184,4369.33,3434
DRG684,PID340141,RIDNCWilmington,25,9546.88,4686.4,3741.92
DRG689,PID340068,RIDNCWilmington,21,18168,7315.95,6835.38
DRG689,PID340141,RIDNCWilmington,96,16621.03,8329.45,7475
DRG689,PID340158,RIDNCWilmington,35,17444.11,6985.25,6373.48
DRG690,PID340068,RIDNCWilmington,56,13244.98,5215.71,4394.35
DRG690,PID340141,RIDNCWilmington,158,11411.31,5422.94,4534.57
DRG690,PID340158,RIDNCWilmington,52,12124.4,4789.55,3922.48
DRG698,PID340141,RIDNCWilmington,27,21616.29,11140.88,10473.62
DRG699,PID340141,RIDNCWilmington,28,12210.5,6833.71,5802.21
DRG811,PID340068,RIDNCWilmington,19,18666.42,8175.26,7465.42
DRG811,PID340141,RIDNCWilmington,81,16699.92,8539.7,8106.13
DRG812,PID340068,RIDNCWilmington,40,14351.12,5217.87,4656.67
DRG812,PID340141,RIDNCWilmington,147,11236.85,5500.16,4743.45
DRG812,PID340158,RIDNCWilmington,23,12537,4859.86,4080.73
DRG853,PID340068,RIDNCWilmington,17,43617,32153.05,31690.7
DRG853,PID340141,RIDNCWilmington,60,95833.25,38623.95,37837.26
DRG870,PID340141,RIDNCWilmington,26,93250,39127.38,38432.03
DRG871,PID340068,RIDNCWilmington,84,26308.04,12981.09,12394.6
DRG871,PID340141,RIDNCWilmington,407,28459.08,12905.83,12064.79
DRG871,PID340158,RIDNCWilmington,42,28624.59,11730.02,10446.76
DRG872,PID340068,RIDNCWilmington,61,15728.5,7458.19,6664.42
DRG872,PID340141,RIDNCWilmington,116,17517.14,7990.31,7139.78
DRG872,PID340158,RIDNCWilmington,28,20476.46,7078.42,5350.89
DRG885,PID340141,RIDNCWilmington,18,10851.66,6278.72,5405.38
DRG897,PID340141,RIDNCWilmington,29,10555.27,4601.34,3866.31
DRG897,PID340168,RIDNCWilmington,99,4638.08,3639.47,2676.26
DRG917,PID340141,RIDNCWilmington,37,21410.83,9912.89,9182.94
DRG918,PID340068,RIDNCWilmington,14,10885.07,4190.28,3631.14
DRG918,PID340141,RIDNCWilmington,62,10530.77,4511.37,3569.43
DRG948,PID340068,RIDNCWilmington,32,12750.46,4561.37,3857.87
DRG948,PID340141,RIDNCWilmington,42,11122.61,4834.9,3917.5
