drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID340004,RIDNCWinstonSalem,19,14826.89,5898.84,4569.05
DRG039,PID340014,RIDNCWinstonSalem,24,21716,6365.45,5380.29
DRG039,PID340047,RIDNCWinstonSalem,42,25025.8,8799.26,7783.45
DRG057,PID340004,RIDNCWinstonSalem,13,13124.53,5625.84,4391.69
DRG057,PID340014,RIDNCWinstonSalem,29,14489,6536.27,5667.1
DRG057,PID340039,RIDNCWinstonSalem,20,17247.1,5356.4,4457.2
DRG057,PID340047,RIDNCWinstonSalem,39,18136.25,10015.89,8633.15
DRG057,PID340097,RIDNCWinstonSalem,11,12624.54,5276.9,4353.63
DRG064,PID340004,RIDNCWinstonSalem,53,28716.13,10886.77,10144.64
DRG064,PID340014,RIDNCWinstonSalem,110,26101.84,12474.28,11624.31
DRG064,PID340039,RIDNCWinstonSalem,31,37208.25,10867.87,9587.06
DRG064,PID340047,RIDNCWinstonSalem,140,39732.76,19186.95,18214.02
DRG065,PID340003,RIDNCWinstonSalem,11,14686.36,7203.09,6388.54
DRG065,PID340004,RIDNCWinstonSalem,65,21114.9,6840.3,5768.41
DRG065,PID340014,RIDNCWinstonSalem,131,16031.12,7618.74,6446.06
DRG065,PID340039,RIDNCWinstonSalem,36,26246.25,6398.63,5504.05
DRG065,PID340047,RIDNCWinstonSalem,92,24547.78,12401.25,11381.86
DRG065,PID340064,RIDNCWinstonSalem,16,15929.68,6650.93,5735.18
DRG065,PID340085,RIDNCWinstonSalem,19,16048.47,6526.78,5227.94
DRG065,PID340096,RIDNCWinstonSalem,24,13932.41,6504.2,5520.37
DRG065,PID340097,RIDNCWinstonSalem,22,17774.09,6719.63,5899.27
DRG065,PID340144,RIDNCWinstonSalem,14,26815.21,7215.78,6090.64
DRG065,PID490115,RIDNCWinstonSalem,19,13183.68,6687.63,5861.94
DRG066,PID340004,RIDNCWinstonSalem,26,18140.11,5071.65,3732.61
DRG066,PID340014,RIDNCWinstonSalem,82,13521.19,5645.71,4134.81
DRG066,PID340039,RIDNCWinstonSalem,45,20849.44,5013.28,3368.28
DRG066,PID340047,RIDNCWinstonSalem,74,17135.93,7774.52,6724.09
DRG066,PID340064,RIDNCWinstonSalem,11,14164.63,4780.18,3859.81
DRG066,PID340097,RIDNCWinstonSalem,19,14516.63,4759.57,3872.63
DRG066,PID490115,RIDNCWinstonSalem,19,9737.21,4696.84,3748.63
DRG069,PID340003,RIDNCWinstonSalem,14,10559.28,4461.92,3339.07
DRG069,PID340004,RIDNCWinstonSalem,52,15770.86,4577.23,3313.55
DRG069,PID340014,RIDNCWinstonSalem,77,12345.85,5097.33,3521.27
DRG069,PID340039,RIDNCWinstonSalem,45,18729.11,4129.11,3131.42
DRG069,PID340047,RIDNCWinstonSalem,36,14451.75,6378.8,5123.52
DRG069,PID340064,RIDNCWinstonSalem,20,13024.3,4270.2,3427.6
DRG069,PID340097,RIDNCWinstonSalem,34,14274.64,4446.85,3285.02
DRG069,PID340144,RIDNCWinstonSalem,16,23399.75,4552.5,3634.75
DRG069,PID490115,RIDNCWinstonSalem,24,8946,4295,3312.5
DRG074,PID340004,RIDNCWinstonSalem,14,16283.71,5136.92,4411.5
DRG074,PID340014,RIDNCWinstonSalem,22,14230.4,6067.68,4860.27
DRG074,PID340039,RIDNCWinstonSalem,22,17746.68,4903.63,4187.63
DRG074,PID340047,RIDNCWinstonSalem,36,18288.22,10492.38,9112.3
DRG074,PID340144,RIDNCWinstonSalem,11,19393.09,5559.72,4648.9
DRG101,PID340004,RIDNCWinstonSalem,18,16068.16,4581.44,3521.22
DRG101,PID340014,RIDNCWinstonSalem,62,11578.67,5275.79,4000.3
DRG101,PID340039,RIDNCWinstonSalem,30,15702.5,4573.9,3144.26
DRG101,PID340047,RIDNCWinstonSalem,99,24031.11,7957.09,6249.57
DRG101,PID340064,RIDNCWinstonSalem,11,10519.18,4356.27,3744.63
DRG149,PID340004,RIDNCWinstonSalem,12,13742,3785.75,2853.08
DRG149,PID340014,RIDNCWinstonSalem,16,9556.12,4635.62,3184.5
DRG149,PID340039,RIDNCWinstonSalem,19,17703.78,3623.78,2619.36
DRG149,PID340047,RIDNCWinstonSalem,20,10155.15,5895.55,4925.3
DRG149,PID340097,RIDNCWinstonSalem,12,12370.08,3766,2741.66
DRG176,PID340003,RIDNCWinstonSalem,13,16344.23,6520.69,5913.61
DRG176,PID340014,RIDNCWinstonSalem,67,15188.56,7428.77,6552.07
DRG176,PID340039,RIDNCWinstonSalem,27,19173.59,5865.18,5158.37
DRG176,PID340047,RIDNCWinstonSalem,42,16356.5,10183.59,9508.38
DRG176,PID340097,RIDNCWinstonSalem,12,16357.66,6100.08,5633.75
DRG176,PID340144,RIDNCWinstonSalem,15,23256.53,6701.53,5951.13
DRG177,PID340003,RIDNCWinstonSalem,47,21256.31,12066.55,11451.12
DRG177,PID340004,RIDNCWinstonSalem,110,29754.4,12138.22,11294.03
DRG177,PID340014,RIDNCWinstonSalem,116,29464.15,14110.56,13197.42
DRG177,PID340039,RIDNCWinstonSalem,40,59765.45,12881.52,12123.02
DRG177,PID340047,RIDNCWinstonSalem,56,29179.14,19589.66,18915.33
DRG177,PID340064,RIDNCWinstonSalem,17,20823.76,11568.11,10843.17
DRG177,PID340096,RIDNCWinstonSalem,11,20134.9,10850.81,10342.09
DRG177,PID340097,RIDNCWinstonSalem,30,36823.9,12204.26,11606.93
DRG177,PID340144,RIDNCWinstonSalem,21,61828.47,12583.52,12065.19
DRG177,PID490115,RIDNCWinstonSalem,11,26364.9,11729.72,11321
DRG178,PID340003,RIDNCWinstonSalem,17,19045.58,8544.17,7948.64
DRG178,PID340004,RIDNCWinstonSalem,53,19901.26,8663.92,7540.86
DRG178,PID340014,RIDNCWinstonSalem,62,20047,10041.16,9306.35
DRG178,PID340039,RIDNCWinstonSalem,44,36688.18,9856.13,7407.04
DRG178,PID340047,RIDNCWinstonSalem,55,32061.89,17783.52,17132.96
DRG178,PID340064,RIDNCWinstonSalem,14,13989.71,8432.85,7790.57
DRG178,PID340096,RIDNCWinstonSalem,22,17839.22,7148.45,6589.72
DRG178,PID340097,RIDNCWinstonSalem,24,25775.91,8695.16,7947.16
DRG178,PID340144,RIDNCWinstonSalem,13,20795.15,8878.07,8278.38
