drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID350002,RIDNDBismarck,29,12795.1,6032.34,5213.72
DRG039,PID350015,RIDNDBismarck,54,11360.66,6349.31,5306
DRG064,PID350002,RIDNDBismarck,33,24373.96,10810.81,9996.27
DRG064,PID350015,RIDNDBismarck,15,17302.53,12091.4,11045.53
DRG065,PID350002,RIDNDBismarck,36,15039.52,7578.88,5244.58
DRG065,PID350015,RIDNDBismarck,46,12559.45,7608.43,6825.13
DRG066,PID350002,RIDNDBismarck,23,12107.86,4826.04,3899.26
DRG066,PID350015,RIDNDBismarck,24,9673.75,5356.2,4373.7
DRG069,PID350015,RIDNDBismarck,16,8521.43,4927.75,3526.81
DRG176,PID350002,RIDNDBismarck,11,10141.54,5896.63,5082.09
DRG176,PID350015,RIDNDBismarck,12,10064.91,7098.75,6257.75
DRG177,PID350002,RIDNDBismarck,71,26312.7,12214.57,10393.92
DRG177,PID350015,RIDNDBismarck,52,19932.59,12491.98,11800.9
DRG191,PID350015,RIDNDBismarck,27,9740.11,6105.7,5083.92
DRG178,PID350002,RIDNDBismarck,23,16828.04,8290.73,7365.34
DRG178,PID350015,RIDNDBismarck,16,13861.68,8701.12,7655.87
DRG189,PID350002,RIDNDBismarck,51,17109.92,7704.74,6705.84
DRG189,PID350015,RIDNDBismarck,44,11962.84,8323.75,7406.22
DRG190,PID350002,RIDNDBismarck,20,14087.25,6969.85,6183.85
DRG190,PID350015,RIDNDBismarck,21,9688.52,7680.47,6985.8
DRG191,PID350002,RIDNDBismarck,15,12776,5800.33,4827.8
DRG193,PID350002,RIDNDBismarck,67,15272.16,8621.64,7366.04
DRG193,PID350015,RIDNDBismarck,56,13438.71,9527.67,8635
DRG194,PID350002,RIDNDBismarck,51,11025.74,5837.09,4954.9
DRG194,PID350015,RIDNDBismarck,52,10496.84,6672.07,5658.9
DRG195,PID350002,RIDNDBismarck,14,7429.78,4222.14,3175.57
DRG207,PID350015,RIDNDBismarck,13,71332.15,33289.76,32317.53
DRG208,PID350002,RIDNDBismarck,21,46821.42,14409.8,13550.42
DRG208,PID350015,RIDNDBismarck,20,28137.25,14438.25,13713.65
DRG238,PID350002,RIDNDBismarck,41,80354.73,18987.14,17944.19
DRG238,PID350015,RIDNDBismarck,23,41493.39,18985.69,18153.17
DRG243,PID350002,RIDNDBismarck,26,39534.46,17459.42,14296.96
DRG243,PID350015,RIDNDBismarck,19,30819.47,16553.36,15606.84
DRG244,PID350002,RIDNDBismarck,17,35967.17,12100.64,11238.76
DRG244,PID350015,RIDNDBismarck,14,28229.92,13143.35,11004.28
DRG246,PID350002,RIDNDBismarck,12,67491.66,19202.58,18264.58
DRG246,PID350015,RIDNDBismarck,15,39830.2,19936.33,18963.8
DRG247,PID350002,RIDNDBismarck,63,45721.01,14812.12,9625.38
DRG247,PID350015,RIDNDBismarck,41,30588.43,12594.29,10464.85
DRG291,PID350002,RIDNDBismarck,93,15841.36,8747.89,8012.56
DRG251,PID350002,RIDNDBismarck,16,40050.43,10652.56,9595.31
DRG252,PID350015,RIDNDBismarck,12,29410.83,18688.83,18033.75
DRG253,PID350015,RIDNDBismarck,34,22771.17,15349.44,13386.79
DRG254,PID350015,RIDNDBismarck,24,15874.75,10177.29,8758.12
DRG280,PID350002,RIDNDBismarck,24,19701.37,10830,9563.54
DRG280,PID350015,RIDNDBismarck,23,15931.69,11248.69,10468.17
DRG281,PID350002,RIDNDBismarck,12,14698.75,7088.33,6244.66
DRG282,PID350002,RIDNDBismarck,13,14372.46,4765.23,3817.23
DRG286,PID350015,RIDNDBismarck,15,21784.4,13038.73,11132.06
DRG287,PID350002,RIDNDBismarck,16,18672.06,6461.37,5549.62
DRG287,PID350015,RIDNDBismarck,38,15620,7069,5562.02
DRG291,PID350015,RIDNDBismarck,76,15841.05,10700.11,9824.27
DRG292,PID350002,RIDNDBismarck,50,11620.86,6009.32,5109.48
DRG292,PID350015,RIDNDBismarck,57,9097.57,6646.49,5976.87
DRG293,PID350002,RIDNDBismarck,16,8181.87,4082.5,3170.75
DRG293,PID350015,RIDNDBismarck,13,5773.38,4388.38,3522.53
DRG300,PID350002,RIDNDBismarck,14,8424.14,6714.42,4648.14
DRG300,PID350015,RIDNDBismarck,14,9355.85,6591.5,5292.42
DRG308,PID350002,RIDNDBismarck,22,13706.4,7357,6646.81
DRG308,PID350015,RIDNDBismarck,18,10928.38,8033.22,7280.33
DRG309,PID350002,RIDNDBismarck,18,7984.11,4982.72,4166.94
DRG309,PID350015,RIDNDBismarck,22,5971.22,5413.22,4645.77
DRG310,PID350002,RIDNDBismarck,21,6432.61,3710.09,2318.66
DRG310,PID350015,RIDNDBismarck,25,6399.24,3670.16,2594.96
DRG312,PID350015,RIDNDBismarck,13,8078.07,4752.53,3973.76
DRG314,PID350002,RIDNDBismarck,17,24946.29,10442.29,9460.41
DRG314,PID350015,RIDNDBismarck,20,15352.7,11592,10735.25
DRG329,PID350002,RIDNDBismarck,39,44759.02,28444.15,27664.53
DRG329,PID350015,RIDNDBismarck,26,44774.23,32624.73,31891.96
DRG330,PID350002,RIDNDBismarck,26,23147.26,14195.03,13158.73
DRG330,PID350015,RIDNDBismarck,38,21140.81,16355.84,14322.07
