drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID240100,RIDNDFargo/MoorheadMN,13,14996.3,6425.69,5390.61
DRG039,PID350011,RIDNDFargo/MoorheadMN,47,13070.61,6614.57,5611.4
DRG039,PID350070,RIDNDFargo/MoorheadMN,18,16476.16,6076.27,5080.72
DRG057,PID350011,RIDNDFargo/MoorheadMN,19,15473.68,5746.47,4917.42
DRG064,PID240100,RIDNDFargo/MoorheadMN,13,17046.07,9574.15,8882.46
DRG064,PID350011,RIDNDFargo/MoorheadMN,48,27740.31,12627.16,11468.77
DRG064,PID350070,RIDNDFargo/MoorheadMN,14,31917.07,11599.92,10793.64
DRG065,PID240052,RIDNDFargo/MoorheadMN,20,15475.7,5950.9,5331.5
DRG065,PID240100,RIDNDFargo/MoorheadMN,19,18821.21,7615.52,5444.78
DRG065,PID350011,RIDNDFargo/MoorheadMN,84,17524.21,7892.35,6296.42
DRG065,PID350070,RIDNDFargo/MoorheadMN,16,16351.31,6992.37,6147.37
DRG066,PID240100,RIDNDFargo/MoorheadMN,11,12570.72,5169,4351.54
DRG066,PID350011,RIDNDFargo/MoorheadMN,43,13765.6,5359.23,4197.55
DRG066,PID350070,RIDNDFargo/MoorheadMN,21,10922.85,4913.66,3843.19
DRG069,PID350011,RIDNDFargo/MoorheadMN,41,14568.36,5243.39,3955.95
DRG074,PID350011,RIDNDFargo/MoorheadMN,22,12602.27,7058.68,4650.68
DRG101,PID350011,RIDNDFargo/MoorheadMN,35,11129.57,5062.91,4077.45
DRG176,PID350011,RIDNDFargo/MoorheadMN,36,13597.8,6920.44,6128.11
DRG176,PID350070,RIDNDFargo/MoorheadMN,12,14560.41,6416.16,6135.83
DRG177,PID240052,RIDNDFargo/MoorheadMN,11,21859.72,10598,9686.36
DRG177,PID240100,RIDNDFargo/MoorheadMN,11,29373.09,15038.27,13638.27
DRG177,PID350011,RIDNDFargo/MoorheadMN,96,27509.54,13095.95,12081.82
DRG177,PID350070,RIDNDFargo/MoorheadMN,21,25985.19,11187.19,10636.19
DRG178,PID240100,RIDNDFargo/MoorheadMN,19,15847.68,9143.21,8491.21
DRG178,PID240101,RIDNDFargo/MoorheadMN,11,33128.72,12942.36,12024.9
DRG178,PID350011,RIDNDFargo/MoorheadMN,61,14984.49,9116.24,8318.52
DRG189,PID240100,RIDNDFargo/MoorheadMN,27,18626.7,7957.25,6954.4
DRG189,PID350011,RIDNDFargo/MoorheadMN,78,20903.53,8549.87,7986.34
DRG189,PID350070,RIDNDFargo/MoorheadMN,25,16847.56,7657.12,6984.32
DRG190,PID240100,RIDNDFargo/MoorheadMN,12,11791.33,7444.25,6694.91
DRG190,PID240101,RIDNDFargo/MoorheadMN,20,16699.55,9642.7,8309.1
DRG190,PID350011,RIDNDFargo/MoorheadMN,36,13295.5,7428.63,6615.52
DRG190,PID350070,RIDNDFargo/MoorheadMN,21,18563.42,7142.95,6367.42
DRG191,PID240052,RIDNDFargo/MoorheadMN,16,12289.87,5203.93,4641.93
DRG191,PID240100,RIDNDFargo/MoorheadMN,23,15684.13,6413.6,4873.47
DRG191,PID350011,RIDNDFargo/MoorheadMN,46,11598.89,6358.28,5419.45
DRG191,PID350070,RIDNDFargo/MoorheadMN,26,12135.53,5703.88,4712.34
DRG192,PID240100,RIDNDFargo/MoorheadMN,21,14253.95,5261.71,3318.09
DRG192,PID350011,RIDNDFargo/MoorheadMN,16,7877.81,4675.81,3764.06
DRG192,PID350070,RIDNDFargo/MoorheadMN,27,8704.03,4384.55,3400.29
DRG193,PID240052,RIDNDFargo/MoorheadMN,18,16791.33,7980.33,7231
DRG193,PID240100,RIDNDFargo/MoorheadMN,18,13999.88,8719.88,6687.66
DRG193,PID350011,RIDNDFargo/MoorheadMN,87,19962.97,9840.91,8771.04
DRG193,PID350070,RIDNDFargo/MoorheadMN,21,23588.23,9109.61,8518.19
DRG194,PID240052,RIDNDFargo/MoorheadMN,38,16555.36,5747.52,4805.21
DRG194,PID240100,RIDNDFargo/MoorheadMN,55,14673.63,6192.74,5298.47
DRG194,PID240101,RIDNDFargo/MoorheadMN,40,18458.22,8238.1,7398.72
DRG194,PID350011,RIDNDFargo/MoorheadMN,87,12100.62,6671.43,5613.03
DRG194,PID350070,RIDNDFargo/MoorheadMN,44,12910.25,6041.06,4993.02
DRG195,PID240052,RIDNDFargo/MoorheadMN,13,12137.23,4073,3033
DRG195,PID240101,RIDNDFargo/MoorheadMN,22,11274.09,5735.63,4763.81
DRG195,PID350011,RIDNDFargo/MoorheadMN,36,8467.13,4612.83,3614.61
DRG195,PID350070,RIDNDFargo/MoorheadMN,18,9519.22,4232.61,3168.83
DRG207,PID350011,RIDNDFargo/MoorheadMN,35,76902.48,34073.05,31212.54
DRG208,PID240100,RIDNDFargo/MoorheadMN,12,36171.75,12294.33,11825.33
DRG208,PID350011,RIDNDFargo/MoorheadMN,75,38091.84,15286.49,14481.53
DRG208,PID350070,RIDNDFargo/MoorheadMN,22,36237.4,13752.63,13086.63
DRG238,PID240100,RIDNDFargo/MoorheadMN,22,67495.5,20280.36,19294.13
DRG238,PID350011,RIDNDFargo/MoorheadMN,62,60694,19873.4,18823.2
DRG238,PID350070,RIDNDFargo/MoorheadMN,24,53700.66,18387.12,17543.45
DRG243,PID350011,RIDNDFargo/MoorheadMN,34,36869.91,16841.26,16082.08
DRG243,PID350070,RIDNDFargo/MoorheadMN,20,30116.85,15292.4,14281.6
DRG244,PID350011,RIDNDFargo/MoorheadMN,35,26080.77,12822.37,11792.88
DRG244,PID350070,RIDNDFargo/MoorheadMN,16,33514.81,12188.31,11207.81
DRG246,PID350011,RIDNDFargo/MoorheadMN,42,62365.04,20720.33,19756.9
DRG246,PID350070,RIDNDFargo/MoorheadMN,13,71947.61,19640.61,18777.23
DRG247,PID350011,RIDNDFargo/MoorheadMN,162,43910.04,13214.19,11161.82
DRG247,PID350070,RIDNDFargo/MoorheadMN,59,45264.86,11972.28,10281.98
DRG249,PID350011,RIDNDFargo/MoorheadMN,20,38311.85,11238.15,10280.75
DRG251,PID350011,RIDNDFargo/MoorheadMN,20,37720.3,11557.55,10711.75
DRG252,PID350011,RIDNDFargo/MoorheadMN,25,56370.28,19726.44,19276.2
DRG252,PID350070,RIDNDFargo/MoorheadMN,15,36754.53,17822.66,17449.6
DRG253,PID350011,RIDNDFargo/MoorheadMN,31,39920.45,15706.41,15091.8
DRG253,PID350070,RIDNDFargo/MoorheadMN,33,33745.3,14426.78,13417.81
DRG254,PID350011,RIDNDFargo/MoorheadMN,28,24240.1,10630.46,9056.32
DRG254,PID350070,RIDNDFargo/MoorheadMN,23,27098,9619,8741.43
DRG280,PID240052,RIDNDFargo/MoorheadMN,14,21632,9427.92,8704.78
DRG280,PID240100,RIDNDFargo/MoorheadMN,15,19696.6,8983.53,8207
DRG280,PID350011,RIDNDFargo/MoorheadMN,64,28320.26,12211.03,11135.23
DRG280,PID350070,RIDNDFargo/MoorheadMN,15,24150.86,10741.8,10217.8
DRG281,PID240100,RIDNDFargo/MoorheadMN,11,15401.09,7091.27,6341.36
DRG281,PID350011,RIDNDFargo/MoorheadMN,29,19345.86,7699.51,6924.34
DRG281,PID350070,RIDNDFargo/MoorheadMN,18,15824.33,7106.72,6296.27
DRG282,PID350011,RIDNDFargo/MoorheadMN,18,18023.33,5217.33,4464.44
DRG282,PID350070,RIDNDFargo/MoorheadMN,12,16622.33,4823.83,3794.16
DRG286,PID350011,RIDNDFargo/MoorheadMN,17,46061.17,15630,13519.23
