drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID350006,RIDNDMinot,13,16446.38,6356.15,5418
DRG064,PID350006,RIDNDMinot,18,17312.44,11151.72,10220.83
DRG065,PID350006,RIDNDMinot,55,14923.03,6963.74,6006.29
DRG066,PID350006,RIDNDMinot,14,9726.28,5167.28,3348.92
DRG176,PID350006,RIDNDMinot,25,14579.68,6434.12,5760.04
DRG177,PID350006,RIDNDMinot,16,20915.43,13386.43,11055.62
DRG178,PID350006,RIDNDMinot,25,15296.96,8717.12,8066.96
DRG189,PID350006,RIDNDMinot,38,14834.34,8020,7257.13
DRG190,PID350006,RIDNDMinot,48,10831.37,7439.93,6663.68
DRG191,PID350006,RIDNDMinot,31,8675.51,5954.96,5121.29
DRG192,PID350006,RIDNDMinot,29,7665.58,4464.1,3531.68
DRG193,PID350006,RIDNDMinot,55,16183.09,9143.2,8302.83
DRG194,PID350006,RIDNDMinot,81,12251.13,6179.56,5361.74
DRG195,PID350006,RIDNDMinot,36,9971.47,4450.41,3451.3
DRG208,PID350006,RIDNDMinot,27,30275.66,14143.96,13314.92
DRG238,PID350006,RIDNDMinot,24,62328.29,19184,18247.33
DRG243,PID350006,RIDNDMinot,16,44877.12,17066.68,16017.37
DRG244,PID350006,RIDNDMinot,15,29363.46,12710.86,11662.86
DRG246,PID350006,RIDNDMinot,33,70434.78,21742.87,18958.6
DRG247,PID350006,RIDNDMinot,62,53201.56,12867.61,11227.29
DRG291,PID350006,RIDNDMinot,52,15146.98,9073.86,8189.42
DRG253,PID350006,RIDNDMinot,15,40359.6,15345.2,14515.06
DRG280,PID350006,RIDNDMinot,23,23385.47,11583.34,10701.6
DRG281,PID350006,RIDNDMinot,17,14735.64,7533.52,5954.47
DRG282,PID350006,RIDNDMinot,13,14281.46,5041.07,4088.15
DRG287,PID350006,RIDNDMinot,31,18430.09,6787.25,5881.58
DRG292,PID350006,RIDNDMinot,59,10693.37,6196.61,5413.98
DRG293,PID350006,RIDNDMinot,32,6845,4286.06,3518.81
DRG300,PID350006,RIDNDMinot,12,9330.08,6015.58,5271.58
DRG308,PID350006,RIDNDMinot,12,13584,7712.16,7148.83
DRG309,PID350006,RIDNDMinot,20,10670.6,5259.8,4308.8
DRG310,PID350006,RIDNDMinot,28,7811.85,3609.28,2523.75
DRG312,PID350006,RIDNDMinot,13,10701.84,4493,3716.69
DRG313,PID350006,RIDNDMinot,11,7662.63,3448.45,2628.09
DRG314,PID350006,RIDNDMinot,15,25179,12267.2,11818.66
DRG329,PID350006,RIDNDMinot,18,61910.55,32582.33,31391.05
DRG330,PID350006,RIDNDMinot,11,42071.27,16205.72,15385.36
DRG377,PID350006,RIDNDMinot,15,15708.66,10256.53,9583.73
DRG378,PID350006,RIDNDMinot,47,11274.1,6256.87,5388.31
DRG390,PID350006,RIDNDMinot,12,8268.5,4223.08,3098.33
DRG391,PID350006,RIDNDMinot,12,17133.91,7243,6407.33
DRG392,PID350006,RIDNDMinot,41,9639.73,4467.04,3727.82
DRG394,PID350006,RIDNDMinot,11,9801.63,5985.63,5371.09
DRG419,PID350006,RIDNDMinot,12,19429.66,7308.66,6279
DRG469,PID350006,RIDNDMinot,13,46241,20316.15,19542.3
DRG470,PID350006,RIDNDMinot,252,28831.86,13425.38,11885.68
DRG480,PID350006,RIDNDMinot,19,39144.94,17823,16876.47
DRG481,PID350006,RIDNDMinot,55,27912.8,11620.58,10802.54
DRG482,PID350006,RIDNDMinot,14,25484,9618.42,8578.71
DRG603,PID350006,RIDNDMinot,32,8653.21,5252.21,4413.21
DRG638,PID350006,RIDNDMinot,12,12974.75,5049.08,4019.41
DRG640,PID350006,RIDNDMinot,25,9040.52,6988.04,6337.24
DRG641,PID350006,RIDNDMinot,37,8739.83,4270.43,3418.97
DRG682,PID350006,RIDNDMinot,20,16119.7,10233.05,9132.55
DRG683,PID350006,RIDNDMinot,43,12859.83,6344.83,5612.93
DRG689,PID350006,RIDNDMinot,23,11456.04,7397.04,6563.13
DRG690,PID350006,RIDNDMinot,49,9157.63,5023.59,3961.42
DRG811,PID350006,RIDNDMinot,17,11952.17,7832.94,6974.82
DRG812,PID350006,RIDNDMinot,33,9758.45,4974.51,4126.63
DRG853,PID350006,RIDNDMinot,13,66989.07,34568.38,33876.69
DRG871,PID350006,RIDNDMinot,90,23178.68,11764.07,10964.44
DRG872,PID350006,RIDNDMinot,39,13360.64,7109.66,6193.84
DRG897,PID350006,RIDNDMinot,17,5789.7,3996.47,3101.23
DRG948,PID350006,RIDNDMinot,15,10442.8,4246.2,3686.6
