drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID280003,RIDNELincoln,48,23809.12,6537.5,4875.52
DRG039,PID280128,RIDNELincoln,125,6994.06,5519.41,4495.55
DRG057,PID280003,RIDNELincoln,17,17704.88,5758.29,4295.76
DRG057,PID280032,RIDNELincoln,14,10425.85,5424.28,4537.14
DRG064,PID280003,RIDNELincoln,37,29842.43,10851.51,9968.62
DRG064,PID280020,RIDNELincoln,38,37233.1,11632.26,10214.39
DRG065,PID280003,RIDNELincoln,123,22373.44,6999.49,5458.76
DRG065,PID280020,RIDNELincoln,52,22793.13,6734.13,5605.15
DRG065,PID280032,RIDNELincoln,24,17240.95,6708.5,5864.83
DRG065,PID280065,RIDNELincoln,12,20299.16,6685.66,5653.33
DRG066,PID280003,RIDNELincoln,55,18869.94,5286.81,3701.23
DRG066,PID280020,RIDNELincoln,46,17439.78,5028.6,3633.34
DRG069,PID280003,RIDNELincoln,51,20072.58,4493.35,3394.27
DRG069,PID280020,RIDNELincoln,71,16992.16,4541.14,3261.77
DRG069,PID280065,RIDNELincoln,15,10865.4,5065.8,3235.33
DRG074,PID280020,RIDNELincoln,16,18684.31,5088.93,4120.12
DRG101,PID280003,RIDNELincoln,38,17308.21,4531.89,3734.31
DRG101,PID280020,RIDNELincoln,22,16494.04,4504.63,3582.81
DRG149,PID280003,RIDNELincoln,39,14856.46,3899.82,2759.12
DRG149,PID280020,RIDNELincoln,19,13132.1,3975.1,2551
DRG176,PID280003,RIDNELincoln,40,18498,6511.52,4907.5
DRG176,PID280020,RIDNELincoln,26,19697.69,6369.34,4263.57
DRG176,PID280032,RIDNELincoln,14,10666.28,6210.64,5164.07
DRG176,PID280065,RIDNELincoln,11,15297,6455.18,5440.63
DRG177,PID280003,RIDNELincoln,49,35288.06,11498.14,10958.51
DRG177,PID280020,RIDNELincoln,25,46535.4,11659.32,11026.68
DRG177,PID280032,RIDNELincoln,27,24794.88,11427.37,10706.81
DRG178,PID280003,RIDNELincoln,31,21765.51,7919.32,7268
DRG178,PID280020,RIDNELincoln,37,25806.1,8012.56,7342.51
DRG178,PID280032,RIDNELincoln,14,15650.28,8171.35,7693.07
DRG189,PID280003,RIDNELincoln,161,30480.69,8076.7,7142.31
DRG189,PID280020,RIDNELincoln,37,36258.16,7984,7560.86
DRG189,PID280032,RIDNELincoln,18,29000.72,8395.88,8022.05
DRG190,PID280003,RIDNELincoln,98,24078.07,7166.06,6330.22
DRG190,PID280020,RIDNELincoln,64,29210.98,7033.34,5986.1
DRG190,PID280032,RIDNELincoln,44,18337.36,6885.95,6120.68
DRG190,PID280065,RIDNELincoln,52,16550.86,7671.86,6159.34
DRG191,PID280003,RIDNELincoln,101,19313.53,6013.38,4771.29
DRG191,PID280020,RIDNELincoln,53,23903.64,5645.81,4392.39
DRG191,PID280032,RIDNELincoln,24,19917.75,5873.91,5104.37
DRG191,PID280065,RIDNELincoln,55,13474.7,5811.72,5280.09
DRG192,PID280003,RIDNELincoln,69,18016.27,5062.1,3286.62
DRG192,PID280020,RIDNELincoln,53,18603.35,4371.43,3037
DRG192,PID280032,RIDNELincoln,15,14892,4195.4,3367.4
DRG192,PID280065,RIDNELincoln,21,10772.42,4505.14,3490.09
DRG193,PID280003,RIDNELincoln,159,34654.4,9640.77,7603.33
DRG193,PID280020,RIDNELincoln,69,35277.73,8936.15,8131.11
DRG193,PID280032,RIDNELincoln,38,21382.1,8981.89,7597.71
DRG193,PID280065,RIDNELincoln,37,19603.54,8274.37,7606.48
DRG194,PID280003,RIDNELincoln,171,21159.58,6117.42,5076.12
DRG194,PID280020,RIDNELincoln,194,24183.14,6146.8,4781.13
DRG194,PID280032,RIDNELincoln,48,15296.41,6131.87,4826.58
DRG194,PID280065,RIDNELincoln,104,14895.91,6334.41,5414.56
DRG195,PID280003,RIDNELincoln,41,17841.48,4269.39,3362.95
DRG195,PID280020,RIDNELincoln,90,18139.61,4323.63,3253.54
DRG195,PID280032,RIDNELincoln,21,11917.57,4119.42,3158.28
DRG195,PID280065,RIDNELincoln,40,13105.35,4711.57,3294.75
DRG202,PID280003,RIDNELincoln,26,18507.42,5465.69,3771.15
DRG202,PID280020,RIDNELincoln,24,18353.58,5443.95,3783.83
DRG203,PID280003,RIDNELincoln,15,12516.06,4002.73,2345.46
DRG203,PID280020,RIDNELincoln,14,14504.21,3603.14,2642
