drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID160047,RIDNEOmaha,21,17654.42,5739.95,4988.33
DRG039,PID280009,RIDNEOmaha,31,18298.54,7224.67,6283.51
DRG039,PID280013,RIDNEOmaha,18,28566.72,7563.77,6501.77
DRG039,PID280040,RIDNEOmaha,24,21959.62,6408.33,4514
DRG039,PID280060,RIDNEOmaha,28,27950.03,6072.82,5193.67
DRG039,PID280081,RIDNEOmaha,11,28984.45,6710.81,5602.09
DRG039,PID280125,RIDNEOmaha,17,22269,7142,6348.58
DRG057,PID160028,RIDNEOmaha,12,21586.41,6033.33,5003.66
DRG057,PID280013,RIDNEOmaha,27,18683.96,6989.62,5814.14
DRG057,PID280023,RIDNEOmaha,11,13495.36,4893.27,3975.81
DRG057,PID280040,RIDNEOmaha,17,19115.29,5469.76,3774.29
DRG057,PID280060,RIDNEOmaha,16,21435.18,5776.31,4791.87
DRG064,PID160047,RIDNEOmaha,12,29631.33,9955.58,9203.58
DRG064,PID280009,RIDNEOmaha,14,49133.85,15920,14790.28
DRG064,PID280013,RIDNEOmaha,72,56486.73,16506.8,15652.22
DRG064,PID280023,RIDNEOmaha,19,26382.94,10529.42,9702.05
DRG064,PID280030,RIDNEOmaha,12,60301.16,15828.66,14796.33
DRG064,PID280040,RIDNEOmaha,25,29803.4,10952.76,9281.12
DRG064,PID280060,RIDNEOmaha,24,34177.83,11590.08,10713.7
DRG064,PID280130,RIDNEOmaha,21,30851.28,9973.95,9292.38
DRG065,PID160047,RIDNEOmaha,17,18914.47,6381.47,5382.64
DRG065,PID280009,RIDNEOmaha,24,32089.41,8308.75,7324.91
DRG065,PID280013,RIDNEOmaha,58,32678.15,8866.03,7957
DRG065,PID280023,RIDNEOmaha,28,20132.25,6356.82,5514.64
DRG065,PID280030,RIDNEOmaha,22,55660.45,9965.09,9000.54
DRG065,PID280040,RIDNEOmaha,55,22050.25,6497.01,5244.16
DRG065,PID280060,RIDNEOmaha,55,25880.18,6803.83,5783.38
DRG065,PID280077,RIDNEOmaha,21,19111.57,6689.28,5993.09
DRG065,PID280081,RIDNEOmaha,42,29066.47,7921.76,6360.26
DRG065,PID280111,RIDNEOmaha,13,16201.84,8912.15,7110.61
DRG065,PID280125,RIDNEOmaha,18,21450.55,8093.94,7091.27
DRG065,PID280130,RIDNEOmaha,33,29387.6,7551.18,6193.93
DRG065,PID280132,RIDNEOmaha,11,22260.9,5841,5229.36
DRG066,PID280009,RIDNEOmaha,35,16809.54,6594.17,4793.65
DRG066,PID280013,RIDNEOmaha,35,23467.77,6329.91,5160.34
DRG066,PID280023,RIDNEOmaha,21,13683.28,4733.8,3588.09
DRG066,PID280030,RIDNEOmaha,14,29432.64,7043.5,5994.64
DRG066,PID280040,RIDNEOmaha,25,16107.56,4534.44,3587.4
DRG066,PID280060,RIDNEOmaha,32,19556.78,5278.78,3598.25
DRG066,PID280081,RIDNEOmaha,14,19581,5451.78,4650.07
DRG066,PID280111,RIDNEOmaha,13,13447.53,6688.69,5914.84
DRG066,PID280130,RIDNEOmaha,21,21734.38,4437,3371.09
DRG069,PID160028,RIDNEOmaha,13,18615.23,4712.61,3680
DRG069,PID160047,RIDNEOmaha,15,14588.4,4638.73,3092.8
DRG069,PID280009,RIDNEOmaha,17,21828.64,5200.11,4208.82
DRG069,PID280013,RIDNEOmaha,30,19827.16,5763.06,4393.03
DRG069,PID280023,RIDNEOmaha,19,16689.26,4180,3172.21
DRG069,PID280040,RIDNEOmaha,25,15365.44,4381.4,2497.64
DRG069,PID280060,RIDNEOmaha,34,19948.2,4459.32,3237.23
DRG069,PID280077,RIDNEOmaha,12,19057,4881.33,3399
DRG069,PID280081,RIDNEOmaha,12,20725.25,4884.83,3847.16
DRG069,PID280111,RIDNEOmaha,24,9462.75,6196.54,4993.7
DRG069,PID280130,RIDNEOmaha,26,19378,3957,2963
DRG074,PID280013,RIDNEOmaha,15,35462.66,8180.46,7578.86
DRG074,PID280040,RIDNEOmaha,16,25127.06,5028,4393.25
DRG101,PID280009,RIDNEOmaha,15,21809.6,5419.33,4591.33
DRG101,PID280013,RIDNEOmaha,72,16340.75,5871.97,4608.97
DRG101,PID280023,RIDNEOmaha,11,13866.45,5582.09,2841.54
DRG101,PID280030,RIDNEOmaha,19,28204.57,7000.68,6348.68
DRG101,PID280040,RIDNEOmaha,13,12929.92,4217,3358.53
DRG101,PID280060,RIDNEOmaha,12,17714.5,4544,3883.66
DRG101,PID280077,RIDNEOmaha,15,15821.13,5230.73,3420.8
DRG101,PID280081,RIDNEOmaha,11,18710.18,5054.72,4340.18
DRG101,PID280130,RIDNEOmaha,15,18077.53,4353.33,2815.4
DRG149,PID280013,RIDNEOmaha,18,16703.66,5102.05,3892.61
DRG149,PID280060,RIDNEOmaha,14,20336.85,3809.64,2927.07
DRG149,PID280130,RIDNEOmaha,13,15980.38,4057.69,2495.38
DRG176,PID160047,RIDNEOmaha,13,23574.92,6033,5082.53
DRG176,PID280013,RIDNEOmaha,27,22709.07,8600.62,6619.22
DRG176,PID280023,RIDNEOmaha,23,19199.6,6193.21,4835.56
DRG176,PID280030,RIDNEOmaha,16,32835.5,9568.12,8791.87
DRG176,PID280040,RIDNEOmaha,35,30794.02,6040.14,4712.02
DRG176,PID280060,RIDNEOmaha,20,33263.3,6474.55,5001.05
DRG176,PID280077,RIDNEOmaha,16,22902.43,7526,5435.43
DRG176,PID280081,RIDNEOmaha,22,28674.31,6886.5,6003.27
DRG176,PID280125,RIDNEOmaha,17,16230.64,7444.23,6520.76
DRG177,PID160047,RIDNEOmaha,25,29441.08,10801.4,10126.04
DRG177,PID280009,RIDNEOmaha,16,44877.31,14934.87,14514.37
DRG177,PID280013,RIDNEOmaha,29,55852.1,17632.31,17129.24
DRG177,PID280023,RIDNEOmaha,30,39524.83,11387.73,10752.66
DRG177,PID280040,RIDNEOmaha,42,43296.02,12203.69,11031.16
DRG177,PID280060,RIDNEOmaha,18,45840.38,11437.72,10878.83
DRG177,PID280081,RIDNEOmaha,12,55529.41,13458.25,12892.25
DRG177,PID280125,RIDNEOmaha,12,63489.16,22201.33,21266
DRG177,PID280130,RIDNEOmaha,14,45244.28,11091,10731.71
DRG178,PID160047,RIDNEOmaha,21,30564.95,8332.33,7404.19
DRG178,PID280009,RIDNEOmaha,18,28967.5,10553.11,9988.88
DRG178,PID280013,RIDNEOmaha,30,37862.1,12241.36,10461.46
DRG178,PID280023,RIDNEOmaha,35,23495.05,8357.68,7568.94
DRG178,PID280040,RIDNEOmaha,40,44955.55,8608.7,7208.65
DRG178,PID280060,RIDNEOmaha,19,52409.26,9354.15,8040.15
DRG178,PID280077,RIDNEOmaha,20,29803.45,9448,6683.05
DRG178,PID280081,RIDNEOmaha,11,48951.18,10187.36,9681.45
DRG178,PID280125,RIDNEOmaha,21,27156.33,10206.09,9189.52
