drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID300003,RIDNHLebanon,43,22848.18,9099.2,7914.74
DRG057,PID300003,RIDNHLebanon,26,25678.26,8897.38,7677.84
DRG064,PID300003,RIDNHLebanon,57,33770.49,16830.77,15944.96
DRG065,PID300003,RIDNHLebanon,101,29763.49,11075.82,10152.52
DRG065,PID300019,RIDNHLebanon,26,15947.46,8007.26,7018.07
DRG065,PID470011,RIDNHLebanon,11,15323.36,9783,8859.72
DRG066,PID300003,RIDNHLebanon,66,20769.8,7546.09,6481.09
DRG066,PID300019,RIDNHLebanon,12,15601.16,5800.5,4673.83
DRG069,PID300003,RIDNHLebanon,24,16690.87,6606.91,5578.58
DRG101,PID300003,RIDNHLebanon,78,19756.53,7458.74,5896.41
DRG176,PID300003,RIDNHLebanon,22,20061.45,9138.36,8520.9
DRG177,PID300003,RIDNHLebanon,22,36689.54,18723.95,18366.68
DRG177,PID300019,RIDNHLebanon,17,27376.11,13654.82,12928
DRG178,PID300003,RIDNHLebanon,48,27918.72,13854.5,12039.04
DRG178,PID300019,RIDNHLebanon,17,16611.47,10319.58,9463.35
DRG189,PID300003,RIDNHLebanon,27,37130.29,12514.74,11976.81
DRG189,PID300019,RIDNHLebanon,17,18299.82,9152.47,8621.64
DRG190,PID300003,RIDNHLebanon,45,18211.44,10624.62,9476.33
DRG190,PID300019,RIDNHLebanon,69,15911.76,8681.34,7560.92
DRG193,PID300019,RIDNHLebanon,73,20491.34,10257.95,9518.45
DRG190,PID470011,RIDNHLebanon,14,15912.28,10310,9591.42
DRG191,PID300003,RIDNHLebanon,40,16042.67,8920.22,8246.62
DRG191,PID300019,RIDNHLebanon,22,13653.5,6916.45,6301.9
DRG191,PID470011,RIDNHLebanon,18,12818.77,8865.44,7138.94
DRG192,PID300003,RIDNHLebanon,11,12137.63,6802,6087.45
DRG192,PID300019,RIDNHLebanon,20,10677.75,5204.6,4077.4
DRG192,PID470011,RIDNHLebanon,11,8497.63,6228.72,5508.36
DRG193,PID300003,RIDNHLebanon,28,26161.1,12895.1,12171.96
DRG194,PID300019,RIDNHLebanon,70,13937.72,7094.48,6372.71
DRG194,PID300003,RIDNHLebanon,99,18943,9382.83,8133.74
DRG194,PID470011,RIDNHLebanon,38,13734.73,8515.5,7749.39
DRG195,PID300003,RIDNHLebanon,17,11961.35,6622.17,5960.05
DRG195,PID300019,RIDNHLebanon,14,12861.64,5174.64,4128.07
DRG195,PID470011,RIDNHLebanon,30,11016.16,6558.63,4841.86
DRG202,PID300003,RIDNHLebanon,12,14903.91,7879,7043.33
DRG207,PID300003,RIDNHLebanon,28,131069.67,51065.75,49616.82
DRG208,PID300003,RIDNHLebanon,64,49140.53,22129.81,20557.23
DRG208,PID300019,RIDNHLebanon,12,31906.16,14763,13914
DRG238,PID300003,RIDNHLebanon,114,60150.29,27590.86,26149.85
DRG243,PID300003,RIDNHLebanon,43,36176.27,22773.69,21989.16
DRG244,PID300003,RIDNHLebanon,34,26262.44,18100.58,17145.41
DRG291,PID300019,RIDNHLebanon,40,18626.97,10587.7,8982.75
DRG246,PID300003,RIDNHLebanon,42,57163.97,28552.21,26889.73
DRG247,PID300003,RIDNHLebanon,163,43800.87,17669.19,15956.71
DRG249,PID300003,RIDNHLebanon,67,45050.13,16048.02,14560.2
DRG251,PID300003,RIDNHLebanon,32,38036.53,16048.15,15205.15
DRG252,PID300003,RIDNHLebanon,23,77987.52,29237.26,28040.91
DRG253,PID300003,RIDNHLebanon,75,44681.33,21562.85,20712.36
DRG254,PID300003,RIDNHLebanon,43,31575.32,14343.02,13326.74
DRG280,PID300003,RIDNHLebanon,55,39676.03,17050.16,16293.87
DRG280,PID300019,RIDNHLebanon,13,16772.23,11782.76,10737.38
DRG281,PID300003,RIDNHLebanon,67,25580.92,10924.92,9998.82
DRG281,PID300019,RIDNHLebanon,15,14847.6,8076.66,7173.2
DRG282,PID300003,RIDNHLebanon,41,19258.97,7631.14,6250.24
DRG282,PID300019,RIDNHLebanon,12,9263.58,5694.5,5222.83
DRG286,PID300003,RIDNHLebanon,41,55298.75,19431.7,18858.9
DRG287,PID300003,RIDNHLebanon,162,26867.43,10134.35,8740.11
DRG291,PID300003,RIDNHLebanon,55,26731.18,13672.12,12921.25
DRG292,PID300003,RIDNHLebanon,116,20988.32,9652.02,9034.64
DRG292,PID300019,RIDNHLebanon,44,14329.54,7100.65,6490.47
DRG293,PID300003,RIDNHLebanon,17,12368.94,7400.94,5129.29
DRG293,PID300019,RIDNHLebanon,16,9941.06,4806,4242
DRG300,PID300003,RIDNHLebanon,26,15469.8,8908.76,7655.26
DRG303,PID300003,RIDNHLebanon,16,10347.12,5520,4280.56
DRG303,PID300019,RIDNHLebanon,12,13384.58,4275,3803.33
DRG305,PID300003,RIDNHLebanon,13,12688.69,5756.53,4898.07
DRG308,PID300003,RIDNHLebanon,45,23680.82,12104.06,10942.51
DRG308,PID300019,RIDNHLebanon,15,16910.26,9048,8146.66
DRG309,PID300003,RIDNHLebanon,80,14603.3,7765.45,6758.5
DRG309,PID300019,RIDNHLebanon,26,13225.46,6021.69,5285.23
DRG310,PID300003,RIDNHLebanon,59,10080.25,5353.05,4377.49
DRG310,PID300019,RIDNHLebanon,12,9696.91,4142.5,3009.41
DRG312,PID300003,RIDNHLebanon,40,12811.3,6593.22,5849.67
DRG312,PID300019,RIDNHLebanon,15,11283.6,5325.86,4280.73
DRG313,PID300003,RIDNHLebanon,53,12378.92,5114.15,4351.28
DRG314,PID300003,RIDNHLebanon,43,48200.09,21970.25,17944.09
DRG315,PID300003,RIDNHLebanon,27,15416.81,8735.74,8027.74
DRG329,PID300003,RIDNHLebanon,61,96057.95,46516,44545.39
DRG330,PID300003,RIDNHLebanon,75,45243.13,22543.77,21353.26
DRG330,PID300019,RIDNHLebanon,11,42209.54,18941,18129.36
DRG372,PID300003,RIDNHLebanon,21,27702.85,12434.14,11726
DRG377,PID300003,RIDNHLebanon,27,38779.14,17631.81,16110.55
DRG377,PID300019,RIDNHLebanon,18,24482.5,11699.66,10789.55
DRG378,PID300003,RIDNHLebanon,76,17541.65,9374.53,8652.27
DRG378,PID300019,RIDNHLebanon,55,16451.23,7119.89,6223.01
DRG378,PID470011,RIDNHLebanon,19,17510.26,8609.89,8017.47
DRG379,PID470011,RIDNHLebanon,11,15428.27,6278.81,5464.27
DRG389,PID300003,RIDNHLebanon,33,20897.57,8880.75,8270.09
DRG389,PID300019,RIDNHLebanon,17,17585.58,7028.35,5961.52
DRG390,PID300003,RIDNHLebanon,17,13393.64,6114.05,4455.7
DRG391,PID300003,RIDNHLebanon,19,23400.52,10808.05,10452.26
DRG392,PID300003,RIDNHLebanon,99,15544.31,6737.02,5801.08
DRG392,PID300019,RIDNHLebanon,33,12617.36,5260,4271.03
DRG392,PID470011,RIDNHLebanon,18,13420.38,6724.44,5978.66
DRG394,PID300003,RIDNHLebanon,34,20017.76,9487.02,8280.08
