drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID300001,RIDNHManchester,19,28318.15,7040.52,5521.89
DRG039,PID300005,RIDNHManchester,37,23444.72,6748,5686.7
DRG039,PID300011,RIDNHManchester,11,25351.72,8377.81,4639.72
DRG039,PID300012,RIDNHManchester,26,14912.42,6618.42,5368.5
DRG039,PID300023,RIDNHManchester,22,22618.45,6079,5105.72
DRG039,PID300029,RIDNHManchester,19,32770.57,6259.57,4821.05
DRG039,PID300034,RIDNHManchester,39,23335.79,6535.76,4957.28
DRG057,PID300001,RIDNHManchester,28,16179.28,5760.32,4917.03
DRG057,PID300011,RIDNHManchester,16,15328.25,5820.56,4973.5
DRG057,PID300012,RIDNHManchester,27,13368.74,5510.55,4637.22
DRG057,PID300023,RIDNHManchester,15,17148,5440.2,4467.66
DRG057,PID300029,RIDNHManchester,11,16830.18,5261.18,4343.72
DRG057,PID300034,RIDNHManchester,20,19743.85,5154.6,4258.6
DRG064,PID300001,RIDNHManchester,31,23464.96,11256.41,10713.83
DRG064,PID300011,RIDNHManchester,23,29247.13,10334.65,9504.91
DRG064,PID300012,RIDNHManchester,19,21773.47,10900.57,10194.05
DRG064,PID300017,RIDNHManchester,11,26628.9,10747.18,8663.9
DRG064,PID300020,RIDNHManchester,17,27064,11395.23,10735
DRG064,PID300023,RIDNHManchester,16,22616.31,10772.56,9874.5
DRG064,PID300029,RIDNHManchester,12,39066.16,10929.75,10088.75
DRG064,PID300034,RIDNHManchester,16,22468,10308.56,9679.81
DRG065,PID300001,RIDNHManchester,54,20840.05,7454.88,6258.38
DRG065,PID300005,RIDNHManchester,19,22595.42,7448.42,6566.52
DRG065,PID300011,RIDNHManchester,43,20108.48,7236.95,6372.67
DRG065,PID300012,RIDNHManchester,38,17530.94,6727.78,5812.73
DRG065,PID300017,RIDNHManchester,14,28771.14,6342.21,5381.07
DRG065,PID300020,RIDNHManchester,31,19423.32,7228.67,5757.51
DRG065,PID300023,RIDNHManchester,29,17442.17,7044.51,5647.41
DRG065,PID300029,RIDNHManchester,26,28660.38,7002.26,5843.8
DRG065,PID300034,RIDNHManchester,23,18671.08,6852.34,5542.34
DRG066,PID300001,RIDNHManchester,39,17760.74,5476.87,4247.48
DRG066,PID300005,RIDNHManchester,11,20441.9,5195.63,4378.18
DRG066,PID300011,RIDNHManchester,13,17502.76,5580.3,3797.76
DRG066,PID300012,RIDNHManchester,23,13268.69,5038.73,4012.13
DRG066,PID300017,RIDNHManchester,14,26412,4893,3929.57
DRG066,PID300020,RIDNHManchester,16,19459.75,5294.25,3741.68
DRG066,PID300023,RIDNHManchester,16,13329.62,5195.12,3287.68
DRG066,PID300029,RIDNHManchester,16,30355.62,5334.31,3677.93
DRG066,PID300034,RIDNHManchester,13,17174.76,4708.46,3670.92
DRG069,PID300001,RIDNHManchester,35,14166.17,4762.25,3831.62
DRG069,PID300011,RIDNHManchester,20,17371.4,4623.55,3777.75
DRG069,PID300012,RIDNHManchester,27,14650.33,4633.48,3712.29
DRG069,PID300023,RIDNHManchester,28,13281.89,4579.42,3203.14
DRG069,PID300029,RIDNHManchester,17,20099.52,5430.52,3192
DRG069,PID300034,RIDNHManchester,20,12395.45,4373,3415.6
DRG074,PID300001,RIDNHManchester,12,16678.08,5686.5,4931.83
DRG074,PID300023,RIDNHManchester,14,12203.07,6557.57,2970.28
DRG074,PID300034,RIDNHManchester,15,14680.86,5148,4772.8
DRG101,PID300001,RIDNHManchester,15,15363.26,4911.86,4159.33
DRG101,PID300011,RIDNHManchester,11,17007.36,4876.09,4364.45
DRG101,PID300012,RIDNHManchester,27,12386.07,5087.62,3930.85
DRG101,PID300020,RIDNHManchester,11,14446.63,5834.45,3694.81
