drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID310001,RIDNJHackensack,47,46364.04,7874.87,6641.76
DRG039,PID310045,RIDNJHackensack,23,23116.73,7858.47,6879.69
DRG057,PID310001,RIDNJHackensack,51,58009.82,7631.64,6841.39
DRG057,PID310003,RIDNJHackensack,37,68194.89,8795.16,7984.51
DRG057,PID310006,RIDNJHackensack,22,31870.09,7053.5,6234.59
DRG057,PID310008,RIDNJHackensack,43,30180.67,6568.37,5810.13
DRG057,PID310040,RIDNJHackensack,19,48998.63,8601.21,7896.36
DRG057,PID310045,RIDNJHackensack,37,49704.29,7271.24,6301.72
DRG057,PID330104,RIDNJHackensack,31,23216.48,6969.22,6135.54
DRG064,PID310001,RIDNJHackensack,79,83898.1,15651.75,13120.4
DRG064,PID310003,RIDNJHackensack,12,114831.83,16485.16,15738.5
DRG064,PID310006,RIDNJHackensack,22,86103.63,15365,14494.59
DRG064,PID310008,RIDNJHackensack,40,72945.87,13263.4,12182.65
DRG064,PID310045,RIDNJHackensack,53,83761,14120.81,13148.88
DRG064,PID330104,RIDNJHackensack,34,67207.7,14450.5,13509.14
DRG065,PID310001,RIDNJHackensack,139,61402.91,9277.48,8105.54
DRG065,PID310003,RIDNJHackensack,31,54441.41,9994,9088.32
DRG065,PID310006,RIDNJHackensack,49,54277.61,9097.77,8117.26
DRG065,PID310008,RIDNJHackensack,64,39522.57,8329.79,7245.06
DRG065,PID310040,RIDNJHackensack,17,65839.58,11028.35,10238.7
DRG065,PID310045,RIDNJHackensack,75,57268.68,8860.28,7924.88
DRG065,PID330104,RIDNJHackensack,42,35802.3,9085.57,7856.47
DRG066,PID310001,RIDNJHackensack,65,49445.72,6618.92,5496.9
DRG066,PID310006,RIDNJHackensack,11,40431.72,9945.63,5129
DRG066,PID310008,RIDNJHackensack,39,29357.71,6004.41,4551.46
DRG066,PID310045,RIDNJHackensack,43,37100.81,6389,5425.34
DRG066,PID330104,RIDNJHackensack,38,30165.81,6342.42,5513.36
DRG069,PID310001,RIDNJHackensack,73,41797.97,5865.28,5006.54
DRG069,PID310003,RIDNJHackensack,45,35371.37,6262,5312.48
DRG069,PID310006,RIDNJHackensack,52,34633.96,5746.88,4690.03
DRG069,PID310008,RIDNJHackensack,94,24076.94,5260.72,4126.6
DRG069,PID310040,RIDNJHackensack,22,44488.45,6930.31,6111.4
DRG069,PID310045,RIDNJHackensack,58,33969.43,5815.1,4685.34
DRG069,PID310118,RIDNJHackensack,19,79521.57,5913.42,5023.1
DRG069,PID330104,RIDNJHackensack,58,23966.63,5724.63,4573.15
DRG074,PID310001,RIDNJHackensack,25,48124.64,6786.32,5845.68
DRG074,PID310003,RIDNJHackensack,11,38542.54,7372,6454.54
DRG074,PID310008,RIDNJHackensack,28,28033.17,6100.89,4893.42
DRG074,PID310045,RIDNJHackensack,12,29203.41,6734.5,5990.5
DRG074,PID330104,RIDNJHackensack,13,20347.69,6709.07,5753.69
DRG101,PID310001,RIDNJHackensack,71,74985.78,6689.32,5842.94
DRG101,PID310003,RIDNJHackensack,26,44009.57,6454.3,5659.3
DRG101,PID310006,RIDNJHackensack,20,31680.3,5916.95,5014.55
DRG101,PID310008,RIDNJHackensack,48,29674.2,5554.35,4596.97
DRG101,PID310040,RIDNJHackensack,19,28896.73,6939.26,6055.68
DRG101,PID310045,RIDNJHackensack,25,31057.04,5931.88,5113.2
DRG101,PID330104,RIDNJHackensack,47,21415.17,5894.25,4859.17
DRG149,PID310001,RIDNJHackensack,23,40961.47,5148.34,3972.73
DRG149,PID310003,RIDNJHackensack,28,27318.25,5473,4587
DRG149,PID310006,RIDNJHackensack,15,27816.26,5026.53,3978.53
DRG149,PID310008,RIDNJHackensack,49,21649.55,4663.48,3457.67
DRG149,PID310040,RIDNJHackensack,11,33043.72,6009.09,4885.81
DRG149,PID310045,RIDNJHackensack,27,22311,4943.7,3879.85
DRG149,PID310118,RIDNJHackensack,12,55699.83,4803,3959.33
DRG149,PID330104,RIDNJHackensack,40,23263.8,4978.1,3832.05
DRG176,PID310001,RIDNJHackensack,41,56498.51,8280,7089.9
DRG176,PID310045,RIDNJHackensack,24,66879.54,8368.58,7807.91
DRG177,PID310001,RIDNJHackensack,190,96919.35,16035.46,15458.22
DRG177,PID310003,RIDNJHackensack,25,85247.48,16724.16,16319.2
DRG177,PID310006,RIDNJHackensack,33,73880.27,15450.36,14752.96
DRG177,PID310008,RIDNJHackensack,62,80930.38,14687.22,14254.62
DRG177,PID310045,RIDNJHackensack,62,101372.77,15813.37,15252.01
DRG177,PID330104,RIDNJHackensack,36,56598.61,15169.72,14543.5
DRG178,PID310001,RIDNJHackensack,61,66820.77,11746.98,10301.62
DRG178,PID310003,RIDNJHackensack,24,78372.83,12705.62,12073.87
DRG178,PID310008,RIDNJHackensack,47,49532.55,10399.29,9722.29
DRG178,PID310045,RIDNJHackensack,32,80399.25,12063.21,11333.18
DRG178,PID330104,RIDNJHackensack,41,40099.95,11221.39,10672.31
DRG189,PID310001,RIDNJHackensack,107,81147.9,10704.44,9727.86
DRG189,PID310003,RIDNJHackensack,13,50610.69,10972,10536.61
DRG189,PID310006,RIDNJHackensack,21,62137.47,10581.71,9768.28
DRG189,PID310008,RIDNJHackensack,20,49959.85,9327.25,8127.55
DRG189,PID310040,RIDNJHackensack,15,102117.6,12947.13,12021.93
DRG189,PID310045,RIDNJHackensack,43,70579.13,10157.9,9567.2
DRG189,PID310118,RIDNJHackensack,15,162182.8,10277.6,9602.66
DRG189,PID330104,RIDNJHackensack,76,62514,10512.26,9918.01
DRG190,PID310001,RIDNJHackensack,136,74750.59,9900.08,8974.97
DRG190,PID310003,RIDNJHackensack,76,63847.52,9972.97,9008.76
DRG190,PID310006,RIDNJHackensack,56,46489.69,9281.69,8321.69
DRG190,PID310008,RIDNJHackensack,130,40750.69,8637.18,7545.16
DRG190,PID310040,RIDNJHackensack,35,70378.14,11340.91,10570.17
DRG190,PID310045,RIDNJHackensack,73,75470.08,9769.71,9090.1
DRG190,PID310058,RIDNJHackensack,11,47482.9,11432.27,11226.45
DRG190,PID330104,RIDNJHackensack,77,46654.02,9201.02,8476.28
DRG191,PID310001,RIDNJHackensack,88,60440.9,7802.23,6991.94
DRG191,PID310003,RIDNJHackensack,76,47436.52,8263.92,7486.15
DRG191,PID310006,RIDNJHackensack,62,47164.25,7641.62,6855.72
DRG191,PID310008,RIDNJHackensack,116,34183.83,6973.05,6109.18
DRG191,PID310040,RIDNJHackensack,28,49684.17,9116.96,8275.96
DRG191,PID310045,RIDNJHackensack,68,51841.94,7793.7,7087.69
DRG191,PID310118,RIDNJHackensack,25,70578,7724.72,6245.84
DRG191,PID330104,RIDNJHackensack,99,42962.07,7452.66,6557.21
DRG192,PID310001,RIDNJHackensack,47,46568.91,6047.06,4794.31
DRG192,PID310003,RIDNJHackensack,54,36104.18,6201.27,5311.2
DRG192,PID310006,RIDNJHackensack,29,31364.89,5707.86,4854.62
DRG192,PID310008,RIDNJHackensack,78,26858.17,5289.34,4250.76
DRG192,PID310040,RIDNJHackensack,68,42568.22,6836.94,6010.7
DRG192,PID310045,RIDNJHackensack,63,43928.5,5863.49,4933
DRG192,PID310118,RIDNJHackensack,30,60115.66,5429.16,4681.96
DRG192,PID330104,RIDNJHackensack,81,31424.9,5588.35,4779.11
