drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID310015,RIDNJMorristown,73,19403.26,7819.89,6298.52
DRG039,PID310050,RIDNJMorristown,24,28231.41,6611.91,5660.95
DRG039,PID310051,RIDNJMorristown,13,24010,8255.84,5689.46
DRG057,PID310015,RIDNJMorristown,17,34580.52,7218.64,6292.05
DRG057,PID310028,RIDNJMorristown,19,36996,5735.73,4584.1
DRG057,PID310050,RIDNJMorristown,31,36954.67,6126.48,5295.9
DRG057,PID310051,RIDNJMorristown,34,29444,7180.61,6012.29
DRG064,PID310015,RIDNJMorristown,58,54799.86,14429.48,12748.89
DRG064,PID310028,RIDNJMorristown,14,98261.57,12111.92,11388.78
DRG064,PID310050,RIDNJMorristown,29,74536.17,12277.75,11621.89
DRG064,PID310051,RIDNJMorristown,105,63023.41,14102.76,13155.97
DRG064,PID310115,RIDNJMorristown,19,86669.47,12987.57,12223.21
DRG065,PID310015,RIDNJMorristown,112,40812.28,9444.19,7791.58
DRG065,PID310028,RIDNJMorristown,32,65255.84,7808,6963
DRG065,PID310050,RIDNJMorristown,63,50809.84,7498.15,6588.38
DRG065,PID310051,RIDNJMorristown,137,37183.72,8882.45,7530.75
DRG065,PID310115,RIDNJMorristown,25,61820.88,7647.92,6616.72
DRG065,PID330135,RIDNJMorristown,14,45588.28,9130.85,8172
DRG066,PID310015,RIDNJMorristown,52,27474.21,6625.23,5228.84
DRG066,PID310028,RIDNJMorristown,23,52301.43,5424.17,4353.91
DRG066,PID310050,RIDNJMorristown,37,41469.45,5424.97,4340.24
DRG066,PID310051,RIDNJMorristown,62,28717.59,6481.82,5043.4
DRG069,PID310015,RIDNJMorristown,76,27587.25,5870.47,4718.97
DRG069,PID310028,RIDNJMorristown,48,42602.87,5904.37,3974.97
DRG069,PID310050,RIDNJMorristown,97,33123.89,4897.12,3855.1
DRG069,PID310051,RIDNJMorristown,99,27330.22,5736.24,4610.18
DRG069,PID310115,RIDNJMorristown,52,46204.51,4891.03,3938.73
DRG069,PID330135,RIDNJMorristown,18,32043.22,5725.22,4724.33
DRG074,PID310015,RIDNJMorristown,13,33841.46,6903.3,6301.15
DRG074,PID310028,RIDNJMorristown,14,52650.57,5759,4952.71
DRG074,PID310050,RIDNJMorristown,22,38843.18,5759.09,4840.18
DRG074,PID310051,RIDNJMorristown,13,33715,6704.61,6015.38
DRG101,PID310015,RIDNJMorristown,53,29465.96,6030.35,5167.54
DRG101,PID310028,RIDNJMorristown,37,42116.16,5392,4173.51
DRG101,PID310050,RIDNJMorristown,23,33716.69,5032.47,3817.86
DRG101,PID310051,RIDNJMorristown,107,53177.73,6387.45,4695.21
DRG101,PID310115,RIDNJMorristown,15,31209.73,5770.46,3667.2
DRG101,PID330135,RIDNJMorristown,19,26615.05,5716.36,5013.21
DRG149,PID310015,RIDNJMorristown,16,22388.12,5059.87,4073.37
DRG149,PID310028,RIDNJMorristown,19,41417.52,4809,3104.42
DRG149,PID310050,RIDNJMorristown,17,33543.35,4757.29,3166.23
DRG149,PID310051,RIDNJMorristown,25,22187.08,5150.92,3355.92
DRG149,PID310115,RIDNJMorristown,15,35684.06,4274,3299.33
DRG149,PID330135,RIDNJMorristown,11,20691.45,5019.72,3890.63
DRG176,PID310015,RIDNJMorristown,38,42130.13,8444.34,7448.65
DRG176,PID310028,RIDNJMorristown,18,79592,7165,6288.11
DRG176,PID310050,RIDNJMorristown,22,52756.13,7149.63,6420.77
DRG176,PID310051,RIDNJMorristown,23,29758.52,8061.3,6813.82
DRG177,PID310015,RIDNJMorristown,104,64604.69,16506.29,14987.72
DRG177,PID310028,RIDNJMorristown,31,95547.19,13340.45,12132.96
DRG177,PID310050,RIDNJMorristown,43,73581.76,13367.97,12648.11
DRG177,PID310051,RIDNJMorristown,66,55168.21,15435.43,14203.51
DRG178,PID310015,RIDNJMorristown,88,43385.95,11305.2,10315.76
DRG178,PID310028,RIDNJMorristown,25,79336.6,9422.2,8700.28
DRG178,PID310050,RIDNJMorristown,48,60042.64,9630.87,8936.33
DRG178,PID310051,RIDNJMorristown,54,37634.51,11056.7,9738.18
DRG189,PID310015,RIDNJMorristown,65,60761.61,10521.66,9458.76
DRG189,PID310028,RIDNJMorristown,42,77366.71,8572,8013.5
DRG189,PID310050,RIDNJMorristown,48,51147.31,8582,7789.62
DRG189,PID310051,RIDNJMorristown,36,35659.3,9911.16,8767.36
DRG189,PID310115,RIDNJMorristown,54,75421.27,9052.03,8065.35
DRG189,PID330135,RIDNJMorristown,14,39345.35,9673.71,9269.42
DRG190,PID310015,RIDNJMorristown,121,46290.46,10490.12,8266.61
DRG190,PID310028,RIDNJMorristown,75,65230.45,7929.56,7030
DRG190,PID310050,RIDNJMorristown,95,47464.4,7698.88,6888.41
DRG190,PID310051,RIDNJMorristown,94,45307.18,9840.93,8307.34
DRG190,PID310115,RIDNJMorristown,53,83103.77,8710.3,7849.5
DRG190,PID310120,RIDNJMorristown,18,44036.94,7819.5,7070.16
DRG190,PID330135,RIDNJMorristown,45,36523.33,9184.4,8486.08
DRG191,PID310015,RIDNJMorristown,84,39841.86,7865.95,6753.4
DRG191,PID310028,RIDNJMorristown,80,52709.63,6515,5801.68
DRG191,PID310050,RIDNJMorristown,99,44864.5,6489.95,5409.44
DRG191,PID310051,RIDNJMorristown,70,33133.81,7678.82,6557.02
DRG191,PID310115,RIDNJMorristown,47,57832.14,6512.08,5749.53
DRG191,PID330135,RIDNJMorristown,38,27004.97,7649.47,6819.57
DRG192,PID310015,RIDNJMorristown,54,26992.31,5904.27,4701.38
DRG192,PID310028,RIDNJMorristown,77,47158.02,5026.93,3889.11
DRG192,PID310050,RIDNJMorristown,82,33973.23,4780.4,3869.4
DRG192,PID310051,RIDNJMorristown,32,23277.03,5548.15,4532.28
DRG192,PID310120,RIDNJMorristown,21,27965.71,4971.61,3562.71
DRG192,PID330135,RIDNJMorristown,23,22994.82,5673.34,4846.39
DRG193,PID310015,RIDNJMorristown,100,53470.4,11628.25,10432.04
DRG193,PID310028,RIDNJMorristown,59,92655.67,9783.47,8879.61
DRG193,PID310050,RIDNJMorristown,38,64984.89,9863.73,9155.52
DRG193,PID310051,RIDNJMorristown,121,46611.56,11674.75,10532.63
DRG193,PID310115,RIDNJMorristown,22,82792.4,9898,9082
DRG193,PID330135,RIDNJMorristown,30,48094.3,11617.86,10445.13
DRG194,PID310015,RIDNJMorristown,177,37171.21,8168.72,6825.81
DRG194,PID310028,RIDNJMorristown,107,60670.7,6966.22,5723.86
DRG194,PID310050,RIDNJMorristown,125,42511.77,6923.48,5744.65
DRG194,PID310051,RIDNJMorristown,176,32047.03,7985.57,6560.92
DRG194,PID310115,RIDNJMorristown,46,56032.97,6734.86,5856.6
DRG194,PID310120,RIDNJMorristown,13,39419.84,6544.38,5218.69
DRG194,PID330135,RIDNJMorristown,36,40328.33,8245.72,6749.5
DRG195,PID310015,RIDNJMorristown,67,24053,5629.7,4512.4
DRG195,PID310028,RIDNJMorristown,30,40940.6,5353.66,3670.03
DRG195,PID310050,RIDNJMorristown,60,34260.36,5178.56,3709
DRG195,PID310051,RIDNJMorristown,48,22770.18,5667.45,4152.72
DRG195,PID310115,RIDNJMorristown,11,40277.81,4706.9,3789.45
DRG202,PID310015,RIDNJMorristown,26,35221,7153,5060.92
DRG202,PID310028,RIDNJMorristown,17,54639.58,6255.29,4642.35
DRG202,PID310050,RIDNJMorristown,30,39111.1,5764.6,4550.73
DRG202,PID310051,RIDNJMorristown,50,26876.56,6670.44,5516.52
DRG203,PID310050,RIDNJMorristown,16,30574.5,4108.93,2859.56
DRG207,PID310015,RIDNJMorristown,25,177743.84,40808.28,40092.76
DRG207,PID310050,RIDNJMorristown,19,148227.36,31162.52,29830.05
DRG207,PID310051,RIDNJMorristown,21,183129.28,41782.9,38131.85
DRG207,PID330135,RIDNJMorristown,13,156141.46,39224.07,37400.3
DRG208,PID310015,RIDNJMorristown,33,94457.84,18923.18,14540.6
DRG208,PID310028,RIDNJMorristown,28,114721.64,17978.92,13070.6
DRG208,PID310050,RIDNJMorristown,39,65949.3,14985.53,14321.23
DRG208,PID310051,RIDNJMorristown,56,71800.46,17821.46,16120.62
DRG208,PID330135,RIDNJMorristown,14,75723.35,18293.78,15017.35
DRG238,PID310015,RIDNJMorristown,114,84327.78,24014.22,21533.85
DRG238,PID310051,RIDNJMorristown,25,65133.32,22740.2,19166.88
DRG243,PID310015,RIDNJMorristown,63,76240.69,20581.04,18674.41
DRG243,PID310028,RIDNJMorristown,14,86122.64,17740,16940.57
DRG243,PID310050,RIDNJMorristown,30,60309.5,17314.73,16304.46
DRG243,PID310051,RIDNJMorristown,18,65122.77,19990.77,19363.66
DRG243,PID310115,RIDNJMorristown,17,76702.17,17491.58,16568.76
DRG244,PID310015,RIDNJMorristown,57,53266.36,15769.71,13758.35
DRG244,PID310050,RIDNJMorristown,21,50782.85,13651.85,12582.9
DRG244,PID310051,RIDNJMorristown,13,47872.61,15261.76,13325.07
DRG246,PID310015,RIDNJMorristown,58,99054.25,26015.74,22313.82
DRG247,PID310015,RIDNJMorristown,236,70934.16,15429.41,12974.4
DRG249,PID310015,RIDNJMorristown,109,63781.52,13615.74,12254.91
DRG249,PID310051,RIDNJMorristown,12,68973.58,13597.66,11235.83
DRG252,PID310051,RIDNJMorristown,33,107546.75,24212.06,23598.48
