drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID310038,RIDNJNewBrunswick,40,30612.37,8499.1,7490.7
DRG039,PID310048,RIDNJNewBrunswick,16,28737.5,6423.81,5791.06
DRG039,PID310070,RIDNJNewBrunswick,18,43642.83,8146.11,6977.38
DRG039,PID310108,RIDNJNewBrunswick,21,33279.33,7069.71,6197.33
DRG057,PID310010,RIDNJNewBrunswick,40,35445.85,6844.1,5930
DRG057,PID310038,RIDNJNewBrunswick,41,66228.34,8386.04,7509.53
DRG057,PID310039,RIDNJNewBrunswick,39,43302.97,7479.35,6743.71
DRG057,PID310048,RIDNJNewBrunswick,26,64705.34,5907.38,4844.15
DRG057,PID310070,RIDNJNewBrunswick,21,53353.23,7576.33,6823.19
DRG057,PID310108,RIDNJNewBrunswick,22,54791.81,7374.59,6248.31
DRG064,PID310010,RIDNJNewBrunswick,21,64618.47,12969.28,12165.33
DRG064,PID310038,RIDNJNewBrunswick,82,119931.08,18037.37,17168.17
DRG064,PID310039,RIDNJNewBrunswick,38,96376.71,14421.5,13451.84
DRG064,PID310048,RIDNJNewBrunswick,34,131472,13990.85,13199.29
DRG064,PID310070,RIDNJNewBrunswick,22,125597.18,16756.5,15276.54
DRG064,PID310108,RIDNJNewBrunswick,58,72828.44,13533.12,12736.2
DRG065,PID310010,RIDNJNewBrunswick,56,40554.5,7873.76,6854.89
DRG065,PID310038,RIDNJNewBrunswick,73,63788.97,10100.56,9256.87
DRG065,PID310039,RIDNJNewBrunswick,43,58564.76,9176.16,8396.06
DRG065,PID310048,RIDNJNewBrunswick,82,97190.25,8297.73,7177.93
DRG065,PID310070,RIDNJNewBrunswick,42,76836.26,9967.35,8262.8
DRG065,PID310108,RIDNJNewBrunswick,105,51652.65,8204.99,7142.78
DRG066,PID310010,RIDNJNewBrunswick,39,36227.66,6449.66,4448.35
DRG066,PID310038,RIDNJNewBrunswick,44,40960.63,6967.02,5948.11
DRG066,PID310039,RIDNJNewBrunswick,23,51190.26,6846.17,5260.65
DRG066,PID310048,RIDNJNewBrunswick,47,73589.55,5375.51,4467.78
DRG066,PID310070,RIDNJNewBrunswick,16,51337.25,6810.12,5690.12
DRG066,PID310108,RIDNJNewBrunswick,57,41416.1,5938.07,5051.68
DRG069,PID310010,RIDNJNewBrunswick,43,27588.13,4993.32,3787.69
DRG069,PID310038,RIDNJNewBrunswick,90,48459.91,6675.77,5765.05
DRG069,PID310039,RIDNJNewBrunswick,74,46619.6,5856.36,4942.25
