drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID310009,RIDNJNewark,13,29227.61,7592.84,6639.92
DRG039,PID310076,RIDNJNewark,16,28254.37,7979,6892.43
DRG057,PID310002,RIDNJNewark,33,54475.54,10834.21,9900.57
DRG057,PID310009,RIDNJNewark,32,41672.93,6933.34,6129.71
DRG057,PID310016,RIDNJNewark,16,101715.06,11077.06,9524.56
DRG057,PID310024,RIDNJNewark,14,47371.21,5507.14,4622.28
DRG057,PID310025,RIDNJNewark,13,128464.69,6503.3,5644.84
DRG057,PID310027,RIDNJNewark,19,35157.1,7753.15,6690.84
DRG057,PID310054,RIDNJNewark,18,27899.66,7960,7216
DRG057,PID310074,RIDNJNewark,14,36504.71,9334,8525.42
DRG057,PID310076,RIDNJNewark,31,55114.96,8816.77,7092.87
DRG057,PID310096,RIDNJNewark,19,30605.47,8844.05,7963.84
DRG057,PID310119,RIDNJNewark,12,41040.58,12385.91,11450.58
DRG064,PID310002,RIDNJNewark,24,92816.33,20325.66,19666.66
DRG064,PID310009,RIDNJNewark,39,85679.89,13671.28,12722.84
DRG064,PID310016,RIDNJNewark,23,140717.3,18546.82,16809.78
DRG064,PID310024,RIDNJNewark,22,121806.95,11237.45,10422.95
DRG064,PID310025,RIDNJNewark,19,137207.31,12235.42,11528.89
DRG064,PID310027,RIDNJNewark,43,72974.02,15023.95,13927.88
DRG064,PID310054,RIDNJNewark,33,62071.54,14979.81,14333.87
DRG064,PID310074,RIDNJNewark,23,62678.52,17282.56,16400.82
DRG064,PID310076,RIDNJNewark,72,91166.97,16150.23,14947.3
DRG064,PID310083,RIDNJNewark,20,69931.3,13688.35,13073.75
DRG064,PID310096,RIDNJNewark,18,44152.94,16507.33,15919.66
DRG064,PID310119,RIDNJNewark,31,115570.67,27339.54,26286.77
DRG065,PID310002,RIDNJNewark,50,75203.22,13246.18,12302.98
DRG065,PID310009,RIDNJNewark,45,49695.46,8503.06,7439.22
DRG065,PID310016,RIDNJNewark,32,85469.81,10140.18,9438.68
DRG065,PID310024,RIDNJNewark,37,82635,7105,6164.35
DRG065,PID310025,RIDNJNewark,24,162922.5,18080.41,6938.5
DRG065,PID310027,RIDNJNewark,37,53143.1,9611.51,8791.51
DRG065,PID310054,RIDNJNewark,50,46383.34,9761.86,8763.38
DRG065,PID310074,RIDNJNewark,26,65387.57,11550.03,10687.88
DRG065,PID310076,RIDNJNewark,95,59324.95,10051.77,9129.08
DRG065,PID310083,RIDNJNewark,19,50481.57,11328.21,7760.1
DRG065,PID310096,RIDNJNewark,35,40197.8,10660.17,9852.65
DRG065,PID310119,RIDNJNewark,39,60898.97,14729.05,13802.69
DRG066,PID310002,RIDNJNewark,24,61452.87,9410.41,8473.75
DRG066,PID310009,RIDNJNewark,25,43855.2,6116.64,5085.44
DRG066,PID310016,RIDNJNewark,20,49653.9,7084.8,5965.6
DRG066,PID310024,RIDNJNewark,23,80837.65,4986,3861.04
DRG066,PID310025,RIDNJNewark,20,101393.9,5667,4717.6
DRG066,PID310027,RIDNJNewark,29,39461.13,6731.58,5573.79
DRG066,PID310054,RIDNJNewark,27,35084,6857.48,5987.7
DRG066,PID310074,RIDNJNewark,29,51696.03,8105.13,7289.82
DRG066,PID310076,RIDNJNewark,41,47871.07,7462.78,5812.95
DRG066,PID310083,RIDNJNewark,17,39599.76,6287.64,5433.29
DRG066,PID310119,RIDNJNewark,16,39274.87,10379.5,9395
DRG069,PID310002,RIDNJNewark,79,55237.05,8482.51,7394.08
DRG069,PID310009,RIDNJNewark,93,41503.96,5459.07,4540.86
DRG069,PID310016,RIDNJNewark,42,53768.26,6273.14,5343.9
DRG069,PID310024,RIDNJNewark,62,56432.14,4468.45,3455.8
DRG069,PID310025,RIDNJNewark,11,120040.36,5083.27,4268.72
DRG069,PID310027,RIDNJNewark,52,33372.57,6056.98,5062.36
DRG069,PID310054,RIDNJNewark,53,32819.03,6159.35,5163.71
DRG069,PID310074,RIDNJNewark,27,42133.85,7439.96,6650.48
DRG069,PID310076,RIDNJNewark,76,41321.35,6381.09,5396.65
DRG069,PID310083,RIDNJNewark,43,36947.11,5599.72,4656.46
DRG069,PID310096,RIDNJNewark,49,30573.4,6720.55,5819.67
DRG069,PID310119,RIDNJNewark,12,33243.83,9212.25,8282.25
DRG074,PID310002,RIDNJNewark,12,54901.66,10094,9625
DRG074,PID310009,RIDNJNewark,26,43257.61,6421.46,5521.73
DRG074,PID310016,RIDNJNewark,15,45297.33,7464.86,6629.2
DRG074,PID310027,RIDNJNewark,19,30936.15,7140.05,6428.47
DRG074,PID310074,RIDNJNewark,24,43141.75,8750.87,8285.87
DRG074,PID310076,RIDNJNewark,48,50471.62,7725.68,7137.54
DRG074,PID310096,RIDNJNewark,22,26495.68,7800.18,6944.13
DRG101,PID310002,RIDNJNewark,28,59726.32,9384.78,8660.53
DRG101,PID310009,RIDNJNewark,18,44231.44,5833.5,4431.72
DRG101,PID310016,RIDNJNewark,20,50798.65,6663.2,5590.9
DRG101,PID310024,RIDNJNewark,29,53509.96,4665.34,3604.65
DRG101,PID310025,RIDNJNewark,13,97057.61,5278.84,4415.46
DRG101,PID310027,RIDNJNewark,22,30796.72,6324.45,5714.27
DRG101,PID310054,RIDNJNewark,31,33448.83,6505.29,5760.19
DRG101,PID310074,RIDNJNewark,41,42568.39,7849.6,7220.04
DRG101,PID310076,RIDNJNewark,144,71522.95,7860.74,6375.93
DRG101,PID310083,RIDNJNewark,32,34449.09,5833.9,5163.78
DRG101,PID310096,RIDNJNewark,27,29342.88,7304.92,5891.96
DRG101,PID310119,RIDNJNewark,51,27935.92,9601.84,8620.07
DRG149,PID310002,RIDNJNewark,18,42632.38,7216.94,6284.27
DRG149,PID310009,RIDNJNewark,24,35137.79,4765.66,3878.83
DRG149,PID310016,RIDNJNewark,11,54219.72,5613.09,4486.9
DRG149,PID310024,RIDNJNewark,12,55663.16,3891,2853.33
DRG149,PID310027,RIDNJNewark,14,27670.78,5298.28,4170.85
DRG149,PID310076,RIDNJNewark,32,38642.65,5723,4306.37
DRG149,PID310096,RIDNJNewark,11,16334.27,5725,4610.45
DRG176,PID310002,RIDNJNewark,16,85202.18,12343.56,11461.18
DRG176,PID310024,RIDNJNewark,17,88129.88,6501.76,5649.29
DRG176,PID310076,RIDNJNewark,19,52154.15,9240.47,8649.73
DRG177,PID310002,RIDNJNewark,16,116136.93,23797.43,23412.31
DRG177,PID310009,RIDNJNewark,26,108770.88,15116.34,14048.61
DRG177,PID310024,RIDNJNewark,28,104674.75,11823.35,11250.71
DRG177,PID310027,RIDNJNewark,14,85720.35,16829.21,16025.21
DRG177,PID310054,RIDNJNewark,18,80004.22,16955.33,16705.55
DRG177,PID310076,RIDNJNewark,41,111795.51,19790.65,17005.19
DRG177,PID310083,RIDNJNewark,14,75700.14,15216.78,14574.5
DRG178,PID310009,RIDNJNewark,28,64272.71,10472.25,9538.67
DRG178,PID310016,RIDNJNewark,19,139522,13505.73,12395.36
DRG178,PID310024,RIDNJNewark,28,80907.64,8834.78,8192.5
DRG178,PID310027,RIDNJNewark,16,66630.25,11858.93,11296.93
DRG178,PID310054,RIDNJNewark,14,65767.92,12627.35,12065.92
DRG178,PID310076,RIDNJNewark,29,69932.03,12942.06,12311.06
DRG189,PID310002,RIDNJNewark,15,82201.26,14439.46,13144.06
DRG189,PID310009,RIDNJNewark,16,68407.25,9553.37,8958
DRG189,PID310016,RIDNJNewark,23,110569.21,12056.39,11325.04
DRG189,PID310024,RIDNJNewark,16,105581.56,7801,7237
DRG189,PID310027,RIDNJNewark,17,49910.29,10605,9990.94
DRG189,PID310054,RIDNJNewark,43,71000.44,11716.6,10637.3
DRG189,PID310076,RIDNJNewark,12,75487.83,11839.58,11370.58
DRG189,PID310083,RIDNJNewark,26,46750.73,9808.07,9245.76
DRG190,PID310002,RIDNJNewark,74,75677.56,13903,12721.83
DRG190,PID310009,RIDNJNewark,107,68257.87,8780.5,7942.53
DRG190,PID310016,RIDNJNewark,52,96907.23,10452.69,9893.36
DRG190,PID310024,RIDNJNewark,53,78133.6,7198.41,6367.35
DRG190,PID310025,RIDNJNewark,39,135628.58,8001.3,7052.48
DRG190,PID310027,RIDNJNewark,51,51042.31,9676.88,8948.8
DRG190,PID310054,RIDNJNewark,49,57673.22,10490.51,9824.48
DRG190,PID310074,RIDNJNewark,41,49844.97,11164.63,10491.21
DRG190,PID310076,RIDNJNewark,94,61741.86,10557.91,9583.75
DRG190,PID310083,RIDNJNewark,73,50732.69,9103.87,8404.12
DRG190,PID310096,RIDNJNewark,70,29572.52,10596.31,9893.84
DRG190,PID310119,RIDNJNewark,28,38305.46,14282.28,13718.57
DRG191,PID310002,RIDNJNewark,101,56712.13,11005.93,10151.22
DRG191,PID310009,RIDNJNewark,138,56084.07,7238.07,6470.75
DRG191,PID310016,RIDNJNewark,65,64878.06,8480.63,7689.16
DRG191,PID310024,RIDNJNewark,54,61378.55,5929,5113.81
DRG191,PID310025,RIDNJNewark,50,111733.14,6561.48,5907.48
DRG191,PID310027,RIDNJNewark,54,36118.72,7843.62,7032.59
DRG191,PID310054,RIDNJNewark,81,42500.07,8363.6,7465.43
DRG191,PID310074,RIDNJNewark,37,41096.78,9641.83,8667.13
DRG191,PID310076,RIDNJNewark,86,55344.44,8857.8,7664.09
DRG191,PID310083,RIDNJNewark,76,42777.5,7458.96,6554.02
DRG191,PID310096,RIDNJNewark,64,31769.81,8780.85,7734.68
DRG191,PID310119,RIDNJNewark,23,33829.6,12212.56,11579.69
DRG192,PID310002,RIDNJNewark,60,49817.83,8651.58,7448.95
DRG192,PID310009,RIDNJNewark,74,40659.62,5520.68,4422.39
DRG192,PID310016,RIDNJNewark,76,52490.11,6633.73,5535.69
DRG192,PID310024,RIDNJNewark,56,50112.91,4417.21,3398.46
DRG192,PID310025,RIDNJNewark,48,99689.64,5690.18,4045.83
DRG192,PID310027,RIDNJNewark,40,34162.6,6002,5218.4
DRG192,PID310054,RIDNJNewark,28,30295.35,6196.14,5273.14
DRG192,PID310074,RIDNJNewark,54,30436.31,7312.2,6562.87
DRG192,PID310076,RIDNJNewark,43,42354.95,6849.83,5230.88
DRG192,PID310083,RIDNJNewark,60,37511.23,5528.23,4685.9
DRG192,PID310096,RIDNJNewark,57,18309.64,6408.75,5604.22
DRG193,PID310002,RIDNJNewark,52,73482.26,16336.71,15565.69
DRG193,PID310009,RIDNJNewark,57,76987.05,10849.73,10146.49
DRG193,PID310016,RIDNJNewark,26,110949.84,12815.07,12327.73
DRG193,PID310024,RIDNJNewark,28,93111.17,8756,8156.42
DRG193,PID310025,RIDNJNewark,19,123138.68,9713.05,9006.52
DRG193,PID310027,RIDNJNewark,44,67919.43,12120.61,11506.06
DRG193,PID310054,RIDNJNewark,50,57656.58,12542.2,11912.74
DRG193,PID310074,RIDNJNewark,29,51366.24,13475.24,12612.75
DRG193,PID310076,RIDNJNewark,103,76459.56,13007.65,12129.8
DRG193,PID310083,RIDNJNewark,39,61405.87,11312.84,10837.2
DRG193,PID310096,RIDNJNewark,30,48655.86,13471.8,12799
DRG193,PID310119,RIDNJNewark,11,59973,18605.36,17687.9
DRG194,PID310002,RIDNJNewark,63,77013.95,12146.07,10810.49
DRG194,PID310009,RIDNJNewark,88,54747.72,7535.48,6557.25
DRG194,PID310016,RIDNJNewark,52,75024.28,9180.84,7718.01
DRG194,PID310024,RIDNJNewark,83,60664.33,6048.08,5190.9
DRG194,PID310025,RIDNJNewark,41,123689,6952.56,6323
DRG194,PID310027,RIDNJNewark,74,49210.45,8305.35,7315.85
DRG194,PID310054,RIDNJNewark,93,40726.32,8645.73,7812.05
DRG194,PID310074,RIDNJNewark,39,43449.25,10159.17,9353.84
DRG194,PID310076,RIDNJNewark,147,57316.27,9322.91,7966.38
DRG194,PID310083,RIDNJNewark,22,53141.18,7812.4,6452.9
DRG194,PID310096,RIDNJNewark,40,31771.95,9265.72,8529.25
DRG194,PID310119,RIDNJNewark,20,37925.1,12400.55,11333.15
DRG195,PID310002,RIDNJNewark,21,54205.14,8612.66,7861.04
DRG195,PID310009,RIDNJNewark,22,43267.36,5295.22,4334.45
DRG195,PID310016,RIDNJNewark,25,43774.24,6140.04,4949.16
DRG195,PID310024,RIDNJNewark,36,50429.08,4318.11,3413.33
DRG195,PID310025,RIDNJNewark,25,88520.52,4919.36,3978.72
DRG195,PID310027,RIDNJNewark,32,37379.56,5845.28,5075.03
DRG195,PID310054,RIDNJNewark,27,26736.14,5923.4,4937.18
DRG195,PID310074,RIDNJNewark,32,35523.25,7190.37,6102.75
DRG195,PID310076,RIDNJNewark,46,41482.82,6451.43,5256.76
DRG195,PID310083,RIDNJNewark,17,40991.52,5435.35,4444.05
DRG202,PID310002,RIDNJNewark,20,37206.5,9174.1,8224.7
DRG202,PID310009,RIDNJNewark,31,45082.35,6447.7,5175.87
DRG202,PID310054,RIDNJNewark,20,35246.15,7254.15,6295.15
DRG202,PID310076,RIDNJNewark,36,49058.5,7664.25,6546.47
DRG202,PID310096,RIDNJNewark,19,22029.63,7544.26,6776.47
DRG203,PID310009,RIDNJNewark,22,33514.77,4536.04,3562.77
DRG203,PID310016,RIDNJNewark,18,29937.88,5274.16,4461.94
DRG203,PID310025,RIDNJNewark,11,61240.63,4341.27,3013.63
DRG203,PID310027,RIDNJNewark,15,23219.8,4887.66,3664.06
DRG203,PID310054,RIDNJNewark,13,37064.61,5478.07,4617.15
DRG203,PID310074,RIDNJNewark,14,22210.07,6131.92,5406.5
DRG203,PID310076,RIDNJNewark,18,50535.16,5979.94,5106.61
DRG203,PID310096,RIDNJNewark,15,17912.06,5539,4713.13
DRG207,PID310002,RIDNJNewark,20,242417.2,55877.95,55150.15
DRG207,PID310009,RIDNJNewark,37,174119.7,35400.7,34556.89
DRG207,PID310024,RIDNJNewark,38,202513.44,28825,27606.42
DRG207,PID310027,RIDNJNewark,26,205748.34,40504.07,39696.34
DRG207,PID310054,RIDNJNewark,16,183259.31,40175.87,39551.12
DRG207,PID310076,RIDNJNewark,13,241553.15,46352.46,43790.69
DRG207,PID310083,RIDNJNewark,13,229504.76,41029.23,38264.53
DRG207,PID310096,RIDNJNewark,17,110083,42160.35,41466.82
DRG208,PID310002,RIDNJNewark,57,108471.42,24009.31,22893.7
DRG208,PID310009,RIDNJNewark,33,102720.24,17387.93,16812.54
DRG208,PID310016,RIDNJNewark,23,190224.47,20756.43,19854.26
DRG208,PID310024,RIDNJNewark,36,102968.66,13676.91,13055.13
DRG208,PID310025,RIDNJNewark,11,247052.09,15646.45,15340.63
DRG208,PID310027,RIDNJNewark,31,113393.35,19302.83,18722.7
DRG208,PID310054,RIDNJNewark,24,112474.08,19090.7,18315.79
DRG208,PID310074,RIDNJNewark,36,119342.83,22931.13,22299.72
DRG208,PID310076,RIDNJNewark,53,121704.81,20493.84,19504.84
DRG208,PID310083,RIDNJNewark,23,96560.47,17328.21,16681.65
DRG208,PID310096,RIDNJNewark,22,50919.72,20034.04,19213.31
DRG208,PID310119,RIDNJNewark,14,91451.35,27954,27076
DRG238,PID310002,RIDNJNewark,26,107005.19,31471.61,28719.69
DRG238,PID310009,RIDNJNewark,19,74644.89,22597.47,21713.89
DRG238,PID310054,RIDNJNewark,12,105847.16,23985.5,22953.16
DRG238,PID310076,RIDNJNewark,40,72723.57,24739.62,23210.82
DRG243,PID310002,RIDNJNewark,22,139635.54,27827.27,26805.45
DRG243,PID310009,RIDNJNewark,24,84642,19572.41,18731.41
DRG243,PID310024,RIDNJNewark,24,131025.25,16144,15253.16
DRG243,PID310027,RIDNJNewark,14,69189.57,21721.57,20594.14
DRG243,PID310054,RIDNJNewark,17,74811,20087.23,19358.52
DRG243,PID310076,RIDNJNewark,36,105884.41,21436.72,19804.69
DRG243,PID310096,RIDNJNewark,19,155632.57,24391.31,23628.57
