drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID310019,RIDNJPaterson,25,40113.32,9261.28,8406.08
DRG057,PID310017,RIDNJPaterson,36,30018.75,6247.77,5275.66
DRG057,PID310019,RIDNJPaterson,39,80151.51,11017.61,9338.23
DRG064,PID310017,RIDNJPaterson,29,67995.17,12900.03,11976.44
DRG064,PID310019,RIDNJPaterson,66,96257.18,17855,16813.07
DRG065,PID310017,RIDNJPaterson,62,44200.16,7701.27,6759.59
DRG065,PID310019,RIDNJPaterson,121,62660.02,10751.76,9750.32
DRG066,PID310017,RIDNJPaterson,42,37855.47,5534.04,4431.23
DRG066,PID310019,RIDNJPaterson,78,45663.57,7577.02,6559.55
DRG069,PID310017,RIDNJPaterson,41,32588.19,4912.82,3864.39
DRG069,PID310019,RIDNJPaterson,147,41507.66,6821.55,5910.4
DRG074,PID310017,RIDNJPaterson,11,33813.09,5853.09,4442.9
DRG101,PID310017,RIDNJPaterson,21,36969.85,5090.28,4292.38
DRG101,PID310019,RIDNJPaterson,75,37953.18,7057.84,6307.44
DRG149,PID310017,RIDNJPaterson,16,37546.43,4235.87,3120
DRG149,PID310019,RIDNJPaterson,26,29144.42,5832.69,4932.84
DRG176,PID310017,RIDNJPaterson,39,38940.2,7082.87,6270.25
DRG176,PID310019,RIDNJPaterson,18,75395.61,9874.55,8447.11
DRG177,PID310017,RIDNJPaterson,26,69706.42,13904.03,13483.23
DRG177,PID310019,RIDNJPaterson,38,112787.52,19545.39,18930.21
DRG178,PID310017,RIDNJPaterson,34,59808.79,9961.14,9334.67
DRG178,PID310019,RIDNJPaterson,32,68782.81,14495.75,12902.06
DRG189,PID310017,RIDNJPaterson,28,48551.6,8373.39,7652.53
DRG189,PID310019,RIDNJPaterson,38,64141.71,11990.1,11569.81
DRG190,PID310017,RIDNJPaterson,52,53795.65,8138.34,7407.94
DRG190,PID310019,RIDNJPaterson,114,73399.5,11329.89,10312.85
DRG191,PID310017,RIDNJPaterson,80,46824.38,6594.25,5781.8
DRG191,PID310019,RIDNJPaterson,112,65394.97,9244.89,8505.23
DRG192,PID310017,RIDNJPaterson,74,33481.39,4864.9,3810.09
DRG192,PID310019,RIDNJPaterson,103,48567.6,6807.64,5954.49
DRG193,PID310017,RIDNJPaterson,31,64609.64,10019.35,9333.83
DRG193,PID310019,RIDNJPaterson,93,80379.73,13685.07,12881.88
DRG194,PID310017,RIDNJPaterson,118,37666.08,6793.37,5764.9
DRG194,PID310019,RIDNJPaterson,134,62004.35,9751.91,8557
DRG195,PID310017,RIDNJPaterson,43,26853.83,4739.06,3769.48
DRG195,PID310019,RIDNJPaterson,47,38856.59,6625.46,5591.27
DRG202,PID310017,RIDNJPaterson,13,24818.76,5713.92,4683.23
DRG202,PID310019,RIDNJPaterson,47,57372.44,8205.38,6945.34
DRG203,PID310017,RIDNJPaterson,18,26732.38,4064.61,3061.94
DRG203,PID310019,RIDNJPaterson,39,38296.38,5698.2,4876.1
DRG207,PID310017,RIDNJPaterson,15,161219.53,34613.2,33032.73
DRG207,PID310019,RIDNJPaterson,39,235204.79,46549.35,45766.2
DRG208,PID310017,RIDNJPaterson,41,85849.51,15123.12,14125.39
DRG208,PID310019,RIDNJPaterson,93,99601,20900.11,20285.19
DRG238,PID310017,RIDNJPaterson,20,61013.6,20657.6,19528.8
DRG238,PID310019,RIDNJPaterson,23,99266.86,27887.17,27200.91
DRG243,PID310017,RIDNJPaterson,15,80712.13,17441.06,16539.73
DRG243,PID310019,RIDNJPaterson,23,129068.17,23861.04,22535.56
DRG244,PID310017,RIDNJPaterson,11,57465.18,13635.9,12503.9
DRG244,PID310019,RIDNJPaterson,18,92751.16,18923,15804.44
DRG246,PID310019,RIDNJPaterson,26,139718.57,28368.26,27369.34
DRG247,PID310019,RIDNJPaterson,98,107972.88,17765.15,16824.82
DRG249,PID310019,RIDNJPaterson,19,93240.47,16029,15142.05
