drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID310012,RIDNJRidgewood,41,28730.92,6917.78,6039.73
DRG039,PID330158,RIDNJRidgewood,21,37392.85,8052.04,6670.57
DRG057,PID310012,RIDNJRidgewood,58,29942.29,6284.6,5374.46
DRG057,PID330158,RIDNJRidgewood,26,33856.19,7310.92,6378.53
DRG064,PID310012,RIDNJRidgewood,59,56292.71,13247.66,12542.06
DRG064,PID330158,RIDNJRidgewood,30,64533.43,14591.8,13734.6
DRG065,PID310012,RIDNJRidgewood,166,35410.47,7745.99,6853.95
DRG065,PID330158,RIDNJRidgewood,49,41941.04,8988.83,7852.48
DRG066,PID310012,RIDNJRidgewood,80,27304.33,5581.07,4555.32
DRG066,PID330158,RIDNJRidgewood,23,38362.21,6405.34,5377.34
DRG069,PID310012,RIDNJRidgewood,119,23180.15,4974.86,4080.31
DRG069,PID330158,RIDNJRidgewood,49,31111.26,5611.89,4661.69
DRG069,PID330205,RIDNJRidgewood,14,22681.07,4839.5,4037.78
DRG074,PID310012,RIDNJRidgewood,45,33187.26,5866.13,5092
DRG074,PID330158,RIDNJRidgewood,14,43201.5,7360.78,5796.14
DRG101,PID310012,RIDNJRidgewood,61,30608.52,5444.08,4180.11
DRG101,PID330158,RIDNJRidgewood,26,26480.69,5977.5,4704.61
DRG149,PID310012,RIDNJRidgewood,44,19122.84,4581.84,3119.93
DRG149,PID330158,RIDNJRidgewood,24,29329.83,5039.16,3871.12
DRG176,PID310012,RIDNJRidgewood,72,36478.15,7395.95,6300.05
DRG176,PID330158,RIDNJRidgewood,15,49831.4,8315.26,7564.86
DRG177,PID310012,RIDNJRidgewood,68,60038.04,13524.52,12766.69
DRG177,PID330158,RIDNJRidgewood,25,62872.28,15384.36,14610.96
DRG178,PID310012,RIDNJRidgewood,74,44549.95,9868.08,9232.87
DRG178,PID330158,RIDNJRidgewood,21,40182.23,11312.57,10457.71
DRG189,PID310012,RIDNJRidgewood,59,48778.89,10465.37,7677.69
DRG189,PID330158,RIDNJRidgewood,42,42229.4,9885.57,9136.23
DRG189,PID330205,RIDNJRidgewood,11,33062.63,8772,7478
DRG190,PID310012,RIDNJRidgewood,138,42216.47,8202.08,7330.72
DRG190,PID330158,RIDNJRidgewood,78,39900.78,9104.61,8310.06
DRG190,PID330205,RIDNJRidgewood,18,36478.66,7892.72,7204.5
DRG191,PID310012,RIDNJRidgewood,154,39147.84,6580.75,5785.77
DRG191,PID330158,RIDNJRidgewood,54,35205.75,7511.37,6778.5
DRG191,PID330205,RIDNJRidgewood,17,31781.7,6785.11,4761.29
DRG192,PID310012,RIDNJRidgewood,108,29052.54,4906.35,4117.75
DRG192,PID330158,RIDNJRidgewood,23,32623.26,5633.3,4999.04
DRG193,PID310012,RIDNJRidgewood,120,54873.38,10232.52,9298.56
DRG193,PID330158,RIDNJRidgewood,53,50674.09,11280.37,10359.43
DRG193,PID330205,RIDNJRidgewood,21,57112.33,9629.28,9042.42
DRG194,PID310012,RIDNJRidgewood,229,38065.81,7153.5,6056.99
DRG194,PID330158,RIDNJRidgewood,50,36111.18,7865.2,6787.96
DRG194,PID330205,RIDNJRidgewood,27,29360.07,6581.66,5545.07
DRG195,PID310012,RIDNJRidgewood,127,24841.9,4818.05,3924.35
DRG195,PID330158,RIDNJRidgewood,23,27026.17,6118.26,4466.6
DRG195,PID330205,RIDNJRidgewood,13,36497.53,4919.46,3510.46
DRG202,PID310012,RIDNJRidgewood,75,32664.12,5954.05,5055.7
DRG202,PID330158,RIDNJRidgewood,14,35499.07,6584.71,5783
DRG203,PID310012,RIDNJRidgewood,50,22632.52,4269.68,3096.54
DRG203,PID330158,RIDNJRidgewood,11,31222.72,4882.18,3394.9
DRG207,PID310012,RIDNJRidgewood,31,159168.51,37641.83,34758.67
DRG207,PID330158,RIDNJRidgewood,12,130801.33,37284.41,36018.91
DRG208,PID310012,RIDNJRidgewood,93,85177.81,16291.01,15511.75
DRG208,PID330158,RIDNJRidgewood,29,67345.1,17175.96,16519
DRG238,PID310012,RIDNJRidgewood,57,80180.73,22336.42,19111.14
DRG238,PID330158,RIDNJRidgewood,24,118216.08,23781.5,22754.5
DRG243,PID310012,RIDNJRidgewood,43,93057.48,18925.95,16741.25
DRG243,PID330158,RIDNJRidgewood,24,102162.58,20715.5,19681.83
DRG244,PID310012,RIDNJRidgewood,47,71248.4,13761.63,12795.72
DRG244,PID330158,RIDNJRidgewood,24,83876.7,15937.25,15046.41
DRG246,PID310012,RIDNJRidgewood,20,108837.1,22219.5,20872.4
DRG246,PID330158,RIDNJRidgewood,14,126416.14,23493.5,21088
DRG247,PID310012,RIDNJRidgewood,79,72644.54,14134.18,12329.81
DRG247,PID330158,RIDNJRidgewood,69,99609.18,16305.91,13597.26
DRG249,PID310012,RIDNJRidgewood,32,71889.65,12380.65,10935.75
DRG249,PID330158,RIDNJRidgewood,27,93406.03,15773.4,11678.29
DRG251,PID310012,RIDNJRidgewood,59,65337.03,12429.06,10760.71
DRG251,PID330158,RIDNJRidgewood,23,93931.65,14061,13268.17
DRG252,PID310012,RIDNJRidgewood,30,115405.1,26200.33,25316.83
DRG252,PID330158,RIDNJRidgewood,36,115901.44,23292.75,22691
DRG253,PID310012,RIDNJRidgewood,52,74902.38,16328.42,15617.94
DRG253,PID330158,RIDNJRidgewood,37,97319.4,18803.86,17692.35
DRG254,PID310012,RIDNJRidgewood,30,55041.33,11377.36,10404.83
DRG254,PID330158,RIDNJRidgewood,20,82527.35,13057.4,12219.6
DRG280,PID310012,RIDNJRidgewood,113,57713.89,13057.37,11934.58
DRG280,PID330158,RIDNJRidgewood,62,64008.14,14822.62,12613.48
DRG281,PID310012,RIDNJRidgewood,64,38605.28,8022.64,7157.03
DRG281,PID330158,RIDNJRidgewood,47,45175.4,9095.44,8252.44
DRG282,PID310012,RIDNJRidgewood,53,28653.05,6001.62,4422.41
DRG282,PID330158,RIDNJRidgewood,25,45427.44,6256.96,5491.04
DRG286,PID310012,RIDNJRidgewood,26,69562,13623.53,12976.61
DRG286,PID330158,RIDNJRidgewood,38,76806.57,15061.28,14029.02
DRG287,PID310012,RIDNJRidgewood,143,38057.22,7828.51,6649.96
DRG287,PID330158,RIDNJRidgewood,112,53114.3,8412.24,7449.48
DRG291,PID310012,RIDNJRidgewood,227,54777.55,10818.39,10183.79
DRG291,PID330158,RIDNJRidgewood,93,50163.91,11433.07,10618.26
DRG291,PID330205,RIDNJRidgewood,32,46685.34,9620.93,8981.34
DRG292,PID310012,RIDNJRidgewood,400,35694.56,7230.84,6213.09
DRG292,PID330158,RIDNJRidgewood,60,36072.15,7814.35,7177.68
DRG292,PID330205,RIDNJRidgewood,37,26026.4,6567,5617.45
DRG293,PID310012,RIDNJRidgewood,245,21677.31,4701.32,3920.1
DRG293,PID330158,RIDNJRidgewood,29,24386.37,5302.13,4641.86
DRG293,PID330205,RIDNJRidgewood,11,16124.81,4579,3870.27
DRG300,PID310012,RIDNJRidgewood,72,31203.54,6863.29,5738.8
DRG300,PID330158,RIDNJRidgewood,21,37955.23,7519,6477.19
DRG301,PID310012,RIDNJRidgewood,44,22884.77,4415,3483.72
DRG303,PID310012,RIDNJRidgewood,36,17377.72,3986.11,3014.27
DRG303,PID330158,RIDNJRidgewood,24,20659.75,4764.83,3571.2
DRG303,PID330205,RIDNJRidgewood,11,20033.63,3896,2903.54
DRG305,PID310012,RIDNJRidgewood,36,21112.61,4182,3278.11
DRG305,PID330158,RIDNJRidgewood,13,24063.76,4822.76,3283.3
DRG308,PID310012,RIDNJRidgewood,90,38740.55,8611.62,7564.03
DRG308,PID330158,RIDNJRidgewood,29,41748.75,9647.1,8791.65
DRG309,PID310012,RIDNJRidgewood,150,31988.5,5815.74,4833.86
DRG309,PID330158,RIDNJRidgewood,47,26869.25,6508.25,5645.95
DRG309,PID330205,RIDNJRidgewood,15,29589.26,5604,4780.26
DRG310,PID310012,RIDNJRidgewood,217,17904.94,4050.44,2870.66
DRG310,PID330158,RIDNJRidgewood,59,23365.77,4483.27,3422.77
DRG310,PID330205,RIDNJRidgewood,15,18639.33,3890.46,2894
DRG312,PID310012,RIDNJRidgewood,338,22786.83,5001.51,3854.87
DRG312,PID330158,RIDNJRidgewood,110,26790.6,5720.5,4558.35
DRG313,PID310012,RIDNJRidgewood,181,16738.46,3883.32,2707.62
DRG313,PID330158,RIDNJRidgewood,79,20717.01,4348.44,3320.15
DRG314,PID310012,RIDNJRidgewood,45,51286.2,12210.95,11624.95
DRG314,PID330158,RIDNJRidgewood,29,93739.75,14784.82,12725.65
DRG315,PID310012,RIDNJRidgewood,34,26885.85,6519.35,5890.52
DRG329,PID310012,RIDNJRidgewood,46,123568.63,35552.89,34947.43
DRG329,PID330158,RIDNJRidgewood,15,156790.06,40713.73,36063.06
DRG330,PID310012,RIDNJRidgewood,91,64833.83,17414.84,15239.98
DRG372,PID310012,RIDNJRidgewood,71,41408.18,8578.4,8033.64
DRG372,PID330158,RIDNJRidgewood,14,34407,9886.85,8676.92
DRG377,PID310012,RIDNJRidgewood,60,58593.55,12993.78,11307.03
DRG377,PID330158,RIDNJRidgewood,24,60917.79,14219.29,12533.08
DRG378,PID310012,RIDNJRidgewood,238,38079.77,7048.42,6164.87
DRG378,PID330158,RIDNJRidgewood,70,45313.72,7996.5,7241.01
DRG378,PID330205,RIDNJRidgewood,19,30860.68,6710.15,6114.36
DRG379,PID310012,RIDNJRidgewood,67,21819.14,5145.4,3888.26
