drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID60013,RIDNMAlbuquerque,11,26928.54,7578.63,6658.27
DRG039,PID320009,RIDNMAlbuquerque,18,26606.38,5945,4940.55
DRG039,PID320021,RIDNMAlbuquerque,14,31863.5,6797.71,5671.21
DRG039,PID320083,RIDNMAlbuquerque,25,27349.88,5548,4512.96
DRG039,PID320086,RIDNMAlbuquerque,14,33253.71,5909,5026.42
DRG057,PID320001,RIDNMAlbuquerque,14,21599.57,10409,9445.57
DRG057,PID320002,RIDNMAlbuquerque,15,14797.06,7649.86,6673.06
DRG057,PID320005,RIDNMAlbuquerque,17,21623.82,7087,6160.41
DRG057,PID320006,RIDNMAlbuquerque,11,33895.81,5962.36,5247.81
DRG057,PID320021,RIDNMAlbuquerque,15,17397.86,6290.53,5471.13
DRG064,PID320001,RIDNMAlbuquerque,55,41510.16,20341.01,19444.65
DRG064,PID320002,RIDNMAlbuquerque,32,53609.37,19336.71,18493.71
DRG064,PID320005,RIDNMAlbuquerque,22,47080.36,15582.31,14811.95
DRG064,PID320009,RIDNMAlbuquerque,24,56466.33,11468.95,10812.66
DRG064,PID320021,RIDNMAlbuquerque,42,36420.9,11905.14,10838.95
DRG065,PID60013,RIDNMAlbuquerque,13,21343.38,8303,7352.53
DRG065,PID320001,RIDNMAlbuquerque,30,26399.6,12044.06,11142.73
DRG065,PID320002,RIDNMAlbuquerque,40,23996.97,9690.55,8679.75
DRG065,PID320003,RIDNMAlbuquerque,11,41907.63,9774,8853.63
DRG065,PID320005,RIDNMAlbuquerque,35,24499.08,8563.51,7481.57
DRG065,PID320006,RIDNMAlbuquerque,24,33009.62,7057.37,6212.37
DRG065,PID320009,RIDNMAlbuquerque,26,32596.34,6744.5,5794.03
DRG065,PID320021,RIDNMAlbuquerque,105,25771.51,7546.32,6486.94
DRG065,PID320083,RIDNMAlbuquerque,12,26489.83,6090.16,5149.5
